modelname,associatedTaxa,collectedBy,country,firstPoliticalUnit,habitat,identifiedBy,latestScientificName,locality,maximumEventDate,minimumEventDate,municipality,originalMethod,otherCatalogNumbers,recordNumber,secondPoliticalUnit,secondaryCollectors,typeStatus,verbatimCollectors,verbatimCoordinates,verbatimDateIdentified,verbatimElevation,verbatimEventDate,verbatimIdentification,verbatimLocality
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,P. C. M. Jansen,ETHIOPIA,HARERGE,PASS,C. C. H. Jongkind,PASS,PASS,N/A,1976-04-14,N/A,Typed,PASS,5996,N/A,N/A,no type status,PASS,PASS,1987,2000m,14 April 1976,Cirsium vulgare (Savi) Ten.,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Kenya,Kajiado,Dry bushland,PASS,PASS,PASS,N/A,2003-10-22,PASS,Typed,PASS,AK61,PASS,PASS,no type status,"Amanda Koch, Wilson Sakuda, AK61, October 22, 2003",N/A,"November 02, 2003",N/A,"October 22, 2003",Acacia reficiens misera (Vatke) Brenan,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,J. Lebrun,PASS,PASS,N/A,C. A. Smith,PASS,PASS,N/A,1931-03-00,N/A,PASS,PASS,2409,PASS,N/A,no type status,J. Lebrun,N/A,N/A,N/A,Mars 1931,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Kenya,N/A,N/A,N/A,PASS,PASS,N/A,1957-12-25,N/A,Mix of Handwritten and Typed,PASS,2077,N/A,N/A,no type status,PASS,N/A,N/A,N/A,PASS,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,PASS,N/A,foret secondaire,H. Callens,Gaertnera paniculata,PASS,N/A,1958-07-00,Kisantu,Typed,PASS,s.n.,N/A,N/A,no type status,PASS,N/A,1/9/58,PASS,Juillet 1958,Gaertnera paniculata,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,PASS,Kivu,PASS,N/A,PASS,PASS,N/A,1958-02-10,N/A,Typed,PASS,PASS,PASS,N/A,no type status,PASS,N/A,N/A,PASS,10/2/1958,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,G. McPherson,GABON,OGOOUE-IVINDO,PASS,PASS,PASS,PASS,N/A,1989-03-20,N/A,Typed,PASS,13781,N/A,N/A,no type status,PASS,PASS,1989,c. 200 m,20 Mars 1989,Corynanthe mayumbensis (R. Good) N. Hallé,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,PASS,J. M. Fay,CAMEROON,N/A,PASS,PASS,PASS,PASS,N/A,1988-03-04,N/A,Typed,PASS,8294,N/A,N/A,no type status,PASS,02°20'N 16°08'E,1988,385 m,4 March 1988,Millettia zechiana Harms,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,F. A. Melville,PASS,PASS,PASS,PASS,PASS,PASS,N/A,1959-07-29,N/A,PASS,PASS,199,N/A,N/A,no type status,PASS,N/A,N/A,PASS,29.vii.1959,Phaseolus lunatus L.,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,R. L. Piemeisel,Kenya,N/A,N/A,N/A,N/A,PASS,PASS,PASS,PASS,Typed,PASS,2,N/A,L. W. Kephart,no type status,PASS,N/A,N/A,PASS,PASS,N/A,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,A. Léonard,PASS,PASS,Vieille forêt secondaire,B. Sonké,PASS,PASS,N/A,1959-02-19,PASS,PASS,PASS,PASS,N/A,N/A,no type status,A. Léonard,N/A,1989,PASS,19/2 1959,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,R. P. KLAINE,Gabon,N/A,PASS,N/A,PASS,PASS,N/A,PASS,PASS,PASS,PASS,PASS,N/A,N/A,no type status,récolté par le R. P. KLAINE,N/A,N/A,N/A,PASS,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,J. T. Allen,Ghana,PASS,PASS,N/A,PASS,PASS,N/A,1996-09-23,PASS,Typed,PASS,41,N/A,N/A,no type status,PASS,N/A,N/A,N/A,"September 23, 1996",Dissotis rotundifolia (Sm.) Triana,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,J. E. Andoh,PASS,PASS,PASS,N/A,PASS,Kumasi Township Forest Reserve,N/A,1952-03-00,PASS,Typed,PASS,5632,PASS,N/A,no type status,PASS,N/A,N/A,N/A,March 1952,Chrysophyllum perpulchrum Mildbr.,Kumasi Township Forest Reserve
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,J. Nemba,CAMEROON,SOUTHWEST,PASS,D. W. Thomas,PASS,PASS,N/A,1987-06-15,N/A,Typed,PASS,520,N/A,D. W. Thomas,no type status,PASS,04°44'N 09°29'E,1987,200 m,15 June 1987,Donella welwitschii Pierre ex Engl.,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,J. Deaw,Ghana,N/A,PASS,A. A. Enti,Eugenia coronata,PASS,N/A,1971-10-04,Accra,Typed,PASS,Sp 283,N/A,N/A,no type status,J. Deaw,N/A,PASS,N/A,PASS,Eugenia coronata,Accra
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,G. Schweinfurth,PASS,N/A,N/A,PASS,PASS,PASS,N/A,1892-05-01,N/A,PASS,PASS,1814,N/A,D. Riva,no type status,PASS,N/A,N/A,PASS,1 mai 1892,Rumex nervosus V.,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,Combretum schumannii,R. B. Faden,Kenya,PASS,PASS,J. O. Kokwaro,PASS,PASS,N/A,1977-03-07,N/A,Typed,PASS,77/711,PASS,A. J. Faden,no type status,PASS,PASS,N/A,PASS,7 March 1977,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,F. Szafranski,PASS,PASS,PASS,N/A,PASS,PASS,N/A,1988-02-05,Isiro,Typed,PASS,1378,PASS,N/A,no type status,F. SZAFRANSKI,N/A,N/A,N/A,5.2.1988,Floscopa glomerata (Roem. et Schult.) Hassk.,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,F. W. H. Migeod,PASS,PASS,PASS,M. Nee,PASS,PASS,N/A,PASS,PASS,PASS,PASS,394,PASS,N/A,no type status,PASS,N/A,PASS,PASS,PASS,Solanum sp.,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,T. C. Wrigley,PASS,PASS,PASS,A. W. Exell,PASS,Ridge west of Crater Lake,N/A,1959-07-18,N/A,PASS,PASS,52,N/A,F. A. Melville,PASS,PASS,N/A,1961,PASS,18 July 1959,Cassipourea annobonensis Mildbr. ex Alston,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,PASS,PASS,Ethiopia,Harar,PASS,PASS,PASS,PASS,N/A,1962-05-27,N/A,Mix of Handwritten and Typed,PASS,1767,N/A,N/A,no type status,William Burger,PASS,N/A,PASS,27 May 1962,Rubus apetalus Poir,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,J. D. Sauer,Kenya,PASS,PASS,N/A,PASS,PASS,N/A,1963-06-15,N/A,Typed,PASS,3914,PASS,N/A,no type status,PASS,N/A,N/A,N/A,15 June 1963,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,C. Vigne,PASS,N/A,N/A,PASS,PASS,[precise locality unknown],N/A,PASS,N/A,Typed,PASS,PASS,N/A,N/A,no type status,C. Vigne,N/A,N/A,N/A,PASS,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Ghana,N/A,N/A,N/A,PASS,[precise locality unknown],N/A,1999-00-00,N/A,Typed,PASS,1026,N/A,N/A,no type status,Eman Addo,N/A,N/A,N/A,PASS,Uvaria versicolor Pierre,N/A
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,A. A. Enti,Ghana,PASS,PASS,A. A. Enti,Pergularia daemia,PASS,N/A,1971-11-22,N/A,Typed,PASS,PASS,N/A,N/A,no type status,PASS,N/A,PASS,N/A,PASS,Pergularia daemia,Awutu - Winneba Road
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,D. W. Thomas,CAMEROON,SOUTHWEST,PASS,D. W. Thomas,PASS,PASS,N/A,1987-00-00,N/A,Typed,PASS,6850,N/A,N/A,no type status,D.W. Thomas 6850,05°02'N 08°50'E,1987,60 m,1987,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,S. A. Thompson,CAMEROON,Sud-Ouest,PASS,N/A,PASS,PASS,N/A,1984-07-09,Bakingili,Typed,PASS,1522,Fako,N/A,no type status,PASS,PASS,N/A,PASS,9 July 1984,Impatiens macroptera Hook.f.,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Kenya,Kitui,PASS,N/A,PASS,PASS,N/A,PASS,N/A,PASS,PASS,4484,N/A,N/A,no type status,PASS,N/A,N/A,PASS,PASS,Englerina tenuifolia (Engl.) Gilli,4 km n. of Kangondi on road to Embu
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,S. A. Thompson,CAMEROON,Sud-Ouest,PASS,N/A,PASS,PASS,N/A,1984-06-03,PASS,Typed,PASS,1333,Fako,PASS,no type status,PASS,PASS,N/A,PASS,3 June 1984,Avicennia africana P. Beauv.,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,PASS,Kivu,PASS,PASS,PASS,PASS,N/A,PASS,N/A,PASS,PASS,6347,PASS,N/A,no type status,PASS,N/A,N/A,PASS,PASS,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,A. Pappi,ERITREA,PASS,N/A,T. M. Upson,PASS,LUNGO IL TORRENTE HADDAS,1902-08-15,1902-08-14,N/A,PASS,PASS,PASS,N/A,N/A,no type status,PASS,N/A,2/4/1996,N/A,14-15.VIII.1902,Lavandula pubescens Decaisne,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Ethiopia,PASS,PASS,PASS,PASS,PASS,N/A,1962-02-14,N/A,Mix of Handwritten and Typed,PASS,1453,N/A,N/A,no type status,PASS,PASS,N/A,PASS,PASS,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,GHANA,VOLTA REGION,PASS,N/A,TERMINALIA GLAUCESCENS,PASS,N/A,PASS,HO,PASS,PASS,PASS,N/A,N/A,no type status,PASS,N/A,1972,N/A,PASS,TERMINALIA GLAUCESCENS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,PASS,PASS,N/A,PASS,PASS,PASS,N/A,1863-11-24,N/A,PASS,PASS,1467,N/A,N/A,no type status,PASS,N/A,N/A,N/A,PASS,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,D. W. Thomas,CAMEROON,SOUTHWEST,PASS,D. W. Thomas,PASS,PASS,N/A,1987-05-18,PASS,Typed,PASS,6988,N/A,M. Etuge,no type status,D.W. Thomas & M. Etuge,04°36'N 09°27'E,1987,150 m,18 May 1987,Tapura africana Oliv.,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,E. A. Mearns,PASS,N/A,N/A,PASS,PASS,PASS,1909-09-07,1909-09-06,N/A,Typed,PASS,1114,N/A,N/A,no type status,PASS,N/A,N/A,PASS,"September 6 and 7, 1909",PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Kenya,N/A,N/A,PASS,PASS,[precise locality unknown],N/A,PASS,N/A,Typed,PASS,580,N/A,N/A,no type status,PASS,N/A,N/A,N/A,PASS,Combretum Schumannii Engl.,N/A
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,PASS,J. M. Fay,CAMEROON,N/A,PASS,PASS,PASS,PASS,N/A,1988-02-28,N/A,Typed,PASS,8271,N/A,N/A,no type status,PASS,02°21'N 16°09'E,1988,385 m,28 February 1988,Combretum smeathmannii G. Don,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,PASS,D. D. Soejarto,Ghana,Greater Accra,PASS,PASS,PASS,PASS,N/A,1978-04-01,PASS,PASS,PASS,4793,N/A,N/A,no type status,PASS,N/A,N/A,N/A,"April 1, 1978",Diospyros tricolor Hiern.,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Peru,Loreto,PASS,PASS,PASS,Santa María - Río Nanay,N/A,1967-12-15,PASS,Typed,PASS,40,Maynas,N/A,HOLOTYPE,PASS,N/A,PASS,PASS,15 diciembre 1967,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,M. O. Dillon,Peru,Arequipa,PASS,PASS,PASS,PASS,N/A,1983-11-01,N/A,Typed,PASS,3776,Caraveli,D. Dillon,HOLOTYPE,M. O. Dillon & D. Dillon,N/A,PASS,PASS,1 Nov 1983,Galvezia fruticosa Gmel.,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,PASS,PASS,N/A,N/A,N/A,PASS,PASS,PASS,N/A,1830-00-00,N/A,Mix of Handwritten and Typed,PASS,PASS,N/A,N/A,Isosyntype,PASS,N/A,N/A,N/A,1830,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,J. Campos,PERU,Cajamarca,Trepadora; flor amarilla,W. R. Anderson,PASS,Entre La Catagua y Tablón,N/A,1996-02-09,PASS,Typed,PASS,2490,PASS,O. Díaz,ISOTYPE,José Campos y O. Díaz 2490,05°19'S 078°47'W,2006,550 - 650 m,9 Febrero 1996,Amorimia camporum W.R. Anderson,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Peru,N/A,N/A,A. Mesa,PASS,[precise locality unknown],PASS,PASS,N/A,Typed,PASS,s.n.,N/A,PASS,ISOLECTOTYPE,PASS,N/A,1981,N/A,PASS,PASS,N/A
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,PERU,Amazonas,PASS,B. Ståhl,PASS,PASS,N/A,1996-12-04,PASS,Typed,PASS,8808,PASS,A. Peña,ISOTYPE,PASS,N/A,2010,2250-2360 m,4 Diciembre 1996,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,PASS,PASS,Peru,N/A,N/A,PASS,PASS,PASS,1788-00-00,1778-00-00,PASS,Mix of Handwritten and Typed,PASS,9/58,N/A,PASS,ISOTYPE,PASS,N/A,2007,N/A,PASS,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,PERU,Amazonas,Bosque montano fragmentado,PASS,PASS,PASS,N/A,1998-08-20,Leymebamba,Typed,PASS,1378,Chachapoyas,PASS,Isotype,PASS,N/A,PASS,2800-3000 m,20 agosto 1998,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,L. Williams,PERU,SAN MARTIN,PASS,D. Giraldo-Cañas,PASS,PASS,PASS,PASS,SAN ROQUE,PASS,PASS,6999,N/A,N/A,HOLOTYPE,PASS,N/A,2010,PASS,PASS,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,PASS,PASS,Peru,N/A,N/A,PASS,PASS,PASS,1788-00-00,1778-00-00,N/A,PASS,PASS,s.n.,N/A,PASS,ISOTYPE,PASS,N/A,PASS,N/A,PASS,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,PASS,PASS,Peru,N/A,N/A,PASS,PASS,PASS,PASS,PASS,N/A,Mix of Handwritten and Typed,PASS,s.n.,N/A,PASS,ISOTYPE,PASS,N/A,PASS,N/A,PASS,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,R. B. Foster,PERU,Huánuco,PASS,M. J. Huft,PASS,PASS,N/A,1982-09-13,N/A,Typed,PASS,8752,PASS,N/A,no type status,Robin B. Foster,PASS,1983,PASS,13 Sept. 1982,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,PASS,San Martín,PASS,J. A. Lombardi,PASS,PASS,N/A,PASS,N/A,PASS,PASS,6505,N/A,N/A,PASS,José Schunke Vigo,N/A,PASS,PASS,PASS,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,PERU,LORETO,PASS,PASS,PASS,PASS,N/A,1979-02-08,PASS,Typed,PASS,4268,Requena,N/A,no type status,Manuel Rimachi Y.,N/A,PASS,PASS,"February 8, 1979",Nectandra krukovii (A.C. Smith) Kosterm.,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,PERU,LORETO,BOSQUE SECUNDARIO 35 Años,T. PLOWMAN,PASS,AMPIYACU-PEVAS,N/A,1982-07-00,N/A,PASS,PASS,95(P1-2),MAYNAS,N/A,no type status,PASS,N/A,1985,100 m.s.n.m.,Julio/82,PASS,AMPIYACU-PEVAS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,PERU,CUZCO,PASS,PASS,PASS,PASS,N/A,1986-10-29,PASS,Typed,PASS,PASS,La Convención,S. Walsh,no type status,Percy Núñez & S. Walsh,N/A,PASS,PASS,29 October 1986,Euphorbia heterophylla L.,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,PERU,San Martin,PASS,J. Dwyer,PASS,PASS,N/A,1977-05-30,Alonso de Alvarado,Typed,PASS,9560,Lamas,N/A,no type status,Jose Schunke,N/A,1980,PASS,30 Mayo 1977,Hamelia patens Jacq.,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,G. Moore,PERU,Loreto,PASS,PASS,PASS,PASS,N/A,1981-08-18,N/A,PASS,PASS,138,N/A,PASS,PASS,PASS,PASS,PASS,600m elev,18-8-81,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,E. P. KILLIP,Peru,Junín,dense forest,N/A,PASS,PASS,PASS,1929-07-20,N/A,PASS,PASS,26721,N/A,A. C. SMITH,no type status,PASS,N/A,N/A,PASS,PASS,Psychotria racemosa (Aubl.) Willd.,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,M. O. Dillon,Peru,Piura,PASS,P. Fryxell,PASS,PASS,N/A,1991-07-22,PASS,Typed,PASS,6310,Huancabamba,I. Sánchez V.,no type status,M. O. Dillon and I. Sánchez V.,[5°24'S; 79°36'W],1993,PASS,22 Jul 1991,PASS,ca. 2 km N of Canchaque
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,J. F. Macbride,PERU,N/A,PASS,PASS,PASS,CUEVA GRANDE ESTACION NEAR POZUZO,N/A,1923-06-23,N/A,Typed,PASS,4806,N/A,N/A,no type status,COLL. J. FRANCIS MACBRIDE,N/A,N/A,ABOUT 3500 FEET,"JUNE 23, 1923",PASS,CUEVA GRANDE ESTACION NEAR POZUZO
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Peru,Cajamarca,PASS,PASS,PASS,PASS,N/A,PASS,N/A,Mix of Handwritten and Typed,PASS,PASS,PASS,N/A,no type status,PASS,N/A,PASS,PASS,PASS,Geranium chilloense Kunth,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Peru,Cajamarca,PASS,M. J. Huft,PASS,PASS,N/A,PASS,N/A,PASS,PASS,1640,Cutervo,PASS,no type status,PASS,N/A,1992,PASS,PASS,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,G. Klug,Peru,Loreto,PASS,PASS,PASS,PASS,PASS,PASS,N/A,PASS,PASS,660,N/A,N/A,no type status,PASS,N/A,N/A,PASS,PASS,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,T. R. Dudley,Peru,Ayacucho,PASS,PASS,Dendrophthora sp.,PASS,N/A,1968-08-24,N/A,Typed,PASS,12063,La Mar,N/A,no type status,PASS,PASS,18 Dec. 1984,PASS,24 Aug. 1968,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,G. Klug,Peru,Loreto,forest,M. Vásquez Avila,PASS,PASS,N/A,PASS,N/A,PASS,PASS,1595,N/A,N/A,no type status,PASS,N/A,PASS,PASS,PASS,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,M. E. Mathias,PASS,Loreto,PASS,W. R. Anderson,MALPIGHIACEAE,vicinity of Requena,N/A,PASS,PASS,PASS,PASS,5576,N/A,D. Taylor,no type status,Mildred E. Mathias Dermot Taylor,N/A,1983,N/A,PASS,PASS,vicinity of Requena
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Peru,Loreto,tall forest,D. R. Simpson,PASS,PASS,N/A,1964-12-17,N/A,PASS,PASS,PASS,N/A,N/A,no type status,PASS,N/A,PASS,PASS,PASS,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,PERU,LORETO,PASS,PASS,PASS,PASS,1929-10-00,1929-09-00,N/A,PASS,PASS,3363,N/A,N/A,no type status,PASS,N/A,PASS,ALT. 145 M.,"SEPT.-OCT., 1929",PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,T. Plowman,Peru,Cajamarca,PASS,P. Fryxell,PASS,PASS,N/A,1986-07-12,N/A,Typed,PASS,14242,Jaén,PASS,no type status,PASS,N/A,1987,PASS,12 July 1986,Abutilon mollissimum (Cav.) Sweet,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,PERU,CAJAMARCA,N/A,N/A,PASS,PASS,N/A,2003-04-14,N/A,Typed,PASS,s.n.,N/A,PASS,no type status,Magda Chanco with Michelle McMahon and Larry Hufford,S7° 10.554' W78° 49.665',N/A,3614 feet elevation,14 April 2003,Abutilon sp.,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,PERU,LORETO,PASS,PASS,PASS,PASS,N/A,2014-10-13,N/A,Typed,PASS,4399,PASS,PASS,no type status,PASS,"05°48'33.5""S 73°51'53.8""W",N/A,PASS,13 octubre 2014,Andira macrothyrsa Ducke,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,PERU,LORETO,PASS,PASS,PASS,PASS,N/A,2014-10-13,N/A,Typed,PASS,4399,PASS,PASS,no type status,PASS,PASS,N/A,PASS,13 octubre 2014,Andira macrothyrsa Ducke,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,Y. Mexia,Peru,Huanuco,PASS,PASS,PASS,PASS,N/A,1936-10-09,N/A,Typed,PASS,8265,PASS,N/A,no type status,PASS,N/A,N/A,PASS,"Oct. 9, 1936",Piper callosum Ruiz & Pavon,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,Y. Mexia,Peru,Loreto,PASS,PASS,PASS,PASS,N/A,1931-11-24,N/A,Typed,PASS,6157,N/A,N/A,no type status,PASS,N/A,N/A,PASS,"Nov. 24, 1931",Piper callosum Ruiz & Pav.,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,PERU,Tumbes,PASS,D. Simpson,PASS,PASS,N/A,1968-01-04,PASS,Typed,PASS,565,PASS,PASS,no type status,PASS,N/A,Jan. 1969,N/A,"January 4, 1968",PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,T. Plowman,Peru,Huánuco,Scandent shrub on roadside near houses. Stem with milky sap. Fls. pink.,PASS,PASS,PASS,N/A,1981-12-06,N/A,Typed,PASS,11105,Huánuco,P. M. Rury,no type status,PASS,PASS,1983,PASS,6 December 1981,Ipomoea carnea Jacq.,PASS
