Image,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,substrate,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus
0010_V0597275F.jpg,P.C.M. Jansen,P.C.M. Jansen,N/A,s.n.,s.d.,s.d.,s.d.,Cirsium vulgare (Savi) Ten.,Cirsium vulgare (Savi) Ten.,C.C.H. Jongkind,14 April 1976,N/A,Ethiopia,Harerge,N/A,N/A,"around Damota Village, near Alema Legna Betwee Chat and Sorghum fields.","around Damota Village, near Alema Brewery between Chat and Sorghum fields",Ground roots are drunk against gonorrhea.,,2900m,N/A,2302849,Typed,no type status
0011_V0597626F.jpg,"Amanda Koch, Wilson Saikwa, AK61",A. Koch,W. Saikwa,AK61,"October 22, 2003",2003-10-22,N/A,Acacia reficiens merissa (Vatke) Brenan,Acacia reficiens merissa (Vatke) Brenan,P. Mutiso,"November 02, 2003",N/A,Kenya,Kajiado District,N/A,Oloishobor,Kenya: Kajiado District: Oloishobor,[precise locality unknown],Dry bushland,,N/A,N/A,2309478,Typed,no type status
0012_V0597688F.jpg,C. H. Shaw,C.H. Shaw,N/A,s.n.,About 1931,1931-00-00,1931-00-00,Albizia gummifera (J.F.Gmel.) C.A. Sm.,Albizia gummifera (J.F.Gmel.) C.A. Sm.,N/A,N/A,N/A,Democratic Republic of the Congo,Équateur,N/A,Coquilhatville (Mbandaka),Congo Belge. Équateur : Coquilhatville (Mbandaka),"Équateur, Coquilhatville (Mbandaka)",N/A,,N/A,N/A,867368,Typed,no type status
0013_V0588237F.jpg,N/A,N/A,N/A,N/A,25. 12. 1957,1957-12-25,1957-12-25,Digitaria perrottetii (Hochst. ex A. Rich.) Stapf,Digitaria perrottetii (Hochst. ex A. Rich.) Stapf,N/A,N/A,N/A,Kenya,N/A,N/A,Tsavo – Taita Andei,"Tsavo – Taita Andei, Kenya",Tsavo – Taita Andei,N/A,,N/A,N/A,Ward cut no 207,Typed,no type status
0014_V0580026F.jpg,H. Callens,H. Callens,N/A,s.n.,Juillet 1958,1958-07-00,1958-07-00,Palicourea guianensis Aubl.,Palicourea guianensis Aubl.,H. Callens,1/9/58,N/A,Democratic Republic of the Congo,Kisantu,N/A,N/A,Kisantu (Congo Belge),Kisantu,N/A,,N/A,N/A,1584065,Typed,no type status
0015_V0580516F.jpg,G. Troupin,G. Troupin,N/A,6333,10/2/1958,1958-02-10,N/A,Mikania cordata (Burm. f.) B.L. Robinson,Mikania cordata (Burm. f.) B.L. Robinson,N/A,N/A,N/A,Democratic Republic of the Congo,Kivu,N/A,Walikale,"Territ. Walikale, Vers 110 mystere Kama-Kibambi-Tshibati-Tshibimbi, Alt. 1550 m.",Vers 110 mystere Kama-Kibambi-Tshibati-Tshibimbi,Forêt ombrophile,,1550 m.,N/A,1543353,Typed,no type status
0016_V0574490F.jpg,Gordon McPherson,G. McPherson,N/A,13781,20 Mars 1989,1989-03-20,N/A,Corynanthe mayumbensis (R. Good ex Halle) N. Halle Det. Wilks & McPherson 1989,Corynanthe mayumbensis (R. Good ex Halle) N. Halle,Wilks & McPherson,1989,N/A,Gabon,Ogooue-Ivindo,Reserve de la Lope,N/A,"Chantier SODEFOR, au sud d'Ayem; 0°25'S 11°30'E","Chantier SODEFOR, south of Ayem",N/A,,c. 200 m,0°25'S 11°30'E,LP: A665-0223-G; BR: A665-0224-H; WD: A665-0225-I.,Typed,no type status
0017_V0574226F.jpg,J. M. Fay,J. M. Fay,N/A,8294,4 March 1988,1988-03-04,N/A,Millettia zechiana Harms,Millettia zechiana Harms,D. K. Assi,1998,N/A,Cameroon,N/A,N/A,N/A,"On the Sangha River across from Makao gorilla study area. In seasonally flooded forest with Guibourtia demeusei, Pericopsis spp., Bombax sp.",On the Sangha River across from Makao gorilla study area,"In seasonally flooded forest with Guibourtia demeusei, Pericopsis spp., Bombax sp.",,385 m,02°20'N 16°08'E,N/A,Typed,no type status
0018_V0580728F.jpg,E. J. H. Corner,E. J. H. Corner,N/A,199,29.vii.1959,1959-07-29,1959-07-29,Phaseolus lunatus L.,Phaseolus lunatus L.,N/A,N/A,N/A,Indonesia,Jambi,N/A,N/A,"South West of Crater Lake. Clearing in wood, scrambling over herbage.",South West of Crater Lake,"Clearing in wood, scrambling over herbage",,N/A,N/A,1624518,Typed,no type status
0019_V0578764F.jpg,E. P. Phillips and P. L. Greenway,E. P. Phillips,P. L. Greenway,2,"June 1-8, 1934",1934-06-01,1934-06-08,Hyparrhenia filipendula (Hochst.) Stapf ex Burtt Davy,Hyparrhenia filipendula (Hochst.) Stapf ex Burtt Davy,N/A,N/A,N/A,Kenya,N/A,N/A,Mathiga,"Mathiga, near Nairobi","Mathiga, near Nairobi",N/A,,"1,700 meters",N/A,N/A,Typed,no type status
0020_V0594158F.jpg,A. Leonard,A. Leonard,N/A,3149,19/2/1959,1959-02-19,N/A,"Oxynanthes speciosa DC. Gilg., indet.",Oxynanthes speciosa DC.,N/A,N/A,N/A,Democratic Republic of the Congo,N/A,N/A,N/A,Muabi,Muabi,Vieille forêt secondaire,,1900m,N/A,2086095,Typed,no type status
0021_V0573054F.jpg,Herbier des services forestiers L'Indochine recoilet par le P.F. Léprieur,P.F. Leprieur,N/A,s.n.,s.d.,N/A,N/A,Herbariastrum labordei,Herbariastrum labordei,N/A,N/A,N/A,Vietnam,N/A,N/A,N/A,N/A,precise locality unknown,N/A,,N/A,N/A,N/A,Typed,no type status
0022_V0601010F.jpg,James T. Allen,J.T. Allen,N/A,41,"September 23, 1996",1996-09-23,1996-09-23,Dissotis rotundifolia (Sm.) Triana,Dissotis rotundifolia (Sm.) Triana,N/A,N/A,N/A,Ghana,Volta Region,N/A,N/A,LATAR; Centre for Scientific Research into Plant Medicine (CSRPM) farm,Centre for Scientific Research into Plant Medicine farm,N/A,,N/A,N/A,2200652,Typed,no type status
0023_V0602418F.jpg,J. E. Amoah,J.E. Amoah,N/A,5632,March 1952,1952-03-00,1952-03-00,Chrysophyllum perpulchrum Mildbr.,Chrysophyllum perpulchrum Mildbr.,N/A,N/A,N/A,Ghana,Ashanti,Kumasi District,Kumasi,Kumasi Township Forest Reserve,Kumasi Township Forest Reserve,N/A,,N/A,N/A,1601919,Typed,no type status
0024_V0604513F.jpg,J. Nemba & D.W. Thomas,J. Nemba,D.W. Thomas,s.n.,15 June 1987,1987-06-15,N/A,Donella welwitschii Pierre ex Engl.,Donella welwitschii Pierre ex Engl.,D.W. Thomas,1987,N/A,Cameroon,Southwest,N/A,N/A,secondary growth and old growth forest along Kumba-Mamfe road at mile 14 L&K oil,secondary growth and old growth forest along Kumba-Mamfe road at mile 14 L&K oil,secondary growth and old growth forest,,200 m,04°44'N 09°29'E,2041320,Typed,no type status
0025_V0572217F.jpg,J. Deaw,J. Deaw,N/A,No. 283,"4, IV, 79",1979-04-04,1979-04-04,Eugenia coronata,Eugenia coronata,N/A,N/A,N/A,Ghana,Greater Accra Region,N/A,Accra,Accra,Accra,"A shrub about 6' high. Flowering pedicels fascicled, 1"" from axil bud, calyx persistent at the apex.",,N/A,N/A,1753422,Typed,no type status
0026_V0602609F.jpg,A. Braun & H. Hartmann,A. Braun,H. Hartmann,s.n.,s.d.,s.d.,s.d.,Rumex nervosus Vahl,Rumex nervosus Vahl,N/A,N/A,N/A,Ethiopia,Eritrea,N/A,N/A,Agordat; fonte der fluss Barka am djenadelt Makedar,Agordat near the source of the Barka River at Makedar,N/A,,1500-1800 m.,N/A,71288,Typed,no type status
0027_V0606178F.jpg,R.B. & A.J. Faden,R.B. Faden,A.J. Faden,77/11,7 March 1977,1977-03-07,N/A,Toddaliopsis biseriata (Engl.) Engl. confirmed J.O. Kokwaro,Toddaliopsis biseriata (Engl.) Engl.,J.O. Kokwaro,N/A,N/A,Kenya,Kwale District,N/A,N/A,"Chale Peninsula, ca. 4º26'S, 39º32'E",Chale Peninsula,"Coastal rain forest, 5m",,5m,"4º26'S, 39º32'E",Nº 2153520,Typed,no type status
0028_V0603038F.jpg,F. Szafranski,F. Szafranski,N/A,1378,2.2.1988,1988-02-02,1988-02-02,Commelinaceae Floscopa glomerata (Roe. et Schult.) Hassk.,Floscopa glomerata (Roe. et Schult.) Hassk.,N/A,N/A,N/A,Democratic Republic of the Congo,Haut-Zaire,Haut-Uele,Isiro,"Haut-Zaire, S.-Rég., Haut-Uele, Isiro",[precise locality unknown],bas fond marécageux près de la route aux environs de l'usine Sogoodia,,N/A,N/A,N/A,Typed,no type status
0029_V0606676F.jpg,F.H.W. Milford,F.H.W. Milford,N/A,394,2.1.38,1938-01-02,N/A,Solanum spp.,Solanum aculeatissimum Jacq.,M. Nee,"Dec. 3, 1977",N/A,Cameroon,N/A,N/A,Bameda,"Bamenda, British Cameroons",Bamenda,Shrub very thorny and spiny. Flower not seen. Fruit pale yellow in life,,alt. 4500 ft.,N/A,1441275,Typed,no type status
0030_V0601406F.jpg,T.C. Wrigley & P. Hulleville,T.C. Wrigley,P. Hulleville,52,10 July 1959,1959-07-10,N/A,Canthium rhomboides (Hiern) ex Alston,Canthium rhomboideum,A.W. Exell,1961,N/A,Tanzania,Arusha,N/A,N/A,Amborijo Ridge west of Crater Lake,Amborijo Ridge west of Crater Lake,Open woodland,,1200ft,N/A,N/A,Mix of Handwritten and Typed,no type status
0031_V0604673F.jpg,William Burger,W. Burger,N/A,1296,27 May 1963,1963-05-27,1963-05-27,Rubus apetalus Poir,Rubus apetalus Poir,W.J. Kress,N/A,N/A,Ethiopia,Harar Prov.,N/A,N/A,"6.2 mi. E. of Adea on road from Harar along escarpment, Harar Prov., Ethiopia",6.2 miles East of Adea on road from Harar along escarpment,Steep slopes with remnant cedar-juniper-persea forest,,9200 feet,N/A,1825230,Typed,no type status
0032_V0565514F.jpg,J.D. Sauer,J.D. Sauer,N/A,s.n.,15 June 1963,1963-06-15,N/A,Aerva lanata (L.) Juss.,Aerva lanata (L.) Juss.,N/A,N/A,N/A,Kenya,Coast Province,Kwale District,N/A,"Coast Province, Kwale District, near Mombasa, Bumburi Beach, N of Mombasa","near Mombasa, Bumburi Beach, north of Mombasa","Beach ridge, shallow open coast",,N/A,N/A,595547,Typed,no type status
0033_V0565977F.jpg,C. Vigne,C. Vigne,N/A,s.n.,s.d.,0000-00-00,0000-00-00,Esenbeckia pentaphylla Engl. ,Esenbeckia pentaphylla Engl. ,N/A,N/A,N/A,India,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,,N/A,N/A,839434,Typed,no type status
0034_V0566108F.jpg,Enam Abdo,E. Abdo,N/A,1026,Collected in 1999,1999-00-00,1999-00-00,Uvaria versicolor Pierre,Uvaria versicolor Pierre,N/A,N/A ,N/A ,Ghana,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,,N/A,N/A,2325285,Typed,no type status
0035_V0567164F.jpg,A. Akinwu,A. Akinwu,N/A,398,22 iii 71,1971-03-22,N/A,Peponia dacemis,N/A,A. Akinwu,19 71,N/A,Ghana,N/A,N/A,Awutu,Awutu - Winneba Road.,Awutu - Winneba Road,A climber among grasses.,,N/A,N/A,1753348,Typed,no type status
0036_V0591661F.jpg,D.W. Thomas,D.W. Thomas,N/A,6850,1987,1987-00-00,1987-00-00,Cola flavovelutina K. Schum,Cola flavovelutina K. Schum,D.W. Thomas,1987,N/A,Cameroon,Southwest,N/A,N/A,PRCV. SOUTHWEST: Korup National Park. Primary rain forest,"Korup National Park, Primary rain forest",Primary rain forest,,60 m,05°02'N 08°50'E,2041255,Typed,no type status
0037_V0567306F.jpg,Sue A. Thompson,S.A. Thompson,N/A,1522,9 July 1984,1984-07-09,N/A,Impatiens macroptera Hook. f.,Impatiens macroptera Hook. f.,N/A,N/A,N/A,Cameroon,Sud-Ouest,Dept. Fako,Bakinigli,"CAMEROON: Prov. Sud-Ouest, Dept. Fako: Bakinigli",Bakinigli,"Trail up Mt. Cameroon, growing on wet rocks",,Alt. 50-250 m.,"4°04'N, 9°02'E.",N/A,Typed,no type status
0038_V0606921F.jpg,A. Maitland,A. Maitland,N/A,4847,16/8/27-...,1927-08-16,N/A,Englerina woodfordioides (Engl.) Gilg.,Tapinanthus pentagonus,Leach,s.d.,N/A,Kenya,Kitui,N/A,N/A,40 km N.E. of Kangonde on road to Embu,40 kilometers northeast of Kangonde on road to Embu,Thickets,,c. 4500 ft.,N/A,1864166,Typed,no type status
0039_V0605928F.jpg,Sue A. Thompson & John E. Rawlins,S.A. Thompson,J.E. Rawlins,1333,3 June 1984,1984-06-03,N/A,Avicennia africana P. Beauv.,Avicennia africana P. Beauv.,N/A,N/A,N/A,Cameroon,Sud-Ouest,Fako,Bakiki-Bilingi,"Prov. Sud-Ouest; Dept. Fako: Bakiki-Bilingi; 4°04'N, 9°02'E",[precise locality unknown],N/A,,Alt. 0 m.,"4°04'N, 9°02'E",2088074,Typed,no type status
0040_V0605675F.jpg,N/A,N/A,N/A,6047,3.XII.1958,1958-12-03,N/A,Tina sp. Cybianthus (Buiss) Bremek,Tina sp. Cybianthus (Buiss) Bremek,N/A,N/A,N/A,Cameroon,Taraba,Takamanda,N/A,"vrs Terra rossa Kountamvillé, pente raide ","vers Terra rossa Kountamville, pente raide ","forêt ombrophile. Ossam Ed, 11,500 m.",,950 - 900 m.,N/A,1543374,Typed,no type status
0041_V0571550F.jpg,A. Pappi,A. Pappi,N/A,s.n.,14-15-VIII-1902,1902-08-14,1902-08-15,Lavandula pubescens Decaisne,Lavandula pubescens Decaisne,T.M. Upson,2/4/1996,N/A,Eritrea,Assaorta,N/A,N/A,Eritrea: Assaorta - Lungo il torrente Haddas,vicinity of the Haddas stream in Assaorta,[precise locality unknown],,N/A,N/A,N/A,Typed,no type status
0042_V0607392F.jpg,William Burger,W. Burger,N/A,1953,14 Feb. 1962,1962-02-14,1962-02-14,Juniperus procera Hochst. ex Endl.,Juniperus procera Hochst. ex Endl.,W. Burger,N/A,N/A,Ethiopia,Harar Province,N/A,N/A,N.W. from Gara Mullata Mtn. ca. 50 km. due E of Harar,Northwest from Gara Mullata Mountain approximately 50 kilometers due east of Harar,on steep slopes with mixed forest,,alt. 2850 - 3200m,N/A,1632855,Typed,no type status
0043_V0570163F.jpg,C. D. Ekpe,C. D. Ekpe,N/A,s.n.,1/12/1952,1952-12-01,1952-12-01,TERMINALIA GLAUCESCENS,Terminalia glaucescens,N/A,N/A,N/A,Ghana,Volta Region,N/A,Ho,"HO, VOLTA REGION GHANA","Ho, Volta Region","A tree, c. 40ft high, in the open. Secondary, plants yellow or brownish yellow",,N/A,N/A,N/A,Typed,no type status
0044_V0570543F.jpg,Schimper,Schimper,N/A,s.n.,sine dato,1862-11-00,1863-11-00,Ipomoea quamoclit Linn.,Ipomoea quamoclit L.,N/A,N/A,N/A,Ethiopia,N/A,N/A,N/A,Abyssinia,Abyssinia,N/A,,N/A,N/A,373793,Handwritten,no type status
0045_V0607965F.jpg,D.W. Thomas,D.W. Thomas,N/A,6988,18 May 1987,1987-05-18,N/A,DICHAPETALACEAE Tapura africana Oliv.,Tapura africana Oliv.,D.W. Thomas,1987,N/A,Cameroon,Southwest,Kupe,N/A,"Degraded forest at Barombi Kang, Kumba",Degraded forest at Barombi Kang,Degraded forest,,150 m,04°36'N 09°27'E,2040825,Typed,no type status
0046_V0570471F.jpg,E.A. Mearns,E.A. Mearns,N/A,1114,"September 6-7, 1909",1909-09-06,1909-09-07,Euphorbia aequilata,Euphorbia aequilata,N/A,N/A,N/A,Kenya,N/A,N/A,N/A,"Vicinity of Thika, British East Africa",Vicinity of Thika,N/A,,altitude about 1350 meters,N/A,463287,Typed,no type status
0047_V0570108F.jpg,G. Jackson,G. Jackson,N/A,s.n.,s.d.,N/A,N/A,Combretum schumannii Engl.?,Combretum schumannii Engl.?,N/A,N/A,N/A,Kenya,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,,N/A,N/A,856357,Typed,no type status
0048_V0570110F.jpg,J. M. Fay,J. M. Fay,N/A,8271,28 February 1988,1988-02-28,1988-02-28,Combretum smeathmannii G. Don,Combretum smeathmannii G. Don,"Ake Assi, 1988",1988,N/A,Cameroon,N/A,N/A,N/A,"Along the Sangha River adjacent to the island of Kilona. In riparian forest adjacent to seasonally flooded forest with Irvingia, Erythrina, Guibourtia demeusei, Berlinia sp.",Along the Sangha River adjacent to the island of Kilona,In riparian forest adjacent to seasonally flooded forest,,1400 m,02°21'N 16°09'E 385 m.,N/A,Typed,no type status
0049_V0590787F.jpg,D.D. Soejarto,D.D. Soejarto,N/A,4793,"April 1, 1978",1978-04-01,N/A,Diospyros tricolor Hiern,Diospyros tricolor Hiern,N/A,N/A,"Thespesia populnea, Sophora accidental is",Ghana,Greater Accra Province,N/A,Botianor Village,"20 km west of Accra, Sea coast","20 kilometers west of Accra, Sea coast",on sandy soil,,N/A,N/A,1842606,Typed,no type status
0050_V0040586F.jpg,Narciso Reyna B.,N. Reyna,N/A,s.n.,15 diciembre 1967,1967-12-15,1967-12-15,"""Carahuasca amarilla"" - arból, bosque húmedo tropical",Gustavia scalarinervia D.R. Simpson,D.R. Simpson,N/A,N/A,Peru,Loreto,Maynas,Santa María de Nanay,"Santa María - Río Nanay, distr. Alto Nanay, Dept. Loreto, prov. Maynas.",Santa María - Río Nanay,bosque húmedo tropical,,N/A,N/A,2314700,Typed,HOLOTYPE
0051_V0081497F.jpg,M. O. Dillon & D. Dillon,M.O. Dillon,D. Dillon,3776,1 Nov 1983,1983-11-01,1983-11-01,Galvezia fruticosa Gmel.,Galvezia eisensii M.O. Dillon & Quipuscoa,M.O. Dillon & Quipuscoa,N/A,N/A,Peru,Arequipa,Caraveli,N/A,"Lomas of Atiquipa, ca. 10.5 km N of turn-off to Atiquipa, km 584 S of Lima","Lomas of Atiquipa, approximately 10.5 kilometers north of turn-off to Atiquipa, kilometer 584 south of Lima","Erect, glutinous shrub to 0.75 m; flowers red",,ca. 150-200 m,N/A,1940835,Typed,HOLOTYPE
0052_V0042484F.jpg,C. Kotschy,C. Kotschy,N/A,s.n.,1836,1836-00-00,1836-00-00,Tetracera rubrivernia var. genuinum Hochst. & Steudel,Tetracera rubrivernia var. genuinum Hochst. & Steudel,F. Pax,N/A,N/A,"unsure [since the label does not specify the country, and the collector's information alone is not sufficient to determine it]",N/A,N/A,N/A,Inter tropicos comm. Abyssiniae,[precise locality unknown],N/A,,N/A,N/A,875422,Handwritten,Isosyntype
0053_V0092855F.jpg,José Campos & O. Díaz,J. Campos,O. Díaz,2490,9 Febrero 1996,1996-02-09,N/A,Amorimia camporum W.R. Anderson,Amorimia camporum W.R. Anderson,W.R. Anderson,"Novon 16(2): 179, 2006.",N/A,Peru,Cajamarca,San Ignacio Province,Distrito Chirinos,Entre La Catagua y Tablón.,Entre La Catagua y Tablón,Trepadora; flor amarilla.,,550 - 650,05°19'S; 078°47'W,2296033,Typed,ISOTYPE
0054_V0078059F.jpg,Ruiz & Pavon,H. Ruiz & J. Pavon,N/A,s.n.,(1779-1788),1779-00-00,1788-00-00,Nolana spathulata Ruiz & Pav.,Nolana spathulata Ruiz & Pav.,T. Mee,Fl. Neotrop. 26: 136. 1981.,N/A,Peru,N/A,N/A,N/A,in vice-regno Peruivano et Chilensi lectae,[precise locality unknown],N/A,,N/A,N/A,N/A,Typed,ISOLECTOTYPE
0055_V0092864F.jpg,Camilo Díaz & Antonio Peña,C. Díaz,A. Peña,9809,4 Diciembre 1996,1996-12-04,N/A,Symplocos ovata Stahl,Symplocos ovata Stahl,B. Stahl,"Novon 20(1): 91, fig. 4A-B, 2010",N/A,Peru,Amazonas,Luya Province,N/A,"Camporedondo, Tullanya, Pascana ""Pájaro Tigre""","Camporedondo, Tullanya, Pascana ""Pájaro Tigre""",Liana con frutos verdes. Pecínculos largos.,,2850–2360 m,N/A,2296023,Typed,Isotype
0056_V0092900F.jpg,Ruiz & Pavón,N/A,N/A,s.n.,1775-1788,1775-00-00,1788-00-00,Bomarea purpurea (Ruiz & Pavón) Herb.,Bomarea purpurea (Ruiz & Pavón) Herb. determined by Hofreiter in 2007,T. Hofreiter,2007,N/A,Peru,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,,N/A,N/A,916119,Mix of Handwritten and Typed,isotype
0057_V0092906F.jpg,"V. Quipuscoa S., A. Sagástegui A., S. Leiva G. & M. Berruano C.",V. Quipuscoa,"A. Sagástegui, S. Leiva, M. Berruano",13778,20 agostos 1998,1998-08-20,N/A,Lithospermum cinerascens (A.DC.) Johnst. ,"Lithospermum leymebambense WEIGEND & NÜRK, sp. nov. inded.",M. Weigend,s.a. 2006,N/A,Peru,Amazonas,Prov. Chachapoyas,N/A,"Distrito Leymebamba, Carretera a Celendín, entre Ishpingo - Pomacocha. Bosque montano fragmentado.",Road between Ishpingo and Pomacocha,Bosque montano fragmentado,,2800-3000 m,N/A,2211679,Typed,Isotype
0058_V0092915F.jpg,Llewelyn Williams,L. Williams,N/A,6999,"Jan.-Feb., 1929",1929-01-00,1929-02-00,Marcgraviastrum racemosum (Triana & Planch.) Bedell,Marcgraviastrum racemosum (Triana & Planch.) Bedell,G. Lozano-Contreras,2010,N/A,Peru,San Martín,Rioja,N/A,"Nuevo Loreto, forest Roque, San Martin","forest Roque, Nuevo Loreto",N/A,,alt. 1800-1900 m.,N/A,624474,Mix of Handwritten and Typed,no type status
0059_V0092918F.jpg,Cheesman,N/A,N/A,s.n.,1778-1788,1778-00-00,1788-00-00,Marcgraviastrum obovatum (G. Don) Bedell = Marcgravia macroscypha Gilg,Marcgraviastrum obovatum (G. Don) Bedell,H.G. Bedell,Utrecht VIII. 1982,N/A,Peru,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,,N/A,N/A,843295,Typed,Isotype
0060_V0092921F.jpg,Plantae a: Ruiz et Pavon: in vice-regno Peruviano et Chilensi lectae.,A. Ruiz,Pavon,s.n.,(1775-1788),1775-00-00,1788-00-00,Marquesia obovata (R & P) Don.,Marquesia macrophylla Spruce ex Benth.,H. G. Balslev,VIII 1982,N/A,N/A,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,,N/A,N/A,842882,Typed,ISOTYPE
