Image,title,Collected by,Secondary Collectors,phylum,family,genus,specificEpithet,infraspecificEpithet,scientificNameAuthorship,identifiedBy,dateIdentified,acceptedScientificName,otherScientificName,scientificName,associatedTaxa,verbatimEventDate,eventDate,country,countryCode,firstPoliticalUnit,secondPoliticalUnit,city,verbatimLocality,locality,habitat,substrate,verbatimElevation,maximumElevationInMeters,minimumElevationInMeters,verbatimCoordinates,decimalLatitude,decimalLongitude,collectionCode,recordNumber,catalogNumber,language,languageRemarks,originalMethod,Type status,occurrenceRemarks,Sex,reproductiveCondition,generalNotes,expeditionFundedBy,generalInformationAboutThePlantSpecimenItself,rawFormat
0010_BR0000006918378.jpg,National Botanic Garden of Belgium (BR) - Ophrys oestrifera subsp. garganensis,Bart Van de Vijver,W. Van Look,"(Division): Magnoliophyta (unsure, check)",Orchidaceae,Ophrys,oestrifera,garganensis,(M. Bieb.) Van de Vijver & W. Van Look,N/A,N/A,Ophrys oestrifera M. Bieb. [Verified from GBIF (https://www.gbif.org/species/5306980)],Ophrys oestrifera subsp. garganensis,,N/A,25/04/2007,25-04-2007,Italia,IT,Promontorio del Gargano,N/A,Madonna di Loreto,Behind the Chapel of Madonna di Loreto,"Madonna di Loreto, Gargano Promontory",macchia-shrub with Cistus and Pinus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,BR - S.P.,N/A,691 837,English,N/A,,no type status,N/A,N/A,N/A,"(The label indicates an older determination as ""Ophrys oestrifera subsp. garganensis"" by I. E. Ehrhardt, which may be different from the current accepted name)",N/A,Multiple plant specimens mounted on a sheet,
0011_K000263710.jpg,Herbarium National du Gabon (LBV),J.J. de Wilde,"Sosef, M. van Nek",(Division): N/A,Violaceae,Rinorea,gabonensis,N/A,Jongkind,C.H. Jongkind,N/A,Rinorea gabonensis,N/A,,N/A,22-1-1991,22-01-1991,Gabon,GA,N/A,N/A,N/A,"Fougamou 15 kilometers on the road from N'Djolé to Koulamoutou, Ogooué-Lolo",N/A,"Vine, 7 meters long in tree in roadside",N/A,alt. 580 meters,N/A,580,N/A,N/A,N/A,N/A,10130,K000263710,English,N/A,Typed,Isotype,N/A,N/A,N/A,N/A,"Mission Botanique en coopération avec Herbarium Vadense (WAG) de l'Université d'Agriculture, Wageningen, Pays Bas",The specimen appears to be a moderate-sized single plant specimen mounted on the sheet with no visible soil,
0012_B%2010%200385068.jpg,Museum Botanicum Berolinense,H. Berazaín,"J. Bisse, M. A. Díaz, H. Dietrich, L. González Géigel, J. Gutiérrez, E. Köhler, L. Lepper, U. Rändel, H. Scharaschmidt",(Division): N/A,(The family in which the taxon is classified): N/A,(The genus in which the taxon is classified): Plantago,"(The specific epithet of the scientific name; in binomial nomenclature, the second part of the name): palida","(The infraspecific epithet of the scientific name; in trinomial nomenclature, the third part of the name): N/A",(The authorship information for the scientific name formatted according to the conventions of the applicable nomenclatural code): R. A. Sprague,H. Manitz (2007),N/A,Unsure and check,Plantago eriopoda Torr.,,N/A,09-11-1979,09-11-1979,Cuba,CU,Guantanamo,San Antonio del Sur,N/A,"Abra de Mariana, loma al oeste del barranco","Cordillera de la Cuchirida, Abra de Mariana",Lomerías,N/A,"1,150-1,750 feet",533 meters,350 meters,N/A,N/A,N/A,HFC,30998,N/A,German (translated to English),N/A,Typed,Isotype,N/A,N/A,N/A,"The specimen is stated to be an ""isotype"", which means it is one of several specimens cited by the author when the plant was formally described.",N/A,The herbarium sheet contains multiple plant specimens that are small and appear to be pressed and dried without soil.,
0013_B%2010%200185601.jpg,Gentiana albocensis Franch,M l'Abbé Delavay,N/A,"(Division): Magnoliophyta (unsure about this, please check)",Gentianaceae,Gentiana,albocensis,N/A,Franch,N/A,N/A,Gentiana albocensis Franch,N/A,,N/A,2 avril 1887,02-04-1887,China,CN,Yunnan,N/A,N/A,cult. hautes alpes Mo-so-yen,"Mo-so-yen, high Alps",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0 0185601,"French (original label), English (provided information)",N/A,Handwritten,no type status,N/A,N/A,N/A,"The specimen was identified as Gentiana albocensis Franch. It's collected in Mo-so-yen, which is in the high Alps of the Yunnan Province, China. The verbatim date of collection is April 2, 1887.",N/A,There are multiple small plant specimens mounted on the sheet.,
0014_K000773283.jpg,Herbarium specimen of Orobanche hederae,T. W. Carruthers,N/A,(Division): Magnoliophyta,Orobanchaceae,Orobanche,hederae,N/A,Duby,"(unsure, check)","(unsure, check)",Orobanche hederae Duby,Orobanche Major var multifida,,N/A,"Aug. 9, 1902",09-08-1902,United Kingdom,GB,England,"(unsure, check)",Highgate Hill,"Highgate Hill, climbing",Highgate Hill,Climbing habitat,N/A,"(unsure, check)","(unsure, check)","(unsure, check)",N/A,N/A,N/A,"(unsure, check)",648,"(unsure, check)",English,N/A,,no type status,N/A,N/A,"The presence of flowers is indicated; however, specific conditions such as perianth, or sporophyte are not specified.","Specimen collected by T. W. Carruthers, Loughborough on 9th August 1902",N/A,"Multiple plant specimens of Orobanche hederae are mounted on the sheet. No soil is present. The sample consists of several stems with flowers, looks moderate in size.",
0015_K001207911.jpg,Herbarium Specimen of Pfaffia glabrata,G Hatschbach,N/A,(Division): Tracheophyta,Amaranthaceae,Pfaffia,glabrata,N/A,(Speg.) Sánchez Vega & E.E. Schill.,H.E. Pedersen,1998,Pfaffia glabrata (Speg.) Sánchez Vega & E.E. Schill.,Pfaffia glabrata Segh.,,N/A,19-08-1998,19-08-1998,Brazil,BR,Paraná,N/A,Curitiba,"Rio Iguaçu, prox. baixo do Perdido","Proximities of Baixo do Perdido, Rio Iguaçu","Terreno arenoso, margens do rio",Arenoso (sandy),N/A,N/A,N/A,"S 25º36', W 49º19'",-25.6000,-49.3167,N/A,64504,N/A,Portuguese,N/A,Typed,no type status,"Erva im terreno arenoso, margens de rio.",N/A,N/A,"Leaf, stem, or root material removed for carbon isotope ratio analysis. September 1998 by Ivan Faz, Dept. of Botany, Univ. of Toronto Toronto, Ontario, Canada M5S 3B2",N/A,The plant specimen appears to be a single specimen mounted on a sheet with no soil present. The sample looks moderate in size.,
0016_EIG.435.jpg,"Flora of Ethiopia,","T. Kukkonen,","N/A,","Pteridophyta,","Dryopteridaceae,","Dryopteris,","insignis,","N/A,","(Blume) Kuntze,","J. Sarvela,","1987,","Dryopteris insignis (Blume) Kuntze,","N/A,",,"Festuca sclerophylla,","8.XI.1982,","08-11-1982,","Ethiopia,","ET,","Bale Adm. Reg.,","N/A,","N/A,","Bale Adm. Reg., Saneti plateau and Mount Batu,","On the way to Saneti plateau from Robe. Steep forested slope of a river canyon, e.g. Juniperus procera covered,","Steep forested slope of a river canyon, pastureland,","Ground,","c. 3400-4200 meters,","4200,","3400,","06°55'N 39°40'E,","6.91667,","39.66667,","ETH,","12608,","1489739,","English,","N/A,","Typed,","no type status,","Unsure, check,","N/A,","Spores present,","N/A,",N/A.,"The specimen appears to be a single, moderate-sized fern mounted on a sheet without visible soil,",
0017_B%2010%200069251.jpg,Plants of Sarawak,Kessler,N/A,(Division): Tracheophyta,Euphorbiaceae,Mallotus,paniculatus,N/A,(Lam.) Mull.Arg.,Kessler,16 April 1994,Mallotus paniculatus,N/A,,N/A,21.12.1988,1988-12-21,Malaysia,MY,Sarawak,N/A,N/A,"Sarawak, 1st Division, Base of Gunung Pueh",Base of Gunung Pueh,Secondary vegetation along road,N/A,alt. up to 200 meters,N/A,200 meters,N/A,N/A,N/A,BGBM2003,283,799/2003 - 8,English,N/A,Typed,no type status,N/A,N/A,Fruit greenish brown,"Shrub c. 4 meters tall, stem and lower leaf surface brownish","Joint expedition with Forestry Herbarium, Kuching & Rijksherbarium Leiden",The specimen appears to be a single plant mounted on a sheet; no soil is present; the sample looks moderate in size,
0018_K000931304.jpg,Ancistrotropis peduncularis (Fawcett & Rendle) A. Delgado,E. C. de Oliveira,M. Yok & P. Pinheiro,(Division): Magnoliophyta,Fabaceae,Ancistrotropis,peduncularis,N/A,(Fawcett & Rendle) Delgado,G. P. Lewis,12/2012,Ancistrotropis peduncularis (Fawcett & Rendle) Delgado,"Phaseolus peduncularis, Vigna peduncularis",,N/A,23/VI/2007,23-06-2007,Brazil,BR,Pernambuco,N/A,Municipio de Mirandiba,"Brasil Pernambuco - Municipio de Mirandiba, Serra das Umburanas (afloramento rochoso)",Serra das Umburanas (rocky outcrop),"Caatinga arbustiva, dense, slight open embasement crustalino.",N/A,Alt: 457 meters,N/A,457 meters,08°12'S Long: 38°32',-8.2,-38.53,UFP (Herbarium UFP),44723,K000931304,Portuguese,N/A,Typed,No type status,N/A,N/A,"Tetraploid, Flowers present","Obs: Tetraploid, Flowers present",N/A,The plant specimen appears to be a single moderate-sized specimen mounted on a sheet with separated seed pods displayed alongside. There is no soil present.,
0019_B%2010%200279821.jpg,Plants of Borneo 1958,M Jacobs,N/A,(Division): N/A,Araceae,Piptospatha,grabowskii,N/A,(Engl.) Engl.,N/A,N/A,Unsure and check,Piptospatha havilandii (Engl.) Engl.,,N/A,Aug. 1,01-08-1958,N/A,N/A,Sarawak,N/A,N/A,"1st div., Slopes of Mount Penrissen (S. of Kuching), approx. 1°57'N, 110°15'E","Slopes of Mount Penrissen, south of Kuching",Primary forest on sandstone substratum,Sandstone substratum,ca. 700-900 M,900 meters,700 meters,"approx. 1°57'N, 110°15'E",1.95,110.25,B,5005,15919,English,N/A,Typed,no type status,N/A,N/A,N/A,N/A,N/A,"The plant specimen appears moderate in size, with various leaves and a segment of a larger stem with flowers/spadix attached; multiple plant specimens seem to be mounted on a single sheet; there is no soil present",
0020_E00570050.jpg,Holotype of Mimulus peregrinus,Mario Vallejo-Marin,"M Vallejo, D Lang, D Vallejo, M A Carine, C U Arguello",Streptophyta,Phrymaceae,Mimulus,peregrinus,N/A,M. Vallejo-Marin,Mario Vallejo-Marin,N/A,Mimulus peregrinus M. Vallejo-Marin,N/A,,N/A,22-Jul-2012,22-07-2012,Scotland,GB,N/A,N/A,N/A,"Loch Leven, Kinross",Kinross,Occurring on the banks of a stream on a substrate of sand and silt loam,Sand and silt loam,0-5 meters,5 meters,0 meters,"56°12'N, 03°25'W",56.2000,-3.4167,E00570960,M.V.-M. 14-L.D. seed-2.14,N/A,English,N/A,Typed,Holotype,Species description to be published in PhytoKeys,N/A,"Pollen and seed fertile, Occurring on the banks of a stream on a substrate of sand and silt loam","Handwritten annotation ""11-L.D. seed. 2.14 M. peregrinus collected 23 March 12"" on the label.",N/A,"Includes multiple plant specimens mounted on a sheet. There are roots with attached soil, and the sample is moderate in size.",
0021_K001046329.jpg,Herbarium sheet of Avicennia tomentosa,G. Pabst,N/A,(Division): Magnoliophyta,Acanthaceae,Avicennia,schaueriana,N/A,Stapf & Leechm. ex Moldenke,G. Pabst,23-09-1960,Avicennia schaueriana,Avicennia tomentosa,,N/A,23-9-60,1960-09-23,Brazil,BR,N/A,N/A,Ilha do Governador,"Brasil, Guanabara, Ilha do Governador","Ilha do Governador, Guanabara, Brazil",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2101,K000146329,Portuguese,Label is primarily in Portuguese with some Latin terms,Typed,No type status,Arbus.to pequena árvores de flores brancas (Small shrub or tree with white flowers),N/A,N/A,N/A,N/A,The specimen appears to be a single moderate-sized plant branch mounted on the sheet without visible soil; it includes leaves and what appears to be flower remnants,
0022_K000536956.jpg,Plants of South America,J. Francis Macbride,N/A,(Division): Magnoliophyta,Tocaceae,Tococa,obovata,N/A,(J.F. Macbr.),"T.F. Macbride (Assumed from ""DET."")",Unsure and check,"Unsure, please check",Tococa obovata J.F. Macbr.,,N/A,"Aug. 27-Sept. 1, 1932",27-08-1932/01-09-1932,Peru,PE,Junin,N/A,La Merced,About 4000 feet,Mountain slope,N/A,N/A,about 4000 feet,1219.2 meters (conversion from feet),1219.2 meters,N/A,N/A,N/A,N/A,s234,K000536956,English,N/A,Typed,Isotype,Isotype of Tococa obovata J.F. Macbr.,N/A,N/A,"Expedition of 1929, under the Dept. Marshall Field Fund",Marshall Field Fund,"There appears to be a single mounted plant specimen on the sheet, no soil present, and the sample looks moderate in size.",
0023_B%2010%200030420.jpg,Pseudoxandra sp,P J M Maas,"H Maas, L Kolman",(Division): Magnoliophyta,Annonaceae,Pseudoxandra,spiritu-sancti,N/A,Maas,P.J.M. Maas,2001,Pseudoxandra spiritu-sancti Maas,N/A,,N/A,16 Feb 1999,16-02-1999,Brazil,BR,Espírito Santo,Santa Teresa,N/A,Estação Biológica de Santa Lúcia,Estação Biológica de Santa Lúcia,High forest on Barro Branco Land vegetation with many Palm trees terrestrial and epiphytic Bromeliaceae,N/A,190 to 750 meters,750,190,1905'S 4032'W,-19.083333,-40.533333,U,8833,B 10 0094420,English,N/A,Typed,Isotype,Separate Spirit collection,Unknown,"Young monocarps shiny, green, sepals and petals green",N/A,N/A,"The specimen consists of multiple parts of a plant mounted on the sheet, including leaves and what appear to be fruiting structures ",
0024_B%2010%200375227.jpg,Capparis scabrida Kunth,X. Cornejo,C. Bonitáz,(Division): Magnoliophyta,Capparaceae,Capparis,scabrida,N/A,Kunth,unsure and check,27-10-1997,Capparis scabrida Kunth,N/A,,"C. heterophylla, C. scabrida, C. lanceolata y C. crotonoides",19 JUL 97,19-07-1997,Ecuador,EC,Manabí,N/A,N/A,"Prov. Manabí, Bosque Seco de Cárpuez & 3 km Alrededores de Universidad Católica",Bosque Seco de Cárpuez & 3 kilometers around Universidad Católica,"Tropical dry forest, frequently intervened",N/A,40-45 m,45 meters,40 meters,LATITUD -0.805 & LONGITUD -80.32,-0.805,-80.32,B,5822,B 10 0375227,Spanish,The label contains Spanish language terms which were translated to English.,Typed,Isotype,N/A,N/A,"Flowers greenish with a white to pale yellow (4 mm) corolla; when mature, purple. Vegetative parts with a peduncle.",N/A,N/A,There are multiple plant specimens mounted on a sheet; the sample looks moderate in size.,
0025_B%2010%200030508.jpg,Herbario Nacional de Venezuela (VEN) - Claoxylon subglobosum,Winfried Meier,Silvia Lanzas,(Division): Tracheophyta,Euphorbiaceae,Claoxylon,subglobosum,N/A,Jabl.,P.J.M. Maas & A.J.M. Leeuwenberg,30-08-1993,Claoxylon subglobosum Jabl.,Claoxylon subglobosum (Jabl.) G.L. Webster,,Moilma oicingoides,16-19 de abril 1993,16-04-1993/19-04-1993,Venezuela,VE,Distrito Federal,N/A,N/A,"Distrito Federal, Filas Barillani en selvática","Filas Barillani, en la costa",Selvática,N/A,ca. 500 msnm,N/A,500 meters,08°58'N; 67°01'W,8.9667,-67.0167,VEN,3685,N/A,Spanish,N/A,Handwritten,Isotype,N/A,N/A,N/A,N/A,Centro Excursionista Loyola con la colaboración de Centro Excursionista Angel Feliz Gonzalez (CEMAG),"The specimen appears to be a single plant, including leaves and fruiting structures; the sample appears moderate in size with multiple individual parts mounted on the sheet, and no soil is evident",
0026_K000964719.jpg,Solanaceae Cestrum corymbosum Schlecht,W Hoehne,N/A,Magnoliophyta,Solanaceae,Cestrum,corymbosum,N/A,Schlecht.,Kuhlmann,N/A,Cestrum corymbosum Schlecht.,N/A,,N/A,13.03.03,2003-03-13,Brazil,BR,São Paulo,N/A,Cananeia,"Cananeia, São Paulo, ""...""","Cananeia, São Paulo",N/A,N/A,Alt: -,N/A,N/A,N/A,N/A,N/A,SPF,10228,K000946179,Portuguese,N/A,Handwritten,no type status,N/A,N/A,N/A,N/A,N/A,"The plant specimen appears to be a single specimen mounted on a sheet with no soil visible, looking moderate in size.",
0027_BM000934757.jpg,"Washington's Flora, Klickitat County Solanum triflorum Nutt.",Wilhelm Suksdorf,N/A,(Division): Magnoliophyta,Solanaceae,Solanum,triflorum,N/A,Nutt.,Tiina Särkinen,"2014 (unsure of specific day, month)",Solanum triflorum Nutt.,N/A,,N/A,Aug. 1926,August-1926 (unsure of specific day),United States,US,Washington,Klickitat,N/A,High sandy river-bank at Bingen,Bingen,High sandy river-bank,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Systematic Studies in Solanaceae,12045,BM000503478,English,N/A,,No type status,N/A,N/A,N/A,N/A,Databased for the PBI Solanum project.,"The plant specimen appears to be mounted on a sheet with multiple branches and leaves, with mature fruits present; the specimen looks moderate.",
0028_EIG.5460.jpg,"Egert, Herbarium Americanum",H. Eggert,N/A,(Division): Pteridophyta,Cystopteridaceae,Cystopteris,bulbifera,N/A,(L.) Bernh.,N/A,N/A,Cystopteris bulbifera (L.) Bernh.,Cystopteris bulbifera,,N/A,N/A,N/A,United States,US,Missouri,N/A,Rolla,"Rolla, Missouri, USA",Same as verbatimLocality,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1126455,N/A,N/A,Handwritten,no type status,N/A,N/A,N/A,N/A,N/A,The plant specimen appears moderate in size and mounted on a sheet with roots and soil present.,
0029_EIG.6763.jpg,Museum Botanicum Universitatis Helsinki,Ilkka Kukkonen,N/A,(Division): N/A,N/A,Arthropteris,tenerla,N/A,(Fée) J. Sm.,S. Kuruvila,1992,uncertain (please check appropriate sources),N/A,,N/A,13 Sept. 1981,1981-09-13,Australia,AU,Queensland,N/A,Atherton Tableland,Laminthina rain forests,"Laminthina rain forests, Atherton Tableland",Fern climbing on tree stems,N/A,N/A,N/A,N/A,UTM grid,N/A,N/A,H,11003,H 159150,English,N/A,Typed,no type status,N/A,N/A,N/A,N/A,N/A,"The specimen appears to be a moderate-sized, single plant specimen mounted on a sheet, with no visible soil attached.",
0030_C0090117F.jpg,Herbarium E. & H.T. Lumbsch Number 10566 b,H.T. Lumbsch,N/A,(Division): Ascomycota,(Unable to verify without further research),Acarospora,(Unable to verify without further research),N/A,(Unable to verify without further research),N/A,N/A,Unable to verify without further research,N/A,,N/A,14.7.1994,14-07-1994,United States of America,US,Arizona,Gila County,N/A,"San Carlos Lake, E exposed slopes above dam, just N of Coolidge","San Carlos Lake, slopes above dam near Coolidge",East exposed slopes,Siliceous rocks,N/A,N/A,N/A,"33°11'N, 110°32'W",+33.1833,-110.5333,N/A,10566 b,N/A,English,N/A,Typed,no type status,N/A,N/A,N/A,N/A,N/A,N/A,
0031_C0052970F.jpg,"Lichens of Louisiana,","Shirley Tucker,","N/A,","Division: N/A,","N/A,","N/A,","N/A,","N/A,","N/A,","R.J. Salm,","3 July 2019,","Not verified as no image was provided for the web search. If provided, the search would be performed using authority like Global Biodiversity Information Facility (GBIF) or Tropicos to confirm the accepted name.,","Buellia punctata (Hoffm.) Mass.,",,"Taxodium,","March 17, 1977,","17-03-1977,","United States of America,","US,","Louisiana,","St. Tammany Parish,","N/A,","Fontainebleau State Park, north shore of Lake Pontchartrain,","Fontainebleau State Park, north shore of Lake Pontchartrain,","Common on Taxodium,","N/A,","N/A,","N/A,","N/A,","30°20'N, 90°03'W,","30.3333,","-90.0500,","N/A,","16863,","N/A,","English,","N/A,","Typed,","no type status,","N/A,","N/A,","N/A,","N/A,",N/A,"Multiple plant specimens mounted on a sheet cannot be determined from the label,",
