record_ref,fieldname,observed_val,true_val,is this field,,,,
https://fm-digital-assets.fieldmuseum.org/2303/633/C0268557F.jpg,secondPoliticalUnit,Star Mts.,N/A,0,,,,
https://fm-digital-assets.fieldmuseum.org/2303/633/C0268557F.jpg,municipality,Busilmin,N/A,0,,,,
https://fm-digital-assets.fieldmuseum.org/2303/633/C0268557F.jpg,verbatimLocality,Wet forest on slope above Ok Din river W of Busilmin on trees along Ok Din River,"Papua New Guinea, West Sepik Distr., Star Mts., Busilmin. slope above Ok Din river W of Busilmin",1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/633/C0268557F.jpg,locality,Wet forest on slope above Ok Din river west of Busilmin on trees along Ok Din River,"Slope above Ok Din River, west of Busilmin",1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/633/C0268557F.jpg,habitat,Wet forest on slope above Ok Din river on trees along Ok Din River,Wet forest along river,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/633/C0268557F.jpg,verbatimCoordinates,c. 5°41'S 141°05'E,c. 5° S 141°05'E,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/635/C0268558F.jpg,verbatimCollectors,N/A,A. Touw,0,,,,
https://fm-digital-assets.fieldmuseum.org/2303/635/C0268558F.jpg,collectedBy,N/A,A. Touw,0,,,,
https://fm-digital-assets.fieldmuseum.org/2303/635/C0268558F.jpg,secondPoliticalUnit,Star Mts.,N/A,0,,,,
https://fm-digital-assets.fieldmuseum.org/2303/635/C0268558F.jpg,verbatimLocality,NE summit of Mt. Capella; on stems and branches of trees and shrubs in summit scrub.,"Papua New Guinea, West Sepik Distr., Star Mts., NE summit of Mt. Capella",1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/635/C0268558F.jpg,locality,NE summit of Mount Capella,"Star Mountains, northeast summit of Mount Capella",1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/635/C0268558F.jpg,habitat,On stems and branches of trees and shrubs in summit scrub.,Scrub,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/635/C0268558F.jpg,verbatimCoordinates,c. 5°14'S 141°05'E,c. 5° S 141°05'E,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/637/C0268559F.jpg,verbatimCollectors,A. Town,A. Touw,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/637/C0268559F.jpg,collectedBy,A. Town,A. Touw,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/637/C0268559F.jpg,verbatimLocality,Mt. Capella Base Camp Limestone ridge near camp,"Papua New Guinea, West Sepik Distr., Star Mts., Mt. Capella Base Camp",1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/637/C0268559F.jpg,locality,Mt. Capella Base Camp Limestone ridge near camp,"Star Mountains, Mount Capella Base Camp",1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/637/C0268559F.jpg,habitat,c. 4-5 m high stunted forest on ridge on trees and shrubs,"Limestone ridge near camp, high stunted forest",1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/637/C0268559F.jpg,verbatimCoordinates,c. 5° S 141° 05' E,c. 5° S 141°05'E,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/639/C0268560F.jpg,verbatimLocality,"Star Mts. c. 5°14'05"" NE Summit of Mt. Capella. Summit of ridge between Mt. Capella Base Camp and Mt. Capella ridge; on isolated tree.","Papua New Guinea, West Sepik Distr., Star Mts., NE summit of Mt. Capella. Summit of ridge between Mt. Capella Base Camp and Mt. Capella ridge",1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/639/C0268560F.jpg,locality,Star Mountains northeast summit of Mount Capella. Summit of ridge between Mount Capella Base Camp and Mount Capella ridge; on isolated tree.,"Star Mountains, northeast summit of Mount Capella, between Mount Capella Base Camp and Mount Capella ridge",1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/639/C0268560F.jpg,habitat,N/A,Summit of ridge,0,,,,
https://fm-digital-assets.fieldmuseum.org/2303/639/C0268560F.jpg,verbatimCoordinates,"c. 5°14'05"" NE",c. 5° S 141°05'E,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/641/C0268561F.jpg,verbatimLocality,Star Mts. c. 5°S 141°05'E Mt. Capella NE summit,"Papua New Guinea, West Sepik Distr., Star Mts., Mt. Capella NE summit",1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/641/C0268561F.jpg,locality,Star Mountains approximately 5 degrees South 141 degrees 05 minutes East Mount Capella Northeast summit,"Star Mountains, northeast summit of Mount Capella",1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/641/C0268561F.jpg,habitat,Forest remnant in deep chasm near the summit on soaking wet bark of trees,Forest remnant in deep chasm near the summit,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/641/C0268561F.jpg,verbatimCoordinates,c. 5°S 141°05'E,c. 5° S 141°05'E,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/643/C0268562F.jpg,verbatimCollectors,A. Town No. 17205,A. Touw,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/643/C0268562F.jpg,collectedBy,A. Town,A. Touw,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/643/C0268562F.jpg,secondPoliticalUnit,Star Mts.,N/A,0,,,,
https://fm-digital-assets.fieldmuseum.org/2303/643/C0268562F.jpg,verbatimLocality,Near Mt. Capella Base Camp along trail to Tamanagabip open subalpine scrub At base of limestone rock faces,"Papua New Guinea, West Sepik Distr., Star Mts., Near Mt. Capella Base Camp, along trail to Tamanagabip",1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/643/C0268562F.jpg,locality,Near Mt. Capella Base Camp along trail to Tamanagabip,"Star Mountains, near Mount Capella Base Camp, along trail to Tamanagabip",1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/643/C0268562F.jpg,habitat,Open subalpine scrub At base of limestone rock faces,"Open sub-alpine scrub, at base of limestone rock faces",1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/643/C0268562F.jpg,verbatimElevation,c. 3450 m.,c. 3450 m,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/643/C0268562F.jpg,verbatimCoordinates,c. 5°41'05''E,c. 5° S 141°05'E,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/645/C0268563F.jpg,verbatimCollectors,A. Town,A. Touw,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/645/C0268563F.jpg,collectedBy,A. Town,A. Touw,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/645/C0268563F.jpg,verbatimLocality,Star Mts. c. 5°S 141°05'E Upper montane forest between Folongonom and Arits' Camp,"Papua New Guinea, West Sepik Distr., Star Mts., between Folongonom and Artis' Camp",1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/645/C0268563F.jpg,locality,Star Mountains Upper montane forest between Folongonom and Arits' Camp,"Star Mountains, between Folongonom and Artis' Camp",1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/645/C0268563F.jpg,habitat,Pendulous from heavy tree branches and slanting trunks,Upper montane forest,0,,,,
https://fm-digital-assets.fieldmuseum.org/2303/645/C0268563F.jpg,verbatimElevation,c. 2500 - 2600 m.,c. 2500 - 2600 m,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/645/C0268563F.jpg,verbatimCoordinates,c. 5°S 141°05'E,c. 5° S 141°05'E,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/647/C0268564F.jpg,secondPoliticalUnit,Star Mts.,N/A,0,,,,
https://fm-digital-assets.fieldmuseum.org/2303/647/C0268564F.jpg,verbatimLocality,Small kuni (grassfield) SW of Mt. Capella Base Camp; on vertical face of moss covered limestone boulder at edge of kuni,"Papua New Guinea, West Sepik Distr., Star Mts., SW of Mt. capella Base Camp",0,,,,
https://fm-digital-assets.fieldmuseum.org/2303/647/C0268564F.jpg,locality,Small kuni (grassfield) southwest of Mount Capella Base Camp; on vertical face of moss covered limestone boulder at edge of kuni,"Star Mountains, southwest of Mount Capella Base Camp",0,,,,
https://fm-digital-assets.fieldmuseum.org/2303/647/C0268564F.jpg,habitat,N/A,"Small kuni (grassfield), on vertical face of moss covered limestone boulder at edge of kuni ",0,,,,
https://fm-digital-assets.fieldmuseum.org/2303/647/C0268564F.jpg,verbatimCoordinates,c. 5°41'S 141°0'E,c. 5° S 141°05'E,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/649/C0268565F.jpg,verbatimLocality,Star Mts. c. 5° 41' S 141° 07' E Tel Basin; Ridge above Camp 2,"Papua New Guinea, West Sepik Distr., Star Mts., Tel Basin; Ridge above Camp",1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/649/C0268565F.jpg,locality,Star Mountains Tel Basin Ridge above Camp 2,"Star Mountains, Tel Basin, ridge above camp",1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/649/C0268565F.jpg,habitat,"Terrestrial in open shrubbery on ridge. Dense moss vegetation covering soil, rocks and the lower portion of shrubs. Dominant.","Terrestrial in open shrubbery on ridge, dense moss vegetation covering soil, rocks, and the lower portion of shrubs",1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/649/C0268565F.jpg,verbatimCoordinates,c. 5° 41' S 141° 07' E,c. 5° S 141°05'E,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/651/C0268566F.jpg,verbatimCollectors,leg. S. Hattori,S. Hattori,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/651/C0268566F.jpg,recordNumber,s.n.,20,0,,,,
https://fm-digital-assets.fieldmuseum.org/2303/651/C0268566F.jpg,verbatimEventDate,VIII. 1946,VIII.1946,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/651/C0268566F.jpg,verbatimDateIdentified,Ser. I (1947),N/A,0,,,,
https://fm-digital-assets.fieldmuseum.org/2303/651/C0268566F.jpg,secondPoliticalUnit,Minaminaka,N/A,0,,,,
https://fm-digital-assets.fieldmuseum.org/2303/651/C0268566F.jpg,municipality,Obi,N/A,0,,,,
https://fm-digital-assets.fieldmuseum.org/2303/651/C0268566F.jpg,verbatimLocality,KIUSHIU Miyazaki Minaminaka Obi,"Kiushiu, Miyazaki, Minaminaka, Obi",1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/651/C0268566F.jpg,locality,Obi,"Kyushu Island | Mimaninaka District, Obi",1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/651/C0268566F.jpg,habitat,rupicolous photophilous ca 50 m,N/A,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/651/C0268566F.jpg,otherCatalogNumbers,4235066,1285006,0,,,,
https://fm-digital-assets.fieldmuseum.org/2303/658/C0268569F.jpg,verbatimCollectors,Coll. K. Mayebara,K. Mayebara,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/658/C0268569F.jpg,recordNumber,s.n.,431,0,,,,
https://fm-digital-assets.fieldmuseum.org/2303/658/C0268569F.jpg,municipality,Yoshio,N/A,0,,,,
https://fm-digital-assets.fieldmuseum.org/2303/658/C0268569F.jpg,verbatimLocality,On exposed rocks 60 m. above sea Yoshio Kumamoto Prefecture,"Yoshio, Kumamoto Prefecture",1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/658/C0268569F.jpg,locality,On exposed rocks 60 meters above sea Yoshio,Yoshio,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/658/C0268569F.jpg,verbatimElevation,60 m. above sea,60 m above sea,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/661/C0268571F.jpg,verbatimCollectors,Coll. A. Mayebara,K. Mayebara,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/661/C0268571F.jpg,collectedBy,A. Mayebara,K. Mayebara,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/661/C0268571F.jpg,municipality,Koonose,N/A,0,,,,
https://fm-digital-assets.fieldmuseum.org/2303/661/C0268571F.jpg,verbatimLocality,On rocks ca. 100 m. above sea Koonose Kumamoto Prefecture,"Koonose, Kumamoto Prefecture",1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/661/C0268571F.jpg,locality,On rocks approximately 100 meters above sea level Koonose,Koonose,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/661/C0268571F.jpg,habitat,On rocks,N/A,0,,,,
https://fm-digital-assets.fieldmuseum.org/2303/663/C0268572F.jpg,verbatimCollectors,K. Mayahara,K. Mayebara,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/663/C0268572F.jpg,collectedBy,K. Mayahara,K. Mayebara,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/663/C0268572F.jpg,recordNumber,s.n.,322,0,,,,
https://fm-digital-assets.fieldmuseum.org/2303/663/C0268572F.jpg,verbatimIdentification,Macromitrium gymnostomum Sull. & Lesq.,Macromitrium gymnostomum Sull. et Lesq.,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/663/C0268572F.jpg,verbatimLocality,On rocks ca. 100m. alt. Hitoyoshi Kumamoto County,"Hitoyoshi, Kumamoto County",1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/663/C0268572F.jpg,locality,On rocks approximately 100 meters altitude,[precise locality unknown],0,,,,
https://fm-digital-assets.fieldmuseum.org/2303/663/C0268572F.jpg,verbatimElevation,ca. 100m. alt.,ca. 100m,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/668/C0268574F.jpg,verbatimCollectors,H. H. Cow,H. H. Chung,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/668/C0268574F.jpg,collectedBy,H. H. Cow,H. H. Chung,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/668/C0268574F.jpg,verbatimIdentification,Macromitrium gymnostomum S. & L.,Macromitrium gymnostomum S.& L.,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/668/C0268574F.jpg,identifiedBy,Theriot,N/A,0,,,,
https://fm-digital-assets.fieldmuseum.org/2303/668/C0268574F.jpg,firstPoliticalUnit,Fujian,Fukien,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/668/C0268574F.jpg,habitat,"On rock, shaded",N/A,0,,,,
https://fm-digital-assets.fieldmuseum.org/2303/668/C0268574F.jpg,verbatimElevation,500 m.,500 m,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/668/C0268574F.jpg,otherCatalogNumbers,N/A,1122634,0,,,,
https://fm-digital-assets.fieldmuseum.org/2303/669/C0268575F.jpg,verbatimEventDate,2-May-28,2-May-25,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/669/C0268575F.jpg,minimumEventDate,5/2/1928,5/2/1925,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/669/C0268575F.jpg,identifiedBy,Theriot,E. C. Thériot,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/669/C0268575F.jpg,firstPoliticalUnit,Fujian,Fukien,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/669/C0268575F.jpg,verbatimLocality,On rock in bamboo forest,Chuanchow,0,,,,
https://fm-digital-assets.fieldmuseum.org/2303/669/C0268575F.jpg,locality,On rock in bamboo forest,Chuanchow,0,,,,
https://fm-digital-assets.fieldmuseum.org/2303/676/C0268579F.jpg,verbatimIdentification,Macromitrium longicaule C. Mull.,Macromitrium longicaule C. Müll.,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/676/C0268579F.jpg,associatedTaxa,Pandanus,N/A,0,,,,
https://fm-digital-assets.fieldmuseum.org/2303/676/C0268579F.jpg,verbatimLocality,Lake Wamba 5 km S of Teptep airstrip Rather open montane forest with dominating Pandanus trees 1 km S of lake,"Papua New Guinea. Morobe Prov.: Lake Wamba 5 km S of Teptep aristrip, 1 km S of lake",1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/676/C0268579F.jpg,locality,Lake Wamba 5 kilometers south of Teptep airstrip 1 kilometer south of lake,"Lake Wamba, 5 kilometers south of Teptep airstrip, 1 kilometer south of lake",1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/676/C0268579F.jpg,habitat,Rather open montane forest with dominating Pandanus trees,Open montane forest with pandanus trees,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/676/C0268579F.jpg,verbatimCoordinates,6°01'S 146°33'E,"6°01'S, 146°33'E",1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/680/C0268581F.jpg,verbatimCollectors,H. H. Chow,H. H. Chung,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/680/C0268581F.jpg,collectedBy,H. H. Chow,H. H. Chung,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/680/C0268581F.jpg,recordNumber,B.4.,B.4,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/680/C0268581F.jpg,verbatimEventDate,Mar-28,"March, 1925",1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/680/C0268581F.jpg,minimumEventDate,1928-03-00,1925-03-00,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/680/C0268581F.jpg,verbatimIdentification,Macromitrium japonicum (Dz. & Mb.) C. M.,Macromitrium japonicum (Dz.& Mk.) C.M. ,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/680/C0268581F.jpg,firstPoliticalUnit,Fujian,Fukien,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/680/C0268581F.jpg,verbatimLocality,"Nampota, Amoy","Namputo, Amoy",1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/680/C0268581F.jpg,locality,"Nampota, Amoy",Amoy Island | Namputo,1,,,,
https://fm-digital-assets.fieldmuseum.org/2303/680/C0268581F.jpg,habitat,On shady rocks or bark,N/A,0,,,,
