Dataset Source,accessURI,Label only?,modifiedBy,verifiedBy,catalogNumber,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,substrate,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2303/629/C0268554F.jpg,,lk,,C0268554F,A. Touw,A. Touw,N/A,14660,9-3-1975,1975-03-09,N/A,Macromitrium incurvifolium (Hook. & Grev.) Schwaegr.,Macromitrium incurvifolium,D. H. Vitt,N/A,N/A,Papua New Guinea,Morobe,N/A,Lae,"Papua New Guinea, Morobe Distr., Lae",[precise locality unknown],Garden,tree,c. 20 m,N/A,1142151,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2303/633/C0268557F.jpg,,lk,,C0268557F,A. Touw,A. Touw,N/A,18543,20.5.1975,1975-05-20,N/A,Macromitrium longicaule C. Müll.,Macromitrium longicaule,D. H. Vitt,N/A,N/A,Papua New Guinea,West Sepik,N/A,N/A,"Papua New Guinea, West Sepik Distr., Star Mts., Busilmin. slope above Ok Din river W of Busilmin","Slope above Ok Din River, west of Busilmin",Wet forest along river,tree,c. 1500 - 1550 m,c. 5° S 141°05'E,1141855,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2303/635/C0268558F.jpg,,lk,,C0268558F,A. Touw,A. Touw,N/A,17369,8.5.1975,1975-05-08,N/A,Macromitrium macrosporum Broth.,Macromitrium macrosporum,D. H. Vitt,N/A,N/A,Papua New Guinea,West Sepik,N/A,N/A,"Papua New Guinea, West Sepik Distr., Star Mts., NE summit of Mt. Capella","Star Mountains, northeast summit of Mount Capella",Scrub,branch,c. 3900 m,c. 5° S 141°05'E,1142194,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2303/637/C0268559F.jpg,,lk,,C0268559F,A. Touw,A. Touw,N/A,16376,17.4.1975,1975-04-17,N/A,Macromitrium macrosporum Broth.,Macromitrium macrosporum,D. H. Vitt,N/A,N/A,Papua New Guinea,West Sepik,N/A,N/A,"Papua New Guinea, West Sepik Distr., Star Mts., Mt. Capella Base Camp","Star Mountains, Mount Capella Base Camp","Limestone ridge near camp, high stunted forest","tree, shrub",c. 3600 m,c. 5° S 141°05'E,1142178,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2303/639/C0268560F.jpg,,lk,,C0268560F,A. Touw,A. Touw,N/A,17312,8.5.1975,1975-05-08,N/A,Macromitrium macrosporum Broth.,Macromitrium macrosporum,D. H. Vitt,N/A,N/A,Papua New Guinea,West Sepik,N/A,N/A,"Papua New Guinea, West Sepik Distr., Star Mts., NE summit of Mt. Capella. Summit of ridge between Mt. Capella Base Camp and Mt. Capella ridge","Star Mountains, northeast summit of Mount Capella, between Mount Capella Base Camp and Mount Capella ridge",Summit of ridge,tree,c. 3650 m,c. 5° S 141°05'E,1142156,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2303/641/C0268561F.jpg,,lk,,C0268561F,A. Touw,A. Touw,N/A,16420,19.4.1975,1975-04-19,N/A,Macromitrium macrosporum Broth.,Macromitrium macrosporum,D. H. Vitt,N/A,N/A,Papua New Guinea,West Sepik,N/A,N/A,"Papua New Guinea, West Sepik Distr., Star Mts., Mt. Capella NE summit","Star Mountains, northeast summit of Mount Capella",Forest remnant in deep chasm near the summit,bark,c. 3900 m,c. 5° S 141°05'E,1142175,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2303/643/C0268562F.jpg,,lk,,C0268562F,A. Touw,A. Touw,N/A,17205,5.5.1975,1975-05-05,N/A,Macromitrium macrosporum Broth.,Macromitrium macrosporum,D. H. Vitt,N/A,N/A,Papua New Guinea,West Sepik,N/A,N/A,"Papua New Guinea, West Sepik Distr., Star Mts., Near Mt. Capella Base Camp, along trail to Tamanagabip","Star Mountains, near Mount Capella Base Camp, along trail to Tamanagabip","Open sub-alpine scrub, at base of limestone rock faces",rock,c. 3450 m,c. 5° S 141°05'E,1141880,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2303/645/C0268563F.jpg,,lk,,C0268563F,A. Touw,A. Touw,N/A,18046,14.5.1975,1975-05-14,N/A,Macromitrium megalocladon Fleisch.,Macromitrium megalocladon,D. H. Vitt,N/A,N/A,Papua New Guinea,West Sepik,N/A,N/A,"Papua New Guinea, West Sepik Distr., Star Mts., between Folongonom and Artis' Camp","Star Mountains, between Folongonom and Artis' Camp",Upper montane forest,"branch, trunk",c. 2500 - 2600 m,c. 5° S 141°05'E,1142187,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2303/647/C0268564F.jpg,,lk,,C0268564F,A. Touw,A. Touw,N/A,16555,21.4.1975,1975-04-21,N/A,Macromitrium megalocladon Fleisch.,Macromitrium megalocladon,D. H. Vitt,N/A,N/A,Papua New Guinea,West Sepik,N/A,N/A,"Papua New Guinea, West Sepik Distr., Star Mts., SW of Mt. capella Base Camp","Star Mountains, southwest of Mount Capella Base Camp","Small kuni (grassfield), on vertical face of moss covered limestone boulder at edge of kuni ",rock,c. 3400 m,c. 5° S 141°05'E,1142432,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2303/649/C0268565F.jpg,,lk,,C0268565F,A. Touw,A. Touw,N/A,15768,7.4.1975,1975-04-07,N/A,Macromitrium megalocladon Fleisch.,Macromitrium megalocladon,D. H. Vitt,N/A,N/A,Papua New Guinea,West Sepik,N/A,N/A,"Papua New Guinea, West Sepik Distr., Star Mts., Tel Basin; Ridge above Camp","Star Mountains, Tel Basin, ridge above camp","Terrestrial in open shrubbery on ridge, dense moss vegetation covering soil, rocks, and the lower portion of shrubs","soil, rock",c. 3350 m,c. 5° S 141°05'E,1142300,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2303/651/C0268566F.jpg,,lk,,C0268566F,S. Hattori,S. Hattori,N/A,20,VIII.1946,1946-08-00,N/A,Macromitrium incurvum (Lindb.) Par.,Macromitrium incurvum,A. Noguchi,N/A,N/A,Japan,Miyazaki,N/A,N/A,"Kiushiu, Miyazaki, Minaminaka, Obi","Kyushu Island | Mimaninaka District, Obi",N/A,rock,ca 50 m,N/A,1285006,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2303/658/C0268569F.jpg,,lk,,C0268569F,K. Mayebara,K. Mayebara,N/A,431,"December 25, 1951",1951-12-25,N/A,Macromitrium incurvum (Lindb.) Par.,Macromitrium incurvum,A. Noguchi,N/A,N/A,Japan,Kumamoto,N/A,N/A,"Yoshio, Kumamoto Prefecture",Yoshio,N/A,rock,60 m above sea,N/A,1043529,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2303/661/C0268571F.jpg,,lk,,C0268571F,K. Mayebara,K. Mayebara,N/A,430,"February 11, 1952",1952-02-11,N/A,Macromitrium gymnostomum Sull. et Lesq.,Macromitrium gymnostomum,A. Noguchi,N/A,N/A,Japan,Kumamoto,N/A,N/A,"Koonose, Kumamoto Prefecture",Koonose,N/A,rock,ca. 100 m. above sea,N/A,1043490,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2303/663/C0268572F.jpg,,lk,,C0268572F,K. Mayebara,K. Mayebara,N/A,322,March 1952,1952-03-00,N/A,Macromitrium gymnostomum Sull. et Lesq.,Macromitrium gymnostomum,A. Noguchi,N/A,N/A,Japan,Kumamoto,N/A,Hitoyoshi,"Hitoyoshi, Kumamoto County",[precise locality unknown],N/A,rock,ca. 100m,N/A,1043493,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2303/668/C0268574F.jpg,,lk,,C0268574F,H. H. Chung,H. H. Chung,N/A,B.206,"August, 1925",1925-08-00,N/A,Macromitrium gymnostomum S.& L.,Macromitrium gymnostomum,N/A,N/A,N/A,China,Fukien,N/A,N/A,Kushan near Foochow,Kushan near Foochow,N/A,rock,500 m,N/A,1122634,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2303/669/C0268575F.jpg,,lk,,C0268575F,H. H. Chung,H. H. Chung,N/A,B.20,"May 2, 1925",1925-05-02,N/A,Macromitrium gymnostomum Sull.,Macromitrium gymnostomum,E. C. Thériot,N/A,N/A,China,Fukien,N/A,N/A,Chuanchow,Chuanchow,Bamboo forest,rock,N/A,N/A,1122721,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2303/676/C0268579F.jpg,,lk,,C0268579F,Timo Koponen,T. Koponen,N/A,33590,23 July 1981,1981-07-23,N/A,Macromitrium longicaule C. Müll.,Macromitrium longicaule,D. H. Vitt,1989,N/A,Papua New Guinea,Morobe,N/A,N/A,"Papua New Guinea. Morobe Prov.: Lake Wamba 5 km S of Teptep aristrip, 1 km S of lake","Lake Wamba, 5 kilometers south of Teptep airstrip, 1 kilometer south of lake",Open montane forest with pandanus trees,stump,2400 m,"6°01'S, 146°33'E",1142665,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2303/680/C0268581F.jpg,,lk,,C0268581F,H. H. Chung,H. H. Chung,N/A,B.4,"March, 1925",1925-03-00,N/A,Macromitrium japonicum (Dz.& Mk.) C.M. ,Macromitrium japonicum,N/A,N/A,N/A,China,Fukien,N/A,N/A,"Namputo, Amoy",Amoy Island | Namputo,N/A,"rock, bark",N/A,N/A,1122615,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2303/687/C0268585F.jpg,,lk,,C0268585F,Timo Koponen,T. Koponen,N/A,32571,9 July 1981,1981-07-09,N/A,Macromitrium macrosporum Broth.,Macromitrium macrosporum,D. H. Vitt,1989,N/A,Papua New Guinea,Morobe,N/A,N/A,"Papua New Guinea. Morobe Prov.: Mt. Sarawaket Southern Range 2.5 km S of L. Gwam, at L. Kenzoroh E of Mt. Enggum","Mount Sarawaket, southern range, 2.5 kilometers south of Lake Gwam, at Lake Kenzoroh, east of Mount Enggum",Open alpine grassland and subalpine forest,bush,3550 m,"6°21'S, 147°07'E",1142666,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2303/691/C0268587F.jpg,,lk,,C0268587F,M.Mizutani and I.Yoshimura,M. Mizutani,I. Yoshimura,1379,"Jan. 23,1975",1975-01-23,N/A,Macromitrium gymnostomum Sull. et Lesq.,Macromitrium gymnostomum,Z. Iwatsuki,N/A,N/A,Japan,N/A,N/A,N/A,"Ryukyu: Isl. Iriomote, Sonai",Ryukyu Islands | Iriomote Island | Sonai,N/A,tree trunk,1-10 m,N/A,1049048,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2303/693/C0268588F.jpg,,lk,,C0268588F,K. Sakurai,K. Sakurai,N/A,141,X.1932,1932-10-00,N/A,Macromitrium incurvum (Lindb.) Paris,Macromitrium incurvum,K. Sakurai,N/A,N/A,Japan,Musashi,N/A,N/A,"Japonia, Honshiu, Musashi, prope fauces d. Kobotoke",Honshiu Island | Prope fauces de Kobotoke,Mountain slope,rock,N/A,N/A,1356480,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2303/695/C0268589F.jpg,,lk,,C0268589F,K. Saito,K. Saito,N/A,639,"April 3, 1970",1970-04-03,N/A,Macromitrium gymnostomum Sull. et Lesq.,Macromitrium gymnostomum,A. Noguchi,N/A,N/A,Japan,Kagoshima,N/A,N/A,"Japan: Sumiyo-mura, Isl. Amami-ohshima, Kagowhima Pref.",Amami Oshima Island | Sumiyomura,N/A,rock,about 120 m,N/A,1051109,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2302/601/C0268725F.jpg,,lk,,C0268725F,V. et P. Allorge,V. Allorge,P. Allorge,133,14.VI.1937,1937-06-14,N/A,Pogonatum urnigerum(Hedw.)P.B.,Pogonatum urnigerum,N/A,N/A,N/A,Portugal,N/A,N/A,N/A,Salto do Cavalo S. Miguel,"Azores | São Miguel, Salto do Cavalo",N/A,N/A,vers 700 m,N/A,1181624,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2307/796/C0341037F.jpg,,lk,,C0341037F,Marko Lewis,M. Lewis,N/A,83-224,20 Jan 1983,1983-01-20,N/A,Philonotis,Philonotis,N/A,N/A,N/A,Bolivia,La Paz,Larecaja,N/A,"Depto. La Paz Prov. Larecaja: 'Tacacoma 3' Between 5-6 km S of Tacacoma along road to Quiabaya, 16-17 km N of Sorata","Between 5-6 kilometers south of Tacacoma along road to Quiabaya, 16-17 kilometers north of Sorata","Super humid Ceja de Montaña forests following raviens, in small rill in dripping area of small waterfall",N/A,ca. 3550 m,"15°36'S, 68°39'W",1100485,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2307/797/C0341038F.jpg,,lk,,C0341038F,Marko Lewis,M. Lewis,N/A,79-1314,29 March 1979,1979-03-29,N/A,Philonotis fide Crum,Philonotis,N/A,N/A,N/A,Bolivia,La Paz,Larecaja,N/A,"Depto. La Paz, Prov. Larecaja: Along road 1 mi. from Sorata towards Achacachi",Along road 1 mile from Sorata towards Achacachi,Eroding bank,N/A,2740 m,"15° 45' S., 68° 42' W",1078795,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2307/798/C0341040F.jpg,,lk,,C0341040F,Marko Lewis,M. Lewis,N/A,79-2315,1 June 1979,1979-06-01,N/A,Philonotis,Philonotis,N/A,N/A,N/A,Bolivia,Cochabamba,Chaparé,N/A,"Depto. Cochabamba, Prov. Chaparé: Slope of Cerro Khachi, N. of Corani","Slope of Cerro Khachi, north of Corani",On stones and banks of seepy creek in cloud forest ravine with tree ferns,"rock, soil",3030 m,"17° 11' S., 65° 54' W",1078769,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2307/803/C0341047F.jpg,,lk,,C0341047F,Miss W. M. A. Booke,W. M. A. Brooke,N/A,6867,13 Oct.1950,1950-10-13,N/A,Philonotis,Philonotis,N/A,N/A,N/A,Bolivia,N/A,N/A,N/A,Unduavi,Unduavi,N/A,N/A,10000 ft,N/A,1013011,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2307/804/C0341048F.jpg,,lk,,C0341048F,Miss W. M. A. Booke,W. M. A. Brooke,N/A,6865,13 Oct.1950,1950-10-13,N/A,Philonotis,Philonotis,N/A,N/A,N/A,Bolivia,N/A,N/A,N/A,Unduavi,Unduavi,N/A,N/A,10000 ft,N/A,1013012,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2307/806/C0341051F.jpg,,lk,,C0341051F,Marko Lewis,M. Lewis,N/A,79-2315,1 June 1979,1979-06-01,N/A,Philonotis,Philonotis,N/A,N/A,N/A,Bolivia,Cochabamba,Chaparé,N/A,"Depto. Cochabamba, Prov. Chaparé: Slope of Cerro Khachi, N. of Corani","Slope of Cerro Khachi, north of Corani",On stones and banks of seepy creek in cloud forest ravine with tree ferns,"rock, soil",3030 m,"17° 11' S., 65° 54' W",1050327,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2307/879/C0341117F.jpg,,lk,,C0341117F,P+E. Hegewald,P. Hegewald,E. Hegewald,6989,31.8.1973,1973-08-31,N/A,Philonotis sphaerrocarpa (Hedw.) Brid.,Philonotis sphaerocarpa,D. Griffin III,N/A,N/A,Peru,Amazonas,Chachapoyas,N/A,Las Palmas zw. Balsas u. Leimebamba,"Las Palmas, zwischen Balsas und Leimebamba",N/A,N/A,±3000 m,N/A,1061647,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2307/513/C0341152F.jpg,,lk,,C0341152F,"Frank D. Bowers, Claudio Delgadillo M., and Paul Somers,Jr.",F. D. Bowers,"C. Delgadillo M. | P. Somers, Jr.",5166,25 December 1973,1973-12-25,N/A,Braunia secunda (Hook.) B.S.G.,Braunia andrieuxii,E. De Luna,1992,N/A,Mexico,Baja California Sur,N/A,N/A,Terr.Baja California Sur : Sierra de Laguna. 15 miles east of Todos Santos,"Sierra de Laguna, 15 miles east of Todos Santos",Oak-pine and grassland with dry and flowing streams,rock,ca. 6300 ft,N/A,1045263,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2307/538/C0341164F.jpg,,lk,,C0341164F,"A.J. and E.B. Sharp, E.C. Clebsch, K.R. Thornburgh",A. J. Sharp,E. B. Sharp | E. C. Clebsch | K. R. Thornburgh,2281,"June 23, 1973",1973-06-23,N/A,Braunia secunda (Hook.) B.S.G.,Braunia andrieuxii,E. De Luna,1992,N/A,Mexico,Oaxaca,N/A,N/A,"Near El Punto on Hwy. 175, Oaxaca; Mexico",Near El Punto on Highway 175,"Partial shade, moist, road side cliff",N/A,±1625 m,N/A,1045248,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2307/547/C0341169F.jpg,,lk,,C0341169F,"A.J. and E.B. Sharp, E.C. Clebsch, K.R. Thornburgh",A. J. Sharp,E. B. Sharp | E. C. Clebsch | K. R. Thornburgh,2736,"July 4, 1973",1973-07-04,N/A,Braunia secunda (Hook.) B.S.G.,Braunia andrieuxii,E. De Luna,1992,N/A,Mexico,Jalisco,N/A,N/A,"El Mirador on Hwy. 80, 9 miles above San Martín Hidalgo, Jalisco; Mexico","El Mirador on Highway 80, 9 miles above San Martín Hidalgo","Partial shade, moist, vert. surface of boulder",rock,±1750 m,N/A,1045251,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2307/568/C0341179F.jpg,,lk,,C0341179F,C. G. Pringle,C. G. Pringle,N/A,10619,"30, Sept., 1908",1908-09-30,N/A,"Braunia Andrieuxii, Lorentz",Braunia andrieuxii,E. De Luna,1992,N/A,Mexico,Jalisco,N/A,N/A,Near Guadalajara,Near Guadalajara,N/A,rock,"5,000 ft",N/A,1172142,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2307/570/C0341180F.jpg,,lk,,C0341180F,C. G. Pringle,C. G. Pringle,N/A,10627,"17, Sept., 1908",1908-09-17,N/A,"Braunia plicata, Mitt., var. canescens, Card. n. var.",Braunia andrieuxii,E. De Luna,1992,N/A,Mexico,Hidalgo,N/A,N/A,Cuyamaloya,Cuyamaloya,N/A,N/A,N/A,N/A,1045265,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2307/619/C0341205F.jpg,,lk,,C0341205F,Eggers & Frahm,H. F. A. Eggers,J. P. Frahm,s.n.,23.2.79,1979-02-23,N/A,Braunia secunda (Hook.)B.S.G.,Braunia secunda,E. De Luna,1992,N/A,Mexico,Vera Cruz,N/A,N/A,"Mexico: Edo. Vera Cruz, Sierra Madre an der Str.F55 zw. Perote + Jalapa","Sierra Madre, an der Straße F55 zwischen Perote und Jalapas",Kiefern-Eichenw,N/A,2300 m,N/A,1031423,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2307/621/C0341207F.jpg,,lk,,C0341207F,"Frank D. Bowers, Claudio Delgadillo M., and Paul Somers, Jr.",F. D. Bowers,"C. Delgadillo M. | P. Somers, Jr.",5067,30 December 1973,1973-12-30,N/A,Braunia secunda (Hook.) B.S.G.,Braunia secunda,A. J. Sharp,N/A,N/A,Mexico,Durango,N/A,N/A,Along Highway 10 about 9 miles west of La Ciudad,"Along Highway 10, about 9 miles west of La Ciudad",Oak-pine forest with Madrono,rock,8650 ft,N/A,1036945,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2307/910/C0341213F.jpg,,lk,,C0341213F,A. J. Sharp,A. J. Sharp,N/A,145,"July 23, 1944",1944-07-23,N/A,Braunia secunda (Hook.) BSG,Braunia secunda,H. A. Crum,N/A,N/A,Mexico,Federal District,N/A,N/A,"Rio, above Contreras, D.F., Mexico","Rio, above Contreras",N/A,rock,N/A,N/A,1045239,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2307/712/C0341223F.jpg,,lk,,C0341223F,"A.J. Sharp, F.D. Bowers, D.K. Smith, R.A. Hattaway, Paul Somers, Jr.",A. J. Sharp,"F. D. Bowers | D. K. Smith | R. A. Hattaway | P. Somers, Jr.",4247,"Dec. 19, 1972",1972-12-09,N/A,Braunia squarrulosa (Hampe) Broth.,Braunia squarrulosa,E. De Luna,1992,N/A,Mexico,Chiapas,N/A,Pueblo Nuevo,"Yerba Buena, Pueblo Nuevo, (about 55 km. northeast of Tuxtla-Gutiérrez), Chiapas",About 55 kilometers northeast of Tuxtla-Gutiérrez,"Partial shade, moist, trail side bank",N/A,± 6800 ft,N/A,1045274,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2307/716/C0341228F.jpg,,lk,,C0341228F,F.J. Hermann,F. J. Hermann,N/A,26429,"Feb.9, 1975",1975-02-09,N/A,Braunia squarrulosa (Hampe) Broth.,Braunia squarrulosa,E. De Luna,1992,N/A,Mexico,Chiapas,N/A,N/A,"15 mi. S.E. of San Cristobal de las Casas, Chiapas, Mexico",15 miles southeast of San Cristobal de las Casas,Oak-pine woods,bark,6800 ft,N/A,1052129,Typed,no type status
