Image,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus,accessURI
0227_V0597275F.jpg,P.C.M. Jansen,P.c.m. jansen,N/A,5996,N/A,N/A,N/A,Cirsium vulgare (Savi) Ten.,Cirsium vulgare (Savi) Ten.,C.C.H. Jongkind,det.: 14 April 1976,N/A,ETHIOPIA,HARRIERG,N/A,around Damota Village,"around Damota Village, near Alema'na. Between chat and sorghum fields.","around Damota Village, near Alema'na, Between chat and sorghum fields",Ground roots are drunk against gonorrhoea,"2,940 m - 1,420 m",N/A,2302849,Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2453/856/V0597275F.jpg
0241_V0597626F.jpg,"Amanda Koch, Wilson Naisuda, AK61",Amanda Koch,Wilson Naisuda,AK61,"October 22, 2003",2003-10-22,N/A,Acacia reficiens merisie (Vatke) Brenan,N/A,Patrick Muthoka,"November 02, 2003",N/A,Kenya,Kajiado District,N/A,Ololosibor,Ololosibor,Ololosibor,Dry bushland,N/A,N/A,2309478,Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2454/013/V0597626F.jpg
0217_V0597688F.jpg,J. Lebrun,J. Lebrun,N/A,8409,About 1935,1935-00-00,N/A,Albizia gummifera (J.F.Gmel.) C.A. Sm. ,Albizia gummifera (J.F.Gmel.) C.A. Sm. ,N/A,N/A,N/A,Congo Belg. ,N/A,N/A,Isiro (Uélé Itimbiri),Isiro (Uélé Itimbiri),Isiro,N/A,N/A,N/A,867368,Mix of Handwritten and Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2454/080/V0597688F.jpg
0242_V0588237F.jpg,"Tsavo – Tsavo Andei, ","Tsavo,","Tsavo Andei,","207,","25. 12. 1957, ","1957-12-25,","N/A,","Digitaria pennata (Hochst.) Ekimu,","Digitaria pennata (Hochst.) Ekimu,","N/A,","N/A,","N/A,","Kenya,","N/A,","N/A,","N/A,","Tsavo – Tsavo Andei,","Tsavo - Tsavo Andei,","N/A,","N/A,","N/A,","N/A,","Typed,",no type status,https://fm-digital-assets.fieldmuseum.org/2460/308/V0588237F.jpg
0216_V0580026F.jpg,H. Callens,H. Callens,N/A,1584065,Juillet 1958,1958-07-00,1958-07-00,Baissea (Coccinema) paniculata,Baissea (Coccinema) paniculata,H. Callens,1/9/58,N/A,Congo Belge,Kasai,N/A,Kisantu,Kisantu,Kisantu,N/A,N/A,N/A,N/A,Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2460/430/V0580026F.jpg
0214_V0580516F.jpg,G. Troupin,G. Troupin,N/A,6333,1/02/1958,1958-02-01,N/A,Caprifoliaceae Sambucus ebulus L. subsp. ebulus,Sambucus ebulus L. subsp. ebulus,N/A,N/A,N/A,N/A,Kivu,Kalehe,N/A,"Territ. Kalehe Loco: Vers 110 route Kavumu-Walungu/Tshivanga, Territ. Tshivanga, Alt. 1950-2000 m.","Vers 110 route Kavumu-Walungu/Tshivanga, Territ. Tshivanga",Forêt ombrophile.,Alt. 1950-2000 m.,N/A,N/A,Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2464/177/V0580516F.jpg
0230_V0574490F.jpg,Gordon McPherson,Gordon Mcpherson,N/A,13781,20 Mars 1989,1989-03-20,1989-03-20,Corynanthe mayumbensis (R. Good ex R.D. Hall f.) R.D. Hall f. Det. Wilks & McPherson 1989,Corynanthe mayumbensis (R. Good ex R.D. Hall f.) R.D. Hall f.,Wilks & McPherson,1989,N/A,Gabon,Ogooué-Ivindo,N/A,Reserve de la Lope; au sud d'Ayem,Reserve de la Lope; au sud d'Ayem; 0°25'S 11°30'E,Reserve de la Lope; south of Ayem,N/A,c. 200 m,0°25'S 11°30'E,2040859,Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2466/373/V0574490F.jpg
0203_V0574226F.jpg,(J. M. Fay 8294),J. M. Fay,N/A,8294,4 March 1988,1988-03-04,N/A,Millettia zechiana Harms,Millettia zechiana Harms,"Mike Assi, 1998",N/A,N/A,Cameroon,N/A,N/A,N/A,On the Sangha River across from Makana gorilla study area,On the Sangha River across from Makana gorilla study area,"In seasonally flooded forest with Uapaca guineense, Pericopsis elata, Bombax sp.",385 m,02°20'N 16°08'E,Field number 2014244,Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2472/873/V0574226F.jpg
0219_V0580728F.jpg,F. N. Howes,F. N. Howes,N/A,199,29.vii.1959,1959-07-29,N/A,Phaseolus lunatus L.,Phaseolus lunatus L.,N/A,N/A,N/A,Indonesia,N/A,N/A,N/A,"South West of Crater Lake. Clearing in wood, scrambling over herbage.",South West of Crater Lake,Clearing in wood,"1,500ft",N/A,1624518,Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2473/141/V0580728F.jpg
0249_V0578764F.jpg,E. Phillips & T. P. L. Wharton,E. Phillips,T. P. L. Wharton,2,"June 3–6, 1934",1934-06-03,1934-06-06,Cyperus sp.,Cyperus sp.,N/A,N/A,N/A,Kenya,N/A,N/A,Mathiaga,"Mathiaga, near Nairobi Alt. 1,700 meters","Mathiaga, near Nairobi",N/A,"Alt. 1,700 meters",N/A,2074762,Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2473/209/V0578764F.jpg
0209_V0594158F.jpg,A. Leonard,A. Leonard,N/A,3149,29/5/1959,1959-05-29,N/A,Oxyanthus speciosus DC.,Oxyanthus speciosus DC.,J. Leonard,5.XII.1969,N/A,N/A,N/A,N/A,N/A,Masisi,Masisi,Vieille forêt secondaire,Alt. 1900m,N/A,N/A,Mix of Handwritten and Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2474/564/V0594158F.jpg
0232_V0573054F.jpg,N/A,N/A,N/A,83100,fini d'aout 1929,1929-08-00,N/A,Klaineoxylon gabrici,Klaineoxylon gabrici,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,781173,Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2477/449/V0573054F.jpg
0239_V0601010F.jpg,James T. Allen,James T. Allen,N/A,41,"September 23, 1996",1996-09-23,1996-09-23,Dissotis rotundifolia (Sm.) Triana,Dissotis rotundifolia (Sm.) Triana,N/A,N/A,N/A,Ghana,Volta Region,N/A,N/A,Larteh; Center for Scientific Research into Plant Medicine (CSRPM) farm,Larteh; Center for Scientific Research into Plant Medicine farm,N/A,N/A,N/A,2200652,Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2478/115/V0601010F.jpg
0238_V0602418F.jpg,J. E. Amoah,J. E. Amoah,N/A,5632,March 1952,1952-03-00,1952-03-00,Chrysophyllum perpulchrum Mildbr.,Chrysophyllum perpulchrum Mildbr.,N/A,N/A,N/A,Ghana,Ashanti Region,Kumasi District,N/A,Kumasi Township Forest Reserve,Kumasi Township Forest Reserve,N/A,N/A,N/A,1601919,Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2478/233/V0602418F.jpg
0205_V0604513F.jpg,J. Nemba & D.W. Thomas,J. Nemba,D.W. Thomas,0660/0052-L,15 June 1987,1987-06-15,N/A,Donella welwitschii Pierre ex Engl.,Donella welwitschii Pierre ex Engl.,D.W. Thomas,1987,N/A,CAMEROON,SOUTHWEST,N/A,N/A,Secondary growth and old growth forest; along Kumba-Mamfe road at the 14 1st Kilometer.,Secondary growth and old growth forest along Kumba-Mamfe road at the 14 1st kilometer,Secondary growth and old growth forest,200 m,04°44'N 09°29'E,N/A,Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2478/305/V0604513F.jpg
0237_V0572217F.jpg,J. Deaw,J. Deaw,N/A,283,"4, 1, 79",1979-01-04,N/A,Eugenia coronata,Eugenia coronata,N/A,N/A,N/A,Ghana,N/A,N/A,Accra,Accra,Accra,N/A,N/A,N/A,N/A,Typewritten,no type status,https://fm-digital-assets.fieldmuseum.org/2479/474/V0572217F.jpg
0224_V0602609F.jpg,Schimper ,Schimper,N/A,1414,October 1837,1837-10-00,1837-10-00,Rumex nervosus Vahl,Rumex nervosus Vahl,N/A,N/A,N/A,Abyssinia septentrionalis (Colonia Eritrea),N/A,N/A,N/A,Agametí: fonte sub umbra Aloidendron dichotomae,"Agametí, under the shade of Aloidendron dichotoma",fonte sub umbra (under the shade),1520 s/m,N/A,N/A,Handwritten,no type status,https://fm-digital-assets.fieldmuseum.org/2487/523/V0602609F.jpg
0248_V0606178F.jpg,R.B. & A.J. Faden,R.b. Faden,A.j. Faden,77/11,7 March 1977,1977-03-07,N/A,Toddaliopsis bremekampii (Engl.) B.L. Burtt,Toddaliopsis bremekampii (Engl.) B.L. Burtt,confirmed J.O. Kokwaro,N/A,N/A,Kenya,Kwale District,N/A,Chale Peninsula,"Chale Peninsula, ca. 4°25'S, 39°33'E",Chale Peninsula,"Coastal forest, dry forest with Combretum schumanii dominating",50 m.,"ca. 4°25'S, 39°33'E",2153520,Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2487/806/V0606178F.jpg
0213_V0603038F.jpg,F. Szafranski,F. Szafranski,N/A,1378,2.2.1988,1988-02-02,1988-02-02,Commelinaceae - Floscopa glomerata (Roen. et Schult.) Hassk.,Floscopa glomerata (Roen. et Schult.) Hassk.,N/A,N/A,N/A,Haut-Zaire,Haut-Zaire,N/A,N/A,bas fond marécageux près de la route aux environs de l'usine SOCODIA,bas fond marécageux près de la route aux environs de l'usine SOCODIA,bas fond marécageux près de la route aux environs de l'usine SOCODIA,N/A,N/A,N/A,Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2487/920/V0603038F.jpg
0202_V0606676F.jpg,Fulle-B. Wood,Fulle-b,Wood,394,12. 1938,1938-12-00,1938-12-00,Solanum sp.,Solanum aculeatissimum Jacq.,M. Nee,"Dec. 3, 1977",N/A,Africa,Bamenda,British Cameroons,N/A,"Bamenda, British Cameroons",Bamenda,Shrub very thorny and spinose,"4,150-5,500 ft.",N/A,1441275,Mix of Handwritten and Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2491/969/V0606676F.jpg
0222_V0601406F.jpg,T.C. Wrigley & Halerinville,T.c. wrigley,Halerinville,52,15 July 1959,1959-07-15,1959-07-15,Canthium monboense Mildbr. ex Alston,Canthium monboense Mildbr. ex Alston,A. W. Exell,1961,N/A,N/A,N/A,N/A,N/A,"ARUHORI Ridge west of Crater Lake, Cameroon Mt.","ARUHORI Ridge west of Crater Lake, Cameroon Mt.",Open woodland,1200m. Alt.,N/A,1624568,Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2491/991/V0601406F.jpg
0228_V0604673F.jpg,William Burger,William burger,N/A,726,27 May 1962,1962-05-27,1962-05-27,Rubus apetalus Poir,Rubus apetalus Poir,L. B. Krukoff,27 May 1962,N/A,Ethiopia,Harar Prov,N/A,N/A,"Near Gara Ades, 11 KM. E. of Harar, along new hard-top road to Djibouti","Near Gara Ades, 11 kilometers east of Harar, along new hard-top road to Djibouti",Steep slopes with remnant Cedar-Juiperus forest,1820 meters,N/A,1825230,Handwritten,no type status,https://fm-digital-assets.fieldmuseum.org/2493/436/V0604673F.jpg
0246_V0565514F.jpg,J.D. Sauer,J.d. Sauer,N/A,3914,15 June 1963,1963-06-15,1963-06-15,Aerva lanata (L.) Juss.,Aerva lanata (L.) Juss.,N/A,N/A,N/A,Kenya,Coast Province,Kwale District,near Mombasa,"Bumburi Beach, N of Mombasa","Bumburi Beach, north of Mombasa","Beach ridge, shallow open coast",N/A,N/A,595587,Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2499/501/V0565514F.jpg
0234_V0565977F.jpg,C. Vigne,C. Vigne,N/A,N/A,N/A,N/A,N/A,Garcinia pedunculata Roxb.,Garcinia pedunculata Roxb.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,839434,Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2499/556/V0565977F.jpg
0236_V0566108F.jpg,Ennin Addo,Ennin Addo,N/A,1026,Collected in 1999,1999-00-00,N/A,Uvariopsis versicolor Pierre,Uvariopsis versicolor Pierre,N/A,N/A,N/A,Ghana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2325285,Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2499/686/V0566108F.jpg
0233_V0567164F.jpg,A. Akinku,A. Akinku,N/A,398,22 11 79,1979-11-22,N/A,Peraria dennettii,Peraria dennettii,A. Akinku,19 71,N/A,Ghana,N/A,N/A,Awu,Awu - Winneba Road.,Awu - Winneba Road,A climber among grasses,Altitude:,N/A,1753348,Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2500/629/V0567164F.jpg
0201_V0591661F.jpg,D.W. Thomas 6850,D.w. thomas,N/A,6850,1987,1987-00-00,N/A,Cola flavovelutina K. Schum,Cola flavovelutina K. Schum,D.W. Thomas,1987,N/A,Cameroon,Southwest,N/A,N/A,PRCV: Southwest: Korup National Park. Primary rain forest,"Korup National Park, Primary rain forest",Primary rain forest,600 m,05°02'N 08°50'E,"NCI# Leaves, twigs 6667/0029-T",Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2501/420/V0591661F.jpg
0206_V0567306F.jpg,Sue A. Thompson,Sue A. Thompson,N/A,1522,9 July 1984,1984-07-09,1984-07-09,Impatiens macroptera Hook. f.,Impatiens macroptera Hook. f.,N/A,N/A,N/A,Cameroon,Prov. Sud-Ouest,Dept. Fako,Bakingili,"Prov. Sud-Ouest, Dept. Fako: Bakingili",Trail up Mt. Cameroon,growing on wet rocks,Alt. 50-250 m.,"4°04'N, 9°02'E.",2086046,Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2504/891/V0567306F.jpg
0243_V0606921F.jpg,A. Robertson,A. Robertson,N/A,4847,16/8-27/,1927-08-16,N/A,Encephalartos hildebrandtii A. Ber. var.,Encephalartos hildebrandtii A. Ber. var.,N/A,N/A,N/A,Kenya,Kitui,N/A,N/A,4 km n.e of Kangondi on road to Embu Mt. 4500 ft.,4 kilometers northeast of Kangondi on road to Embu,Bushland,4500 ft.,N/A,1864166,Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2505/266/V0606921F.jpg
0207_V0605928F.jpg,Sue A. Thompson & John E. Rawlins,Sue a thompson,John e rawlins,1333,3 June 1984,1984-06-03,N/A,Avicennia africana P. Beauv.,Avicennia africana P. Beauv.,N/A,N/A,N/A,Cameroon,Prov. Sud-Ouest,Dept. Fako,Bakundu,Bakundu,Bakundu,N/A,Alt. 0 m.,N/A,2088074,Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2506/309/V0605928F.jpg
0215_V0605675F.jpg,N/A,N/A,N/A,6047,24.V.1959,1959-05-24,1959-05-24,Tilia cylindracea Buisson (fleurs maison),Tilia cylindracea Buisson,N/A,N/A,N/A,N/A,Kivu,Tshuapa,N/A,"Vers 1700 m NNE territoire de LUBUTU, vieux socle a W of lac Tumba","Vers 1700 meters north-northeast of the territory of Lubutu, old base west of Lake Tumba",Forêt ombrophile,850 - 900 m,N/A,1543374,Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2511/134/V0605675F.jpg
0223_V0571550F.jpg,A. Pappi,A. Pappi,N/A,2642,14/5-5/VI/1902,1902-05-14,1902-06-05,Lavandula pubescens Decaisne,Lavandula pubescens Decaisne,T.M. Upson,2/4/1996,N/A,Eritrea,N/A,N/A,N/A,ERITREA-ASSAORTA - lungo il torrente Hagadas,Lungo il torrente Hagadas,N/A,N/A,N/A,N/A,Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2511/772/V0571550F.jpg
0229_V0607392F.jpg,William Burger,William Burger,N/A,1853,14 Feb. 1962,1962-02-14,N/A,Juniperus procera Hochst. ex Endl.,Juniperus procera Hochst. ex Endl.,W. D.,N/A,N/A,Ethiopia,Harar Prov.,N/A,N/A,N.W. face Gara Mullata Mtn. ca. 50 km. due W of Harar.,"Northwestern face of Gara Mullata Mountain, approximately 50 kilometers due west of Harar",Slopes with mixed forest,alt 2850 - 3200m,N/A,1632855,Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2512/575/V0607392F.jpg
0240_V0570163F.jpg,C.D. Adams,C.d. adams,N/A,N/A,1/10/57,1957-10-01,N/A,Terminalia glaucescens,Terminalia glaucescens,N/A,N/A,N/A,Ghana,Volta Region,N/A,Ho,"Ho, Volta Region",Ho,N/A,N/A,N/A,2007210,Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2513/815/V0570163F.jpg
0226_V0570543F.jpg,Schimper,Schimper,N/A,N/A,N/A,N/A,N/A,Ipomoea tiliacea (Willd.) Choisy,Ipomoea tiliacea (Willd.) Choisy,N/A,N/A,N/A,Abyssinia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,373793,Handwritten,no type status,https://fm-digital-assets.fieldmuseum.org/2514/094/V0570543F.jpg
0200_V0607965F.jpg,D.W. Thomas & E. Lughadha,D.W. Thomas,E. Lughadha,6988,18 May 1987,1987-05-18,N/A,Tabernaemontana africana Oliv.,Tabernaemontana africana Oliv.,D.W. Thomas,1987,N/A,Cameroon,Southwest,N/A,N/A,"Degraded forest at Barombi Kang, Kumba","Degraded forest at Barombi Kang, Kumba",Degraded forest,150 m,04°36'N 09°27'E,NCI Bark 066P/0125-W; Leaves 066P/0261-W,Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2514/378/V0607965F.jpg
0244_V0570471F.jpg,E.A. Mearns ,E.a. mearns,N/A,1114,"September 6, 1909",1909-09-06,1909-09-06,Euryops chrysanthemoides DC.,Euryops chrysanthemoides DC.,N/A,N/A,N/A,British East Africa,N/A,N/A,N/A,Vicinity of Thika,Vicinity of Thika,N/A,about 1320 meters,N/A,463287,Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2514/765/V0570471F.jpg
0245_V0570108F.jpg,G. J. MacCoughlan,G. J. maccoughlan,N/A,580,N/A,N/A,N/A,Combretum schumannii Engl.?,Combretum schumannii,N/A,N/A,N/A,Kenya,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,856352,Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2514/997/V0570108F.jpg
0204_V0570110F.jpg,J. M. Fay 8271 ,J. M. Fay ,N/A ,8271 ,28 February 1988 ,1988-02-28 ,N/A ,Combretum smeathmannii G. Don ,Combretum smeathmannii G. Don ,"Ake Assi, 1988 ",N/A ,N/A ,Cameroon ,N/A ,N/A ,N/A ,"Along the Sangha River adjacent to the island of Kilona. In riparian forest adjacent to seasonally flooded forest with Irvingia, Erythrina, Guibourtia demeusei, Berlinia sp. Prec. 1400 m ",Along the Sangha River adjacent to the island of Kilona ,In riparian forest adjacent to seasonally flooded forest ,1400 m ,02°21'N 16°09'E 385 m ,2041248 ,Handwritten ,no type status,https://fm-digital-assets.fieldmuseum.org/2515/000/V0570110F.jpg
0235_V0590787F.jpg,D.D. Soejarto,D.d. Soejarto,N/A,4793,"April 1, 1978",1978-04-01,N/A,Diospyros mespiliformis Hochst. ex A. DC.,Diospyros mespiliformis Hochst. ex A. DC.,N/A,N/A,Thespesia populnea and Sophora accidentalists,Ghana,Greater Accra Province,N/A,Botianor village,"just behind beach, on sandy soil, 20 km west of Accra, Seacoast","just behind beach, on sandy soil, 20 kilometers west of Accra, Seacoast",sandy soil,N/A,N/A,1842606,Typed,no type status,https://fm-digital-assets.fieldmuseum.org/2522/077/V0590787F.jpg
0250_V0040586F.jpg,Narciso Reyna B. 40,Narciso reyna,N/A,40,15 diciembre 1967,1967-12-15,N/A,Gustavia racionalisilveria D.R. Simpson,Gustavia racionalisilveria D.R. Simpson,D.R. Simpson,1975,N/A,Peru,Loreto,Maynas,N/A,"Santa María – Río Nanay, distr. Alto Nanay, dept. Loreto, prov. Maynas","Santa María – Río Nanay, district of Alto Nanay","""Carahuasca amarilla"" - árbol, bosque húmedo tropical",150 m,N/A,1753405,Typed,holotype,http://fm-digital-assets.fieldmuseum.org/39/558/V0040586F.jpg
0251_V0081497F.jpg,M. O. Dillon & D. Dillon,M. O. Dillon,D. Dillon,3776,1 Nov 1983,1983-11-01,N/A,Galvezia fruticosa Gmel.,Galvezia eielsenni M.O. Dillon & Quipuscoa,M.O. Dillon & Quipuscoa,N/A,N/A,Peru,Arequipa,Caraveli,N/A,"Lomas of Atiquipa, ca. 105 km N of turn-off to Atiquipa, km 584 S of Lima","Lomas of Atiquipa, approximately 105 kilometers north of the turn-off to Atiquipa, kilometer 584 south of Lima",N/A,ca. 150-200 m.,N/A,N/A,Typed,Holotype,http://fm-digital-assets.fieldmuseum.org/613/620/V0081497F.jpg
0252_V0042484F.jpg,N/A,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,Isolectotype of Tetrachidium rubrivenium var. genuinium Müll. Arg. ,Tetrachidium rubrivenium var. genuinium Müll.,F. Pax ,1836 ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,"875422, 60787 ",Handwritten ,Isolectotype,http://fm-digital-assets.fieldmuseum.org/40/414/V0042484F.jpg
0253_V0092855F.jpg,Jose Campos O. & O. Díaz,Jose Campos,O. Díaz,2490,9 Febrero 1996,1996-02-09,N/A,Amorimia camporum W.R. Anderson,Amorimia camporum W.R. Anderson,"W. R. Anderson (Novon 16: 179, 2006. (Holotype, MICH; Isotypes, K & MO(2))",2006,N/A,PERU,Cajamarca,San Ignacio Province,N/A,Distrito Chirinos: Entre La Catuaq y Tablón.,Entre La Catuaq y Tablón,Trepadora; flor amarilla,550 - 650,05°19'S; 078°47'W,2296033,Typed,ISOTYPE,http://fm-digital-assets.fieldmuseum.org/281/725/V0092855F.jpg
