Image,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus
0012_C0268558F.jpg,N/A,N/A,N/A,17369,8 5 1975,1975-05-08,1975-05-08,Macromitirum macrosporum Broth,Macromitirum macrosporum Broth,D R Vitt,N/A,N/A,Papua New Guinea,West Sepik Distr,Star Mts,N/A,c 5°S141°05E NE summit of Mt Capella,NE summit of Mt Capella,summit scrub,Alt c 3900 m,c 5°S141°05E,1142194,Typed,no type status
0013_C0268559F.jpg,A Touw No 16376,A Touw,N/A,16376,17.4.1975,1975-04-17,1975-04-17,Macromitrium macrosporum Broth,Macromitrium macrosporum Broth,D H Vitt,N/A,N/A,Papua New Guinea,West Sepik Distr,Star Mts,N/A,c 5°S141°05E Mt Capella Base Camp,Mt Capella Base Camp,Limestone ridge near camp high stunted forest on ridge,Alt c 3600 m,c 5°S141°05E,1142178,Typed,no type status
0014_C0268560F.jpg,A Touw No 17312,A Touw,N/A,17312,8 5 1975,1975-05-08,1975-05-08,Macromitrium macrosporum Broth,Macromitrium macrosporum Broth,D H Vitt,N/A,N/A,New Guinea,West Sepik Distr,Star Mts,N/A,c 5°S 141°05'E NE Summit of Mt Capella Summit of ridge between Mt Capella Base Camp and Mt Capella ridge; on isolated tree,NE Summit of Mt Capella Summit of ridge between Mt Capella Base Camp and Mt Capella ridge; on isolated tree,N/A,Alt c 3650 m,c 5°S 141°05'E,1142156,Typed,no type status
0015_C0268561F.jpg,A Touw No 16420,A Touw,N/A,16420,19.4.1975,1975-04-19,1975-04-19,Macromitrium macrosporum Broth,Macromitrium macrosporum Broth,D H Vitt,N/A,N/A,New Guinea,West Sepik Distr,Star Mts,N/A,Mt Capella NE summit; forest remnant in deep chasm near the summit on soaking wet bark of trees,Mount Capella northeast summit,forest remnant in deep chasm near the summit,Alt c 3900 m,c 5°S 141°05'E,1142175,Typed,no type status
0016_C0268562F.jpg,A Touw No 17205,A Touw,N/A,17205,5.5. 1975,1975-05-05,1975-05-05,Macromitrium macrosporum Broth,Macromitrium macrosporum Broth,D H Vitt,N/A,N/A,Papua New Guinea,West Sepik Distr,Star Mts,N/A,"c 5°S 141°05'E Near Mt Capella Base Camp, along trail to Tamanagabip; open sub-alpine scrub At base of limestone rock faces","Near Mt Capella Base Camp, along trail to Tamanagabip",open sub-alpine scrub At base of limestone rock faces,Alt c 3450 m,c 5°S 141°05'E,1141880,Typed,no type status
0017_C0268563F.jpg,A Touw No 18046,A Touw,N/A,18046,14.5.1975,1975-05-14,1975-05-14,Macromitrium megalocladon Fleisch,Macromitrium megalocladon Fleisch,D R Vitt,N/A,N/A,Papua New Guinea,West Sepik Distr,Star Mts,N/A,c 5°S141°05E Upper montane forest between Folongonom and Artis' Camp,Upper montane forest between Folongonom and Artis' Camp,Upper montane forest,Alt c 2500 - 2600 m,c 5°S141°05E,1142187,Typed,no type status
0018_C0268564F.jpg,A Touw No 16555,A Touw,N/A,16555,21.4.1975,1975-04-21,1975-04-21,Macromitrium megalocladon Fleisch,Macromitrium megalocladon Fleisch,D R Vitt,N/A,N/A,New Guinea,West Sepik Distr,Star Mts,N/A,c 4°54'S9E Small Kuki (grassfield) SW of Mt Capella Base Camp; on vertical face of moss covered limestone boulder at edge of kuni,Small Kuki (grassfield) southwest of Mount Capella Base Camp on vertical face of moss covered limestone boulder at edge of kuni,vertical face of moss covered limestone boulder at edge of kuni,Alt c 3400 m,c 4°54'S9E,1142432,Typed,no type status
0019_C0268565F.jpg,A Touw No 15768,Touw,N/A,15768,7 4 1975,1975-04-07,N/A,Macromitrium megalocladon Fleisch,Macromitrium megalocladon Fleisch,D H Vitt,N/A,N/A,Papua New Guinea,West Sepik Dist,Star Mts,N/A,c 5°S141°05'E Tel Basin; Ridge above Camp 2,Tel Basin Ridge above Camp 2,Terrestrial in open shrubbery on ridge Dense moss vegetation covering soil rocks and the lower portion of shrubs Dominant,Alt c 3350 m,c 5°S141°05'E,1142300,Typed,no type status
0020_C0268566F.jpg,S Hattori,S Hattori,N/A,N/A,III 1946,1946-03-00,1946-03-00,Macromitrium incurvum (Lindb) Par,Macromitrium incurvum (Lindb) Par,A Noguchi,unsure and check,N/A,Japan,Kyushu,Miyazaki,Minaminiaka,Kyushu Miyazaki Minaminiaka Obi,Obi,rupicola photophila,ca 50 m,N/A,1235066,Typed,no type status
0021_C0268569F.jpg,Coll K Mayebara,K Mayebara,N/A,N/A,December 25 1951,1951-12-25,1951-12-25,Macromitrium incurvum (Lindb) Par,Macromitrium incurvum (Lindb) Par,A Noguchi,N/A,N/A,N/A,N/A,Kumamoto Prefecture,N/A,On exposed rocks 60 m above sea Yosiko Kumamoto Prefecture,On exposed rocks 60 meters above sea Yosiko,On exposed rocks 60 meters above sea,60 m above sea,N/A,1043529,Typed,no type status
0022_C0268571F.jpg,K Mayebara,K Mayebara,N/A,N/A,"February 11, 1952",1952-02-11,N/A,Macromitrium gymnostomum Sull et Lesq,Macromitrium gymnostomum Sull et Lesq,A Noguchi,N/A,N/A,N/A,Kumamoto Prefecture,N/A,N/A,"On rocks, ca 100m above sea, Koonose, Kumamoto Prefecture",Koonose,"On rocks, ca 100m above sea",ca 100m above sea,N/A,1043490,Typed,no type status
0023_C0268572F.jpg,N/A,N/A,N/A,N/A,"March, 1952",1952-03-00,1952-03-00,Macromitrium gymnostomum Sull et Lesq,Macromitrium gymnostomum Sull et Lesq,A Noguchi & S Hattori,N/A,N/A,Japan,Kumamoto County,N/A,N/A,"On rocks, ca 1000m alt, Hitoyoshi, Kumamoto County","On rocks, approximately 1000 meters altitude, Hitoyoshi",N/A,ca 1000m alt,N/A,1043493,Typed,no type status
0024_C0268574F.jpg,H H Chung,H H Chung,N/A,B206,August 1930,1930-08-00,1930-08-00,Macromitrium gymnostomum S & L,Macromitrium gymnostomum S & L,Theriot,N/A,N/A,China,Fukien Province,N/A,N/A,Kushan near Foochow,Kushan near Foochow,N/A,altitude 500 m,N/A,1122334,Typed,no type status
