Image,title,collectedBy,secondaryCollectors,phylum,family,genus,specificEpithet,infraspecificEpithet,scientificNameAuthorship,identifiedBy,dateIdentified,acceptedScientificName,otherScientificName,scientificName,associatedTaxa,verbatimEventDate,eventDate,country,countryCode,firstPoliticalUnit,secondPoliticalUnit,city,verbatimLocality,locality,habitat,substrate,verbatimElevation,maximumElevationInMeters,minimumElevationInMeters,verbatimCoordinates,decimalLatitude,decimalLongitude,collectionCode,recordNumber,catalogNumber,language,languageRemarks,originalMethod,typeStatus,occuranceRemarks,sex,reproductiveCondition,generalNotes,expeditionFundedBy,generalInformationAboutThePlantSpecimenItself,rawFormat
0010_C2077570F.jpg,,Y. Mexia,N/A,,,,,,,Bartram,,,,,N/A,"Dec. 2, 1931",,Peru,,Loreto,N/A,,Above Pongo de Manseriche Streamlet near mouth of Rio Santiago,Above Pongo de Manseriche Streamlet near mouth of Rio Santiago,On fallen log,,Alt. 400 m,,,N/A,,,,6204,,,,Typed,no type status,,,,,,,
0011_C2077571F.jpg,,Y. Mexia,N/A,,,,,,,Bartram,,,,,N/A,"Dec. 2, 1931",,Peru,,Loreto,N/A,,Above Pongo de Manseriche Streamlet near mouth of Rio Santiago On fallen logs,Above Pongo de Manseriche Streamlet near mouth of Rio Santiago,On fallen logs,,Alt. 400 m,,,N/A,,,,6804,,,,Typed,no type status,,,,,,,
0012_C2077573F.jpg,,J. Florschütz-de Waard,R. Zielman,,,,,,,R. Zijlstra,,,,,Cecropia,d.d. 5 - 11 - 1981,,Suriname,,Nickerie,N/A,,area of Kabalebo Dam project distr. Nickerie line NW from road km 39.5 p. SN 58W,area of Kabalebo Dam project line northwest from road kilometer 39.5 point SN 58W,Secondary wood with Cecropia (boeappaja) on rotting log,,ALT. 0-50 m,,,N/A,,,,5135,,,,Typed,no type status,,,,,,,
0013_C2077574F.jpg,,J. Florschütz-de Waard,R. Zijlmans,,,,,,,R. Zijlmans,,,,,N/A,d.d. 3-11-1991,,Suriname,,Nickerie,N/A,,area of Kabalebo Dam project distr. Nickerie line NW from road km 39.5 p. 5H 5W qu. 5D,area of Kabalebo Dam project line northwest from road kilometer 39.5,Savanna forest on rotting log,,Alt.: 0 - 50 m,,,N/A,,,,5254,,,,Typed,no type status,,,,,,,
0014_C2077575F.jpg,,J. Florschütz-de Waard,R. Zijlman,,,,,,,R. Zijlman,,,,,N/A,30-10-1981,,Suriname,,Nickerie,N/A,,Area of Kabalebo Dam project distr. Nickerie line W from road 34 km Dr. 5N 58W qu. SB,Area of Kabalebo Dam project line West from road 34 kilometers,Rainforest on rotting log,,Alt. 0 - 50 m,,,N/A,,,,5098,,,,Typed,no type status,,,,,,,
0015_C2077576F.jpg,,J. C. Lindeman,A. A. Gorts-van Rijn | M. Jansen-Jacobs | A. L. Stoffers | C. Reijnders,,,,,,,H. Zijlstra,,,,,N/A,3-XI-1980,,Suriname,,Nickerie,N/A,,"Area of Kabalebo Dam project, distr. Nickerie, Forest S of km 28.7","Area of Kabalebo Dam project, Forest South of kilometer 28.7","Forest South of kilometer 28.7, epiphyte on tree trunk",,Alt. 30 - 130 m.,,,"4°50'N, 57°30'50""W",,,,243 A,,,,Typed,no type status,,,,,,,
0016_C2077577F.jpg,,J. Florschütz-de Waard,R. Zijlman,,,,,,,R. Zijlman,,,,,Astrocarpum,31 October 1981,,Suriname,,Nickerie,N/A,,"Kabalebo river area, line W. from road km 34, 5°N, 58°W","Kabalebo river area, line W. from road km 34",On decaying log in marsh forest,,alt. 0-50 m,,,"5°N, 58°W",,,,5141,,,,Typed,no type status,,,,,,,
0017_C2077578F.jpg,,J. Florschütz,P. A. Florschütz,,,,,,,R. Zielman | J. Florschütz-de Waard,,,,,N/A,18 December 1975,,Suriname,,Brownsberg,N/A,,trail to Leo Val,trail to Leo Val,On rotting log in rainforest,,alt. ca. 500 m,,,N/A,,,,4690,,,,Typed,no type status,,,,,,,
0018_C2077579F.jpg,,H. Cornelissen,S. R. Gradstein,,,,,,,J. Florschütz-de Waard,,,,,N/A,8 March 1977,,Guyana,,N/A,N/A,,Mabura Hill 180 km S of Georgetown 5°20'N 58°40'W,Mabura Hill 180 kilometers south of Georgetown,On rotting tree base in mixed rain forest,,alt. 0-50 m,,,5°20'N 58°40'W,,,,C076,,,,Typed,no type status,,,,,,,
0019_C2077582F.jpg,,R. E. Schultes,I. Cabrera,,,,,,,H. A. Crum,,,,,N/A,"October 4-6, 1951",,Colombia,,Vaupés,N/A,,"Rio Kuduyari (affluent of Rio Vaupés), Yapobodi, quartzite savanna","Rio Kuduyari, Yapobodi, quartzite savanna",On rotten logs,,N/A,,,N/A,,,,14294,,,,Typed,no type status,,,,,,,
0020_C2077584F.jpg,,R. E. Schultes,N/A,,,,,,,D. Griffin,,,,,N/A,N/A,,Colombia,,Guaviare,N/A,,San Jose del Guaviare,San Jose del Guaviare,N/A,,N/A,,,N/A,,,,11128,,,,Typed,no type status,,,,,,,
0021_C2077585F.jpg,,Y. Mexia,N/A,,,,,,,J. M. Bartram,,,,,N/A,"Aug. 31, 1931",,Brazil,,Para,N/A,,Thomé Assú down Rio Acará 3 km. On fallen log.,Thomé Assú down Rio Acará 3 kilometers. On fallen log.,N/A,,Alt. 35 m.,,,N/A,,,,5014a,,,,Typed,no type status,,,,,,,
0022_C2077586F.jpg,,Y. Mexia,N/A,,,,,,,Bartram,,,,,N/A,"July 16, 1931",,Brazil,,Pará,N/A,,Districto Acará. Thomé Assú. Japanese Colony.,Districto Acará. Thomé Assú. Japanese Colony.,On rotting log in woods. Abundant.,,Alt. about 30 m.,,,N/A,,,,5014,,,,Typed,no type status,,,,,,,
0023_C2078862F.jpg,,D. Griffin,M. López F.,,,,,,,D. Griffin III,,,,,N/A,14 marzo 1985,,Venezuela,,Trujillo,N/A,,"páramo de Guirigay, arriba del pueblo de La Puerta. Entre el río Barro y Pozo Blanco","Páramo de Guirigay, above the town of La Puerta. Between the Barro River and Pozo Blanco","Sobre roca húmeda, lecho de riachuelo, a sol.",,3200-3300 m,,,N/A,,,,PV-1525,,,,Typed,no type status,,,,,,,
0024_C2078913F.jpg,,P. Dusén,N/A,,,,,,,W. R. Buck,,,,,N/A,22 February 1897,,Chile,,Patagonia,N/A,,Cerra Colorado,Cerra Colorado,N/A,,N/A,,,N/A,,,,5872,,,,Typed,no type status,,,,,,,
0025_C2078924F.jpg,,Y. Mexia,N/A,,,,,,,K. D. McFarland,,,,,Nothofagus,"April 10, 1936",,Chile,,Magallanes,N/A,,Last Hope Inlet; Peninsula Antonio Varas,Last Hope Inlet; Peninsula Antonio Varas,Openings in Nothofagus wood in moist earth. Common; scattered in small tufts.,,Alt. 25 m,,,N/A,,,,8001,,,,Typed,no type status,,,,,,,
0026_C2078925F.jpg,,M. Lewis,N/A,,,,,,,R. Ochyra,,,,,N/A,25 May 1979,,Bolivia,,Oruro,Sajama,,Rio Junthuma Khucha 2 mi. down river from Aguas termales de Rio Junthuma Khucha,Rio Junthuma Khucha 2 miles down river from Aguas termales de Rio Junthuma Khucha,In warmish creek,,4350 m,,,18°07' S. 69°00' W.,,,,79-2108,,,,Mix of Handwritten and Typed,no type status,,,,,,,
0027_C2078926F.jpg,,M. Lewis,N/A,,,,,,,R. Ochyra,,,,,N/A,25 May 1979,,Bolivia,,Oruro,Sajama,,Rio Junthuma Khuchu 2 mi. down river from Aguas termales de Rio Junthuma Khuchu,Rio Junthuma Khuchu 2 miles down river from Aguas termales de Rio Junthuma Khuchu,In warmish creek,,4350 m,,,"18° 07' S., 69° 00' W.",,,,79-2109,,,,Typed,no type status,,,,,,,
0028_C2078927F.jpg,,M. Lewis,N/A,,,,,,,R. Ochyra,,,,,N/A,25 May 1979,,Bolivia,,Oruro,Sajama,,Rio Junthuma Khuchu 2 mi. down river from Aguas termales de Rio Junthuma Khuchu,Rio Junthuma Khuchu 2 miles down river from Aguas termales de Rio Junthuma Khuchu,In warmish creek,,4350 m,,,"18° 07' S, 69° 00' W",,,,79-2112,,,,Typed,no type status,,,,,,,
0029_C2078928F.jpg,,M. Lewis,N/A,,,,,,,R. Ochyra,,,,,N/A,25 May 1979,,Bolivia,,Oruro,Sajama,,Rio Junthuma Khuchu 2 mi down river from Aguas termales de Rio Junthuma Khuchu,Rio Junthuma Khuchu 2 miles down river from Aguas termales de Rio Junthuma Khuchu,In warmish creek,,4350 m,,,18° 07' S 69° 00' W,,,,2115,,,,Typed,no type status,,,,,,,
0030_C2078929F.jpg,,M. Lewis,N/A,,,,,,,R. Ochyra,,,,,N/A,25 May 1979,,Bolivia,,Oruro,Sajama,,Rio Junthuma Khuchu 2 mi. down river from Aguas termales de Rio Junthuma Khuchu,Rio Junthuma Khuchu 2 miles down river from Aguas termales de Rio Junthuma Khuchu,In warmish creek,,4350 m.,,,18° 07' S 69° 00' W,,,,79-2117,,,,Typed,no type status,,,,,,,
0031_C2078930F.jpg,,M. Lewis,N/A,,,,,,,K. Ochyra,,,,,N/A,25 May 1979,,Bolivia,,Oruro,Sajama,,Rio Junthuma Khucha 2 mi. down river from Aguas termales de Rio Junthuma Khucha,Rio Junthuma Khucha 2 miles down river from Aguas termales de Rio Junthuma Khucha,In warmish creek,,4350 m,,,18° 07' S 69° 00' W,,,,2118,,,,Typed,no type status,,,,,,,
0032_C2078931F.jpg,,M. Lewis,N/A,,,,,,,R. Ochyra,,,,,N/A,25 May 1979,,Bolivia,,Oruro,Sajama,,Rio Junthuma Khuchu 2 mi. down river from Aguas termales de Rio Junthuma Khuchu,Rio Junthuma Khuchu 2 miles down river from Aguas termales de Rio Junthuma Khuchu,In warmish creek,,4350 m.,,,18° 07' S. 69° 00' W.,,,,79-2107,,,,Typed,no type status,,,,,,,
0033_C2078932F.jpg,,M. Lewis,N/A,,,,,,,R. Ochyra,,,,,N/A,25 May 1979,,Bolivia,,Oruro,Sajama,,Río Junthuma Khuchu 2 mi. down river from Aguas termales de Río Junthuma Khuchu,Río Junthuma Khuchu 2 miles down river from Aguas termales de Río Junthuma Khuchu,In warmish creek,,4350 m.,,,18° 07' S. 69° 00' W.,,,,79-2119,,,,Typed,no type status,,,,,,,
0034_C2079350F.jpg,,Y. Mexia,N/A,,,,,,,Bartram,,,,,N/A,"Nov. 23, 1931",,Peru,,Loreto,N/A,,Above Pongo de Manseriche Left bank of Rio Santiago,Above Pongo de Manseriche Left bank of Rio Santiago,On stone in overflow forest,,Alt. 200 m.,,,N/A,,,,6149,,,,Typed,no type status,,,,,,,
0035_C2079351F.jpg,,Y. Mexia,N/A,,,,,,,Bartram,,,,,N/A,"Nov. 25, 1931",,Peru,,Loreto,N/A,,Above Pongo de Manseriche Right bank of Rio Santiago,Above Pongo de Manseriche Right bank of Rio Santiago,Dense forest on log,,alt. 200 m.,,,N/A,,,,16160,,,,Typed,no type status,,,,,,,
0036_C2079352F.jpg,,Y. Mexia,N/A,,,,,,,Bartram,,,,,N/A,"Dec. 4, 1931",,Peru,,Loreto,N/A,,Above Pongo de Manseriche Streamlet on right bank of Rio Santiago,Above Pongo de Manseriche Streamlet on right bank of Rio Santiago,On rocks wet by spray,,Alt. 250 m.,,,N/A,,,,6217-a,,,,Typed,no type status,,,,,,,
0037_C2079353F.jpg,,Y. Mexia,N/A,,,,,,,G. K. Bartram,,,,,N/A,"Dec. 12, 1931",,Peru,,Loreto,N/A,,Above Pongo de Manseriche,Above Pongo de Manseriche,Creek Carapisa bog in forest,,Alt. 215 m.,,,N/A,,,,6259,,,,Typed,no type status,,,,,,,
0038_C2079354F.jpg,,Y. Mexia,N/A,,,,,,,Bartram,,,,,N/A,"Jan. 3, 1938",,Peru,,Loreto,N/A,,Above Pongo de Manseriche Crost Inchio,Above Pongo de Manseriche Crost Inchio,On earth collected on inclined tree trunk,,Alt. 215 m,,,N/A,,,,6354-a,,,,Typed,no type status,,,,,,,
0039_C2079355F.jpg,,Y. Mexia,N/A,,,,,,,Bartram,,,,,Taxithelium planum,"Jan. 3, 1932",,Peru,,Loreto,N/A,,Above Pongo de Manseriche Creek Inche. On rotten log.,Above Pongo de Manseriche Creek Inche,On rotten log. Sterile.,,Alt. 215 m.,,,N/A,,,,6375a,,,,Typed,no type status,,,,,,,
0040_C2079356F.jpg,,Y. Mexia,N/A,,,,,,,J. L. Darb.,,,,,N/A,"Jan. 3, 1938",,Peru,,Loreto,N/A,,Above Pongo de Manseriche,Above Pongo de Manseriche,Crook inlets on rotten logs,,alt. 215 m.,,,N/A,,,,6378a,,,,Typed,no type status,,,,,,,
0041_C2079357F.jpg,,Y. Mexia,N/A,,,,,,,E. B. Bartram,,,,,N/A,"Jan. 3, 1932",,Peru,,Loreto,N/A,,Above Pongo de Manseriche Creek Imche,Above Pongo de Manseriche Creek Imche,On rotten log,,Alt. 215 m,,,N/A,,,,6377,,,,Typed,no type status,,,,,,,
0042_C2079358F.jpg,,Y. Mexia,N/A,,,,,,,Bartram,,,,,N/A,"May 14, 1936",,Peru,,Cuzco,La Convencion,,upper valley of the Sambray; affluent of the Vilcanota; on rotten logs in virgin forest,upper valley of the Sambray; affluent of the Vilcanota; on rotten logs in virgin forest,on rotten logs in virgin forest,,Alt. 1800 m,,,N/A,,,,8070,,,,Typed,no type status,,,,,,,
0043_C2079359F.jpg,,Y. Mexia,N/A,,,,,,,E. Bartram,,,,,N/A,"May 14, 1936",,Peru,,Cuzco,La Convencion,,upper valley of the Sambray; affluent of the Vilcanota; on rotten logs in virgin forest,upper valley of the Sambray; affluent of the Vilcanota; on rotten logs in virgin forest,on rotten logs in virgin forest,,Alt. 1800 m,,,N/A,,,,8070,,,,Typed,no type status,,,,,,,
0044_C2079360F.jpg,,L. Reitz,N/A,,,,,,,H. B. S. Magill,,,,,N/A,20.9.1961,,Brazil,,Santa Catarina,Brusque,,"Azambuja, Brusque",Azambuja,Epífito de mata virgem,,50 msm,,,N/A,,,,"2,222",,,,Typed,no type status,,,,,,,
0045_C2079362F.jpg,,R. E. Schultes,N/A,,,,,,,D. Griffin III,,,,,N/A,"Dec., 1950",,Colombia,,Meta,N/A,,alrededores de Villavicencio,Alrededores de Villavicencio,N/A,,Alt 500 m,,,N/A,,,,11107,,,,Typed,No type status,,,,,,,
0046_C2079715F.jpg,,J. P. Frahm,P. Geissler | S. R. Gradstein | G. Philippi | W. Schultze-Motel,,,,,,,W. Schultze-Motel,,,,,N/A,4.9.1982,,Peru,,Amazonas,Chachapoyas,,"Straße Chachapoyas-Cajamarca oberhalb Leimebamba km 417, s-exponierter Hang, hochandiner Regenwald auf Kalkstein","Straße Chachapoyas-Cajamarca above Leimebamba kilometer 417, south-exposed slope, high Andean rainforest on limestone",hochandiner Regenwald auf Kalkstein,,2800 msm,,,N/A,,,,875,,,,Typed,no type status,,,,,,,
0047_C2079716F.jpg,,P. C. Hutchison,J. K. Wright,,,,,,,H. Robinson,,,,,N/A,1 April 1964,,Peru,,Chachapoyas,Amazonas,,Cerros Calla Calla east side 5 km above Leimebamba on the road to Balsas at San Miguel (no buildings at this locality),Cerros Calla Calla east side 5 kilometers above Leimebamba on the road to Balsas at San Miguel (no buildings at this locality),N/A,,Altitude 1400 m,,,N/A,,,,1806,,,,Typed,no type status,,,,,,,
0048_C2079717F.jpg,,D. Griffin,N/A,,,,,,,D. Griffin,,,,,N/A,28 Oct. 1989,,Venezuela,,Merida,N/A,,páramo de Los Granates finca de Los Granates a lo largo del río de Los Granates y en las lomas cercanas,Paramo de Los Granates finca de Los Granates along the river of Los Granates and in the nearby hills,Sobre roca + seca a sombra,,3000-3100 m,,,N/A,,,,20,,,,Typed,no type status,,,,,,,
0049_C2079718F.jpg,,Y. Mexia,N/A,,,,,,,Bertram,,,,,N/A,"April 21, 1931",,Brazil,,Minas Gerais,N/A,,Fazenda do Diamante Campo Tiritas,Fazenda do Diamante Campo Tiritas,Base of living tree in shade,,Alt. 500 m,,,N/A,,,,5687,,,,Typed,no type status,,,,,,,
0050_C2079720F.jpg,,M. Lewis,N/A,,,,,,,W. Buck,,,,,N/A,8 February 1979,,Bolivia,,Tarija,Méndez,,"Prov. Méndez/Prov. Cercado/Prov. Aviles. Canyon 5 mi. SW of Tablada, SW of Tarija","Canyon 5 miles southwest of Tablada, southwest of Tarija",Bank of creek,,2160 m,,,"21° 36' S, 64° 48' W",,,,79-590,,,,Typed,no type status,,,,,,,
0051_C2079721F.jpg,,M. Lewis,N/A,,,,,,,W. Buck,,,,,N/A,22 March 1979,,Bolivia,,La Paz,Larecaja,,Near large red outcrop 2 mi. from Sorata down Rio Consata,Near large red outcrop 2 miles from Sorata down Rio Consata,Very shady ground along creek in humid shrubs,,2600 m.,,,"15° 41' S., 68° 43' W.",,,,79-1220,,,,Typed,no type status,,,,,,,
0052_C2079723F.jpg,,M. Lewis,N/A,,,,,,,W. Buck,,,,,N/A,1 April 1979,,Bolivia,,La Paz,Larecaja,,Between Abra Huallata and waterfall at Millipaya 16° 51' S. 68° 39' W.,Between Abra Huallata and waterfall at Millipaya,Waterfall ravine highest extension of shrubs,,3780 m.,,,16° 51' S. 68° 39' W.,,,,79-1346,,,,Typed,no type status,,,,,,,
0053_C2079595F.jpg,,H. Roivainen,N/A,,,,,,,R. Ochyra,,,,,Nothofagus pumilio,25.1.1970,,Argentina,,Tierra del Fuego,N/A,,Arroyo Grande (54°47.5'S 68°17'W) en fisuras de roca y en raices humoso-arcillosos de Nothofagus pumilio en orilla de la cascada 150 m s.m.bastante copiosamente,Arroyo Grande in rock fissures and in humus-clay roots of Nothofagus pumilio on the edge of the waterfall 150 meters above sea level,en fisuras de roca y en raices humoso-arcillosos de Nothofagus pumilio en orilla de la cascada 150 m s.m.bastante copiosamente,,150 m s.m.,,,54°47.5'S 68°17'W,,,,2095,,,,Typed,no type status,,,,,,,
0054_C2079596F.jpg,,H. Roivainen,N/A,,,,,,,R. Ochyra,,,,,N/A,24.12.1969,,Argentina,,Tierra del Fuego,N/A,,"Valle del río pipo (5°46'S, 68°20'W), suelo humoso húmedo en el pendiente del río","Valle del río pipo, Ushuaia","Suelo humoso húmedo en el pendiente del río, bastante copiosamente",,300 m s.n.m.,,,"5°46'S, 68°20'W",,,,1352,,,,Typed,no type status,,,,,,,
0055_C2079597F.jpg,,B. P. Phillip,A. C. Smith,,,,,,,R. R. Ireland,,,,,N/A,"November 29, 1926",,Colombia,,Santander,N/A,,between Puerto Wilches and Puerto Santos,between Puerto Wilches and Puerto Santos,N/A,,alt. 110-115 m,,,N/A,,,,14871,,,,Mix of Handwritten and Typed,no type status,,,,,,,
0056_C2079598F.jpg,,R. E. Schultes,N/A,,,,,,,D. Griffin III,,,,,N/A,"Dec., 1950",,Colombia,,Meta,N/A,,alrededores de Villavicencio,Alrededores de Villavicencio,N/A,,Alt. 500 m.,,,N/A,,,,Nollillo,,,,Mix of Handwritten and Typed,no type status,,,,,,,
0057_C2079599F.jpg,,D. C. Geijskes,N/A,,,,,,,H. R. Zielman,,,,,N/A,29-9-1952,,Suriname,,N/A,N/A,,Jodensavanne,Jodensavanne,"On roots and rocks on bank of river, shaded",,N/A,,,N/A,,,,s.n.,,,,Typed,no type status,,,,,,,
0058_C2079600F.jpg,,Y. Mexia,N/A,,,,,,,R. R. Ireland,,,,,N/A,July 9 1930,,Brazil,,Minas Gerais,N/A,,Agricultural College land Horticultural Hill Cut over woods near base,Agricultural College land Horticultural Hill Cut over woods near base,On rotting log Abundant,,Alt. 970 m,,,N/A,,,,4812,,,,Typed,no type status,,,,,,,
0059_C2079601F.jpg,,Y. Mexia,N/A,,,,,,,R. R. Ireland,,,,,N/A,"July 21, 1930",,Brazil,,Minas Gerais,N/A,,Viçosa Agricultural College lands Corriga Ribeiro,Viçosa Agricultural College lands Corriga Ribeiro,Shady streambank On rotten wood,,Alt. 675 m,,,N/A,,,,4888,,,,Typed,no type status,,,,,,,
0060_C2079602F.jpg,,Y. Mexia,N/A,,,,,,,R. R. Ireland,,,,,N/A,"Dec. 6, 1930",,Brazil,,Minas Gerais,N/A,,road to São Miguel About km 4,road to São Miguel About 4 kilometers,Dense forest On rotten log,,Alt. 710 m,,,N/A,,,,5380,,,,Typed,no type status,,,,,,,
0061_C2079603F.jpg,,Y. Mexia,N/A,,,,,,,R. R. Ireland,,,,,N/A,"Dec. 23, 1930",,Brazil,,Minas Gerais,N/A,,Viçosa Agricultural College lands Base of Horticultural Hill,Viçosa Agricultural College lands Base of Horticultural Hill,On rotting log in woods Abundant,,Alt. 670 m,,,N/A,,,,5441,,,,Typed,no type status,,,,,,,
0062_C2079604F.jpg,,H. S. Irwin,R. M. Harley | G. L. Smith,,,,,,,R. R. Ireland,,,,,Coccoloba,2 March 1971,,Brazil,,Bahia,N/A,,Valley of the Rio das Ondas,Valley of the Rio das Ondas,On the bark and exposed roots of Coccoloba sp. and on adjacent soil at river bank. Cut-over gallery forest and adjacent cerrado ca. 10km W. of Barreiras,,elev. ca. 500m,,,N/A,,,,31332,,,,Mix of Handwritten and Typed,no type status,,,,,,,
0063_C2079606F.jpg,,Y. Mexia,N/A,,,,,,,R. R. Ireland,,,,,N/A,"July 21, 1929",,Brazil,,Minas Gerais,N/A,,Viçosa Agricultural College lands. Córrego Hidroforo,Viçosa Agricultural College lands. Córrego Hidroforo,Shady streambank on rotten log. Abundant,,Alt. 675 m.,,,N/A,,,,4884,,,,Typed,no type status,,,,,,,
0064_C2079607F.jpg,,Y. Mexia,N/A,,,,,,,Bartram,,,,,N/A,"May 14, 1930",,Brazil,,Minas Gerais,N/A,,Fazenda de Cresiuma,Fazenda de Cresiuma,Wood on slope On rotten log,,Alt. 700 m,,,N/A,,,,4698,,,,Typed,no type status,,,,,,,
0065_C2079608F.jpg,,Y. Mexia,N/A,,,,,,,Bartram,,,,,N/A,"July 21, 1930",,Brazil,,Minas Gerais,N/A,,"Viçosa Agricultural College lands. Corrigo Ribeiro. Shady streambank, on rotten log.",Viçosa Agricultural College lands. Corrigo Ribeiro.,"Shady streambank, on rotten log. Abundant.",,Alt. 675 m.,,,N/A,,,,4884,,,,Typed,no type status,,,,,,,
0066_C2079609F.jpg,,Y. Mexia,N/A,,,,,,,Bartram | R. R. Ireland,,,,,N/A,"March 31, 1930",,Brazil,,Minas Gerais,N/A,,Road to São Miguel Near stream Turvo,Road to São Miguel Near stream Turvo,Cut over woods on slope On rotting tree trunk,,Alt. 710 m.,,,N/A,,,,4545,,,,Typed,no type status,,,,,,,
0067_C2079611F.jpg,,V. Schiffner,N/A,,,,,,,R. R. Ireland,,,,,N/A,Dec. 65-67 m. Jul. fr.,,Brazil,,Sao Paulo,N/A,,prope Urbem Cerqueira Cesar,prope Urbem Cerqueira Cesar,N/A,,500-800 m,,,N/A,,,,2898,,,,Mix of Handwritten and Typed,no type status,,,,,,,
