modelname,associatedTaxa,collectedBy,country,firstPoliticalUnit,habitat,identifiedBy,latestScientificName,locality,maximumEventDate,minimumEventDate,municipality,originalMethod,otherCatalogNumbers,recordNumber,secondPoliticalUnit,secondaryCollectors,typeStatus,verbatimCollectors,verbatimCoordinates,verbatimDateIdentified,verbatimElevation,verbatimEventDate,verbatimIdentification,verbatimLocality
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Papua New Guinea,West Sepik,PASS,PASS,Macromitrium megalocladon,PASS,N/A,1975-04-21,PASS,PASS,1142432,16555,PASS,N/A,no type status,PASS,PASS,N/A,PASS,PASS,Macromitrium megalocladon Fleisch.,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Papua New Guinea,West Sepik,PASS,PASS,Macromitrium megalocladon,PASS,N/A,1975-04-07,PASS,Typed,1142300,15768,PASS,N/A,no type status,PASS,PASS,N/A,PASS,PASS,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Japan,PASS,PASS,PASS,Macromitrium incurvum,PASS,N/A,1946-08-00,PASS,Typed,PASS,s.n.,PASS,N/A,no type status,PASS,N/A,PASS,PASS,PASS,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Japan,Kumamoto,PASS,PASS,Macromitrium incurvum,PASS,N/A,1951-12-25,PASS,Typed,1043529,s.n.,N/A,N/A,no type status,PASS,N/A,N/A,60 m. above sea,"December 25, 1951",Macromitrium incurvum (Lindb.) Par.,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Japan,Kumamoto,PASS,PASS,Macromitrium gymnostomum,PASS,N/A,1952-02-11,PASS,Typed,1043490,PASS,N/A,N/A,no type status,PASS,N/A,PASS,PASS,"February 11, 1952",PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Japan,Kumamoto,PASS,PASS,Macromitrium gymnostomum,PASS,N/A,1952-03-00,PASS,Typed,PASS,s.n.,PASS,N/A,no type status,PASS,N/A,N/A,PASS,March 1952,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,China,PASS,PASS,PASS,Macromitrium gymnostomum,PASS,N/A,PASS,PASS,PASS,PASS,B.206,N/A,N/A,no type status,PASS,N/A,N/A,PASS,PASS,PASS,Kushan near Foochow
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,China,PASS,PASS,Theriot,Macromitrium gymnostomum,PASS,N/A,PASS,PASS,PASS,PASS,PASS,N/A,N/A,no type status,PASS,N/A,N/A,N/A,PASS,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,PASS,PASS,Papua New Guinea,PASS,Rather open montane forest with dominating Pandanus trees,PASS,Macromitrium longicaule,PASS,N/A,1981-07-23,N/A,PASS,PASS,PASS,PASS,N/A,no type status,Timo Koponen,PASS,1989,PASS,23 July 1981,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,China,PASS,PASS,N/A,Macromitrium japonicum,PASS,N/A,PASS,PASS,Typed,PASS,PASS,N/A,N/A,no type status,PASS,N/A,N/A,N/A,PASS,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Papua New Guinea,PASS,PASS,PASS,PASS,PASS,N/A,1981-07-09,N/A,PASS,PASS,PASS,N/A,N/A,no type status,Timo Koponen,PASS,PASS,PASS,9 July 1981,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Japan,PASS,PASS,PASS,PASS,PASS,N/A,PASS,PASS,Typed,PASS,PASS,PASS,PASS,no type status,PASS,N/A,PASS,PASS,PASS,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Japan,PASS,PASS,N/A,Macromitrium incurvum,PASS,N/A,PASS,PASS,PASS,1356480,PASS,PASS,N/A,no type status,PASS,N/A,N/A,N/A,PASS,Macromitrium incurvum (Lindb.) Paris,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Japan,Kagoshima,PASS,PASS,Macromitrium gymnostomum,PASS,N/A,1970-04-03,PASS,PASS,PASS,PASS,N/A,N/A,no type status,PASS,N/A,N/A,PASS,"April 3, 1970",PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Portugal,Azores,PASS,PASS,PASS,PASS,N/A,1937-06-14,PASS,Typed,1181624,PASS,N/A,PASS,no type status,PASS,N/A,N/A,PASS,PASS,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Bolivia,La Paz,PASS,PASS,Philonotis,PASS,N/A,1983-01-20,N/A,PASS,PASS,PASS,Larecaja,N/A,no type status,PASS,PASS,PASS,PASS,20 Jan 1983,Philonotis,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,M. Lewis,Bolivia,PASS,Eroding bank,PASS,Philonotis,PASS,N/A,1979-03-29,N/A,Typed,PASS,PASS,PASS,PASS,no type status,PASS,PASS,PASS,PASS,29 March 1979,Philonotis fide Crum,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,M. Lewis,Bolivia,Cochabamba,PASS,PASS,Philonotis,PASS,N/A,1979-06-01,N/A,PASS,PASS,79-2315,PASS,N/A,no type status,PASS,PASS,PASS,3030 m,1 June 1979,Philonotis,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Bolivia,N/A,PASS,PASS,PASS,PASS,N/A,1950-10-13,N/A,Typed,PASS,6867,N/A,N/A,no type status,PASS,N/A,PASS,PASS,PASS,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Bolivia,N/A,N/A,PASS,PASS,PASS,N/A,1950-10-13,N/A,Typed,PASS,6865,N/A,N/A,no type status,PASS,N/A,PASS,PASS,PASS,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Bolivia,Cochabamba,PASS,PASS,Philonotis,PASS,N/A,1979-06-01,N/A,PASS,1050327,79-2315,PASS,N/A,no type status,PASS,PASS,PASS,PASS,1 June 1979,Philonotis,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Peru,Amazonas,"Fels, Erde, Mauer, Baum, Strauch, Holz, See, Bach",PASS,PASS,PASS,N/A,PASS,N/A,PASS,1061647,PASS,PASS,PASS,no type status,PASS,N/A,N/A,PASS,PASS,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Mexico,Baja California Sur,PASS,PASS,Braunia secunda,PASS,N/A,1973-12-25,PASS,Typed,PASS,5166,N/A,PASS,no type status,PASS,N/A,N/A,PASS,25 December 1973,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,A. J. Sharp,Mexico,Oaxaca,"Partial shade, moist, road side cliff",PASS,PASS,PASS,N/A,1973-06-23,N/A,PASS,PASS,PASS,N/A,PASS,no type status,PASS,N/A,1992,PASS,"June 23, 1973",Braunia secunda (Hook.) B.S.G.,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Mexico,Jalisco,PASS,PASS,PASS,PASS,N/A,PASS,PASS,PASS,1045251,2736,PASS,PASS,no type status,PASS,N/A,PASS,PASS,PASS,Braunia secunda (Hook.) B.S.G.,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Mexico,Jalisco,PASS,PASS,Braunia Andrieuxii,On rocks near Guadalajara,N/A,PASS,PASS,PASS,PASS,10619,N/A,N/A,no type status,PASS,N/A,PASS,PASS,PASS,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Mexico,Hidalgo,N/A,PASS,PASS,PASS,N/A,PASS,N/A,Typed,PASS,10627,N/A,N/A,no type status,PASS,N/A,PASS,N/A,PASS,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Mexico,PASS,PASS,PASS,Braunia secunda,PASS,N/A,PASS,N/A,PASS,1031423,PASS,N/A,PASS,no type status,PASS,N/A,1992,PASS,PASS,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Mexico,PASS,PASS,PASS,Braunia secunda,PASS,N/A,PASS,PASS,PASS,1036945,PASS,N/A,PASS,no type status,PASS,N/A,PASS,PASS,PASS,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Mexico,PASS,PASS,PASS,Braunia secunda,PASS,N/A,1941-07-23,N/A,PASS,1045239,PASS,N/A,N/A,no type status,PASS,N/A,N/A,N/A,"July 23, 1941",PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Mexico,Chiapas,PASS,PASS,Braunia squarrulosa,PASS,N/A,1972-12-19,N/A,Typed,1045274,PASS,N/A,PASS,no type status,PASS,N/A,N/A,PASS,"Dec. 19, 1972",PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Mexico,Chiapas,PASS,PASS,PASS,PASS,N/A,1975-02-09,PASS,PASS,PASS,PASS,N/A,N/A,no type status,PASS,N/A,PASS,PASS,PASS,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,A. J. Sharp,Mexico,Oaxaca,PASS,PASS,Braunia squarrulosa,PASS,N/A,PASS,PASS,Typed,1045269,2980-a,N/A,PASS,no type status,PASS,N/A,PASS,PASS,PASS,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Mexico,Jalisco,PASS,PASS,PASS,PASS,N/A,1949-07-23,N/A,PASS,PASS,PASS,N/A,N/A,no type status,PASS,N/A,1992,7300 feet,23 July 1949,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Mexico,Federal District,PASS,PASS,Braunia squarrulosa,PASS,N/A,PASS,N/A,PASS,PASS,10550,N/A,N/A,no type status,PASS,N/A,1992,PASS,PASS,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Mexico,Chiapas,PASS,PASS,PASS,PASS,N/A,PASS,N/A,PASS,1031467,PASS,N/A,PASS,no type status,PASS,N/A,1992,PASS,PASS,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Mexico,Chiapas,PASS,PASS,PASS,PASS,N/A,1979-03-10,PASS,PASS,1031495,PASS,N/A,PASS,no type status,PASS,N/A,PASS,PASS,10.3.79(29),PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Mexico,Chiapas,PASS,PASS,PASS,PASS,N/A,1975-02-09,PASS,PASS,1045277,26429,N/A,N/A,no type status,PASS,N/A,PASS,PASS,"February 9, 1975",PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Costa Rica,PASS,PASS,PASS,Braunia squarrulosa,PASS,N/A,1979-02-04,N/A,PASS,1029423,PASS,PASS,PASS,PASS,PASS,N/A,PASS,PASS,PASS,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Bolivia,Tarija,PASS,PASS,Braunia exserta,PASS,N/A,2001-08-04,N/A,PASS,PASS,PASS,PASS,N/A,no type status,PASS,21°25'S 64°19'W,2001,PASS,4 Ago 2001,Braunia exserta C. Müller,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Argentina,Tucuman,PASS,PASS,PASS,PASS,N/A,1946-11-27,PASS,PASS,PASS,PASS,PASS,N/A,no type status,PASS,N/A,N/A,PASS,27 November 1946,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Bolivia,La Paz,In ravine with waterfall,PASS,PASS,PASS,N/A,1979-04-06,PASS,PASS,PASS,79-1625,Larecaja,N/A,no type status,PASS,PASS,1992,PASS,6 April 1979,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Bolivia,La Paz,PASS,PASS,Braunia plicata,PASS,N/A,1982-12-09,PASS,PASS,PASS,82-303,PASS,N/A,no type status,PASS,"16°44'S, 68°41'W",1990,PASS,9 Dec 1982,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Bolivia,PASS,Abundant on exposed rock face,PASS,Braunia plicata,PASS,N/A,1979-03-22,N/A,PASS,1032384,79-1230,PASS,N/A,no type status,PASS,PASS,1992,PASS,22 March 1979,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Bolivia,La Paz,PASS,PASS,Braunia plicata,PASS,N/A,1979-03-05,PASS,PASS,PASS,PASS,Saavedra,N/A,no type status,PASS,PASS,1992,3200-3240 m,5 March 1979,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Bolivia,PASS,PASS,PASS,Braunia plicata,PASS,N/A,1979-03-05,N/A,PASS,PASS,79-940,PASS,N/A,no type status,PASS,PASS,1992,3200 m,5 March 1979,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Bolivia,PASS,PASS,PASS,Hedwigidium integrifolium,PASS,N/A,1979-03-05,N/A,PASS,1032366,79-935,PASS,N/A,no type status,PASS,PASS,PASS,3200 m,5 March 1979,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Bolivia,Tarija,PASS,PASS,Hedwigidium integrifolium,PASS,N/A,1979-02-10,N/A,PASS,PASS,79-615,PASS,N/A,no type status,Marko Lewis,PASS,PASS,3350 m,10 February 1979,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Peru,Ancash,Growing on branches,Dana Griffin III,Braunia secunda,PASS,N/A,1983-01-28,N/A,PASS,PASS,PASS,Yungay,PASS,no type status,PASS,N/A,PASS,PASS,PASS,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,PASS,PASS,Venezuela,PASS,PASS,PASS,Braunia secunda,PASS,N/A,PASS,PASS,PASS,PASS,PASS,N/A,PASS,no type status,PASS,N/A,PASS,PASS,PASS,Braunia secunda (Hook.) BSG,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Bolivia,Tarija,On rocks in dry deciduous forest,PASS,PASS,PASS,N/A,1979-02-02,PASS,PASS,PASS,PASS,PASS,N/A,no type status,PASS,PASS,1992,1750 m,2 February 1979,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Bolivia,PASS,N/A,Efrain De Luna,PASS,PASS,N/A,1972-12-24,PASS,PASS,1045267,25278,PASS,N/A,no type status,PASS,N/A,1992,PASS,"December 24, 1972",PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Bolivia,PASS,PASS,PASS,Racopilum intermedium,PASS,N/A,1989-11-12,PASS,PASS,PASS,7560,PASS,PASS,no type status,PASS,N/A,N/A,PASS,12 November 1989,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Bolivia,La Paz,PASS,PASS,Racopilum tomentosum,PASS,N/A,1983-02-07,Coroico,Typed,1100456,83-503,Nor Yungas,N/A,no type status,PASS,"16°11'S, 67°43'W",PASS,PASS,PASS,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Brazil,PASS,PASS,PASS,PASS,PASS,N/A,1930-11-11,PASS,Typed,PASS,PASS,N/A,N/A,no type status,PASS,N/A,N/A,PASS,PASS,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,PASS,PASS,Ecuador,PASS,PASS,PASS,PASS,PASS,N/A,1976-04-24,N/A,PASS,PASS,PASS,PASS,PASS,no type status,PASS,N/A,N/A,PASS,24.IV.1976,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Peru,Amazonas,PASS,PASS,Racopilum tomentosum,PASS,N/A,1973-08-31,PASS,PASS,1026724,PASS,Chachapoyas,PASS,no type status,PASS,N/A,N/A,PASS,PASS,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,J. Florschütz,Suriname,N/A,PASS,P. A. Florschütz | J. Florschütz-de Waard,Racopilum tomentosum,PASS,N/A,1975-12-18,PASS,PASS,PASS,4715,N/A,P. A. Florschütz,no type status,PASS,N/A,PASS,N/A,PASS,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,E. Linares,Colombia,Meta,PASS,PASS,Racopilum tomentosum,PASS,N/A,1984-09-26,N/A,Typed,PASS,PASS,Villavicencio,PASS,no type status,PASS,N/A,PASS,alt. 600 m,26 Sept. 1984,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Bolivia,La Paz,PASS,PASS,PASS,PASS,N/A,1983-02-07,Coroico,PASS,1100344,83-511,Nor Yungas,N/A,no type status,PASS,"16°11'S, 67°43'W",PASS,PASS,7 Feb 1983,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Peru,PASS,PASS,PASS,Rhacopilum tomentosum,PASS,N/A,1936-09-15,N/A,Typed,PASS,PASS,PASS,N/A,no type status,PASS,N/A,N/A,PASS,PASS,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Peru,PASS,on rock in wood,PASS,PASS,Hacienda Exito; bank of Rio Ysabel; on rock in wood,N/A,1936-09-09,N/A,Typed,PASS,PASS,PASS,N/A,no type status,PASS,N/A,N/A,Alt. 1100 m.,PASS,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Peru,Huanuco,On rock in woods,PASS,PASS,PASS,N/A,PASS,N/A,Typed,PASS,8168a,PASS,N/A,no type status,PASS,N/A,N/A,PASS,PASS,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,PASS,R. E. Schultes,Colombia,Amazonas,PASS,PASS,PASS,PASS,N/A,1952-05-19,N/A,PASS,PASS,16563,N/A,I. Cabrera,no type status,PASS,PASS,PASS,PASS,"May 19, 1952",PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Colombia,PASS,PASS,PASS,PASS,PASS,1977-08-00,1977-07-00,N/A,PASS,1029476,PASS,N/A,PASS,no type status,PASS,N/A,N/A,PASS,Julio-Agosto 1977,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,PASS,PASS,Colombia,Antioquia,In secondary montane forest,PASS,PASS,PASS,N/A,1987-07-06,PASS,PASS,1139980,15466,N/A,PASS,no type status,PASS,PASS,N/A,PASS,6 July 1987,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,D. Griffin,Costa Rica,Cartago,PASS,N/A,Hypnella pilifera,PASS,1977-07-04,1977-07-03,N/A,Typed,1025621,PASS,N/A,PASS,no type status,PASS,N/A,N/A,PASS,"Julio 3-4, 1977",PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Venezuela,PASS,PASS,PASS,Hypnella cymbifolia,PASS,N/A,PASS,N/A,Typed,1026297,34365,N/A,N/A,no type status,John J. Wurdack,N/A,N/A,PASS,PASS,Hypnella cymbifolia (Hpe.) Jaeg.,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Brazil,Amazonas,PASS,N/A,Hookeriopsis parkeriana,PASS,1979-07-12,PASS,N/A,Typed,PASS,2445,N/A,PASS,no type status,PASS,PASS,N/A,PASS,PASS,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Peru,Pasco,PASS,PASS,Hypnella pilifera,PASS,N/A,1981-07-30,N/A,Typed,PASS,PASS,N/A,N/A,no type status,PASS,PASS,N/A,1900 m,30 July 1981,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Peru,PASS,Extremely mossy elfin cloud forest near shallow ravine,PASS,Hypnella pilifera,PASS,N/A,1981-12-04,N/A,PASS,PASS,s.n.,N/A,PASS,no type status,PASS,PASS,PASS,PASS,PASS,Hypnella pilifera (Hook. & Wils.) Jaeg.,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Colombia,Antioquia,PASS,PASS,Hypnella diversifolia,PASS,N/A,1992-07-11,PASS,PASS,PASS,18335,N/A,N/A,no type status,PASS,PASS,N/A,PASS,11 July 1992,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Venezuela,PASS,PASS,PASS,Hypnella cymbifolia,PASS,N/A,1953-01-07,N/A,PASS,1026299,PASS,N/A,N/A,no type status,PASS,N/A,N/A,PASS,"January 7, 1953",PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,PASS,PASS,Peru,Pasco,In Weinmannia forest,PASS,Hypnella Pallescens,PASS,N/A,1981-07-30,N/A,PASS,PASS,PASS,N/A,N/A,no type status,PASS,PASS,N/A,1900 m,30 July 1981,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,Venezuela,PASS,PASS,PASS,PASS,PASS,N/A,PASS,N/A,PASS,PASS,PASS,N/A,N/A,no type status,John J. Wurdack,N/A,N/A,PASS,PASS,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,N/A,PASS,France,PASS,PASS,N/A,PASS,PASS,N/A,PASS,PASS,Mix of Handwritten and Typed,PASS,PASS,PASS,PASS,no type status,PASS,N/A,N/A,N/A,PASS,PASS,PASS
sonnet-3.5_gpt-4o-cropped_gpt-4o-collage,Pinus thunbergii,PASS,Japan,PASS,PASS,PASS,Macromitrium japonicum,PASS,N/A,1973-01-11,N/A,Typed,PASS,s.n.,N/A,N/A,no type status,PASS,N/A,N/A,PASS,PASS,PASS,PASS
