associatedTaxa,collectedBy,country,firstPoliticalUnit,habitat,identifiedBy,latestScientificName,locality,maximumEventDate,minimumEventDate,municipality,originalMethod,otherCatalogNumbers,recordNumber,secondPoliticalUnit,secondaryCollectors,typeStatus,verbatimCollectors,verbatimCoordinates,verbatimDateIdentified,verbatimElevation,verbatimEventDate,verbatimIdentification,verbatimLocality
N/A,A. Touw,PASS,PASS,PASS,PASS,Macromitrium incurvifolium,PASS,N/A,1975-03-09,PASS,Typed,1142151,14660,N/A,N/A,no type status,PASS,N/A,PASS,PASS,PASS,PASS,PASS
N/A,PASS,PASS,PASS,PASS,D. H. Vitt,Macromitrium longicaule,PASS,N/A,1975-05-20,PASS,Typed,1141855,18543,PASS,N/A,no type status,PASS,PASS,PASS,PASS,PASS,Macromitrium longicaule C. Müll.,PASS
N/A,PASS,Papua New Guinea,PASS,PASS,D. H. Vitt,Macromitrium macrosporum,PASS,N/A,PASS,N/A,Typed,1142194,17369,PASS,N/A,no type status,PASS,PASS,PASS,PASS,PASS,Macromitrium macrosporum Broth.,PASS
N/A,PASS,Papua New Guinea,PASS,PASS,PASS,Macromitrium macrosporum,PASS,N/A,1975-04-17,N/A,Typed,1142178,PASS,PASS,N/A,no type status,PASS,PASS,PASS,PASS,17.4.1975,Macromitrium macrosporum Broth.,PASS
N/A,PASS,PASS,PASS,N/A,PASS,Macromitrium macrosporum,PASS,N/A,PASS,N/A,Typed,1142156,PASS,N/A,N/A,no type status,PASS,PASS,N/A,PASS,PASS,Macromitrium macrosporum Broth.,PASS
N/A,PASS,Papua New Guinea,PASS,PASS,D. H. Vitt,Macromitrium macrosporum,PASS,N/A,1975-04-19,N/A,Typed,1142175,PASS,PASS,N/A,no type status,PASS,PASS,PASS,PASS,19.4.1975,Macromitrium macrosporum Broth.,PASS
N/A,PASS,Papua New Guinea,PASS,PASS,PASS,Macromitrium macrosporum,PASS,N/A,1975-05-05,N/A,Typed,1141880,17205,Star Mts.,N/A,no type status,PASS,PASS,PASS,PASS,PASS,Macromitrium macrosporum Broth.,PASS
N/A,PASS,Papua New Guinea,PASS,Pendulous from heavy tree branches and slanting trunks,D. H. Vitt,Macromitrium megalocladon,PASS,N/A,1975-05-14,N/A,Typed,1142187,18046,PASS,N/A,no type status,PASS,PASS,PASS,PASS,14.5.1975,Macromitrium megalocladon Fleisch.,PASS
N/A,PASS,Papua New Guinea,PASS,PASS,PASS,Macromitrium megalocladon,PASS,N/A,1975-04-21,N/A,Typed,1142432,16555,PASS,N/A,no type status,PASS,PASS,N/A,PASS,21.4.1975,Macromitrium megalocladon Fleisch.,PASS
N/A,PASS,Papua New Guinea,PASS,PASS,D. H. Vitt,Macromitrium megalocladon,PASS,N/A,1975-04-07,N/A,Typed,1142300,15768,PASS,N/A,no type status,PASS,PASS,PASS,PASS,PASS,Macromitrium megalocladon Fleisch.,PASS
N/A,PASS,Japan,Miyazaki,PASS,A. Noguchi,Macromitrium incurvum,PASS,N/A,PASS,Obi,PASS,PASS,PASS,Minaminaka,N/A,no type status,PASS,N/A,PASS,PASS,PASS,PASS,PASS
N/A,K. Mayebara,Japan,PASS,N/A,A. Noguchi,Macromitrium incurvum,PASS,N/A,1951-12-25,PASS,Typed,1043529,s.n.,PASS,N/A,no type status,PASS,N/A,PASS,60 m. above sea,"December 25, 1951",Macromitrium incurvum (Lindb.) Par.,PASS
N/A,PASS,Japan,PASS,PASS,A. Noguchi,Macromitrium gymnostomum,PASS,N/A,PASS,PASS,Typed,1043490,PASS,N/A,N/A,no type status,PASS,N/A,PASS,PASS,PASS,Macromitrium gymnostomum Sull. et Lesq.,PASS
N/A,PASS,Japan,PASS,N/A,A. Noguchi,Macromitrium gymnostomum,PASS,N/A,PASS,PASS,Typed,1043493,PASS,PASS,N/A,no type status,PASS,N/A,PASS,PASS,PASS,PASS,PASS
N/A,PASS,China,PASS,PASS,PASS,Macromitrium gymnostomum,Kushan near Foochow,N/A,PASS,N/A,Typed,PASS,B.206,N/A,N/A,no type status,PASS,N/A,N/A,PASS,PASS,PASS,Kushan near Foochow
N/A,PASS,China,PASS,PASS,Theriot,PASS,PASS,N/A,PASS,N/A,PASS,PASS,B.20,N/A,N/A,no type status,PASS,N/A,N/A,N/A,PASS,PASS,On rock in bamboo forest
PASS,PASS,Papua New Guinea,PASS,PASS,D. H. Vitt,PASS,PASS,N/A,1981-07-23,N/A,Typed,PASS,PASS,N/A,N/A,no type status,PASS,PASS,1989,PASS,23 July 1981,PASS,PASS
N/A,PASS,China,PASS,On shady rocks or bark,PASS,Macromitrium japonicum,PASS,N/A,PASS,N/A,Typed,PASS,B.4.,N/A,N/A,no type status,PASS,N/A,N/A,N/A,PASS,PASS,PASS
N/A,T. Koponen,Papua New Guinea,PASS,"Open alpine grassland and ""subalpine"" forest",PASS,PASS,PASS,N/A,1981-07-09,N/A,Typed,1142666,PASS,PASS,N/A,no type status,Timo Koponen,PASS,PASS,3550 m,9 July 1981,PASS,PASS
N/A,PASS,Japan,PASS,PASS,PASS,PASS,PASS,N/A,PASS,N/A,Typed,PASS,PASS,N/A,PASS,no type status,PASS,N/A,PASS,1-10 m alt.,PASS,PASS,PASS
N/A,PASS,Japan,Honshu,N/A,N/A,Macromitrium incurvum,PASS,N/A,PASS,N/A,Typed,1356480,PASS,Musashi,N/A,no type status,PASS,N/A,N/A,N/A,PASS,PASS,PASS
N/A,PASS,Japan,PASS,PASS,A. Noguchi,Macromitrium gymnostomum,PASS,N/A,PASS,PASS,Typed,PASS,s.n.,PASS,N/A,no type status,PASS,N/A,PASS,PASS,PASS,PASS,PASS
N/A,V. Allorge,Portugal,Azores,PASS,PASS,PASS,PASS,N/A,PASS,PASS,Typed,1181624,PASS,N/A,P. Allorge,no type status,V. et P. Allorge,N/A,N/A,PASS,PASS,PASS,PASS
N/A,PASS,Bolivia,La Paz,PASS,PASS,Philonotis,PASS,N/A,1983-01-20,N/A,Typed,1100485,83-224,Larecaja,N/A,no type status,PASS,PASS,PASS,PASS,20 Jan 1983,Philonotis,PASS
N/A,M. Lewis,Bolivia,La Paz,PASS,PASS,Philonotis,PASS,N/A,1979-03-29,PASS,Typed,PASS,79-1314,Larecaja,N/A,no type status,PASS,PASS,PASS,PASS,29 March 1979,Philonotis fide Crum,PASS
N/A,M. Lewis,Bolivia,Cochabamba,PASS,PASS,Philonotis,PASS,N/A,1979-06-01,N/A,Typed,PASS,79-2315,Chapare,N/A,no type status,PASS,PASS,PASS,3030 m,1 June 1979,Philonotis,PASS
N/A,PASS,Bolivia,N/A,N/A,PASS,PASS,PASS,N/A,PASS,N/A,Typed,PASS,PASS,N/A,N/A,no type status,PASS,N/A,PASS,PASS,PASS,PASS,PASS
N/A,PASS,Bolivia,N/A,N/A,PASS,PASS,PASS,N/A,1950-10-13,N/A,Typed,PASS,6865,N/A,N/A,no type status,PASS,N/A,PASS,10000 ft.,13 Oct. 1950,PASS,PASS
N/A,M. Lewis,Bolivia,Cochabamba,PASS,PASS,Philonotis,PASS,N/A,1979-06-01,N/A,Typed,1050327,79-2315,Chapare,N/A,no type status,PASS,PASS,PASS,PASS,1 June 1979,PASS,PASS
N/A,PASS,Peru,PASS,"Fels, Erde, Mauer, Baum, Strauch, Holz, See, Bach",PASS,PASS,PASS,N/A,PASS,N/A,PASS,1061647,PASS,PASS,N/A,no type status,PASS,N/A,N/A,3000 m,PASS,PASS,PASS
N/A,PASS,Mexico,PASS,PASS,PASS,PASS,PASS,N/A,PASS,N/A,Typed,1045263,PASS,N/A,PASS,no type status,PASS,N/A,N/A,Alt. ca. 6300 ft.,PASS,PASS,PASS
N/A,PASS,Mexico,PASS,"Partial shade, moist, road side cliff",PASS,Braunia secunda,PASS,N/A,1973-06-23,N/A,Typed,1045248,PASS,N/A,PASS,no type status,PASS,N/A,PASS,PASS,"June 23, 1973",Braunia secunda (Hook.) B.S.G.,PASS
N/A,A. J. Sharp,Mexico,Jalisco,PASS,PASS,PASS,PASS,N/A,PASS,PASS,Typed,1045251,2736,PASS,PASS,no type status,PASS,N/A,PASS,PASS,PASS,Braunia secunda (Hook.) B.S.G.,PASS
N/A,PASS,Mexico,Jalisco,N/A,PASS,Braunia andrieuxii,PASS,N/A,PASS,N/A,Typed,PASS,PASS,N/A,N/A,no type status,PASS,N/A,PASS,PASS,PASS,PASS,PASS
N/A,C. G. Pringle,Mexico,Hidalgo,N/A,PASS,PASS,PASS,N/A,PASS,N/A,Typed,1045265,10627,N/A,N/A,no type status,C. G. Pringle,N/A,PASS,N/A,PASS,PASS,PASS
N/A,PASS,Mexico,PASS,PASS,PASS,Braunia secunda,PASS,N/A,PASS,N/A,Typed,1031423,PASS,N/A,PASS,no type status,PASS,N/A,1992,PASS,PASS,PASS,PASS
N/A,PASS,Mexico,PASS,PASS,PASS,Braunia secunda,PASS,N/A,PASS,N/A,Typed,1036945,PASS,N/A,PASS,no type status,PASS,N/A,N/A,PASS,PASS,PASS,PASS
N/A,A. J. Sharp,Mexico,PASS,PASS,PASS,Braunia secunda,PASS,N/A,1941-07-23,N/A,Typed,1045239,PASS,N/A,N/A,no type status,A. J. Sharp,N/A,PASS,N/A,"July 23, 1941",PASS,PASS
N/A,PASS,Mexico,PASS,PASS,PASS,Braunia squarrulosa,PASS,N/A,1972-12-19,N/A,Typed,1045274,PASS,N/A,PASS,no type status,PASS,N/A,N/A,PASS,"Dec. 19, 1972",PASS,PASS
N/A,PASS,Mexico,PASS,PASS,PASS,PASS,PASS,N/A,PASS,San Cristobal de las Casas,Typed,1052129,PASS,N/A,N/A,no type status,PASS,N/A,1992,alt. 6800 ft.,PASS,PASS,PASS
N/A,PASS,Mexico,Oaxaca,PASS,PASS,Braunia squarrulosa,PASS,N/A,PASS,San Pablo Ayutla,Typed,1045269,PASS,N/A,PASS,no type status,PASS,N/A,PASS,PASS,PASS,PASS,PASS
N/A,PASS,Mexico,Jalisco,PASS,E. De Luna,PASS,PASS,N/A,PASS,N/A,Typed,PASS,PASS,N/A,N/A,no type status,PASS,N/A,1992,7300 feet,PASS,PASS,PASS
N/A,PASS,Mexico,PASS,N/A,PASS,Braunia squarrulosa,PASS,N/A,PASS,N/A,Typed,PASS,PASS,N/A,N/A,no type status,PASS,N/A,PASS,PASS,PASS,PASS,PASS
N/A,PASS,Mexico,Chiapas,PASS,PASS,PASS,PASS,N/A,PASS,N/A,Typed,1031467,PASS,N/A,PASS,no type status,PASS,N/A,PASS,PASS,PASS,PASS,PASS
N/A,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,PASS,N/A,PASS,1031495,PASS,N/A,PASS,no type status,PASS,N/A,PASS,PASS,PASS,PASS,PASS
N/A,PASS,Mexico,Chiapas,On oak trunk in oak-pine woods,PASS,PASS,PASS,N/A,PASS,N/A,Typed,1045277,PASS,N/A,N/A,no type status,PASS,PASS,PASS,PASS,PASS,PASS,PASS
N/A,PASS,Costa Rica,San Jose,PASS,PASS,Braunia squarrulosa,PASS,N/A,PASS,N/A,Typed,1029423,PASS,N/A,PASS,no type status,PASS,N/A,PASS,PASS,PASS,PASS,PASS
N/A,PASS,Bolivia,Tarija,PASS,S. Churchill,Braunia exserta,PASS,N/A,PASS,N/A,Typed,PASS,PASS,Burnet O'Connor,N/A,no type status,PASS,PASS,PASS,PASS,PASS,PASS,PASS
N/A,B. Sparre,Argentina,PASS,PASS,PASS,Braunia cirrhifolia,PASS,N/A,1946-11-27,PASS,Typed,PASS,PASS,Chicligasta,N/A,no type status,PASS,N/A,N/A,PASS,27 November 1946,PASS,PASS
N/A,M. Lewis,Bolivia,La Paz,PASS,PASS,Braunia cirrhifolia,PASS,N/A,1979-04-06,PASS,PASS,1032380,79-1625,Larecaja,N/A,no type status,PASS,PASS,1992,PASS,6 April 1979,PASS,PASS
N/A,PASS,Bolivia,La Paz,PASS,PASS,Braunia plicata,PASS,N/A,PASS,N/A,Typed,PASS,PASS,PASS,N/A,no type status,PASS,"16°44'S, 68°41'W",1990,PASS,PASS,Braunia plicata (Mitt.) Jaeg.,PASS
N/A,M. Lewis,Bolivia,La Paz,PASS,E. De Luna,Braunia plicata,Near large red outcrop 2 miles from Sorata down Rio Consata,N/A,1979-03-22,N/A,Typed,1032384,79-1230,Larecaja,N/A,no type status,PASS,PASS,1992,PASS,22 March 1979,Braunia plicata (Mitt.) Jaeg.,PASS
N/A,PASS,Bolivia,La Paz,PASS,PASS,Braunia plicata,PASS,N/A,1979-03-05,N/A,Typed,1032341,PASS,Saavedra,N/A,no type status,PASS,PASS,PASS,PASS,5 March 1979,Braunia plicata (Mitt.) Jaeg.,PASS
N/A,PASS,Bolivia,La Paz,PASS,E. De Luna,Braunia plicata,PASS,N/A,1979-03-05,N/A,Typed,1032381,79-940,PASS,N/A,no type status,PASS,PASS,1992,PASS,5 March 1979,Braunia plicata (Mitt.) Jaeg.,PASS
N/A,PASS,Bolivia,La Paz,PASS,PASS,PASS,PASS,N/A,PASS,N/A,Typed,1032366,PASS,Saavedra,N/A,no type status,PASS,PASS,PASS,PASS,PASS,PASS,PASS
N/A,M. Lewis,PASS,PASS,PASS,PASS,Hedwigidium integrifolium,PASS,N/A,1979-02-10,N/A,Typed,1032358,79-615,PASS,N/A,no type status,PASS,"21° 27' S., 64° 54' W.",PASS,PASS,10 February 1979,PASS,PASS
N/A,PASS,Peru,Ancash,Growing on branches,PASS,Braunia secunda,PASS,N/A,1983-01-28,PASS,Typed,PASS,PASS,PASS,U. Molau | P. Matekaitis,no type status,PASS,N/A,PASS,PASS,28 Jan. 1983,Braunia secunda (Hook.) B.S.G.,PASS
N/A,PASS,Venezuela,Merida,PASS,PASS,Braunia secunda,PASS,N/A,PASS,N/A,Typed,PASS,PASS,PASS,N/A,no type status,PASS,N/A,PASS,PASS,PASS,Braunia secunda (Hook.) BSG,PASS
N/A,PASS,Bolivia,Tarija,PASS,PASS,PASS,PASS,N/A,1979-02-02,PASS,Typed,1032377,79-489A,O'Connor,N/A,no type status,PASS,PASS,1992,PASS,2 February 1979,PASS,PASS
N/A,PASS,Bolivia,Cochabamba,N/A,PASS,Braunia subplicata,PASS,N/A,PASS,PASS,Typed,1045267,PASS,PASS,N/A,no type status,PASS,N/A,1992,PASS,PASS,Braunia subplicata E.G.Britt.,PASS
N/A,PASS,Bolivia,PASS,PASS,PASS,Racopilum intermedium,PASS,N/A,1989-11-12,PASS,Typed,1091583,7560,PASS,M. Lewis,no type status,PASS,N/A,N/A,PASS,12 November 1989,PASS,PASS
N/A,M. Lewis,Bolivia,La Paz,Fruit and coffee plantations. On rocks in shady fruit orchard.,PASS,PASS,PASS,N/A,1983-02-07,Coroico,Typed,1100456,83-503,Nor Yungas,N/A,no type status,PASS,PASS,PASS,PASS,7 Feb 1983,PASS,PASS
N/A,Y. Mexia,Brazil,PASS,PASS,PASS,PASS,PASS,N/A,1930-11-11,PASS,Typed,PASS,PASS,N/A,N/A,no type status,Ynes Mexia,N/A,N/A,PASS,"Nov. 11, 1930",PASS,PASS
N/A,S. R. Gradstein,Ecuador,Galapagos Islands,PASS,W. A. Weber,Rhacopilum tomentosum,PASS,N/A,PASS,N/A,Typed,1023912,M-58,PASS,PASS,no type status,PASS,N/A,PASS,PASS,PASS,PASS,PASS
N/A,PASS,Peru,Amazonas,PASS,PASS,PASS,PASS,N/A,PASS,PASS,PASS,1026724,PASS,Chachapoyas,N/A,no type status,PASS,N/A,PASS,PASS,PASS,PASS,PASS
N/A,J. Florschütz,Suriname,N/A,On decaying log,PASS,PASS,PASS,N/A,1975-12-18,N/A,Typed,1028580,4715,N/A,P. A. Florschütz,no type status,PASS,N/A,PASS,N/A,PASS,PASS,PASS
N/A,E. Linares,Colombia,PASS,PASS,PASS,PASS,PASS,N/A,1984-09-26,PASS,Typed,PASS,1543,Villavicencio,PASS,no type status,PASS,N/A,PASS,PASS,26 Sept. 1984,PASS,PASS
N/A,PASS,Bolivia,La Paz,Fruit and coffee plantations. Bark of fruit trees in orchard.,PASS,PASS,PASS,N/A,PASS,Coroico,Typed,1100344,PASS,Nor Yungas,N/A,no type status,PASS,"16°11'S, 67°43'W",PASS,PASS,PASS,PASS,PASS
N/A,PASS,Peru,Huanuco,PASS,PASS,Rhacopilum tomentosum,PASS,N/A,1936-09-15,N/A,Typed,PASS,PASS,PASS,N/A,no type status,PASS,N/A,N/A,PASS,PASS,Rhacopilum tomentosum (Sw.) Brid.,PASS
N/A,Y. Mexia,Peru,PASS,on rock in wood,PASS,PASS,PASS,N/A,1936-09-09,N/A,Typed,PASS,PASS,PASS,N/A,no type status,PASS,N/A,N/A,alt. 1100 m.,PASS,PASS,PASS
N/A,PASS,Peru,Huanuco,PASS,PASS,Rhacopilum tomentosum,PASS,N/A,1936-09-09,PASS,Typed,PASS,8168a,PASS,N/A,no type status,PASS,N/A,N/A,alt. 1100 m.,"Sept. 9, 1936",PASS,PASS
N/A,PASS,Colombia,Amazonas,PASS,PASS,PASS,Rio Miritiparaná: Caño Guacayá,N/A,1952-05-19,N/A,Typed,1055465,16563,N/A,PASS,no type status,PASS,PASS,PASS,Altitude about 700 feet,"May 19, 1952",PASS,PASS
N/A,D. Griffin,Colombia,Magdalena,Bosque nublado montano bajo,PASS,PASS,PASS,1977-08-00,1977-07-00,PASS,Typed,1029476,PASS,PASS,O. Rangel | G. van Reenen,no type status,PASS,N/A,PASS,PASS,Julio-Agosto 1977,PASS,PASS
N/A,S. P. Churchill,Colombia,Antioquia,In secondary montane forest,PASS,PASS,PASS,N/A,1987-07-06,N/A,Typed,1139980,15466,PASS,PASS,no type status,S.P. Churchill et al.,PASS,PASS,PASS,6 July 1987,PASS,PASS
N/A,PASS,Costa Rica,Cartago,PASS,PASS,Hypnella pilifera,PASS,1977-07-04,1977-07-03,N/A,Typed,1025621,PASS,N/A,PASS,no type status,PASS,N/A,PASS,PASS,"Julio 3-4, 1977",Hypnella pilifera (Hook. et Wils.) Jaeg.,PASS
N/A,PASS,Venezuela,Bolivar,PASS,E. B. Bartram,Hypnella cymbifolia,PASS,N/A,PASS,N/A,Typed,1026297,34365,N/A,N/A,no type status,PASS,N/A,PASS,PASS,PASS,Hypnella cymbifolia (Hpe.) Jaeg.,PASS
N/A,W. R. Buck,Brazil,Amazonas,PASS,PASS,Hookeriopsis parkeriana,PASS,PASS,PASS,N/A,Typed,PASS,2445,N/A,PASS,no type status,PASS,PASS,N/A,PASS,PASS,Hookeriopsis parkeriana (Hook. & Grev.) Jaeg.,PASS
N/A,PASS,Peru,Pasco,in Weinmannia forest,PASS,Hypnella pilifera,PASS,N/A,PASS,N/A,Typed,1059405,PASS,PASS,N/A,no type status,PASS,PASS,PASS,PASS,PASS,HYPNELLA PILIFERA (Hook. & Wils.) Jaeg.,PASS
N/A,PASS,Peru,Cuzco,PASS,PASS,Hypnella pilifera,PASS,N/A,1981-12-04,N/A,Typed,1059455,s.n.,N/A,D. E. Willard,no type status,PASS,PASS,PASS,PASS,4 Dec. 1981,HYPNELLA PILIFERA (Hook. & Wils.) Jaeg.,PASS
N/A,S. P. Churchill,Colombia,Antioquia,PASS,S. P. Churchill,Hypnella diversifolia,PASS,N/A,1992-07-11,PASS,Typed,PASS,18335,PASS,N/A,no type status,S.P. Churchill et al.,PASS,N/A,alt. 1950 m,11 July 1992,PASS,PASS
N/A,PASS,Venezuela,PASS,PASS,PASS,Hypnella cymbifolia,PASS,N/A,PASS,N/A,Typed,1026299,PASS,N/A,N/A,no type status,PASS,N/A,PASS,PASS,PASS,Hypnella cymbifolia (Hpe.) Jaeg.,PASS
PASS,R. B. Foster,Peru,Pasco,PASS,N/A,Hypnella pallescens,PASS,N/A,1981-07-30,N/A,Typed,1059403,4720,N/A,N/A,no type status,PASS,10°30'S 75°30'W,N/A,PASS,30 July 1981,PASS,PASS
N/A,PASS,Venezuela,Bolivar,PASS,E. B. Bartram,PASS,PASS,N/A,PASS,N/A,Typed,1026300,34365,N/A,N/A,no type status,PASS,N/A,PASS,PASS,PASS,PASS,PASS
N/A,T. Husnot,France,PASS,PASS,N/A,PASS,PASS,N/A,PASS,PASS,PASS,1084497,s.n.,N/A,N/A,no type status,PASS,N/A,N/A,N/A,PASS,PASS,PASS
PASS,H. Inoue,Japan,PASS,PASS,Z. Iwatsuki,Macromitrium japonicum,PASS,N/A,1973-01-11,N/A,Typed,1021837,s.n.,N/A,N/A,no type status,PASS,N/A,N/A,elevation about 10 m,"Jan. 11, 1973",Macromitrium japonicum Doz. et Molk.,PASS
N/A,R. Reitz,Brazil,Santa Catarina,rupestre,PASS,PASS,PASS,N/A,PASS,N/A,Typed,PASS,PASS,N/A,N/A,no type status,PASS,N/A,PASS,PASS,PASS,PASS,PASS
PASS,PASS,Brazil,PASS,PASS,PASS,Campylopus arctocarpus,PASS,N/A,1977-07-22,PASS,Typed,1026026,PASS,PASS,N/A,no type status,PASS,N/A,N/A,PASS,PASS,PASS,PASS
N/A,PASS,Brazil,Santa Catarina,PASS,N/A,Campylopus arctocarpus,PASS,N/A,PASS,PASS,Typed,PASS,PASS,N/A,N/A,no type status,PASS,N/A,N/A,PASS,PASS,PASS,PASS
N/A,Schäfer-Verwimp,PASS,São Paulo,PASS,PASS,PASS,PASS,N/A,PASS,N/A,PASS,1097651,PASS,PASS,N/A,no type status,leg. Schäfer-Verwimp,N/A,N/A,PASS,PASS,PASS,PASS
N/A,J.-P. Frahm,Peru,Amazonas,PASS,PASS,Campylopus heterostachys,PASS,N/A,1982-09-06,Chachapoyas,Typed,1053590,s.n.,PASS,N/A,no type status,PASS,N/A,PASS,PASS,6.9.1982,PASS,PASS
