Image,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,substrate,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus
0010_V0597275F.jpg,P.C.M. Jansen,P.C.M. Jansen,N/A,5996,N/A,N/A,N/A,Cirsium vulgare (Savi) Ten.,Cirsium vulgare (Savi) Ten.,C.C.H. Jongkind,14 April 1976,N/A,Ethiopia,Harerge,N/A,N/A,"around Damota Village, near Alema, between chat and sorghum fields.","around Damota Village, near Alema, between chat and sorghum fields.",Ground roots are drunk against gonorrhoe.,soil,N/A,N/A,N° 2302849,Typed,no type status
0011_V0597626F.jpg,"Amanda Koch, Wilson Saduka, AK61",Amanda Koch,Wilson Saduka,AK61,"October 22, 2003",2003-10-22,N/A,Acacia reficiens meruensis (Vatke) Brenan,Acacia reficiens meruensis (Vatke) Brenan,Patrick Mutiso,"November 02, 2003",N/A,Kenya,Kajiado District,N/A,Oloishobor,Kenya: Kajiado District:Oloishobor,Oloishobor,Dry bushland,N/A,N/A,N/A,2309478,Typed,no type status
0012_V0597688F.jpg,J. Lebrun,J. Lebrun,N/A,2409,Nov 1931,1931-11-00,1931-11-00,Albizia gummifera (J.F.Gmel.) C.A.Sm.,Albizia gummifera (J.F.Gmel.) C.A.Sm.,N/A,N/A,N/A,Congo Belge,Albert (Ville),N/A,N/A,Albert (Ville),Albert (Ville),N/A,N/A,N/A,N/A,867368,Typed,no type status
0013_V0588237F.jpg,N/A,N/A,N/A,207,25.12.1957,1957-12-25,1957-12-25,Digitaria perrottetii (Hochst.) Henrard,Digitaria perrottetii (Hochst.) Henrard,N/A,N/A,N/A,Kenya,N/A,N/A,N/A,Tsavo - Taita Andei,Tsavo - Taita Andei,N/A,soil,N/A,N/A,1559644,Typed,no type status
0014_V0580026F.jpg,H. Callens,H. Callens,N/A,1584065,Juillet 1958,1958-07-00,1958-07-00,Rubiaceae Tarenna paniculata,Tarenna paniculata,H. Callens,1/9/58,N/A,Congo Belge,Kivu,N/A,Kisantu,Kisantu,Kisantu,Forêt secondaire,N/A,N/A,N/A,N/A,Typed,no type status
0015_V0580516F.jpg,G. Troupin,G. Troupin,N/A,6333,1/02/1958,1958-02-01,N/A,Crotalaria ononoides (F.T.A.) B.L. Burtt,Crotalaria ononoides (F.T.A.) B.L. Burtt,N/A,N/A,N/A,Zaire,Kivu,N/A,N/A,"Territ. Kalehe, Vers 119 route Kavumu-Kalehe-Kinigi, vers 1750m, alt. 1950 - 2000 m.","Vers 119 route Kavumu-Kalehe-Kinigi, vers 1750 meters","Forêt ombrophile, Ouest vers 1500 m.",N/A,alt. 1950 - 2000 m.,N/A,1543353,Typed,no type status
0016_V0574490F.jpg,Collecté par Dorr & Lopez,Dorr,Lopez,13781,20 Mars 1989,1989-03-20,N/A,Corynanthe mayumbensis (R. Good) N. Hallé,Corynanthe mayumbensis (R. Good) N. Hallé,Wilks & McPherson,1989,N/A,Gabon,Ogooué-Ivindo,N/A,N/A,"Réserve de la Lopé, au sud d'Ayem; chantier SOFORGA","Réserve de la Lopé, au sud d'Ayem; chantier SOFORGA",N/A,N/A,c. 200 m,0°25'S 11°30'E,"LP:4665-0223-G, BR:4665-0224-H, WD:4665-0225-I.",Typed,no type status
0017_V0574226F.jpg,J. M. Fay 8294,J. M. Fay,N/A,8294,4 March 1988,1988-03-04,1988-03-04,Millettia zechiana Harms,Millettia zechiana Harms,Ake Assi,1998,N/A,Cameroon,N/A,N/A,N/A,"On the Sangha River across from Makana gorilla study area. In seasonally flooded forest with Guibourtia demeusei, Pericopsis elata, Pombax sp.",On the Sangha River across from Makana gorilla study area,In seasonally flooded forest,soil,385 m,02°02'N 16°08'E,N/A,Typed,no type status
0018_V0580728F.jpg,F. N. Hepper,F. N. Hepper,N/A,199,29.vii.1959,1959-07-29,1959-07-29,Phaseolus lunatus L.,Phaseolus lunatus L.,N/A,N/A,N/A,Cameroon,N/A,N/A,N/A,"South West of Crater Lake. Clearing in wood, scrambling over herbage.",South West of Crater Lake,"Clearing in wood, scrambling over herbage",N/A,Alt. 1500m,N/A,1624518,Typed,no type status
0019_V0578764F.jpg,E. B. Bartram & H. K. Airy Shaw,E. B. Bartram,H. K. Airy Shaw,2,"June 30-July 1, 1927",1927-06-30,1927-07-01,N/A,N/A,N/A,N/A,N/A,Kenya,N/A,N/A,Mathiaga,"Mathiaga, near Nairobi","Mathiaga, near Nairobi",N/A,N/A,"Alt. 1,700 meters",N/A,2074762,Typed,no type status
0020_V0594158F.jpg,A. Leonard,A. Leonard,N/A,3149,19/2/1959,1959-02-19,N/A,"Drymaria spermacoce DC. Bisse, indet.",Drymaria spermacoce DC.,Bisse,5.XII.1969,N/A,Rwanda,N/A,N/A,N/A,Kivu,Kivu,Vieille forêt secondaire,N/A,Alt. 1900m,N/A,2086095,Typed,no type status
0021_V0573054F.jpg,Herbier des seringueiros de L'Institut Agronomico do Norte recolte par le Pr. R. L. Fróes,R. L. Fróes,N/A,8400,N/A,N/A,N/A,Hevea nitida (Mart.) Müll. Arg.,Hevea nitida (Mart.) Müll. Arg.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,N/A,781173,Mix of Handwritten and Typed,no type status
0022_V0601010F.jpg,James T. Allen,James T. Allen,N/A,41,"September 23, 1996",1996-09-23,1996-09-23,Dissotis rotundifolia (Sm.) Triana,Dissotis rotundifolia (Sm.) Triana,N/A,N/A,N/A,Ghana,Volta Region,N/A,N/A,Volta Region,[precise locality unknown],N/A,N/A,N/A,N/A,2200652,Typed,no type status
0023_V0602418F.jpg,J. E. Amoah,J. E. Amoah,N/A,5632,March 1952,1952-03-00,1952-03-00,Chrysophyllum perpulchrum Mildbr.,Chrysophyllum perpulchrum Mildbr.,N/A,N/A,N/A,Gold Coast,Ashanti Prov.,Kumasi District,N/A,Kumasi Township Forest Reserve,Kumasi Township Forest Reserve,N/A,N/A,N/A,N/A,1601919,Typed,no type status
0024_V0604513F.jpg,J. Nemba & D.W. Thomas,J. Nemba,D.W. Thomas,2041320,15 June 1987,1987-06-15,N/A,Donella welwitschii Pierre ex Engl.,Donella welwitschii Pierre ex Engl.,D.W. Thomas,1987,N/A,Cameroon,Southwest,N/A,N/A,Secondary growth and old growth forest along Kumba-Mamfe road at mile 14 L. K. 11,Secondary growth and old growth forest along Kumba-Mamfe road at mile 14 L. K. 11,Secondary growth and old growth forest,N/A,200 m,04°44'N 09°29'E,NCI Leaves: Stems 066/0052-L,Typed,no type status
0025_V0572217F.jpg,J. Deaw,J. Deaw,N/A,283,"4, 1, 79",1979-01-04,N/A,Eugenia coronata,Eugenia coronata,N/A,N/A,N/A,Ghana,N/A,N/A,Accra,Accra,Accra,N/A,N/A,N/A,N/A,1753422,Typed,no type status
0026_V0602609F.jpg,H. Schimper,H. Schimper,N/A,1418,Januar 1892,1892-01-00,1892-01-00,Rumex nervosus Vahl,Rumex nervosus Vahl,N/A,N/A,N/A,Abyssinia septentrionalis (Colonia Eritrea),N/A,N/A,N/A,Agameté; fonte du flud du dessous d'Addi Ugri,Agameté; fonte du flud du dessous d'Addi Ugri,N/A,N/A,2500-2700 m,N/A,N/A,Typed,no type status
0027_V0606178F.jpg,R.B. & A.J. Faden,R.B. Faden,A.J. Faden,77/111,7 March 1977,1977-03-07,N/A,Toddaliopsis bremekampii (Engl.) Engl. confirmed J.O. Kokwaro,Toddaliopsis bremekampii (Engl.) Engl.,J.O. Kokwaro,N/A,N/A,Kenya,Kwale District,N/A,N/A,"Chale Peninsula, ca. 4°26'S, 39°32'E, 0-5 m. Coral rag dry forest with Combretum albosinensis dominant.",Chale Peninsula,Coral rag dry forest with Combretum albosinensis dominant,N/A,0-5 m,"4°26'S, 39°32'E",N° 2153520,Typed,no type status
0028_V0603038F.jpg,F. Szafranski,F. Szafranski,N/A,1378,2.2.1988,1988-02-02,1988-02-02,Commelinaceae Floscopa glomerata (Roem. et Schult.) Hassk.,Floscopa glomerata (Roem. et Schult.) Hassk.,N/A,N/A,N/A,Haut-Zaire,Haut-Uele,Isiro,N/A,"Haut-Zaire, S.Rég.Haut-Uele, Isiro",Isiro,bas fond marécageux près de la route aux environs de l'usine SOCODIA,soil,N/A,N/A,2084694,Typed,no type status
0029_V0606676F.jpg,F.W.H. Migeod,F.W.H. Migeod,N/A,394,1. xi. 1928.,1928-11-01,N/A,Solanum aculeatissimum Jacq.,Solanum aculeatissimum Jacq.,M. Nee,"Dec. 3, 1977",N/A,Africa,Bamenda,N/A,N/A,"Bamenda, British Cameroons. Alt. 4500 ft.",Bamenda,N/A,N/A,Alt. 4500 ft.,N/A,1441275,Typed,no type status
0030_V0601406F.jpg,T.C. Friesley and L. Halkinville,T.c. Friesley,L. Halkinville,52,19 July 1959,1959-07-19,N/A,Canarina abyssinica Hochst. ex A. Rich.,Canarina abyssinica Hochst. ex A. Rich.,A. Fernandes,1961,N/A,Ethiopia,N/A,N/A,N/A,"Abyssinia: Ridge west of Garamule, Open woodland",Ridge west of Garamule,Open woodland,N/A,12000ft,N/A,1624568,Mix of Handwritten and Typed,no type status
0031_V0604673F.jpg,William Burger,William Burger,N/A,726,27 May 1962,1962-05-27,1962-05-27,Rubus apetalus Poir,Rubus apetalus Poir,W.J. Kress,21/VIII/1984,N/A,Ethiopia,Harar Prov.,N/A,N/A,6 mi. E. of Adea 1 1/2 mi. E. of Hora along new Hwy. Steep slopes with remnant forest,6 miles East of Adea 1 1/2 miles East of Hora along new Highway,Steep slopes with remnant forest,N/A,1920 feet,N/A,1825230,Typed,no type status
0032_V0565514F.jpg,J.D. Sauer,J.D. Sauer,N/A,3914,15 June 1963,1963-06-15,1963-06-15,Aerva lanata (L.) Juss.,Aerva lanata (L.) Juss.,N/A,N/A,N/A,Kenya,Coast Province,Kwale District,near Mombasa,"Coast Province, Kwale District, near Mombasa. Bumburi Beach, N of Mombasa.","Bumburi Beach, north of Mombasa","Beach ridge, shallow open coast.",soil,N/A,N/A,595567,Typed,no type status
0033_V0565977F.jpg,C. Vigne,C. Vigne,N/A,N/A,N/A,N/A,N/A,Excoecaria parvifolia Muell. Arg.,Excoecaria parvifolia Muell. Arg.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,N/A,839434,Typed,no type status
0034_V0566108F.jpg,Enam Adu,Enam Adu,N/A,1026,Collected in 1999,1999-00-00,1999-00-00,Uvaria versicolor Pierre,Uvaria versicolor Pierre,N/A,N/A,N/A,Ghana,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,N/A,2325285,Typed,no type status
0035_V0567164F.jpg,A. A. Enti,A. A. Enti,N/A,398,22 11 19,1919-11-22,1919-11-22,Peponia daemmis,Peponia daemmis,A. A. Enti,19 71.,N/A,Ghana,N/A,N/A,Awutu-Winneba Road.,Awutu-Winneba Road.,Awutu-Winneba Road,a climber among grasses,N/A,Altitude:,N/A,1753348,Typed,no type status
0036_V0591661F.jpg,D.W. Thomas,D.w. Thomas,N/A,6850,1987,1987-00-00,1987-00-00,Cola flavovelutina K. Schum.,Cola flavovelutina K. Schum.,D.W. Thomas,1987,N/A,Cameroon,Southwest,N/A,N/A,"PRCV, Southwest: Korup National Park. Primary rain forest","Korup National Park, primary rain forest",Primary rain forest,N/A,600 m,05°02'N 08°50'E,2041255,Typed,no type status
0037_V0567306F.jpg,Sue A. Thompson,Sue A. Thompson,N/A,1522,9 July 1984,1984-07-09,1984-07-09,Impatiens macroptera Hook. f.,Impatiens macroptera Hook. f.,N/A,N/A,N/A,Cameroon,Prov. Sud-Ouest,Dept. Fako,Bakinigili,Trail up Mt. Cameroon,Trail up Mt. Cameroon,"Erect herb up to 70 cm tall, growing on wet rocks",rock,Alt. 50-250 m.,"4°04'N, 9°02'E",2086046,Typed,no type status
0038_V0606921F.jpg,D. Waterson,D. Waterson,N/A,484,16/8-27,1927-08-16,1927-08-27,Englerophytum tenuifolium (Engl.) Gill.,Englerophytum tenuifolium (Engl.) Gill.,N/A,N/A,N/A,Kenya,Kitui,N/A,N/A,4 km n.e. of Kangondi on road to Embu,4 kilometers northeast of Kangondi on road to Embu,Thicket,N/A,4500 ft.,N/A,1864166,Typed,no type status
0039_V0605928F.jpg,Sue A. Thompson & John E. Rawlins,Sue A. Thompson,John E. Rawlins,1333,3 June 1984,1984-06-03,N/A,Avicennia africana P. Beauv.,Avicennia africana P. Beauv.,N/A,N/A,N/A,Cameroon,Sud-Ouest,Fako,Bakingili,Prov. Sud-Ouest; Dept. Fako; Bakingili,Bakingili,seaside,soil,Alt. 0 m.,4°04'N; 9°02'E,2088074,Typed,no type status
0040_V0605675F.jpg,N/A,N/A,N/A,6047,3.IV.1958,1958-04-03,1958-04-03,Trixis ophiorhiza (Baker f.) H. Rob.,Trixis ophiorhiza (Baker f.) H. Rob.,N/A,N/A,N/A,N/A,Kivu,Tshuapa,N/A,"Territ. Tshuapa, 7 kms sur la route Bokuma-Yalikonde, près Tshuapa.","7 kilometers on the road Bokuma-Yalikonde, near Tshuapa",Forêt ombrophile,N/A,850 - 900 m.,N/A,1543374,Typed,no type status
0041_V0571550F.jpg,A. Pappi,A. Pappi,N/A,2624,14-15.VIII.1902,1902-08-14,1902-08-15,Lavandula pubescens Decaisne,Lavandula pubescens Decaisne,T.M. Upson,2/4/1996,N/A,Eritrea,Assarota,N/A,N/A,Eritrea-Assarota - lungo il torrente Hagaz,lungo il torrente Hagaz,N/A,N/A,N/A,N/A,N/A,Typed,no type status
0042_V0607392F.jpg,William Burger,William Burger,N/A,1953,1 Feb. 1962,1962-02-01,1962-02-01,Juniperus procera Hochst. ex Endl.,Juniperus procera Hochst. ex Endl.,W.B.,N/A,N/A,Ethiopia,Harar Prov.,N/A,N/A,N.W. face Gara Mullata Mtn. ca. 50 km. due W of Harar. 916' N 41° 43' E,N.W. face Gara Mullata Mountain ca. 50 kilometers due west of Harar,Shelter on steep slopes with mixed forest,soil,2850 - 3200m,916' N 41° 43' E,1632855,Typed,no type status
0043_V0570163F.jpg,C. D. Adams,C. D. Adams,N/A,GC,1/12/1952,1952-12-01,1952-12-01,Terminalia glaucescens,Terminalia glaucescens,N/A,N/A,N/A,Ghana,Volta Region,N/A,Ho,"Ho, Volta Region",Ho,In light forest around village & brownish redland,soil,N/A,N/A,2007210,Typed,no type status
0044_V0570543F.jpg,Schimper,Schimper,N/A,N/A,N/A,N/A,N/A,Ipomoea hildebrandtii Vatke,Ipomoea hildebrandtii Vatke,N/A,N/A,N/A,Abyssinia,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,N/A,373793,Typed,no type status
0045_V0607965F.jpg,D.W. Thomas & M. Etuge,D.W. Thomas,M. Etuge,6988,18 May 1987,1987-05-18,N/A,Taphura africana Oliv.,Taphura africana Oliv.,D.W. Thomas,1987,N/A,Cameroon,Southwest,N/A,N/A,"Degraded forest at Barombi Kang, Kumba","Degraded forest at Barombi Kang, Kumba",Degraded forest,N/A,150 m,04°36'N 09°27'E,2040825,Typed,no type status
0046_V0570471F.jpg,Edgar A. Mearns,Edgar A. Mearns,N/A,11144,"September 6, 1909",1909-09-06,1909-09-06,Euphorbia aequilifera,Euphorbia aequilifera,N/A,N/A,N/A,British East Africa,N/A,N/A,N/A,Vicinity of Thika,Vicinity of Thika,N/A,N/A,altitude about 1350 meters,N/A,463287,Typed,no type status
0047_V0570108F.jpg,G. B. Huxley,G. B. Huxley,N/A,580,N/A,N/A,N/A,Combretum Schumannii Engl.,Combretum Schumannii Engl.,N/A,N/A,N/A,Kenya,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,N/A,856357,Handwritten,no type status
0048_V0570110F.jpg,J. M. Fay,J. M. Fay,N/A,8271,28 February 1988,1988-02-28,1988-02-28,Combretum smeathmannii G. Don,Combretum smeathmannii G. Don,Ake Assi,1988,N/A,Cameroon,N/A,N/A,N/A,"Along the Sangha River adjacent to the island of Kilona. In riparian forest adjacent to seasonally flooded forest with Irvingia gabonensis, Guibourtia demeusei, Berlinia sp.",Along the Sangha River adjacent to the island of Kilona,In riparian forest adjacent to seasonally flooded forest,N/A,1400 m,02°21'N 16°09'E 385 m,N/A,Typed,no type status
0049_V0590787F.jpg,D.D. Soejarto,D.D. Soejarto,N/A,4793,"April 1, 1988",1988-04-01,1988-04-01,Diospyros tricolor Hiern.,Diospyros tricolor Hiern.,N/A,N/A,"Thespesia populnea, Sophora accidental is",Ghana,Greater Accra Province,N/A,Botianor village,"20 km. West of Accra, Sea coast.","20 kilometers west of Accra, Sea coast",Sandy soil,soil,N/A,N/A,1842606,Typed,no type status
0050_V0040586F.jpg,Narciso Reyna B. 40,Narciso Reyna,N/A,40,15 diciembre 1967,1967-12-15,1967-12-15,Gustavia scalarinervia D.R. Simpson,Gustavia scalarinervia D.R. Simpson,D.R. Simpson,1975,N/A,Peru,Loreto,Maynas,Santa María de Nanay,"Santa María - Río Nanay, distr. Alto Nanay, Dept. Loreto, prov. Maynas. Alt. 150 m.","Santa María - Río Nanay, district Alto Nanay","""Cachuelas amarillas"" - árbol, bosque húmedo tropical",N/A,Alt. 150 m.,N/A,"U.S. Policy File 440, FS-854",Typed,HOLOTYPE
0051_V0081497F.jpg,M.O. Dillon & D. Dillon,M.O. Dillon,D. Dillon,3776,1 Nov 1983,1983-11-01,N/A,Galvezia fruticosa Gmel.,Galvezia eisensii M.O. Dillon & Quipuscoa,M.O. Dillon & Quipuscoa,N/A,N/A,Peru,Arequipa,Caraveli,N/A,"Lomas of Atiquipa, ca. 105 km N of turn-off to Atiquipa, km 584 S of Lima","Lomas of Atiquipa, 105 kilometers north of turn-off to Atiquipa, kilometer 584 south of Lima",N/A,soil,ca. 150-200 m,N/A,1940835,Typed,holotype
0052_V0042484F.jpg,N/A,N/A,N/A,N/A,1836,1836-00-00,1836-00-00,Isolectotype of: Tetrachidium rubrivenium var. genuinum Müll. Arg. Prodr. 15(2): 1133. 1866.,Tetrachidium rubrivenium var. genuinum Müll. Arg.,F. Pax,N/A,N/A,N/A,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,N/A,875422,Handwritten,Isolectotype
0053_V0092855F.jpg,Jose Campos O. y D. Diaz,Jose Campos O.,D. Diaz,2490,9 Febrero 1996,1996-02-09,N/A,Amorimia camporum W.R. Anderson,Amorimia camporum W.R. Anderson,W. R. Anderson,17-29. 2006,N/A,Peru,Cajamarca,San Ignacio Province,N/A,Distrito Chirinos: Entre La Catacua y Tablón.,Entre La Catacua y Tablón,Trepadora; flor amarilla.,N/A,550 - 650,05°19'S; 078°47'W,2296033,Typed,Isotype
0054_V0078059F.jpg,Ruiz & Pavon,Ruiz,Pavon,N/A,(1777-1788),1777-00-00,1788-00-00,Nolana spathulata Ruiz & Pav.,Nolana spathulata Ruiz & Pav.,T. M. A. Mes,1981,N/A,Peru,N/A,N/A,N/A,in vice-regno Peruvianno et Chilensi lectae.,[precise locality unknown],N/A,N/A,N/A,N/A,845155,Typed,Isolectotype
0055_V0092864F.jpg,Camilo Díaz y Antonio Peña,Camilo Díaz,Antonio Peña,8008,4 Diciembre 1996,1996-12-04,N/A,Symplocos ovata Stahl,Symplocos ovata Stahl,B. Ståhl,"Novon 20(1): 91, fig. 4A-B. 2010",N/A,Peru,Amazonas,Luya Province,N/A,"Camporedondo, Tullanya, Pascana ""Pajaro Tigre""","Camporedondo, Tullanya, Pascana ""Pajaro Tigre""",Liana con frutos verdes. Pecínculos largos.,N/A,2850–2360 m,N/A,2296023,Typed,Isotype
0056_V0092900F.jpg,Ruiz et Pavón,Ruiz et Pavón,N/A,N/A,1775-1788,1775-00-00,1788-00-00,Bomarea purpurea (Ruiz & Pavón) Herb.,Bomarea purpurea (Ruiz & Pavón) Herb.,Hofreiter,2007,N/A,Peru,N/A,N/A,N/A,in vice-regno Peruviano et Chilensi lectae.,[precise locality unknown],N/A,N/A,N/A,N/A,916119,Typed,isotype
0057_V0092906F.jpg,"V. Quipuscoa S., A. Sagástegui A., S. Leiva G. & M. Bejarano C.",V. Quipuscoa S.,"A. Sagástegui A., S. Leiva G., M. Bejarano C.",13778,20 agostos 1998,1998-08-20,N/A,Lithospermum cinerascens (A.DC.) Johnst.,"Lithospermum leymebambasense Weigend & Nürk, sp. nov. ined.","Maximilian Weigend, September 2006",September 2006,N/A,Peru,Amazonas,Luya,N/A,"Distrito Leymebamba, Carretera a Celendín, entre Ishpingo - Pomacocha. Bosque montano fragmentado.","Carretera a Celendín, entre Ishpingo - Pomacocha",Bosque montano fragmentado,N/A,2800-3000 m,N/A,2211679,Typed,Isotype
0058_V0092915F.jpg,Llewelyn Williams,Llewelyn Williams,N/A,6999,"Jan.-Feb., 1930",1930-01-00,1930-02-00,Maranta arundinacea L.,Maranta arundinacea L.,N/A,N/A,N/A,Peru,San Martin,N/A,N/A,"forest, Roque, San Martin","forest, Roque",forest,soil,150-1800 m.,N/A,624474,Handwritten,no type status
0059_V0092918F.jpg,Ruiz et Pavón,Ruiz,Pavón,N/A,1778-1788,1778-00-00,1788-00-00,Marcgraviastrum obovatum (Kunth) Bedell ex Gir.-Cañas,Marcgraviastrum obovatum (Kunth) Bedell ex Gir.-Cañas,Gir.-Cañas,10/2010,N/A,N/A,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,N/A,843295,Mix of Handwritten and Typed,Isotype
0060_V0092921F.jpg,Ruiz & Pavón,Ruiz,Pavón,N/A,(1775-1788),1775-00-00,1788-00-00,Norantea obovata G. Don = Marcgraviastrum obovatum (G. Don) Bedell,Marcgraviastrum obovatum (G. Don) Bedell,H.G. Bedell,VIII 1982,N/A,Peru,N/A,N/A,N/A,in vice-regno Peruviano et Chilensi lectae.,[precise locality unknown],N/A,N/A,N/A,N/A,842882,Typed,Isotype
0061_V0190732F.jpg,Robin B. Foster,Robin B. Foster,N/A,8752,13 Sept. 1982,1982-09-13,1982-09-13,Aciotis venezuelanus (Pax & K. Hoffm.) Webster,Aciotis venezuelanus (Pax & K. Hoffm.) Webster,M.J. Huft,1983,N/A,Peru,Huánuco,N/A,N/A,"Pachitea: Puerto Inca to Sungaro, Forest trail between Río Pachitea and Río Sungaro, Forested low hills and ravines, alt. 250-300 m. 75°W, 9°18'S.","Puerto Inca to Sungaro, forest trail between Río Pachitea and Río Sungaro",Forested low hills and ravines,N/A,alt. 250-300 m.,"75°W, 9°18'S.",No. 1921102,Typed,no type status
