modelname,associatedTaxa,collectedBy,country,firstPoliticalUnit,habitat,identifiedBy,latestScientificName,locality,maximumEventDate,minimumEventDate,municipality,originalMethod,otherCatalogNumbers,recordNumber,secondPoliticalUnit,secondaryCollectors,typeStatus,verbatimCollectors,verbatimCoordinates,verbatimDateIdentified,verbatimElevation,verbatimEventDate,verbatimIdentification,verbatimLocality
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,PASS,Papua New Guinea,Morobe,N/A,D. H. Vitt,Macromitrium incurvifolium,PASS,N/A,1975-03-09,PASS,Typed,1142151,14660,PASS,N/A,no type status,PASS,N/A,N/A,PASS,PASS,PASS,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,PASS,Papua New Guinea,West Sepik,PASS,PASS,Macromitrium longicaule,PASS,N/A,1975-05-20,PASS,Typed,1141855,18543,PASS,N/A,no type status,PASS,PASS,N/A,PASS,PASS,PASS,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,N/A,Papua New Guinea,West Sepik,PASS,D. H. Vitt,Macromitrium macrosporum,PASS,N/A,1975-05-08,N/A,Typed,1142194,PASS,Star Mts.,N/A,no type status,N/A,PASS,N/A,PASS,PASS,Macromitrium macrosporum Broth.,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,PASS,Papua New Guinea,West Sepik,PASS,PASS,Macromitrium macrosporum,PASS,N/A,1975-04-17,N/A,Typed,1142178,16376,N/A,N/A,no type status,PASS,PASS,N/A,PASS,17.4.1975,PASS,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,A. Touw,Papua New Guinea,West Sepik,N/A,D. H. Vitt,Macromitrium macrosporum,PASS,N/A,1975-05-08,N/A,Typed,1142156,17312,PASS,N/A,no type status,PASS,PASS,N/A,PASS,PASS,Macromitrium macrosporum Broth.,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,A. Touw,Papua New Guinea,West Sepik,Forest remnant in deep chasm near the summit on soaking wet bark of trees,D. H. Vitt,Macromitrium macrosporum,PASS,N/A,1975-04-19,N/A,Typed,1142175,16420,PASS,N/A,no type status,PASS,PASS,N/A,PASS,19.4.1975,PASS,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,PASS,Papua New Guinea,West Sepik,PASS,PASS,Macromitrium macrosporum,PASS,N/A,1975-05-05,N/A,Typed,1141880,17205,Star Mts.,N/A,no type status,PASS,PASS,N/A,PASS,PASS,Macromitrium macrosporum Broth.,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,PASS,Papua New Guinea,PASS,Pendulous from heavy tree branches and slanting trunks,D. H. Vitt,Macromitrium megalocladon,PASS,N/A,1975-05-14,N/A,Typed,1142187,18046,PASS,N/A,no type status,PASS,PASS,N/A,PASS,14.5.1975,PASS,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,A. Touw,Papua New Guinea,West Sepik,PASS,D. H. Vitt,Macromitrium megalocladon,PASS,N/A,1975-04-21,N/A,PASS,1142432,16555,PASS,N/A,no type status,PASS,PASS,N/A,PASS,21.4.1975,Macromitrium megalocladon Fleisch.,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,PASS,Papua New Guinea,West Sepik,PASS,PASS,Macromitrium megalocladon,PASS,N/A,1975-04-07,N/A,Typed,1142300,15768,PASS,N/A,no type status,PASS,PASS,N/A,PASS,PASS,PASS,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,S. Hattori,Japan,PASS,PASS,A. Noguchi,Macromitrium incurvum,PASS,N/A,1946-08-00,PASS,Typed,PASS,s.n.,PASS,N/A,no type status,PASS,N/A,PASS,ca 50 m,PASS,Macromitrium incurvum (Lindb.) Par.,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,K. Mayebara,Japan,Kumamoto,PASS,A. Noguchi,Macromitrium incurvum,PASS,N/A,1951-12-25,PASS,Typed,1043529,s.n.,N/A,N/A,no type status,PASS,N/A,N/A,60 m. above sea,"December 25, 1951",Macromitrium incurvum (Lindb.) Par.,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,PASS,Japan,Kumamoto,On rocks,A. Noguchi,Macromitrium gymnostomum,PASS,N/A,1952-02-11,PASS,Typed,1043490,PASS,N/A,N/A,no type status,PASS,N/A,N/A,PASS,"February 11, 1952",Macromitrium gymnostomum Sull. et Lesq.,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,PASS,Japan,Kumamoto,PASS,PASS,Macromitrium gymnostomum,PASS,N/A,1952-03-00,PASS,Typed,PASS,s.n.,N/A,N/A,no type status,PASS,N/A,N/A,PASS,March 1952,PASS,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,PASS,China,PASS,PASS,Theriot,Macromitrium gymnostomum,PASS,N/A,PASS,N/A,PASS,PASS,B.206,N/A,N/A,no type status,PASS,N/A,N/A,PASS,PASS,Macromitrium gymnostomum S. & L.,Kushan near Foochow
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,H. H. Chung,China,PASS,PASS,Theriot,Macromitrium gymnostomum,PASS,N/A,PASS,N/A,PASS,1122721,PASS,N/A,N/A,no type status,PASS,N/A,N/A,N/A,PASS,Macromitrium gymnostomum Sull.,On rock in bamboo forest
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,PASS,T. Koponen,Papua New Guinea,Morobe,Rather open montane forest with dominating Pandanus trees,PASS,Macromitrium longicaule,PASS,N/A,1981-07-23,N/A,Typed,1142665,PASS,N/A,N/A,no type status,Timo Koponen,PASS,1989,PASS,23 July 1981,PASS,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,PASS,China,PASS,On shady rocks or bark,N/A,Macromitrium japonicum,PASS,N/A,PASS,N/A,Typed,PASS,PASS,N/A,N/A,no type status,PASS,N/A,N/A,N/A,PASS,PASS,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,T. Koponen,Papua New Guinea,Morobe,"Open alpine grassland and ""subalpine"" forest",PASS,PASS,PASS,N/A,1981-07-09,N/A,Typed,1142666,PASS,N/A,N/A,no type status,Timo Koponen,PASS,1989,PASS,9 July 1981,PASS,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,PASS,Japan,PASS,on tree trunk,PASS,PASS,PASS,N/A,PASS,N/A,Typed,PASS,s.n.,N/A,PASS,no type status,PASS,N/A,PASS,1-10 m alt.,PASS,PASS,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,PASS,Japan,Honshu,N/A,N/A,Macromitrium incurvum,PASS,N/A,PASS,N/A,Typed,1356480,PASS,PASS,N/A,no type status,PASS,N/A,N/A,N/A,PASS,Macromitrium incurvum (Lindb.) Paris,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,PASS,Japan,Kagoshima,On rock,PASS,Macromitrium gymnostomum,PASS,N/A,1970-04-03,PASS,Typed,PASS,s.n.,N/A,N/A,no type status,PASS,N/A,N/A,elevation about 120 m,"April 3, 1970",Macromitrium gymnostomum Sull. & Lesq.,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,PASS,Portugal,Azores,PASS,PASS,PASS,PASS,N/A,1937-06-14,PASS,Typed,1181624,PASS,N/A,PASS,no type status,PASS,N/A,N/A,vers 700 m,14.VI.1937,PASS,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,M. Lewis,Bolivia,La Paz,PASS,PASS,Philonotis,PASS,N/A,1983-01-20,N/A,Typed,1100485,83-224,Larecaja,N/A,no type status,PASS,PASS,PASS,PASS,20 Jan 1983,Philonotis,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,M. Lewis,Bolivia,La Paz,Eroding bank,PASS,Philonotis,PASS,N/A,1979-03-29,N/A,Typed,PASS,79-1314,Larecaja,N/A,no type status,Marko Lewis,"15° 45' S, 68° 42' W",PASS,PASS,29 March 1979,Philonotis fide Crum,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,M. Lewis,Bolivia,Cochabamba,PASS,PASS,Philonotis,PASS,N/A,1979-06-01,N/A,Typed,PASS,79-2315,Chapare,N/A,no type status,PASS,PASS,PASS,3030 m,1 June 1979,Philonotis,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,PASS,Bolivia,N/A,N/A,PASS,PASS,PASS,N/A,1950-10-13,N/A,Typed,PASS,6867,N/A,N/A,no type status,PASS,N/A,PASS,PASS,PASS,PASS,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,PASS,Bolivia,N/A,N/A,PASS,PASS,PASS,N/A,1950-10-13,N/A,Typed,PASS,6865,N/A,N/A,no type status,PASS,N/A,PASS,PASS,PASS,PASS,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,M. Lewis,Bolivia,Cochabamba,PASS,PASS,Philonotis,PASS,N/A,1979-06-01,N/A,Typed,1050327,79-2315,Chapare,N/A,no type status,PASS,PASS,PASS,PASS,1 June 1979,Philonotis,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,PASS,Peru,Amazonas,"Fels, Erde, Mauer, Baum, Strauch, Holz, See, Bach",PASS,PASS,PASS,N/A,PASS,N/A,PASS,1061647,PASS,PASS,N/A,no type status,PASS,N/A,N/A,3000 m,PASS,PASS,Las Palmas zw. Balsas u. Leimebamba
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,F. D. Bowers,Mexico,Baja California Sur,PASS,A. J. Sharp,Braunia secunda,PASS,N/A,1973-12-25,N/A,Typed,1045263,5166,N/A,PASS,no type status,PASS,N/A,N/A,PASS,25 December 1973,PASS,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,A. J. Sharp,Mexico,Oaxaca,"Partial shade, moist, road side cliff",Efrain De Luna,PASS,PASS,N/A,1973-06-23,N/A,Typed,PASS,PASS,N/A,PASS,no type status,PASS,N/A,1992,PASS,"June 23, 1973",Braunia secunda (Hook.) B.S.G.,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,A. J. Sharp,Mexico,Jalisco,"Partial shade, moist, vert. surface of boulder",PASS,Braunia andrieuxii,PASS,N/A,PASS,PASS,Typed,1045251,2736,PASS,PASS,no type status,PASS,N/A,1992,1750 m,PASS,Braunia secunda (Hook.) B.S.G.,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,C. G. Pringle,Mexico,Jalisco,PASS,PASS,Braunia Andrieuxii,On rocks near Guadalajara,N/A,PASS,PASS,PASS,PASS,10619,N/A,N/A,no type status,PASS,N/A,PASS,PASS,PASS,PASS,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,C. G. Pringle,Mexico,Hidalgo,N/A,PASS,Braunia andrieuxii,PASS,N/A,PASS,N/A,Typed,1045265,10627,N/A,N/A,no type status,PASS,N/A,PASS,N/A,PASS,PASS,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,PASS,Mexico,PASS,PASS,PASS,Braunia secunda,PASS,N/A,PASS,N/A,PASS,1031423,PASS,N/A,PASS,no type status,PASS,N/A,1992,PASS,PASS,Braunia secunda (Hook.) B.S.G.,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,PASS,Mexico,PASS,PASS,PASS,Braunia secunda,PASS,N/A,PASS,N/A,Typed,1036945,PASS,N/A,PASS,no type status,PASS,N/A,N/A,PASS,PASS,Braunia secunda (Hook.) B.S.G.,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,A. J. Sharp,Mexico,PASS,PASS,PASS,Braunia secunda,PASS,N/A,1941-07-23,N/A,PASS,1045239,116,N/A,N/A,no type status,PASS,N/A,N/A,N/A,"July 23, 1941",PASS,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,A. J. Sharp,Mexico,Chiapas,PASS,PASS,Braunia squarrulosa,PASS,N/A,1972-12-19,N/A,Typed,1045274,PASS,N/A,PASS,no type status,PASS,N/A,N/A,PASS,"Dec. 19, 1972",Braunia squarrulosa (Hampe) Broth.,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,PASS,Mexico,Chiapas,On oak trunk in oak-pine woods,PASS,PASS,PASS,N/A,1975-02-09,San Cristobal de las Casas,Typed,1052129,26429,N/A,N/A,no type status,PASS,N/A,PASS,alt. 6800 ft.,"Feb.9,1975",PASS,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,A. J. Sharp,Mexico,Oaxaca,"Dry, full shade, oak branch. Oak-pine woods",PASS,Braunia squarrulosa,PASS,N/A,PASS,San Pablo Ayutla,Typed,1045269,2980-a,N/A,PASS,no type status,PASS,N/A,PASS,PASS,PASS,PASS,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,H. A. Crum,Mexico,Jalisco,PASS,E. De Luna,PASS,PASS,N/A,1949-07-23,N/A,Typed,PASS,PASS,N/A,N/A,no type status,PASS,N/A,1992,7300 feet,23 July 1949,PASS,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,C. G. Pringle,Mexico,Federal District,PASS,E. De Luna,Braunia squarrulosa,PASS,N/A,PASS,N/A,PASS,PASS,10550,N/A,N/A,no type status,PASS,N/A,1992,PASS,PASS,PASS,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,PASS,Mexico,Chiapas,Oak-pine forest,PASS,PASS,PASS,N/A,PASS,N/A,PASS,1031467,PASS,N/A,PASS,no type status,PASS,N/A,1992,PASS,PASS,PASS,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,PASS,Mexico,Chiapas,Oak-pine forest,PASS,PASS,PASS,N/A,1979-03-10,PASS,PASS,1031495,10.3.79(29),N/A,PASS,no type status,PASS,N/A,PASS,PASS,10.3.79(29),PASS,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,F. J. Hermann,Mexico,Chiapas,PASS,PASS,PASS,PASS,N/A,1975-02-09,N/A,Typed,1045277,26429,N/A,N/A,no type status,PASS,N/A,1992,alt. 6800 ft.,"February 9, 1975",PASS,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,D. Griffin,Costa Rica,San Jose,PASS,PASS,Braunia squarrulosa,PASS,N/A,1979-02-04,N/A,Typed,1029423,PASS,N/A,PASS,no type status,PASS,N/A,PASS,PASS,PASS,PASS,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,S. Churchill,Bolivia,Tarija,PASS,S. Churchill,Braunia exserta,PASS,N/A,2001-08-04,N/A,Typed,1183435,20792,PASS,N/A,no type status,S. Churchill 20792,21°25'S 64°19'W,2001,2300 m,4 Ago 2001,Braunia exserta C. Müller,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,PASS,Argentina,Tucuman,PASS,PASS,Braunia cirrhifolia,PASS,N/A,1946-11-27,N/A,Typed,PASS,PASS,PASS,N/A,no type status,PASS,N/A,N/A,PASS,27 November 1946,PASS,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,M. Lewis,Bolivia,La Paz,In ravine with waterfall,E. De Luna,Braunia cirrhifolia,PASS,N/A,1979-04-06,N/A,PASS,1032380,79-1625,Larecaja,N/A,no type status,PASS,PASS,1992,PASS,6 April 1979,Braunia cirrhifolia (Mitt.) Wils. ex Jaeg.,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,M. Lewis,Bolivia,La Paz,PASS,D. Griffin III,Braunia plicata,PASS,N/A,1982-12-09,N/A,PASS,1091412,82-303,PASS,N/A,no type status,PASS,"16°44'S, 68°41'W",1990,PASS,9 Dec 1982,PASS,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,M. Lewis,Bolivia,La Paz,Abundant on exposed rock face,E. De Luna,Braunia plicata,PASS,N/A,1979-03-22,N/A,PASS,1032384,79-1230,Larecaja,N/A,no type status,PASS,PASS,1992,PASS,22 March 1979,Braunia plicata (Mitt.) Jaeg.,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,M. Lewis,Bolivia,La Paz,Banks of trail,E. De Luna,Braunia plicata,PASS,N/A,1979-03-05,N/A,Typed,1032341,79-947,Saavedra,N/A,no type status,PASS,PASS,1992,3200-3240 m,5 March 1979,Braunia plicata (Mitt.) Jaeg.,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,M. Lewis,Bolivia,La Paz,Banks of trail,PASS,Braunia plicata,PASS,N/A,1979-03-05,N/A,Typed,1032381,79-940,Saavedra,N/A,no type status,PASS,PASS,1992,3200 m,5 March 1979,Braunia plicata (Mitt.) Jaeg.,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,M. Lewis,Bolivia,La Paz,Along bank of trail,PASS,Hedwigidium integrifolium,PASS,N/A,1979-03-05,N/A,PASS,1032366,79-935,Saavedra,N/A,no type status,PASS,PASS,PASS,3200 m,5 March 1979,Hedwigidium integrifolium (P. Beauv.) Dix.,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,M. Lewis,Bolivia,Tarija,PASS,PASS,Hedwigidium integrifolium,PASS,N/A,1979-02-10,N/A,PASS,1032358,79-615,PASS,N/A,no type status,Marko Lewis,PASS,PASS,3350 m,10 February 1979,PASS,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,M. Dillon,Peru,Ancash,Growing on branches,Dana Griffin III,Braunia secunda,PASS,N/A,1983-01-28,N/A,Typed,PASS,PASS,Yungay,U. Molau | P. Matekaitis,no type status,PASS,N/A,PASS,PASS,PASS,PASS,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,D. Griffin,Venezuela,Merida,PASS,PASS,Braunia secunda,PASS,N/A,PASS,N/A,Typed,PASS,PASS,N/A,PASS,no type status,PASS,N/A,PASS,PASS,PASS,Braunia secunda (Hook.) BSG,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,M. Lewis,Bolivia,Tarija,On rocks in dry deciduous forest,PASS,Braunia subincana,PASS,N/A,1979-02-02,N/A,Typed,1032377,79-489A,O'Connor,N/A,no type status,Marko Lewis,PASS,1992,1750 m,2 February 1979,Braunia laxifolia Herz.,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,F. J. Hermann,Bolivia,Cochabamba,N/A,Efrain De Luna,PASS,PASS,N/A,1972-12-24,PASS,Typed,1045267,25278,PASS,N/A,no type status,PASS,N/A,1992,PASS,"December 24, 1972",PASS,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,S. R. Gradstein,Bolivia,Cochabamba,On cliff under scrub in area of wet meadows and secondary woodlands,PASS,Racopilum intermedium,PASS,N/A,1989-11-12,PASS,Typed,PASS,7560,Chapare,M. Lewis,no type status,PASS,N/A,N/A,PASS,12 November 1989,PASS,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,M. Lewis,Bolivia,La Paz,PASS,PASS,Racopilum tomentosum,PASS,N/A,1983-02-07,Coroico,Typed,1100456,83-503,Nor Yungas,N/A,no type status,PASS,"16°11'S, 67°43'W",PASS,ca. 1650 m,7 Feb 1983,Racopilum tomentosum (Hedw.) Brid.,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,Y. Mexia,Brazil,Minas Gerais,PASS,PASS,PASS,PASS,N/A,1930-11-11,PASS,Typed,PASS,PASS,N/A,N/A,no type status,PASS,N/A,N/A,PASS,PASS,PASS,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,PASS,PASS,Ecuador,PASS,PASS,W. A. Weber,PASS,PASS,N/A,1976-04-24,N/A,Typed,1023912,PASS,N/A,PASS,no type status,PASS,N/A,N/A,PASS,24.IV.1976,PASS,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,PASS,Peru,Amazonas,PASS,PASS,Racopilum tomentosum,PASS,N/A,1973-08-31,N/A,PASS,1026724,PASS,Chachapoyas,PASS,no type status,PASS,N/A,N/A,PASS,PASS,PASS,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,J. Florschütz,Suriname,N/A,On decaying log,P. A. Florschütz | J. Florschütz-de Waard,Racopilum tomentosum,PASS,N/A,1975-12-18,N/A,Typed,1028580,4715,N/A,P. A. Florschütz,no type status,Leg. J. & P. A. Florschütz,N/A,PASS,N/A,18.XII.1975,PASS,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,E. Linares,Colombia,Meta,PASS,PASS,Racopilum tomentosum,PASS,N/A,1984-09-26,N/A,Typed,1065598,1543,Villavicencio,S. R. Gradstein | B. O. van Zanten,no type status,PASS,N/A,PASS,alt. 600 m,26 Sept. 1984,Racopilum tomentosum (Hedw.) Brid.,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,M. Lewis,Bolivia,La Paz,PASS,PASS,Racopilum tomentosum,PASS,N/A,1983-02-07,Coroico,Typed,1100344,83-511,Nor Yungas,N/A,no type status,PASS,"16°11'S, 67°43'W",PASS,PASS,7 Feb 1983,PASS,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,Y. Mexia,Peru,Huanuco,PASS,PASS,Rhacopilum tomentosum,PASS,N/A,1936-09-15,N/A,Typed,PASS,8190a,PASS,N/A,no type status,PASS,N/A,N/A,PASS,PASS,Rhacopilum tomentosum (Sw.) Brid.,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,Y. Mexia,Peru,Huanuco,on rock in wood,PASS,PASS,Hacienda Exito; bank of Rio Ysabel; on rock in wood,N/A,1936-09-09,N/A,Typed,PASS,8165a,PASS,N/A,no type status,PASS,N/A,N/A,Alt. 1100 m.,PASS,PASS,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,Y. Mexia,Peru,Huanuco,On rock in woods,PASS,PASS,PASS,N/A,PASS,N/A,Typed,PASS,8168a,PASS,N/A,no type status,PASS,N/A,N/A,Alt. 1100 m.,PASS,PASS,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,R. E. Schultes,Colombia,Amazonas,PASS,PASS,PASS,PASS,N/A,1952-05-19,N/A,PASS,PASS,16563,N/A,I. Cabrera,no type status,Richard Evans Schultes et Isidoro Cabrera,PASS,PASS,Altitude about 700 feet,"May 19, 1952",PASS,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,PASS,Colombia,Magdalena,Bosque nublado montano bajo,PASS,PASS,PASS,1977-08-00,1977-07-00,N/A,Typed,1029476,PASS,N/A,O. Rangel | G. van Reenen,no type status,PASS,N/A,N/A,PASS,Julio-Agosto 1977,PASS,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,S. P. Churchill,Colombia,Antioquia,In secondary montane forest,S. P. Churchill,PASS,PASS,N/A,1987-07-06,N/A,Typed,1139980,15466,N/A,PASS,no type status,PASS,PASS,N/A,PASS,6 July 1987,PASS,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,D. Griffin,Costa Rica,Cartago,PASS,N/A,Hypnella pilifera,PASS,1977-07-04,1977-07-03,N/A,Typed,1025621,PASS,N/A,M. I. Morales | D. E. de Retana,no type status,"Dana Griffin, III, María Isabel Morales y Dora Emilia de Retana",N/A,N/A,PASS,"Julio 3-4, 1977",Hypnella pilifera (Hook. et Wils.) Jaeg.,PASS
gpt-4o_gemini-1.5-pro_claude-3.5-sonnet,N/A,J. J. Wurdack,Venezuela,PASS,PASS,E. B. Bartram,Hypnella cymbifolia,PASS,N/A,PASS,N/A,Typed,1026297,34365,N/A,N/A,no type status,John J. Wurdack,N/A,N/A,PASS,PASS,Hypnella cymbifolia (Hpe.) Jaeg.,PASS
