Image,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus
0010_C0268554F.jpg,A Touw No 14660,A Touw,N/A,14660,9-3- 1975,1975-03-09,N/A,Macromitrium incurvifolium (Hook & Grev) Schwaegr,Macromitrium incurvifolium (Hook & Grev) Schwaegr,D H Vitt,N/A,N/A,Papua New Guinea,N/A,Morobe Distr,Lae,In fork of Plumeria tree in garden,In fork of Plumeria tree in garden,N/A,Alt c 20 m,N/A,1142151,Typed,no type status
0011_C0268557F.jpg,A Touw No 18543,A Touw,N/A,18543,20.5.1975,1975-05-20,1975-05-20,Macromitrium longicaule C Müll,Macromitrium longicaule C Müll,D H Vitt,N/A,N/A,Papua New Guinea,West Sepik District,Star Mts,N/A,Busilmin Wet forest on slope above Ok Din river W of Busilmin; on trees along Ok Din River,Wet forest on slope above Ok Din river west of Busilmin; on trees along Ok Din River,Wet forest on slope above Ok Din river; on trees along Ok Din River,Alt c 1500 - 1550 m,5°S 141°05'E,1141855,Typed,no type status
0012_C0268558F.jpg,A Touw No 17369,A Touw,N/A,17369,8.5. 1975,1975-05-08,1975-05-08,Macromitirum macrosporum Broth,Macromitirum macrosporum Broth,D R Vitt,N/A,N/A,Papua New Guinea,West Sepik Distr,Star Mts,N/A,c 5°S141°05E NE summit of Mt Capella; on stems and branches of trees and shrubs in summit scrub,Northeast summit of Mount Capella,on stems and branches of trees and shrubs in summit scrub,Alt c 3900 m,c 5°S141°05E,1142194,Typed,no type status
0013_C0268559F.jpg,A Touw No 16376,A Touw,N/A,16376,17.4.1975,1975-04-17,1975-04-17,Macromitrium macrosporum Broth,Macromitrium macrosporum Broth,DH Vitt,N/A,N/A,Papua New Guinea,West Sepik Distr,Star Mts,N/A,c 5°S141°05E Mt Capella Base Camp c 4 -5 m high stunted forest on ridge,Mount Capella Base Camp approximately 4 to 5 meters high stunted forest on ridge,Limestone ridge near camp high stunted forest on ridge,Alt c 3600 m,c 5°S141°05E,1142178,Typed,no type status
0014_C0268560F.jpg,A Touw No 17312,A Touw,N/A,17312,8 5 1975,1975-05-08,1975-05-08,Macromitrium macrosporum Broth,Macromitrium macrosporum Broth,D H Vitt,N/A,N/A,Papua New Guinea,West Sepik District,N/A,N/A,Star Mts c 5°S 141°05'E NE Summit of Mt Capella Summit of ridge between Mt Capella Base Camp and Mt Capella ridge; on isolated tree,NE Summit of Mt Capella Summit of ridge between Mt Capella Base Camp and Mt Capella ridge on isolated tree,on isolated tree,Alt c 3650 m,c 5°S 141°05'E,1142156,Typed,no type status
0015_C0268561F.jpg,A Touw No 16420,A Touw,N/A,16420,19.4.1975,1975-04-19,1975-04-19,Macromitrium macrosporum Broth,Macromitrium macrosporum Broth,D H Vitt,N/A,N/A,Papua New Guinea,West Sepik,N/A,N/A,"Papua New Guinea, West Sepik Distr, Star Mts, c 5°S 141°05'E Mt Capella NE summit",Mount Capella northeast summit [precise locality unknown],forest remnant in deep chasm near the summit on soaking wet bark of trees,Alt c 3300 m,c 5°S 141°05'E,1142175,Typed,no type status
0016_C0268562F.jpg,A Touw No 17205,A Touw,N/A,17205,5.5. 1975,1975-05-05,1975-05-05,Macromitrium macrosporum Broth,Macromitrium macrosporum Broth,D H Vitt,N/A,N/A,Papua New Guinea,West Sepik,Star Mts,N/A,"Near Mt Capella Base Camp, along trail to Tamanagabip; open sub-alpine scrub At base of limestone rock faces","Near Mount Capella Base Camp, along trail to Tamanagabip [precise locality unknown]",open sub-alpine scrub At base of limestone rock faces,Alt c 3450 m,c 5°S 141°05'E,1141880,Typed,no type status
0017_C0268563F.jpg,A Touw No 18046,A Touw,N/A,18046,14.5.1975,1975-05-14,1975-05-14,Macromitrium megalocladon Fleisch,Macromitrium megalocladon Fleisch,D R Vitt,N/A,N/A,Papua New Guinea,West Sepik District,Star Mts,N/A,c 5°14'05E Upper montane forest between Folongonom and Artis' Camp,Upper montane forest between Folongonom and Artis' Camp,Pendulous from heavy tree branches and slanting trunks,Alt c 2500 - 2600 m,c 5°14'05E,1142187,Typed,no type status
0018_C0268564F.jpg,A Tour No 16555,A Tour,N/A,16555,21.4.1975,1975-04-21,1975-04-21,Macromitrium megalocladon Fleisch,Macromitrium megalocladon Fleisch,D R Vitt,N/A,N/A,Papua New Guinea,West Sepik District,Star Mountains,N/A,"c 4°54'40""E Small Kuni (grassfield) SW of Mt Capella Base Camp; on vertical face of moss covered limestone boulder at edge of Kuni",Small Kuni (grassfield) southwest of Mount Capella Base Camp; on vertical face of moss covered limestone boulder at edge of Kuni,On vertical face of moss covered limestone boulder at edge of Kuni,Alt c 3400 m,"c 4°54'40""E",1142432,Typed,no type status
0019_C0268565F.jpg,A Touw No 15768,A Touw,N/A,15768,7.4. 1975,1975-04-07,N/A,Macromitrium megalocladon Fleisch,Macromitrium megalocladon Fleisch,D H Vitt,N/A,N/A,Papua New Guinea,West Sepik District,Star Mts,N/A,"c 5°14'05""E Tel Basin; Ridge above Camp 2",Ridge above Camp 2 [precise locality unknown],Terrestrial in open shrubbery on ridge Dense moss vegetation covering soil rocks and the lower portion of shrubs Dominant,Alt c 3350 m,"c 5°14'05""E",1142300,Typed,no type status
0020_C0268566F.jpg,leg S Hattori,S Hattori,N/A,s.n.,'III 1946,1946-03-00,1946-03-00,Macromitrium incurvum (Lindb.) Par,Macromitrium incurvum (Lindb.) Par,A Noguchi,N/A,N/A,Japan,Kyushu,Miyazaki,Minaminiaka,"Kyushu, Miyazaki, Minaminiaka, Obi",Obi [precise locality unknown],"rupicola, photophila, ca 50 m",ca 50 m,N/A,1235066,Mix of Handwritten and Typed,no type status
0021_C0268569F.jpg,Coll K Mayebara,K Mayebara,N/A,s.n.,"December 25, 1951",1951-12-25,1951-12-25,Macromitrium incurvum (Lindb.) Par.,Macromitrium incurvum (Lindb.) Par.,A Noguchi,N/A,N/A,Japan,Kumamoto Prefecture,N/A,N/A,"On exposed rocks, 60 m. above sea, Yosiho, Kumamoto Prefecture","On exposed rocks, 60 meters above sea, Yosiho [precise locality unknown]",On exposed rocks,60 m. above sea,N/A,1043529,Typed,no type status
0022_C0268571F.jpg,Coll K Mayebara,K Mayebara,N/A,s.n.,"February 11, 1952",1952-02-11,1952-02-11,Macromitrium gymnostomum Sull. et Lesq.,Macromitrium gymnostomum Sull. et Lesq.,A Noguchi,N/A,N/A,Japan,Kumamoto Prefecture,N/A,N/A,"On rocks, ca. 100m. above sea, Koonose, Kumamoto Prefecture","On rocks, approximately 100 meters above sea, Koonose [precise locality unknown]",On rocks,ca. 100m. above sea,N/A,1043490,Typed,no type status
0023_C0268572F.jpg,N/A,K Mayebara,N/A,s.n.,March 1962,1962-03-00,1962-03-00,Macromitrium gymnostomum Sull et Lesq,Macromitrium gymnostomum Sull et Lesq,A Noguchi,N/A,N/A,Japan,Kumamoto,N/A,N/A,On rocks ca 1000m alt Hitoyoshi Kumamoto County,On rocks at approximately 1000 meters altitude Hitoyoshi,On rocks,ca 1000m alt,N/A,1043493,Typed,no type status
0024_C0268574F.jpg,H H Chung,H H Chung,N/A,B206,August 1930,1930-08-00,1930-08-00,Macromitrium gymnostomum S & L,Macromitrium gymnostomum S & L,Theriot,N/A,N/A,China,Fukien Province,N/A,N/A,Kushan near Foochow,Kushan near Foochow,On rock,altitude 500 m,N/A,1122334,Typed,no type status
