associatedTaxa,collectedBy,country,firstPoliticalUnit,habitat,identifiedBy,latestScientificName,locality,maximumEventDate,minimumEventDate,municipality,originalMethod,otherCatalogNumbers,recordNumber,secondPoliticalUnit,secondaryCollectors,substrate,typeStatus,verbatimCollectors,verbatimCoordinates,verbatimDateIdentified,verbatimElevation,verbatimEventDate,verbatimIdentification,verbatimLocality
N/A,J. Deaw,Ghana,N/A,N/A,N/A,Eugenia coronata,Accra,N/A,1979-01-04,Accra,Typed,1753422,283,N/A,N/A,N/A,no type status,J. Deaw,N/A,N/A,N/A,"4, 1, 79",Eugenia coronata,Accra
N/A,H. Schimper,Abyssinia septentrionalis (Colonia Eritrea),N/A,N/A,N/A,Rumex nervosus Vahl,Agameté; fonte du flud du dessous d'Addi Ugri,1892-01-00,1892-01-00,N/A,Typed,N/A,1418,N/A,N/A,N/A,no type status,H. Schimper,N/A,N/A,2500-2700 m,Januar 1892,Rumex nervosus Vahl,Agameté; fonte du flud du dessous d'Addi Ugri
N/A,R. B. Faden,Kenya,Kwale District,Coral rag dry forest with Combretum albosinensis dominant,J.O. Kokwaro,Toddaliopsis bremekampii (Engl.) Engl.,Chale Peninsula,N/A,1977-03-07,N/A,Typed,N° 2153520,77/111,N/A,A. J. Faden,N/A,no type status,R.B. & A.J. Faden,"4°26'S, 39°32'E",N/A,0-5 m,7 March 1977,Toddaliopsis bremekampii (Engl.) Engl. confirmed J.O. Kokwaro,"Chale Peninsula, ca. 4°26'S, 39°32'E, 0-5 m. Coral rag dry forest with Combretum albosinensis dominant."
N/A,F. Szafranski,Haut-Zaire,Haut-Uele,bas fond marécageux près de la route aux environs de l'usine SOCODIA,N/A,Floscopa glomerata (Roem. et Schult.) Hassk.,Isiro,1988-02-02,1988-02-02,N/A,Typed,2084694,1378,Isiro,N/A,soil,no type status,F. Szafranski,N/A,N/A,N/A,2.2.1988,Commelinaceae Floscopa glomerata (Roem. et Schult.) Hassk.,"Haut-Zaire, S.Rég.Haut-Uele, Isiro"
N/A,F. W. H. Migeod,Africa,Bamenda,N/A,M. Nee,Solanum aculeatissimum Jacq.,Bamenda,N/A,1928-11-01,N/A,Typed,1441275,394,N/A,N/A,N/A,no type status,F.W.H. Migeod,N/A,"Dec. 3, 1977",4500 ft.,1. xi. 1928.,Solanum aculeatissimum Jacq.,"Bamenda, British Cameroons. Alt. 4500 ft."
N/A,T.c. Friesley,Ethiopia,N/A,Open woodland,A. Fernandes,Canarina abyssinica Hochst. ex A. Rich.,Ridge west of Garamule,N/A,1959-07-19,N/A,Mix of Handwritten and Typed,1624568,52,N/A,L. Halkinville,N/A,no type status,T.C. Friesley and L. Halkinville,N/A,1961,12000ft,19 July 1959,Canarina abyssinica Hochst. ex A. Rich.,"Abyssinia: Ridge west of Garamule, Open woodland"
N/A,William Burger,Ethiopia,Harar Prov.,Steep slopes with remnant forest,W.J. Kress,Rubus apetalus Poir,6 miles East of Adea 1 1/2 miles East of Hora along new Highway,1962-05-27,1962-05-27,N/A,Typed,1825230,726,N/A,N/A,N/A,no type status,William Burger,N/A,21/VIII/1984,1920 feet,27 May 1962,Rubus apetalus Poir,6 mi. E. of Adea 1 1/2 mi. E. of Hora along new Hwy. Steep slopes with remnant forest
N/A,J. D. Sauer,Kenya,Coast Province,"Beach ridge, shallow open coast.",N/A,Aerva lanata (L.) Juss.,"Bumburi Beach, north of Mombasa",1963-06-15,1963-06-15,near Mombasa,Typed,595567,3914,Kwale District,N/A,soil,no type status,J.D. Sauer,N/A,N/A,N/A,15 June 1963,Aerva lanata (L.) Juss.,"Coast Province, Kwale District, near Mombasa. Bumburi Beach, N of Mombasa."
N/A,C. Vigne,N/A,N/A,N/A,N/A,Excoecaria parvifolia Muell. Arg.,[precise locality unknown],N/A,N/A,N/A,Typed,839434,N/A,N/A,N/A,N/A,no type status,C. Vigne,N/A,N/A,N/A,N/A,Excoecaria parvifolia Muell. Arg.,N/A
N/A,Enam Adu,Ghana,N/A,N/A,N/A,Uvaria versicolor Pierre,[precise locality unknown],1999-00-00,1999-00-00,N/A,Typed,2325285,1026,N/A,N/A,N/A,no type status,Enam Adu,N/A,N/A,N/A,Collected in 1999,Uvaria versicolor Pierre,N/A
N/A,A. A. Enti,Ghana,N/A,a climber among grasses,A. A. Enti,Peponia daemmis,Awutu-Winneba Road,1919-11-22,1919-11-22,Awutu-Winneba Road.,Typed,1753348,398,N/A,N/A,N/A,no type status,A. A. Enti,N/A,19 71.,Altitude:,22 11 19,Peponia daemmis,Awutu-Winneba Road.
N/A,D.w. Thomas,Cameroon,Southwest,Primary rain forest,D.W. Thomas,Cola flavovelutina K. Schum.,"Korup National Park, primary rain forest",1987-00-00,1987-00-00,N/A,Typed,2041255,6850,N/A,N/A,N/A,no type status,D.W. Thomas,05°02'N 08°50'E,1987,600 m,1987,Cola flavovelutina K. Schum.,"PRCV, Southwest: Korup National Park. Primary rain forest"
N/A,Sue A. Thompson,Cameroon,Prov. Sud-Ouest,"Erect herb up to 70 cm tall, growing on wet rocks",N/A,Impatiens macroptera Hook. f.,Trail up Mt. Cameroon,1984-07-09,1984-07-09,Bakinigili,Typed,2086046,1522,Dept. Fako,N/A,rock,no type status,Sue A. Thompson,"4°04'N, 9°02'E",N/A,50-250 m.,9 July 1984,Impatiens macroptera Hook. f.,Trail up Mt. Cameroon
N/A,D. Waterson,Kenya,Kitui,Thicket,N/A,Englerophytum tenuifolium (Engl.) Gill.,4 kilometers northeast of Kangondi on road to Embu,1927-08-27,1927-08-16,N/A,Typed,1864166,484,N/A,N/A,N/A,no type status,D. Waterson,N/A,N/A,4500 ft.,16/8-27,Englerophytum tenuifolium (Engl.) Gill.,4 km n.e. of Kangondi on road to Embu
N/A,Sue A. Thompson,Cameroon,Sud-Ouest,seaside,N/A,Avicennia africana P. Beauv.,Bakingili,N/A,1984-06-03,Bakingili,Typed,2088074,1333,Fako,John E. Rawlins,soil,no type status,Sue A. Thompson & John E. Rawlins,4°04'N; 9°02'E,N/A,0 m.,3 June 1984,Avicennia africana P. Beauv.,Prov. Sud-Ouest; Dept. Fako; Bakingili
N/A,N/A,N/A,Kivu,Forêt ombrophile,N/A,Trixis ophiorhiza (Baker f.) H. Rob.,"7 kilometers on the road Bokuma-Yalikonde, near Tshuapa",1958-04-03,1958-04-03,N/A,Typed,1543374,6047,Tshuapa,N/A,N/A,no type status,N/A,N/A,N/A,850 - 900 m.,3.IV.1958,Trixis ophiorhiza (Baker f.) H. Rob.,"Territ. Tshuapa, 7 kms sur la route Bokuma-Yalikonde, près Tshuapa."
N/A,A. Pappi,Eritrea,Assarota,N/A,T.M. Upson,Lavandula pubescens Decaisne,lungo il torrente Hagaz,1902-08-15,1902-08-14,N/A,Typed,N/A,2624,N/A,N/A,N/A,no type status,A. Pappi,N/A,2/4/1996,N/A,14-15.VIII.1902,Lavandula pubescens Decaisne,Eritrea-Assarota - lungo il torrente Hagaz
N/A,William Burger,Ethiopia,Harar Prov.,Shelter on steep slopes with mixed forest,W.B.,Juniperus procera Hochst. ex Endl.,N.W. face Gara Mullata Mountain ca. 50 kilometers due west of Harar,1962-02-01,1962-02-01,N/A,Typed,1632855,1953,N/A,N/A,soil,no type status,William Burger,916' N 41° 43' E,N/A,2850 - 3200m,1 Feb. 1962,Juniperus procera Hochst. ex Endl.,N.W. face Gara Mullata Mtn. ca. 50 km. due W of Harar. 916' N 41° 43' E
N/A,C. D. Adams,Ghana,Volta Region,In light forest around village & brownish redland,N/A,Terminalia glaucescens,Ho,1952-12-01,1952-12-01,Ho,Typed,2007210,GC,N/A,N/A,soil,no type status,C. D. Adams,N/A,N/A,N/A,1/12/1952,Terminalia glaucescens,"Ho, Volta Region"
N/A,Schimper,Abyssinia,N/A,N/A,N/A,Ipomoea hildebrandtii Vatke,[precise locality unknown],N/A,N/A,N/A,Typed,373793,N/A,N/A,N/A,N/A,no type status,Schimper,N/A,N/A,N/A,N/A,Ipomoea hildebrandtii Vatke,N/A
N/A,D. W. Thomas,Cameroon,Southwest,Degraded forest,D.W. Thomas,Taphura africana Oliv.,"Degraded forest at Barombi Kang, Kumba",N/A,1987-05-18,N/A,Typed,2040825,6988,N/A,M. Etuge,N/A,no type status,D.W. Thomas & M. Etuge,04°36'N 09°27'E,1987,150 m,18 May 1987,Taphura africana Oliv.,"Degraded forest at Barombi Kang, Kumba"
N/A,Edgar A. Mearns,British East Africa,N/A,N/A,N/A,Euphorbia aequilifera,Vicinity of Thika,1909-09-06,1909-09-06,N/A,Typed,463287,11144,N/A,N/A,N/A,no type status,Edgar A. Mearns,N/A,N/A,altitude about 1350 meters,"September 6, 1909",Euphorbia aequilifera,Vicinity of Thika
N/A,G. B. Huxley,Kenya,N/A,N/A,N/A,Combretum Schumannii Engl.,[precise locality unknown],N/A,N/A,N/A,Handwritten,856357,580,N/A,N/A,N/A,no type status,G. B. Huxley,N/A,N/A,N/A,N/A,Combretum Schumannii Engl.,N/A
N/A,J. M. Fay,Cameroon,N/A,In riparian forest adjacent to seasonally flooded forest,Ake Assi,Combretum smeathmannii G. Don,Along the Sangha River adjacent to the island of Kilona,1988-02-28,1988-02-28,N/A,Typed,N/A,8271,N/A,N/A,N/A,no type status,J. M. Fay,02°21'N 16°09'E 385 m,1988,1400 m,28 February 1988,Combretum smeathmannii G. Don,"Along the Sangha River adjacent to the island of Kilona. In riparian forest adjacent to seasonally flooded forest with Irvingia gabonensis, Guibourtia demeusei, Berlinia sp."
"Thespesia populnea, Sophora accidental is",D. D. Soejarto,Ghana,Greater Accra Province,Sandy soil,N/A,Diospyros tricolor Hiern.,"20 kilometers west of Accra, Sea coast",1988-04-01,1988-04-01,Botianor village,Typed,1842606,4793,N/A,N/A,soil,no type status,D.D. Soejarto,N/A,N/A,N/A,"April 1, 1988",Diospyros tricolor Hiern.,"20 km. West of Accra, Sea coast."
N/A,Narciso Reyna,Peru,Loreto,"""Cachuelas amarillas"" - árbol, bosque húmedo tropical",D.R. Simpson,Gustavia scalarinervia D.R. Simpson,"Santa María - Río Nanay, district Alto Nanay",1967-12-15,1967-12-15,Santa María de Nanay,Typed,"U.S. Policy File 440, FS-854",40,Maynas,N/A,N/A,HOLOTYPE,Narciso Reyna B. 40,N/A,1975,150 m.,15 diciembre 1967,Gustavia scalarinervia D.R. Simpson,"Santa María - Río Nanay, distr. Alto Nanay, Dept. Loreto, prov. Maynas. Alt. 150 m."
N/A,M. O. Dillon,Peru,Arequipa,N/A,M.O. Dillon & Quipuscoa,Galvezia eisensii M.O. Dillon & Quipuscoa,"Lomas of Atiquipa, 105 kilometers north of turn-off to Atiquipa, kilometer 584 south of Lima",N/A,1983-11-01,N/A,Typed,1940835,3776,Caraveli,D. Dillon,soil,holotype,M.O. Dillon & D. Dillon,N/A,N/A,ca. 150-200 m,1 Nov 1983,Galvezia fruticosa Gmel.,"Lomas of Atiquipa, ca. 105 km N of turn-off to Atiquipa, km 584 S of Lima"
N/A,N/A,N/A,N/A,N/A,F. Pax,Tetrachidium rubrivenium var. genuinum Müll. Arg.,[precise locality unknown],1836-00-00,1836-00-00,N/A,Handwritten,875422,N/A,N/A,N/A,N/A,Isolectotype,N/A,N/A,N/A,N/A,1836,Isolectotype of: Tetrachidium rubrivenium var. genuinum Müll. Arg. Prodr. 15(2): 1133. 1866.,N/A
N/A,Jose Campos O.,Peru,Cajamarca,Trepadora; flor amarilla.,W. R. Anderson,Amorimia camporum W.R. Anderson,Entre La Catacua y Tablón,N/A,1996-02-09,N/A,Typed,2296033,2490,San Ignacio Province,D. Diaz,N/A,Isotype,Jose Campos O. y D. Diaz,05°19'S; 078°47'W,17-29. 2006,550 - 650,9 Febrero 1996,Amorimia camporum W.R. Anderson,Distrito Chirinos: Entre La Catacua y Tablón.
N/A,Ruiz,Peru,N/A,N/A,T. M. A. Mes,Nolana spathulata Ruiz & Pav.,[precise locality unknown],1788-00-00,1777-00-00,N/A,Typed,845155,N/A,N/A,Pavon,N/A,Isolectotype,Ruiz & Pavon,N/A,1981,N/A,(1777-1788),Nolana spathulata Ruiz & Pav.,in vice-regno Peruvianno et Chilensi lectae.
N/A,Camilo Díaz,Peru,Amazonas,Liana con frutos verdes. Pecínculos largos.,B. Ståhl,Symplocos ovata Stahl,"Camporedondo, Tullanya, Pascana ""Pajaro Tigre""",N/A,1996-12-04,N/A,Typed,2296023,8008,Luya Province,Antonio Peña,N/A,Isotype,Camilo Díaz y Antonio Peña,N/A,"Novon 20(1): 91, fig. 4A-B. 2010",2850–2360 m,4 Diciembre 1996,Symplocos ovata Stahl,"Camporedondo, Tullanya, Pascana ""Pajaro Tigre"""
N/A,Ruiz et Pavón,Peru,N/A,N/A,Hofreiter,Bomarea purpurea (Ruiz & Pavón) Herb.,[precise locality unknown],1788-00-00,1775-00-00,N/A,Typed,916119,N/A,N/A,N/A,N/A,isotype,Ruiz et Pavón,N/A,2007,N/A,1775-1788,Bomarea purpurea (Ruiz & Pavón) Herb.,in vice-regno Peruviano et Chilensi lectae.
N/A,V. Quipuscoa S.,Peru,Amazonas,Bosque montano fragmentado,"Maximilian Weigend, September 2006","Lithospermum leymebambasense Weigend & Nürk, sp. nov. ined.","Carretera a Celendín, entre Ishpingo - Pomacocha",N/A,1998-08-20,N/A,Typed,2211679,13778,Luya,"A. Sagástegui A., S. Leiva G., M. Bejarano C.",N/A,Isotype,"V. Quipuscoa S., A. Sagástegui A., S. Leiva G. & M. Bejarano C.",N/A,September 2006,2800-3000 m,20 agostos 1998,Lithospermum cinerascens (A.DC.) Johnst.,"Distrito Leymebamba, Carretera a Celendín, entre Ishpingo - Pomacocha. Bosque montano fragmentado."
N/A,Llewelyn Williams,Peru,San Martin,forest,N/A,Maranta arundinacea L.,"forest, Roque",1930-02-00,1930-01-00,N/A,Handwritten,624474,6999,N/A,N/A,soil,no type status,Llewelyn Williams,N/A,N/A,150-1800 m.,"Jan.-Feb., 1930",Maranta arundinacea L.,"forest, Roque, San Martin"
N/A,Ruiz,N/A,N/A,N/A,Gir.-Cañas,Marcgraviastrum obovatum (Kunth) Bedell ex Gir.-Cañas,[precise locality unknown],1788-00-00,1778-00-00,N/A,Mix of Handwritten and Typed,843295,N/A,N/A,Pavón,N/A,Isotype,Ruiz et Pavón,N/A,10/2010,N/A,1778-1788,Marcgraviastrum obovatum (Kunth) Bedell ex Gir.-Cañas,N/A
N/A,Ruiz,Peru,N/A,N/A,H.G. Bedell,Marcgraviastrum obovatum (G. Don) Bedell,[precise locality unknown],1788-00-00,1775-00-00,N/A,Typed,842882,N/A,N/A,Pavón,N/A,Isotype,Ruiz & Pavón,N/A,VIII 1982,N/A,(1775-1788),Norantea obovata G. Don = Marcgraviastrum obovatum (G. Don) Bedell,in vice-regno Peruviano et Chilensi lectae.
N/A,Robin B. Foster,Peru,Huánuco,Forested low hills and ravines,M.J. Huft,Aciotis venezuelanus (Pax & K. Hoffm.) Webster,"Puerto Inca to Sungaro, forest trail between Río Pachitea and Río Sungaro",1982-09-13,1982-09-13,N/A,Typed,No. 1921102,8752,N/A,N/A,N/A,no type status,Robin B. Foster,"75°W, 9°18'S.",1983,250-300 m.,13 Sept. 1982,Aciotis venezuelanus (Pax & K. Hoffm.) Webster,"Pachitea: Puerto Inca to Sungaro, Forest trail between Río Pachitea and Río Sungaro, Forested low hills and ravines, alt. 250-300 m. 75°W, 9°18'S."
N/A,José Schunke Vigo,Peru,San Martín,In tall forest,A. M. W. Mennega,Tontelea sp.,"Tocache Nuevo, in tall forest",1964-05-27,1964-05-27,Tocache Nuevo,Typed,1751666,6505,Mariscal Cáceres,N/A,N/A,no type status,José Schunke Vigo,N/A,11/1982,529 m.,27 May 1964,Tontelea sp. (Celastraceae),"San Martín: Mariscal Cáceres, Tocache Nuevo, (río Huallaga), in tall forest"
N/A,Manuel Rimachi Y.,Peru,Loreto,"marginal forest, ""muema""",A. C. Monro & T. Pruski,Endlicheria anomala (Nees) Mez,"Rio Ucayali, Quebrada de Aucayacu, above Genaro Herrera",1979-02-08,1979-02-08,N/A,Typed,2058606,4268,Requena,N/A,N/A,no type status,Manuel Rimachi Y.,N/A,"(Triplaris), 2001",N/A,"February 8, 1979",Nectandra krukovii (A.C. Smith) Kosterm.,"Dtto. Saquena. Rio Ucayali, Quebrada de Aucayacu, above Genaro Herrera, marginal forest, ""muema,"" 8 m fr. green."
N/A,Salvador Flores P.,Peru,Loreto,Bosque secundario 35 años,T. Plowman,Faramea sp.,Ampiyacu-Pezas,1982-07-00,1982-07-00,Ampiyacu-Pezas,Typed,1968315,95 (P-2),Maynas,N/A,N/A,no type status,Salvador Flores P.,N/A,1985,100 m.s.n.m.,Julio/82,Faramea sp.,"Ampiyacu-Pezas, Maynas, Loreto"
N/A,Percy Nuñez V.,Peru,Cuzco,N/A,M. J. Huft,Euphorbia heterophylla L.,Salsapampa,N/A,1986-10-29,Quillabamba,Typed,N/A,1982606,La Convención,S. Walsh,N/A,no type status,Percy Nuñez V. & S. Walsh,N/A,1987,1110 m.,29 October 1986,Euphorbia heterophylla L.,"Dept. Cuzco: La Convención, Quillabamba, Salsapampa. Alt. 1110 m."
