associatedTaxa,collectedBy,country,firstPoliticalUnit,habitat,identifiedBy,latestScientificName,locality,maximumEventDate,minimumEventDate,municipality,originalMethod,otherCatalogNumbers,recordNumber,secondPoliticalUnit,secondaryCollectors,typeStatus,verbatimCollectors,verbatimCoordinates,verbatimDateIdentified,verbatimElevation,verbatimEventDate,verbatimIdentification,verbatimLocality
N/A,PASS,Bolivia,PASS,N/A,N/A,N/A,PASS,N/A,PASS,N/A,Typed,PASS,6867,N/A,PASS,no type status,PASS,N/A,N/A,10000 ft.,PASS,N/A,UNDUAVI
N/A,PASS,Bolivia,PASS,N/A,N/A,PASS,PASS,N/A,1950-10-13,N/A,Typed,PASS,6865,N/A,,no type status,PASS,N/A,N/A,10000 ft.,13 Oct. 1950,PASS,UNDUAVI
N/A,Marko Lewis,Bolivia,Cochabamba,"On stones and banks of seepy creek in cloud forest ravine, with tree ferns.",N/A,PHILONOTIS,PASS,N/A,1979-06-01,N/A,Typed,PASS,PASS,Chapare,N/A,no type status,"Marko Lewis, no. 79-2315",PASS,N/A,PASS,1 June 1979,PHILONOTIS,PASS
N/A,PASS,Peru,Amazonas,PASS,Dana Griffin III,PASS,PASS,N/A,1973-08-31,N/A,Typed,PASS,Nr. 6989,N/A,N/A,PASS,PASS,N/A,N/A,PASS,31.8.1973,PASS,PASS
N/A,PASS,PASS,PASS,PASS,PASS,Braunia secunda,PASS,N/A,1973-12-25,N/A,Typed,PASS,PASS,PASS,PASS,no type status,PASS,N/A,PASS,Alt. ca. 6300 ft.,25 December 1973,PASS,PASS
N/A,PASS,Mexico,Oaxaca,PASS,PASS,PASS,PASS,N/A,1973-06-23,N/A,Typed,PASS,PASS,N/A,PASS,no type status,PASS,N/A,N/A,PASS,"June 23, 1973",PASS,PASS
PASS,A. J. Sharp,Mexico,Jalisco,"Partial shade, moist, vert. surface of boulder.",PASS,Braunia secunda,PASS,N/A,1973-07-04,PASS,Typed,PASS,2736,N/A,PASS,no type status,PASS,N/A,PASS,1750 m.,"July 4, 1973",PASS,PASS
PASS,PASS,Mexico,Jalisco,PASS,PASS,PASS,PASS,N/A,PASS,PASS,Typed,PASS,10619,PASS,PASS,no type status,PASS,PASS,1992,PASS,PASS,PASS,PASS
N/A,PASS,Mexico,Hidalgo,N/A,PASS,PASS,PASS,N/A,PASS,N/A,Typed,PASS,PASS,N/A,N/A,no type status,PASS,N/A,1992,N/A,PASS,Braunia andrieuxii Lor.,PASS
N/A,PASS,Mexico,Veracruz,N/A,Efrain De Luna,Braunia secunda,PASS,N/A,PASS,PASS,Typed,C0341205F,PASS,N/A,PASS,no type status,PASS,N/A,1992,PASS,PASS,Braunia secunda (Hook.) Bruch & Schimp.,PASS
N/A,Frank D. Bowers,Mexico,Durango,PASS,PASS,Braunia secunda,PASS,N/A,PASS,N/A,Typed,PASS,PASS,N/A,PASS,no type status,PASS,N/A,N/A,PASS,PASS,PASS,PASS
N/A,A. J. Sharp,Mexico,PASS,PASS,H.A. Crum,Braunia secunda,PASS,N/A,1941-07-23,N/A,Typed,PASS,PASS,N/A,N/A,no type status,PASS,N/A,N/A,N/A,"July 23, 1941",PASS,PASS
N/A,PASS,Mexico,Chiapas,PASS,F. Bowers,PASS,PASS,N/A,1972-12-19,PASS,Typed,PASS,PASS,N/A,PASS,no type status,PASS,N/A,N/A,PASS,"Dec. 19, 1972",PASS,PASS
N/A,PASS,Mexico,Chiapas,PASS,PASS,Braunia squarrulosa,PASS,N/A,1975-02-09,PASS,Typed,PASS,PASS,N/A,N/A,PASS,PASS,N/A,PASS,alt. 6800 ft.,"Feb. 9, 1975",PASS,"On oak trunk in oak-pine woods, alt. 6800 ft., 15 mi. S.E. of San Cristobal de las Casas, Chiapas, Mexico."
N/A,A.J. Sharp,Mexico,Oaxaca,PASS,PASS,Braunia squarrulosa,PASS,N/A,1972-12-23,N/A,PASS,PASS,2980-a,N/A,"F.D. Bowers | D.K. Smith | R.A. Hattaway | Paul Somers, Jr.",no type status,PASS,N/A,PASS,PASS,"Dec. 23, 1972",PASS,PASS
N/A,PASS,Mexico,Jalisco,PASS,PASS,Braunia squarrulosa,PASS,N/A,PASS,N/A,Typed,PASS,PASS,N/A,N/A,no type status,PASS,N/A,N/A,7300 feet,PASS,PASS,PASS
PASS,PASS,Mexico,PASS,PASS,PASS,Braunia squarrulosa,PASS,N/A,PASS,PASS,PASS,PASS,PASS,PASS,PASS,no type status,PASS,PASS,1992,"10,000 ft.",PASS,PASS,PASS
N/A,PASS,Mexico,Chiapas,N/A,Efrain De Luna,PASS,PASS,N/A,PASS,N/A,Typed,PASS,PASS,N/A,PASS,no type status,PASS,N/A,1992,2250 MSM,PASS,PASS,PASS
N/A,PASS,Mexico,Chiapas,PASS,PASS,Braunia squarrulosa,PASS,N/A,PASS,N/A,Typed,PASS,PASS,N/A,PASS,no type status,PASS,N/A,PASS,PASS,PASS,Braunia squarrulosa (Hampe) C. Muell.,PASS
N/A,F. J. Hermann,Mexico,Chiapas,PASS,PASS,Braunia squarrulosa,PASS,N/A,1975-02-09,PASS,Typed,PASS,PASS,N/A,N/A,no type status,PASS,N/A,PASS,PASS,"February 9, 1975",PASS,PASS
N/A,PASS,Costa Rica,PASS,PASS,PASS,PASS,PASS,N/A,PASS,N/A,Typed,PASS,PASS,N/A,PASS,no type status,PASS,N/A,PASS,PASS,PASS,PASS,PASS
PASS,PASS,Bolivia,Tarija,PASS,PASS,PASS,PASS,PASS,2001-08-04,PASS,Typed,PASS,PASS,PASS,PASS,no type status,PASS,21°25'S 64°19'W,PASS,2300 m,4 Ago 2001,PASS,PASS
N/A,B. Spare,Argentina,PASS,"Subtropical rainforest, epiphyte",PASS,PASS,PASS,N/A,1946-11-27,N/A,Typed,PASS,PASS,PASS,N/A,no type status,B. Spare,N/A,N/A,1000 m a.s.l.,27 November 1946,PASS,PASS
N/A,PASS,Bolivia,PASS,PASS,PASS,PASS,PASS,N/A,1979-04-06,PASS,Typed,PASS,PASS,PASS,N/A,no type status,PASS,PASS,PASS,3250 m.,6 April 1979,PASS,PASS
PASS,Marko Lewis,Bolivia,La Paz,PASS,Dana Griffin III,Braunia plicata,PASS,N/A,1982-12-09,PASS,Typed,PASS,PASS,PASS,PASS,no type status,Marko Lewis 82-303,PASS,1990,ca. 2450 m.,9 Dec 1982,PASS,PASS
N/A,PASS,Bolivia,La Paz,PASS,PASS,Braunia plicata,PASS,N/A,1979-03-22,N/A,Typed,PASS,PASS,Larecaja,N/A,no type status,PASS,PASS,1992,2600 m.,22 March 1979,PASS,PASS
N/A,Marko Lewis,Bolivia,PASS,"Banks of trail, 3200-3240 m.",PASS,Braunia plicata,PASS,N/A,1979-03-05,PASS,Typed,PASS,PASS,N/A,N/A,no type status,PASS,PASS,PASS,3200-3240 m.,5 March 1979,Braunia plicata (Mitt.) Jaeg.,PASS
N/A,PASS,Bolivia,La Paz,PASS,Efrain De Luna,Braunia plicata,PASS,N/A,1979-03-05,PASS,Typed,PASS,PASS,PASS,N/A,no type status,PASS,"15° 11' S., 69° 04' W.",PASS,3200 m.,5 March 1979,Braunia plicata (Mitt.) Jaeg.,PASS
PASS,Marko Lewis,Bolivia,LA PAZ,N/A,Efrain De Luna,PASS,PASS,N/A,1979-03-05,PASS,Typed,PASS,PASS,PASS,N/A,no type status,PASS,PASS,PASS,3200 m.,5 March 1979,PASS,PASS
N/A,PASS,Bolivia,Tarija,PASS,PASS,PASS,PASS,N/A,PASS,N/A,Typed,PASS,PASS,N/A,N/A,no type status,PASS,PASS,PASS,PASS,PASS,PASS,PASS
N/A,PASS,Peru,PASS,PASS,PASS,Braunia secunda,PASS,N/A,N/A,N/A,Typed,PASS,PASS,PASS,PASS,no type status,PASS,N/A,28 Jan. 1983,PASS,s.d.,PASS,PASS
