associatedTaxa,collectedBy,country,firstPoliticalUnit,habitat,identifiedBy,latestScientificName,locality,maximumEventDate,minimumEventDate,municipality,originalMethod,otherCatalogNumbers,recordNumber,secondPoliticalUnit,secondaryCollectors,typeStatus,verbatimCollectors,verbatimCoordinates,verbatimDateIdentified,verbatimElevation,verbatimEventDate,verbatimIdentification,verbatimLocality
PASS,PASS,Papua New Guinea,PASS,In fork of Plumeria tree in garden.,PASS,Macromitrium incurvifolium,PASS,N/A,1975-09-03,PASS,Typed,PASS,PASS,PASS,N/A,no type status,PASS,N/A,N/A,20 m.,PASS,Macromitrium incurvifolium (Hook. & Grev.) Schwaegr.,PASS
N/A,N/A,Papua New Guinea,PASS,PASS,D. H. Vitt,Macromitrium longicaule,PASS,N/A,1975-05-20,N/A,Typed,PASS,s.n.,PASS,N/A,no type status,PASS,PASS,N/A,1500 - 1550 m.,PASS,PASS,PASS
N/A,PASS,Papua New Guinea,PASS,PASS,PASS,PASS,PASS,N/A,PASS,N/A,Typed,PASS,PASS,N/A,N/A,no type status,PASS,PASS,N/A,PASS,PASS,PASS,PASS
N/A,PASS,Papua New Guinea,PASS,PASS,PASS,PASS,PASS,N/A,1975-04-17,N/A,Typed,PASS,PASS,PASS,PASS,no type status,PASS,PASS,N/A,3600 m.,17.4.1975,PASS,PASS
N/A,N/A,Papua New Guinea,PASS,N/A,PASS,Macromitrium macrosporum,PASS,N/A,PASS,N/A,Typed,A. Touw No. 17312,PASS,PASS,N/A,no type status,PASS,PASS,N/A,PASS,8.5. 1975,Macromitrium macrosporum Broth.,PASS
PASS,PASS,Papua New Guinea,PASS,PASS,PASS,PASS,PASS,N/A,1975-04-19,PASS,Typed,PASS,PASS,PASS,PASS,no type status,PASS,PASS,N/A,3900 m.,19.4.1975,PASS,PASS
N/A,PASS,Papua New Guinea,PASS,PASS,PASS,PASS,PASS,N/A,1975-05-05,N/A,Typed,PASS,PASS,PASS,N/A,no type status,PASS,PASS,N/A,PASS,PASS,PASS,PASS
N/A,PASS,Papua New Guinea,PASS,Pendulous from heavy tree branches and slanting trunks.,D.H. Vitt,Macromitrium megalocladon,PASS,N/A,1975-05-14,N/A,Typed,PASS,PASS,PASS,N/A,no type status,PASS,PASS,N/A,PASS,14.5.1975,Macromitrium megalocladon Fleisch.,PASS
N/A,PASS,Papua New Guinea,PASS,PASS,D.H. Vitt,Macromitrium megalocladon,PASS,N/A,1975-04-21,N/A,Typed,A. Touw No. 16555,PASS,PASS,PASS,no type status,PASS,PASS,N/A,PASS,PASS,Macromitrium megalocladon Fleisch.,PASS
N/A,PASS,Papua New Guinea,PASS,PASS,PASS,Macromitrium megalocladon,PASS,N/A,1975-04-07,N/A,Typed,PASS,PASS,N/A,N/A,no type status,PASS,N/A,N/A,3350 m.,PASS,Macromitrium megalocladon Fleisch.,PASS
PASS,PASS,Japan,PASS,PASS,A. Noguchi,Macromitrium incurvum,PASS,N/A,PASS,PASS,Typed,1285066,PASS,PASS,PASS,no type status,PASS,PASS,PASS,PASS,PASS,PASS,PASS
N/A,K. Mayebara,Japan,PASS,N/A,A. Noguchi,Macromitrium incurvum,PASS,N/A,1951-12-25,N/A,Typed,1043529,PASS,N/A,N/A,no type status,Coll. K. Mayebara,N/A,N/A,PASS,"December 25, 1951",Macromitrium incurvum (Lindb.) Par.,PASS
N/A,K. Mayebara,Japan,PASS,N/A,A. Noguchi,PASS,PASS,N/A,1952-02-11,PASS,Typed,1043490,s.n.,PASS,N/A,no type status,Coll. K. Mayebara,N/A,N/A,PASS,"February 11, 1952",PASS,PASS
N/A,K. Mayebara,Japan,PASS,N/A,A. Noguchi,PASS,PASS,N/A,1952-03-00,N/A,Typed,1043493,PASS,PASS,N/A,no type status,Coll. K. Mayebara,N/A,N/A,PASS,March 1952,PASS,PASS
,PASS,China,PASS,PASS,PASS,Macromitrium gymnostomum,PASS,N/A,1925-08-00,,Typed,PASS,B.206,,,no type status,H. H. CHUNG,,PASS,PASS,"August, 1925",PASS,PASS
N/A,H. H. Chung,China,PASS,PASS,PASS,Macromitrium gymnostomum,PASS,N/A,PASS,PASS,PASS,1122721,B.20,PASS,PASS,no type status,PASS,PASS,PASS,PASS,PASS,PASS,PASS
PASS,PASS,PASS,PASS,PASS,Dale H. Vitt,Macromitrium longicaule,PASS,N/A,1981-07-23,N/A,Typed,PASS,PASS,N/A,N/A,no type status,Timo Koponen,PASS,1989,PASS,23 July 1981,Macromitrium longicaule C. Mull.,PASS
PASS,H. H. Chung,China,PASS,PASS,N/A,Macromitrium japonicum,PASS,N/A,1945-03-00,PASS,Typed,PASS,PASS,PASS,PASS,no type status,H. H. CHUNG,PASS,N/A,PASS,"March, 1945",PASS,PASS
N/A,PASS,Papua New Guinea,PASS,PASS,Dale H. Vitt,PASS,PASS,N/A,1981-07-09,N/A,Typed,PASS,3571,N/A,N/A,no type status,PASS,"6°21'S, 147°07'E",1989,3550 m,9 July 1981,PASS,PASS
N/A,M. Mizutani,Japan,PASS,PASS,Z. Iwatsuki,PASS,PASS,N/A,1975-01-23,N/A,Typed,PASS,PASS,N/A,I. Yoshimura,no type status,PASS,N/A,PASS,1-10 m alt.,PASS,PASS,PASS
N/A,K. Sakurai,Japan,Honshu,PASS,PASS,Macromitrium incurvum,[precise locality unknown],N/A,PASS,N/A,Typed,1356480,PASS,Musashi,PASS,no type status,leg. et det. K. Sakurai,N/A,PASS,N/A,PASS,PASS,PASS
N/A,K. Saito,Japan,PASS,PASS,PASS,Macromitrium gymnostomum,PASS,N/A,1970-04-03,N/A,Typed,1051109,s.n.,N/A,N/A,no type status,PASS,N/A,N/A,PASS,"April 3, 1970",PASS,PASS
PASS,PASS,Portugal,PASS,N/A,PASS,PASS,PASS,N/A,1937-06-14,N/A,PASS,1181624,PASS,N/A,PASS,no type status,PASS,N/A,N/A,PASS,14.VI.1937,PASS,Salto do Cavalo vers 700 m.
N/A,PASS,Bolivia,La Paz,Super humid Ceja de Montana forests following ravines. In small rill in dripping area of small waterfall.,PASS,Philonotis,PASS,N/A,1983-01-20,N/A,Typed,PASS,PASS,N/A,N/A,no type status,PASS,"15°36'S, 68°39'W",N/A,PASS,20 Jan 1983,Philonotis,PASS
N/A,Marko Lewis,Bolivia,PASS,PASS,N/A,PASS,PASS,N/A,1979-03-29,N/A,Typed,1078795,79-1314,PASS,N/A,no type status,Marko Lewis,PASS,PASS,PASS,29 March 1979,PASS,PASS
N/A,Marko Lewis,Bolivia,Cochabamba,PASS,N/A,Philonotis,"Slope of Cerro Khachi, N. of Corani",N/A,1979-06-01,N/A,Typed,PASS,79-2315,PASS,N/A,no type status,"Marko Lewis, no. 79-2315",PASS,N/A,PASS,1 June 1979,PASS,"Slope of Cerro Khachi, N. of Corani, 3030 m."
PASS,PASS,Bolivia,PASS,PASS,N/A,PASS,PASS,N/A,1950-10-13,PASS,PASS,PASS,PASS,PASS,,no type status,Miss W. M. A. Brooke,PASS,PASS,10000 ft.,13 Oct. 1950,PASS,Unduavi
N/A,PASS,Bolivia,N/A,N/A,N/A,PASS,Unduavi,N/A,1950-10-13,N/A,Typed,PASS,6865,N/A,PASS,no type status,PASS,N/A,N/A,10000 ft.,13 Oct. 1950,PASS,Unduavi
N/A,PASS,Bolivia,Cochabamba,PASS,PASS,Philonotis,PASS,N/A,1979-06-01,PASS,Typed,PASS,79-2315,Chapare,N/A,no type status,PASS,PASS,PASS,PASS,1 June 1979,PASS,PASS
N/A,PASS,Peru,Amazonas,PASS,PASS,PASS,PASS,N/A,1973-08-31,PASS,Typed,PASS,PASS,PASS,PASS,no type status,PASS,N/A,N/A,PASS,31.8.1973,PASS,PASS
N/A,PASS,Mexico,Baja California Sur,PASS,PASS,Braunia secunda,PASS,N/A,1973-12-25,N/A,Typed,PASS,PASS,N/A,PASS,no type status,PASS,N/A,PASS,Alt. ca. 6300 ft.,25 December 1973,PASS,PASS
N/A,PASS,Mexico,Oaxaca,PASS,A. J. Sharp,Braunia secunda,PASS,N/A,1973-06-23,N/A,Typed,1045248,2281,N/A,PASS,no type status,PASS,N/A,PASS,PASS,"June 23, 1973",PASS,PASS
N/A,PASS,Mexico,Jalisco,PASS,PASS,Braunia secunda,PASS,N/A,1973-07-04,N/A,Typed,1045251,2736,N/A,PASS,no type status,PASS,N/A,PASS,1750 m.,"July 4, 1973",PASS,"El Mirador on Hwy. 80, 9 mi. above San Martin Hidalgo"
PASS,PASS,Mexico,Jalisco,PASS,PASS,PASS,PASS,N/A,PASS,PASS,Typed,PASS,10619,PASS,PASS,no type status,C. G. Pringle,PASS,1992,PASS,PASS,PASS,PASS
N/A,C. G. Pringle,Mexico,Hidalgo,N/A,PASS,PASS,PASS,N/A,PASS,N/A,Typed,PASS,10627,N/A,N/A,no type status,C. G. Pringle,N/A,1992,N/A,PASS,PASS,PASS
N/A,PASS,Mexico,PASS,N/A,PASS,Braunia secunda,PASS,N/A,PASS,PASS,Typed,C0341205F,PASS,PASS,PASS,no type status,PASS,N/A,1992,2300M,PASS,Braunia secunda (Hook.) Bruch & Schimp.,PASS
N/A,PASS,Mexico,Durango,PASS,PASS,PASS,PASS,N/A,PASS,N/A,PASS,1036945,PASS,N/A,PASS,no type status,PASS,N/A,PASS,PASS,PASS,PASS,PASS
N/A,A. J. Sharp,Mexico,PASS,N/A,PASS,Braunia secunda,PASS,N/A,1941-07-23,N/A,Typed,PASS,PASS,N/A,N/A,no type status,PASS,N/A,PASS,N/A,"July 23, 1941",Braunia secunda (Hook.) BSG,PASS
N/A,PASS,Mexico,Chiapas,PASS,F. Bowers,Braunia squarrulosa,PASS,N/A,1972-12-19,N/A,PASS,1045274,4217,N/A,PASS,no type status,PASS,N/A,N/A,PASS,"Dec. 19, 1972",PASS,PASS
PASS,F. J. Hermann,Mexico,Chiapas,PASS,PASS,Braunia squarrulosa,PASS,N/A,1975-02-09,PASS,Typed,PASS,26429,PASS,PASS,no type status,PASS,PASS,PASS,PASS,"Feb. 9, 1975",Braunia squarrulosa (Hampe) Broth.,PASS
N/A,A.J. Sharp,Mexico,Oaxaca,PASS,PASS,Braunia squarrulosa,PASS,N/A,1972-12-23,N/A,PASS,1045269,PASS,N/A,"F.D. Bowers | D.K. Smith | R.A. Hattaway | Paul Somers, Jr.",no type status,PASS,N/A,PASS,PASS,"Dec. 23, 1972",Braunia squarrulosa (Hampe) Broth.,PASS
N/A,PASS,Mexico,Jalisco,PASS,PASS,Braunia squarrulosa,PASS,N/A,1949-07-23,N/A,Typed,C0341234F,PASS,N/A,N/A,no type status,PASS,N/A,PASS,7300 feet,23 July 1949,PASS,PASS
PASS,C. G. Pringle,Mexico,Federal District,PASS,PASS,Braunia squarrulosa,[precise locality unknown],N/A,1908-07-17,PASS,Typed,PASS,10550,PASS,PASS,no type status,C. G. Pringle,PASS,1992,"10,000 ft.",PASS,PASS,PASS
N/A,PASS,Mexico,Chiapas,N/A,PASS,PASS,PASS,N/A,PASS,N/A,Typed,PASS,s.n.,N/A,PASS,no type status,PASS,PASS,PASS,PASS,PASS,PASS,PASS
N/A,PASS,Mexico,Chiapas,PASS,PASS,PASS,[precise locality unknown],N/A,PASS,N/A,Typed,PASS,PASS,N/A,PASS,no type status,PASS,N/A,N/A,PASS,PASS,PASS,PASS
N/A,F. J. Hermann,Mexico,Chiapas,PASS,PASS,Braunia squarrulosa,PASS,N/A,1975-02-09,N/A,PASS,1045277,26429,N/A,N/A,no type status,PASS,N/A,PASS,PASS,"February 9, 1975",PASS,PASS
N/A,PASS,Costa Rica,PASS,PASS,PASS,PASS,PASS,N/A,1979-02-04,N/A,PASS,PASS,s.n.,PASS,PASS,no type status,PASS,N/A,PASS,PASS,4 feb. 1979,PASS,PASS
N/A,PASS,Bolivia,Tarija,PASS,S. Churchill,Braunia exserta,PASS,N/A,2001-08-04,N/A,PASS,PASS,PASS,PASS,N/A,no type status,PASS,PASS,2001,2300 m,4 Ago 2001,PASS,PASS
N/A,PASS,Argentina,PASS,"Subtropical rainforest, epiphyte",W. R. Buck,PASS,PASS,N/A,1946-11-27,PASS,PASS,PASS,s.n.,PASS,PASS,no type status,PASS,N/A,PASS,1000 m a.s.l.,27 November 1946,PASS,PASS
PASS,PASS,Bolivia,La Paz,In ravine with waterfall,Efrain De Luna,PASS,PASS,N/A,1979-04-06,PASS,Typed,PASS,79-1625,Larecaja,PASS,no type status,Marko Lewis,"15° 48' S., 68° 36' W.",1992,3250 m.,6 April 1979,PASS,PASS
N/A,PASS,Bolivia,La Paz,PASS,Dana Griffin III,Braunia plicata,PASS,N/A,1982-12-09,N/A,Typed,PASS,PASS,N/A,N/A,no type status,PASS,PASS,1990,PASS,9 Dec 1982,Braunia plicata (Mitt.) Jaeg.,PASS
N/A,M. Lewis,Bolivia,La Paz,PASS,PASS,Braunia plicata,PASS,N/A,1979-03-22,N/A,Typed,1032384,79-1230,PASS,N/A,no type status,Marko Lewis,PASS,1992,2600 m.,22 March 1979,Braunia plicata (Mitt.) Jaeg.,PASS
N/A,PASS,Bolivia,La Paz,"Banks of trail, 3200-3240 m.",PASS,Braunia plicata,PASS,N/A,1979-03-05,N/A,PASS,1032341,79-947,PASS,N/A,no type status,PASS,PASS,PASS,3200-3240 m.,5 March 1979,Braunia plicata (Mitt.) Jaeg.,PASS
N/A,Marko Lewis,Bolivia,La Paz,"Banks of trail, 3200 m.",PASS,PASS,PASS,N/A,1979-03-05,N/A,Typed,PASS,79-940,PASS,N/A,no type status,PASS,PASS,PASS,3200 m.,5 March 1979,PASS,PASS
PASS,PASS,Bolivia,La Paz,N/A,Efrain De Luna,PASS,PASS,N/A,1979-03-05,PASS,Typed,1032366,79-935,PASS,PASS,no type status,Marko Lewis,PASS,Nov. 1991,3200 m.,5 March 1979,PASS,PASS
PASS,PASS,Bolivia,PASS,PASS,PASS,Hedwigidium integrifolium,PASS,N/A,1979-02-10,N/A,Typed,PASS,79-615,PASS,N/A,no type status,PASS,PASS,Nov. 1991,3350 m.,10 February 1979,PASS,PASS
N/A,M. Dillon,Peru,PASS,PASS,Dana Griffin III,Braunia secunda,PASS,N/A,PASS,N/A,Typed,PASS,3128D,PASS,PASS,no type status,PASS,N/A,28 Jan. 1983,+ 3380 m.,PASS,Braunia secunda (Hook.) B.S.G.,PASS
