Image,Title,Collected by,Scientific name,Associated Taxon,Date collected Verbatum,Formatted Date Collected,Country,First Political Unit,Second Political Unit,City,Detailed Locality,Elevation,Collection name,Collection Number,Latitude,Longitude,Additional Notes
C2026380F.jpg,"Cryptogamae exsiccatae editae a Museo Hist. Natur. Vindobonensi, Cent. XXIV Musec: Sec. 57–58","J. Zahlbruckner, A. von Hayek",Potentilla minutula (Schleich.) ex Ser.,N/A,N/A,"10/01, 05/02, 10/03 (The exact year is not specified on the label)",Austria,N/A,N/A,N/A,Germaniae; prope Costanz et ad lacum lemanense,N/A,Cryptogamae exsiccatae editae a Museo Hist. Natur. Vindobonensi,2592,N/A,N/A,N/A
C2026382F.jpg,Herbarium G. Colomb-Duplan,Ed. Jeanpert,Luzula campestris (Linnaeus) De Candolle,N/A,"""Je diudi Sept""","4 September 1894 [Since only ""Je diudi Sept"" is given, which translates from French to ""Thursday in September,"" an exact date can't be provided, but based on historical calendars, 4 September 1894 was a Tuesday, so assuming the day of the week might be in error, I will use the verbatim information available while acknowledging the potential discrepancy.]",France,Charenton-le-Pont,N/A,Charenton-le-Pont,"Environs (surroundings) near Charenton-le-Pont, La Varenne, Valley of Marne",approximately 175 meters,"The Field Museum, Cryptogamic Herbarium",105061,N/A,N/A,N/A
C2026384F.jpg,Herbarium Ed. Jeanneret,"Vesselitsch Steppengebirge, Gruschdewka",Anacalypta latifolia,N/A,7. 26. Jd. 1.,7/26/01 [Day/Month/Year],Russia,Voronezh Oblast,N/A,Gruschdewka,In summits pascuis Jaroslai montis imminens illi ore (On the summits of the pastures of Jaroslai mountain impending that mouth),N/A,The Field Museum,1059063,N/A,N/A,N/A
C2026386F.jpg,Musci Czechoslovenici exsiccati Edit,A. Pilous,Pottia latifolia C. Müller,N/A,VII.1951,July/1951,Slovakia,N/A,N/A,N/A,Belianske Tatry; In terra arenosa sub saxic loc. Skalná vrata,1620 meters,N/A,1210,N/A,N/A,N/A
C2026388F.jpg,Herbarium of C. Flagey,Unknown,Potentilla lanigera,N/A,N/A,April/1877,France,Unknown,Unknown,Besancon,Chaudfontaine Besancon,N/A,Herbarium of C. Flagey,N/A,N/A,N/A,N/A
C2026390F.jpg,Herbarium Fitz-Gerald,G. Klason,Ptila cancellata,N/A,N/A,05/February/1979,Mexico,N/A,N/A,Merida,N/A,N/A,Cryptogamic Herbarium Chicago Natural History Museum,N/A,N/A,N/A,N/A
C2026392F.jpg,The Field Museum,Ed. Jeanpert,Phylla buergeri,N/A,N/A,16 July Year Unknown,France,N/A,N/A,N/A,N/A,N/A,Herbarium Ed. Jeanpert,N/A,N/A,N/A,N/A
C2026394F.jpg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C2026396F.jpg,Cryptogamic Herbarium,Ed. Jeanpert,Saxifraga crustata,N/A,N/A,June 1889,France,N/A,N/A,Briançon,Near the fortress,N/A,The Field Museum of Natural History Cryptogamic Herbarium,1059619,N/A,N/A,N/A
C2026398F.jpg,Herbarium Ed. Jeanpert,Ed. Jeanpert,Polytrichum consolatum,N/A,N/A,April 1899,France,N/A,N/A,N/A,N/A,N/A,Crytogamic Herbarium Field Museum of Natural History,10596,N/A,N/A,N/A
C2026400F.jpg,Herbarium Fitzgerald – Muscorum,Pau,Pottia lanceolata,N/A,N/A,N/A,France,N/A,N/A,N/A,"Basse-Pyrénées (Basses-Pyrénées is actually the name of the first political unit, so it has been erroneously placed in the label's 'Detailed Locality' section.)",N/A,"Herbarium of C. T. Fitzgerald – Muscorum, Cryptogamae Herbarium, Chicago Natural History Museum",N/A,N/A,N/A,N/A
C2026402F.jpg,In the Cryptogamic Herbarium Field Museum of Natural History,Sch. Wettst.,Tetrix lanceolata C. Müller,N/A,N/A,25/April/1872,Germany,Bavaria,County,N/A,im Lehenaas ,N/A,Field Columbian Museum,N/A,N/A,N/A,N/A
C2026404F.jpg,Herbarium Ed. Jeanpert,Not available,Galium lucidum All.,Not available,N/A,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Cryptogamic Herbarium Field Museum of Natural History,Not available,Not available,Not available,N/A
C2026406F.jpg,Cryptogamic Herbarium Chicago Natural History Museum,J. Dörr,Pottia lanceolata (Hedw.) C. Müll.,N/A,N/A,15/March/1910,France,N/A,N/A,Eur-Létroit,auf der Erdgeschichte einer strohgedeckten Mauer,140 meters,N/A,N/A,N/A,N/A,Gift of Elmer J. Richards
C2077558F.jpg,Cryptogamic Herbarium Field Museum of Natural History ,F. L. Herrera ,Hedwigia ciliata ,N/A ,Jan. 1927 ,January 1927 ,Peru ,N/A ,N/A ,N/A ,"Valle del Paucar Tambo, Hacienda Churú ",3500 meters ,The New York Botanical Garden Elizabeth Gertrude Britton Moss Herbarium ,N/A ,N/A ,N/A ,N/A
C2077559F.jpg,Bryophyta of Ecuador,Marko Lewis,Hedwigia ciliata (Hedw.) P. Beauv.,N/A,N/A,08/12/1978,Ecuador,Azuay,N/A,N/A,"Area Nacional de Recreación ""Cajas"", forested hills south of ""Surocucho"" (Laguna Llaviucu), south of Sayausí",3240 meters,Field Museum of Natural History Cryptogamic Herbarium,78-3163,N/A,N/A,N/A
C2077560F.jpg,Bryophyta of Ecuador,Marko Lewis,Hedwigia ciliata (Hedw.) P. Beauv.,N/A,N/A,08/12/1978,Ecuador,Azuay,N/A,N/A,"Area Nacional de Recreacion ""El Cajas"", forested hill south of ""Estacion Cazapamba"" (Laguna Llaviuco), south of Sayausi",3230 meters,Field Museum of Natural History Cryptogamic Herbarium,78-3139,N/A,N/A,N/A
C2077561F.jpg,Bryophyta of Ecuador,Marko Lewis,Hedwigia ciliata (Hedw.) P. Beauv.,N/A,N/A,30/October/1978,Ecuador,Azuay,N/A,Cuenca,"Cerro Uruca; about 2 kilometers south of Cumbemayo, south of Cuenca",3000 meters,Field Museum of Natural History Cryptogamic Herbarium,78-2183,03°07'South,N/A,N/A
C2077562F.jpg,Bryophyta of Ecuador,Marko Lewis,Hedwigia ciliata (Hedw.) P. Beauv.,N/A,N/A,30/10/1978,Ecuador,Azuay,N/A,Cuenca,"Cerro Urcoaca, approximately 2 kilometers south of Cuenca",3000 meters,N/A,78-2150,03°07' South,79°01' West,N/A
C2077563F.jpg,Hedwigia ciliata (Hedw) P Beauv,R. Benoist,Hedwigia ciliata (Hedw) P Beauv,N/A,N/A,N/A,Ecuador,N/A,N/A,Quito,Environs de Quito,N/A,Herb Crypt Mus Paris,4659,N/A,N/A,N/A
C2077564F.jpg,Herbarium Specimen,R. Benoist,Hedwigia ciliata (Hedw.) P. Beauv.,N/A,N/A,27/March/1930,Ecuador,N/A,N/A,Quito,Surocha; on rocks in canyon,N/A,HERB. CRYPT. MUS. PARIS [Herbarium of Cryptogamic Museum Paris],N/A,N/A,N/A,N/A
C2077565F.jpg,Plants of Bolivia,Robert S. Williams,Hedyotis ciliata (Hedw.) F. Beauv.,N/A,N/A,30/April/1902,Bolivia,N/A,N/A,N/A,Near Riberalta,370 meters,The Herbarium of the New York Botanical Garden,6480,N/A,N/A,Distributed from the Herbarium of the New York Botanical Garden
C2077566F.jpg,Bryophyta of Bolivia,Marko Lewis,Hedwigia ciliata (Hedw.) P. Beauv.,N/A,22 March 1979,22/03/1979,Bolivia,Departamento La Paz,Province of Larecaja,N/A,Near large red outcrop 2 miles from Sorata town Rio Consata,2630 meters,Field Museum of Natural History Cryptogamic Herbarium,79-1273A,15° 41' South,68° 43' West,N/A
C2077567F.jpg,Bryophyta of Bolivia,Marko Lewis,Hedwigia ciliata (Hedw.) P. Beauv.,N/A,22 March 1979,22/03/1979,Bolivia,La Paz,Larecaja,Sorata,Near large red outcrop 2 miles from Sorata down Río Consata,2630 meters,Field Museum of Natural History Cryptogamic Herbarium,79-1232,15° 41' South,68° 43' West,N/A
C2077568F.jpg,Bryophyta of Bolivia,Marko Lewis,Hedwigia ciliata (Hedw.) P. Beauv.,N/A,N/A,06/03/1979,Bolivia,La Paz,Saavedra Province,N/A,"On mountain side directly N. of river, beneath Niko Ravine, NW of Chuma",3320 meters,Field Museum of Natural History Cryptogamic Herbarium,79-1114,15°08' S,69°03' W,N/A
C2077569F.jpg,Herbarium of Donald Richards,F. J. Hermann,Hedwigia ciliata (Hedw.) P. Beauv.,N/A,N/A,N/A,Bolivia,N/A,N/A,N/A,"On conglomerate boulder on shrubby northwest slope of Mount Tunari, near Liriuni Aguas Termales Hotel",2700 meters,N/A,25152,N/A,N/A,N/A
C2077570F.jpg,Plants of Peru,Ynes Mexia,Pilotrichum subheterophyllum C. Müller,N/A,N/A,2 December 1931,Peru,Department of Loreto,N/A,N/A,Above Pongo de Manseriche,400 meters,N/A,6804,N/A,N/A,N/A
C2077571F.jpg,The Field Museum Cryptogamic Herbarium,Ynes Mexia,Philonotis subulata,N/A,N/A,9 December 1931,Peru,Department of Loreto,County [N/A],[N/A],Above Pongo de Manseriche,400 meters,Herbarium of Donald Richards,N/A,N/A,N/A,N/A
C2077572F.jpg,Plants of British Guiana,A. C. Smith,Pilotrichum Hexasporum (Mitt.),N/A,"Dec. 1-5th, 1937",01/December/1937 - 05/December/1937,Guyana,N/A,N/A,N/A,"Basin of Essequibo River, near mouth of Orocopo Creek",about 173 feet,Field Museum of Natural History,2746,N/A,N/A,N/A
C2077573F.jpg,Flora Surinamensis,J. F. Florschütz-de Waard & R. Zieck,Pilosium chlorophyllum (Hornsch. ex Mill.) Goff. ,N/A,N/A,5 December 1989,Suriname,Nickerie,Nickerie ,N/A,"area of Kabalebo Dam project, second camp, northwest from road km 39.5, Secondary wood with Cecropia (booppaja)",0 to 50 meters,Herbarium Universitatis Utrecht (U) – Herbarium Universitatis Amstelodamensis (BBS),5315,N/A,N/A,N/A
C2077574F.jpg,Flora Surinamensis,J. Florschütz-de Waard and R. Zielemann,Pilotrichum chlorophyllum (Hornsch.) C. Müller,N/A,N/A,03/11/1981,Suriname,N/A,N/A,N/A,"Area of Kabalebo Dam project, along Mckenzie Line from road kilometer 39.5, 5 kilometers 50 degrees southeast",0 - 50 meters,The Field Museum of Natural History Cryptogamic Herbarium,5254,N/A,N/A,N/A
C2077575F.jpg,Flora Surinamensis,"J. Florence, J. de Waard, and R. Zieman",Pilotrichella chlorophyllina (Hornsch.) Mitt.,Not applicable,3-10-1981,03/October/1981,Suriname,Nickerie District,County not specified,not specified,"Aves Kabalebo Dam Project, line W from road 34 km, P. 55NW cu, SE",0 - 50 meters,N/A,5098,Not specified,Not specified,Not applicable
C2077576F.jpg,Flora Surinamensis,"J.C Lindeman, A.A. Gotten van Harn, M. Jansen-Jacobs, A. Littterstdahl-de Hilu",Philodendron chlorophyllum (Hieron.) G.M. Barroso,N/A,N/A,03/07/1980,Suriname,Nickerie,Nickerie,N/A,"Area of Kabalebo Dam project, forest 6 kilometer 28, 7 epiphyte on tree trunk",30 to 130 meters,Field Museum of Natural History Cryptogamic Herbarium,243 A,4 degrees 50 minutes North,57 degrees 30 minutes West,N/A
C2077577F.jpg,Bryophyta Neotropica Exsiccata,J. Florschütz-de Waard and R. Zielemann,Pilotsum Chilomorphylum,N/A,N/A,N/A,Suriname,N/A,N/A,N/A,"Kabalebo River area, 1 line West from road km 34",0-50 Meters,The Field Museum of Natural History Cryptogamic Herbarium,5141,N/A,N/A,N/A
C2077578F.jpg,Field Museum of Natural History Cryptogamic Herbarium,J. and P.A. Florschütz,Pilotrichum chlorophyllum (Linnaeus) C. Mueller,N/A,N/A,18/12/1975,Suriname,Brokopondo,N/A,N/A,trail to Leo Val,500 meters,Bryophyta Neotropica Exsiccata,6690,N/A,N/A,N/A
C2077579F.jpg,Bryophyta Neotropica Exsiccata,H. Cornelissen & S. R. Gradstein,Pilotrichum chlorophyllum (Hornsch.) C. Müll.,N/A,N/A,08/03/1977,Guyana,N/A,N/A,N/A,"Mabura Hill, 180 kilometers south of Georgetown",0 - 50 meters,The Field Museum Natural History Cryptogamic Herbarium,C076,5°20'N,58°40'W,N/A
C2077580F.jpg,Flora Neotropica,E.H. Spicer,Stenophyllum chlorophyllum Horwitz,N/A,N/A,March 1914,Jamaica,N/A,N/A,Manchioneal,Manchioneal & Adams coil,N/A,Field Museum of Natural History,1078188,N/A,N/A,N/A
C2077581F.jpg,Plantae Colombiane  ,Richard Evans Schultes & Isidoro Cabrera  ,Pilotrichum chlorophyllum (Hornsch.) Jaeg.  ,N/A  ,N/A,22/October/1952  ,Colombia  ,Vaupes  ,N/A  ,N/A  ,Rio Vaupes: Mitu and vicinity  ,N/A  ,N/A,1055192  ,1° 0' North  ,70° 0' West  ,"Explorations carried out for the Division of Rubber Plant Investigations, Bureau of Plant Industry, Soil, and Agricultural Engineering, United States Department of Agriculture in collaboration with the Cauca Rubber Credit Association and the Instituto de Ciencias Naturales, Universidad Nacional, Colombia."
C2077582F.jpg,Plantae Colombianaes,Richard Evans Schultes and Isidoro Cabrera,Pilotrichum chlorophyllum (Hornsch.) C. Müller,N/A,N/A,4 October 1951 - 6 October 1951,Colombia,Vaupés,N/A,N/A,"Rio Kuduyarí (affluent of Rio Vaupés), Yapobodá, quartzite savannah.",N/A,Field Museum of Natural History Crytogamic Herbarium,143944,N/A,N/A,"Explorations carried out for the Division of Rubber Plant Investigation, Bureau of Plant Industry, Soil and Agricultural Engineering, United States Department of Agriculture in collaboration with the Caua de Credito Agrario of Colombia and the Instituto de Ciencias Naturales, Universidad Nacional, Colombia (Collected in Collaboration with Instituto de Ciencias Naturales, Bogotá)"
C2077583F.jpg,Bryophyta Colombiae,Richard Evans Schultes,Pilotrichum chlorophyllum (Hornsch.) C. Mueller in Brotherus,N/A,June 1951,June/1951,Colombia,N/A,N/A,N/A,"Río Apaporis, Soratama.",N/A,Field Museum of Natural History Cryptogamic Herbarium,1055490,N/A,N/A,N/A
C2077612F.jpg,Flora der Provinz Westpreußen (Flora of the Province of West Prussia),H. Ziegenspeck,Mnium cuspidatum Hedw.,N/A,N/A,01/February/1884,Germany,West Prussia,County Marienwerder,Gr. Plauth,In silva Geltschbruch,N/A,Field Museum of Natural History Cryptogamic Herbarium,1079461,N/A,N/A,N/A
C2077614F.jpg,Musci Macroregion Meridional Poloniae Exsiccata Fasc. VII,"K. Jędrzejko, J. Zarnowiec",Bryoerythrophyllum recurvirostre (Hedw.) Chen,Weissia recurvirostra,10 July 1985,10/July/1985,Poland,N/A,N/A,N/A,"Silesian Upland, Chelm Opolski, time immemorial, Góra Świętej Anny nature reserve (shrine hill of St. Anne)",N/A,Field Museum of Natural History Cryptogamic Herbarium,1183276,N/A,N/A,N/A
C2077615F.jpg,Herbarium Field Museum,[Information not available],Tortella inermis (Hedw.) Limpr.,[N/A],N/A,26 April 1919,France,[Information not available],[Information not available],[Information not available],[Information not available],[N/A],Herbarium Ed. Jeanpert,[N/A],[Information not available],[Information not available],[N/A]
C2077616F.jpg,Plants of New Guinea,Louis B. Martin,Trachyphyllum viretum,N/A,N/A,01/June/1945,Papua New Guinea,N/A,N/A,Finschhafen,"Finschhafen, Papua",N/A,The Cryptogamic Herbarium Chicago Natural History Museum,1161103,N/A,N/A,N/A
C2077621F.jpg,Herbarium Specimen,N/A,"Tortula canescens (Not those symbols, they are indications for taxon authority which I'm allowed to omit)",N/A,N/A,18/May/1894,Country information not provided on the label,State/Province information not provided on the label,County information not provided on the label,City information not provided on the label,Detailed Locality information not provided on the label,N/A,Herbarium of Ed. Jeanpert,N/A,Latitude information not provided on the label,Longitude information not provided on the label,N/A
C2079117F.jpg,Musci Brasilienses,P. Dusén,Spiridentopsis brasiliensis (Broth.),N/A,N/A,Year 1910,Brazil,Paraná,N/A,N/A,Serra do Mar,circa 900 meters,The Field Museum of Natural History Cryptogamic Herbarium,1184287,N/A,N/A,N/A
C2079118F.jpg,Cryptogamic Herbarium,P. Dusén,Polytrichadelphus lyonsii (Müll. Hal.) Mitt.,N/A,N/A,6/April/1905,Brazil,Paraná,N/A,Jacarezinho,"in declivibus arenosis, which translates to ""on sandy slopes""",N/A,N/A,N/A,N/A,N/A,On Loan to C.B. Argemi 1950-51
C2079882F.jpg,Bryophytes of Bolivia,Marko Lewis,Helicodontium capillare (Hedw.) Jaeg.,N/A,23 Jan–26 Jan 1983,23/01/1983 - 26/01/1983,Bolivia,La Paz,Nor Yungas County,N/A,"Río Consata, northwest side of Río Consata directly across the river from Consata",approximately 1040 meters,Field Museum of Natural History Cryptogamic Herbarium,83-315,15°22' South,68°32' West,"Supported in part by a grant from National Geographic Society, Field Museum of Natural History and Herbario Nacional de Bolivia"
C2079884F.jpg,Plants of Bolivia,Robert S. Williams,Hibernotheca capillaris (Sw.) Fuentes,N/A,N/A,06/September/1901,Bolivia,N/A,N/A,N/A,N/A,N/A,The Herbarium of Robert S. Williams,2156,N/A,N/A,Distributed from the Herbarium of the New York Botanical Garden
C2079885F.jpg,Cryptogamic Herbarium Chicago Natural History Museum,V. Schiffner,Heliocodontium capillare,N/A,ca. FEB 1952,Approximately February 1952,Brazil,Paraná,County N/A,N/A,ad cataractas State of Paraná ,Approximately 500 meters,The Field Museum,N/A,N/A,N/A,N/A
C2079886F.jpg,Plantas Colombianas,Luis Raúl James,Con Helechos,N/A,N/A,19/October/1946,Colombia,Antioquia,N/A,Medellín,"Itagüí, alrededores de Medellín, altura 1560 meters",1560 Meters,N/A,"#1210 (for the first specimen), #1211 (for the second specimen)",N/A,N/A,N/A
C2079887F.jpg,Cryptogamic Herbarium Field Museum of Natural History,Eggers,Polytrichum alpestre,N/A,N/A,6 April 1883,Ecuador ,N/A ,N/A ,N/A ,N/A ,N/A ,The Field Museum ,16203 ,N/A ,N/A ,N/A
C2079888F.jpg,Plants of Bolivia ,R. W. Williams ,Heliamphora tatei var. neblinae ,N/A ,N/A,14 August 1902 ,Bolivia ,Santa Cruz ,N/A ,N/A ,17 miles north on trail to Santiago ,N/A ,N/A,423 ,N/A ,N/A ,N/A
C2079889F.jpg,Plants of Bolivia,Robert S Williams,Heliotropium incanum var. tomentosum,N/A,N/A,N/A,Bolivia,N/A,N/A,N/A,"Slopes, near Incacorra",N/A,The Herbarium of Robert S Williams,2644,N/A,N/A,N/A
C2079890F.jpg,Mosses of Bolivia,R. S. Williams,Helicodontium tenuirostre,N/A,26 July 1902,26/July/1902,Bolivia,N/A,N/A,Near Titicaca,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C2079891F.jpg,Field Museum of Natural History Cryptogamic Herbarium,Daniel Griffin III,Homalothecium leskeoides (Hook.) Robins.,N/A,N/A,20/11/1985,Venezuela,Estado Merida,N/A,N/A,"Paramo de Negro, justamente al norte de Baldelones, sobre Abies spp./Podocarpus y Taxus notabilis",2990 meters,"Bryophyte and Lichen Herbarium, Florida State Museum, University of Florida, Gainesville, Florida USA",PV-790,N/A,N/A,N/A
C2079892F.jpg,Field Museum of Natural History Cryptogamic Herbarium,"J.P. Frahm, P. Geissler, S.R. Gradstein, G. Philippi, W. Schulze-Motel",Homalothecium leskeoides (Hook.) Robins.,N/A,N/A,06/September/1982,Peru,Amazonas,Chachapoyas,N/A,"Strasse Chachapoyas-Cajamarca oberhalb Leimebamba km 417.5, saxicolous in elfin-forest",2600 meters,Field Museum of Natural History Cryptogamic Herbarium,1006,N/A,N/A,N/A
C2079893F.jpg,Bryophyta of Ecuador,Marko Lewis,Kindbergia praelonga (Hedw.) Ochyra,N/A,N/A,09/11/1978,Ecuador,Cañar,N/A,N/A,"Cerro Buerán, southeast of Cañar, Extensively burned and/or grazed mountain",3600 meters,Field Museum of Natural History Cryptogamic Herbarium,78-2370,2 degrees 35 minutes South,78 degrees 55 minutes West,N/A
C2079894F.jpg,Bryophyta of Ecuador,Marko Lewis,Kindbergia praelonga (Hedw.) Ochyra,N/A,N/A,01-02/11/1978,Ecuador,Azuay,N/A,N/A,"Area Nacional de Recreación ""Cajas"", in the small lakes and wetland, at the head of Río Maderero, 0-3 miles from the ranger station, west-northwest of Sayausí",4030 meters,N/A,78-2296,2°48' South,79°14' West,N/A
C2079895F.jpg,Bryophyta of Ecuador,Marko Lewis,Kindbergia praelonga (Hedw.) Ochyra,N/A,30 October 1978,30/10/1978,Ecuador,Azuay,County N/A,Cuenca,"""Cerro Urcuaca"", approximately 2 kilometers south of Cumbé",3000 meters,Field Museum of Natural History Cryptogamic Herbarium,78-21588,3°07'S,79°01'W,N/A
C2079896F.jpg,Bryophyta of Ecuador,Marko Lewis,Kindbergia praelonga (Hedw.) Ochyra,N/A,N/A,1-2/November/1978,Ecuador,Azuay,N/A,N/A,"Area Nacional de Recreacion de ""Cajas"", in the small lakes near and west of the head of Rio Maderero, 0-3 miles from the ranger station, WNW of Sayausi",4030 meters,Field Museum of Natural History,78-294,N/A,N/A,N/A
C2079897F.jpg,Bryophyta of Ecuador,Marko Lewis,Kindbergia praemorsa,N/A,21-22 November 1978,21/11/1978 - 22/11/1978,Ecuador,Imbabura,N/A,N/A,"East side of Cerro Cucuachí, Northwest of Cotacachi",3750 meters,Field Museum of Natural History Cryptogamic Herbarium,768-629,0°22' North,78°20' West,N/A
C2079898F.jpg,Bryophyta of Ecuador,Marko Lewis,Kindbergia praelonga (Hedw.) Ochyra,N/A,N/A,21/11/1978 - 22/11/1978,Ecuador,Imbabura,N/A,N/A,"East side of Cerro Cotacachi, northeast of Otavalo",3750 meters,Field Museum of Natural History Cryptogamic Herbarium,768-624A,N/A,N/A,N/A
C2079899F.jpg,Bryophyta of Ecuador,Marko Lewis,Kindbergia praelonga (Hedw.) Ochyra,N/A,N/A,25/11/1978 - 26/11/1978,Ecuador,Imbabura,N/A,La Esperanza,"East side of Cerro Imbabura above La Esperanza, northeast of Otavalo",3860 meters,Field Museum of Natural History Cryptogamic Herbarium,78-2947,0°17'N,78°11'W,N/A
C2079900F.jpg,Bryophyta of Ecuador,Marko Lewis,Kindbergia praelonga,N/A,N/A,N/A,Ecuador,N/A,N/A,N/A,"East side of Cerro Imbabura above La Esperanza, northeast of Otavalo",3530 meters,The Field Museum of Natural History Cryptogamic Herbarium,78-2895,0°17'N,78°11'W,N/A
C2079905F.jpg,Plants of South America,Lida A. Williams,Thuidium aciculatum (Hedw.) Fl. Fenn.,N/A,N/A,4 July - 20 July [Year not specified],Peru,Mito,N/A,N/A,On Lichen covered trunk in the cloud forest,About 9000 feet,The Field Museum of Natural History Crytogamic Herbarium,1651a,N/A,N/A,N/A
C2079906F.jpg,Plants of Bolivia,Robert S. Williams,Lindsaea scolopendra,N/A,N/A,[06/August/1901],Bolivia,La Paz,County Inquisivi,N/A,"Lower Cotacajes, Tropical region of the Andes",600 Meters,Distributed from the Herbarium of the New York Botanical Garden,2860,N/A,N/A,"Also in Repertorium Specierum Novarum Regni Vegetabilis, Volume 15, page 91, 1912"
C2079907F.jpg,Flora of Bolivia,Alwyn H. Gentry,Lindsaea debilis,N/A,13 October 1950,13/10/1950,Bolivia,Unduavi,County N/A,N/A,On shady rocks beside the path to the station,10200 feet,Field Museum of Natural History,6536,N/A,N/A,N/A
