Run ID,Prompt Used,Date Run,Time Run,Output Text,Output Spread,Photos Used,Model Used,Number of Photos,Who Ran?,Goal of run
19,1.5 stripped (in process) V2,5.29.24,11:53,OutputMay29.Comparison2,,10Test,gpt 4o,10 From Jeffs batch 300,R,Comparison of 10 images to see temperature (using gpt 4o)
20,1.5 stripped (in process) V2,5.29.24,11:53,OutputMay29.Comparison4,,10Test,gpt 4o,10 From Jeffs batch 300,R,Comparison of 10 images to see temperature (using gpt 4o)
21,1.5 stripped (in process) V2,5.29.24,11:53,OutputMay29.Comparison3,,10Test,gpt 4o,10 From Jeffs batch 300,R,Comparison of 10 images to see temperature (using gpt 4o)
22,1.5 stripped (in process) V2,5.29.24,11:53,OutputMay29.Comparison4,,10Test,gpt 4o,10 From Jeffs batch 300,R,Comparison of 10 images to see temperature (using gpt 4o)
23,1.5 stripped (in process) V2,5.29.24,11:53,OutputMay29.Comparison5,,10Test,gpt 4,10 From Jeffs batch 300,R,Comparison of 10 images to see temperature (Using gpt 4)
24,1.5 stripped (in process) V2,5.29.24,11:53,OutputMay29.Comparison6,,10Test,gpt 4,10 From Jeffs batch 300,R,Comparison of 10 images to see temperature (Using gpt 4)
25,1.5 stripped (in process) V2,5.30.24,10:25,Output5.30.1025,Output5.30.1025,,gpt 4,100 bryophytes cropped labels,JG,"1.5 stripped prompt V2 on 100 cropped labels, typed only"
26,1.5 stripped (in process) V2,5.30.24,11:39,Output5.30.1139,Spread5.30.1139,,gpt 4,100 bryophytes full images,JG,1.5 stripped prompt V2 on 100 full images typed only
27,1.5 stripped (in process) V2,6.4.24,3:19,OutputJun4.ColorImages,,10Test,gpt4o,10 Test,R,Seeing if postprocessing works better for text extraction
28,1.5 stripped (in process) V2,6.4.24,3:19,OutputJun4.BWImages,,10Test,gpt4o,10 Test,R,Seeing if postprocessing works better for text extraction
29,1.5 stripped (in process) V2,6.5.24,11:20,OutputJun5.100Test.COLOR,,100ImageEnhanceTest,gpt4o,100Test (Bryophytes full images),R,Larger Data Set for Color vs Post Processing
30,1.5 stripped (in process) V2,6.5.24,,OutputJun5.100Test.BW,,100ImageEnhanceTest,gpt4o,100Test (Bryophytes full images),R,Larger Data Set for Color vs Post Processing
31,1.5 stripped (in process) V2,6.11.24,10:50,Output_6_11_1050.txt,Spread_6_11_1050.csv,100Test,gpt4o,100Test (Bryophytes full images),JG,Checking results with replicate runs with seed and temperature settings
32,1.5 stripped (in process) V2,6.11.24,11:10,Output_6_11_1110.txt,Spread_6_11_1110.csv,100Test,gpt4o,100Test (Bryophytes full images),JG,Checking results with replicate runs with seed and temperature settings
33,1.5 stripped (in process) V2,6.11.24,fail ,,,100Test,Claude,100Test (Bryophytes full images),JG,Checking results with replicate runs with seed and temperature settings: Claude
34,1.5 stripped (in process) V2,6.12.24,14:04,Output_6_12_1404.txt,Spread_6_12_1404.csv,100Test,Claude,100Test (Bryophytes full images),JG,Checking results with replicate runs with seed and temperature settings: Claude
35,1.5 stripped (in process) V2,6.12.24,14:40,Output_6_12_1440.txt,Spread_6_12_1440.csv,100Test,Claude,100Test (Bryophytes full images),JG,Checking results with replicate runs with seed and temperature settings: Claude
36,1.5 stripped (in process) V2,6.20.24,11:45,Output_6_20_1145.txt,Spread_6_20_1145.csv,Bryo50,gpt4o,50 (bryophytes full images),JG,ChatGPT run for Bryo50 time trials
37,1.5 stripped (in process) V2,6.20.24,1:53 PM,OutputJun.20.24.0153.txt,SpreadJun.20.24.0153.csv,image_url's8,Google Gemini,100Test (Bryophytes full images),R,First Run of Google Gemini 
38,1.5 stripped (in process) V2,6.21.24,10:43 AM,OutputJun.21.24.1043.txt,SpreadJun21.24.1043.csv,image_url's8,Claude3.5 Sonnet,100Test (Bryophytes full images),R,Claude 3.5 (NEW MODEL) Testing
39,1.5 stripped,6.19.24,16:00,Output06.19.1615.txt,Spread06.19.1615.csv,100Test,gpt4o,100Test(Bryophytes full images),DS,Familiarize with R
40,1.5 stripped,6.12.24,10:00,Output06.12.1000.txt,Spread06.12.1000.csv,Batch300,gpt4o,Batch300[0000:0204](Bryophytes full images,DS,Familiarize with testing. gpt4o stalled before completion
41,1.5 stripped,6.12.24,15:00,Output06.12.1500.txt,UnicodeDecodeError: 'charmap' codec can't decode byte 0x9d in position 11452: character maps to <undefined> ,Batch300,gpt4o,Batch300[0200:0300](Bryophytes full images,DS,Finish failed run from earlier
42,1.5 stripped,6.21.24,10:50 AM,OutputJun.26.24.1050.txt,SpreadJun26.24.1050.csv,image_url's8,Claude 3.5 Sonnet,100 Images,RH,Comparison for claude 3.5 Sonnet
43,1.5 stripped,6.21.24,11:08 AM,OutputJun.26.24.1108.txt,SpreadJun26.24.1108.csv,image_url's8,Google Gemini,100 Images,RH,Comparison for Google Gemini 
