verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus
Marko Lewis 83-224,M. Lewis,N/A,83-224,20 Jan 1983,1983-01-20,N/A,Philonotis,Philonotis, N/A,N/A,N/A,Bolivia,La Paz,Larecaja,N/A,PASS,"Between 5-6 kilometers south of Tacacoma along road to Quiabaya, 16-17 kilometers north of Sorata [precise locality unknown]",PASS,PASS,15°36'S68°39'W,1100485,Typed,no type status
Marko Lewis,M. Lewis,N/A,79-1314,29 March 1979,1979-03-29,N/A,Philonotis fide Crum,Philonotis, Crum,N/A,N/A,Bolivia,La Paz,Larecaja,N/A,"Along road 1 mi from Sorata towards Achacachi, 15° 45' S, 68° 42' W",Along road 1 mile from Sorata towards Achacachi [precise locality unknown],Eroding bank,2740 m,15°45'S68°42'W,1078755,Typed,no type status
"Marko Lewis, no. 79-2315",M. Lewis,N/A,79-2315,1 June 1979,1979-06-01,N/A,Philonotis,Philonotis, N/A,N/A,N/A,Bolivia,Cochabamba,Chapare,N/A,"DEPTO. COCHABAMBA. PROV. CHAPARE: Slope of Cerro Khachi, N. of Corani, 3030 m., 17° 11' S., 65° 54' W. On stones and banks of steep creek in cloud forest ravine, with tree ferns","Slope of Cerro Khachi, north of Corani, on stones and banks of steep creek in cloud forest ravine [precise locality unknown]",Cloud forest ravine with tree ferns,3030 m,17°11'S65°54'W,1078769,Typed,no type status
Mrs E W D Holway,E. W. D. Holway,N/A,6867,13 Oct 1950,1950-10-13,N/A,N/A,unsure and check, N/A,N/A,N/A,Bolivia,N/A,N/A,N/A,UNDUAVI 10000 ft,Unduavi [precise locality unknown],N/A,10000 ft,N/A,2013011,Typed,no type status
Mrs W M A Brooke,W. M. A. Brooke,N/A,6865,13 Oct 1950,1950-10-13,N/A,N/A,unsure and check, N/A,N/A,N/A,Bolivia,N/A,N/A,N/A,UNDUAVI 10000 ft,Unduavi [precise locality unknown],N/A,10000 ft,N/A,5989,Typed,no type status
"Marko Lewis, no. 79-2315",M. Lewis,N/A,79-2315,1 June 1979,1979-06-01,N/A,PHILONOTIS,Philonotis, N/A,N/A,N/A,Bolivia,Cochabamba,Chapare,N/A,"Slope of Cerro Khachi, N. of Corani, 3030 m., 17° 11' S., 65° 54' W.","Slope of Cerro Khachi, north of Corani [precise locality unknown]","On stones and banks of seepy creek in cloud forest ravine, with tree ferns",3030 m.,17°11'S65°54'W,1050327,Typed,no type status
R Rewald,R. Rewald,N/A,s.n,31.8.1971,1971-08-31,N/A,Psilonatis ephemerascens (Besch.),Psilonatis ephemerascens,D. S. G. III,N/A,N/A,Peru,Amazonas,N/A,N/A,Las Palmas zw. Balsas u. Leimebamba,Las Palmas between Balsas and Leimebamba [precise locality unknown],"Fels, Erde, Mauer, Baum, Strauch, Holz, See, Bach",3000 m,N/A,1061647,Mix of Handwritten and Typed,no type status
"Coll Frank D Bowers, Claudio Delgadillo M & Paul Somers",F. D. Bowers,C. Delgadillo M. | P. Somers,5166,25 December 1973,1973-12-25,N/A,Braunia secunda (Hook) B S G,Braunia secunda,A. J. Sharp,N/A,N/A,Mexico,Baja California Sur,N/A,N/A,"Oak-pine and grassland with dry and flowing streams at Sierra de Laguna, 15 miles east of Todos Santos, On boulder, meso, open valley","15 miles east of Todos Santos, Sierra de Laguna, on boulder, open valley",Oak-pine and grassland with dry and flowing streams,Alt ca 4300 ft,N/A,1045263,Typed,no type status
"A. J. and E. B. Sharp, B. E. Classon, R. R. Thornburgh",A. J. Sharp,E. B. Sharp | B. E. Classon | R. R. Thornburgh,2081,"June 23, 1973",1973-06-23,N/A,Braunia secunda (Hook.) B.S.G.,Braunia andrieuxii,E. De Luna,1992,N/A,Mexico,Oaxaca,N/A,N/A,"Near El Punto on Hwy. 175, Oaxaca; Mexico. 2625 m.",Near El Punto on Highway 175 [precise locality unknown],"Partial shade, moist, road side cliff",2625 m,N/A,1045218,Typed,no type status
"A.J. and S.S. Sharp, E.B. Clebsch, K.R. Thornburgh",A. J. Sharp,S. S. Sharp | E. B. Clebsch | K. R. Thornburgh,2736,"July 4, 1973",1973-07-04,N/A,Braunia secunda (Hook.) B.S.G.,Braunia andrieuxii,E. De Luna,1992,N/A,Mexico,Jalisco,N/A,N/A,"El Mirador on hwy. 80, 3 mi. above San Martin Hidalgo, Jalisco, Mexico. 1750 m.","El Mirador on highway 80, 3 miles above San Martin Hidalgo [precise locality unknown]","Partial shade, moist, vert. surface of boulder",1750 m,N/A,1045251,Typed,no type status
C G Pringle,C. G. Pringle,N/A,10619,30 Sept 1906,1906-09-30,N/A,Braunia Andrieuxii Lorentz,Braunia andrieuxii,unsure and check,N/A,N/A,Mexico,Jalisco,N/A,Guadalajara,On rocks near Guadalajara 5000 ft,On rocks near Guadalajara,On rocks,5000 ft,N/A,1172132,Mix of Handwritten and Typed,no type status
C G PRINGLE,C. G. Pringle,N/A,10627,17 Sept 1906,1906-09-17,N/A,"Braunia plicata, Mitt, var canescens, Card n var",Braunia andrieuxii,unsure and check,N/A,N/A,Mexico,Hidalgo,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,1045265,Typed,no type status
Edi & Franz Mayr,E. Mayr,F. Mayr,s.n.,s.d.,N/A,N/A,Braunia secunda (Hook.) B.S.G.,Braunia secunda,D. E. De Luna,1992,N/A,Mexico,Jalapa,N/A,N/A,PASS,[precise locality unknown],N/A,2300m,N/A,1031423,Mix of Handwritten and Typed,no type status
F. J. Hermann,F. J. Hermann,N/A,20657,PASS,PASS,N/A,Braunia secunda (Hook.) B.S.G.,Braunia secunda, N/A,N/A,N/A,Mexico,PASS,N/A,N/A,PASS,PASS,PASS,PASS,N/A,1036945,Typed,no type status
A J SHARP,A. J. Sharp,N/A,116,"July 23, 1941",1941-07-23,N/A,Braunia secunda (Hook.) BSG,Braunia secunda,H. A. Crum,N/A,N/A,Mexico,PASS,N/A,N/A,PASS,PASS,PASS,N/A,N/A,1045239,Mix of Handwritten and Typed,no type status
"A.J. Sharp, F.D. Bowers, J.A. Crum, G.L. Smith, R.A. Hattaway, Paul Somers, Jr.",A. J. Sharp,F. D. Bowers | J. A. Crum | G. L. Smith | R. A. Hattaway | P. Somers Jr.,4247,"Dec. 19, 1972",1972-12-19,N/A,Braunia squarrulosa (Hampe) Broth.,Braunia squarrulosa,E. Bowers,N/A,N/A,Mexico,Chiapas,N/A,N/A,"Partial shade, moist, trail side bank. Loma Bonita, Pueblo Nuevo, (about 55 km. northwest of Tuxtla-Gutierrez), Chiapas, + 6500 ft.","Loma Bonita, Pueblo Nuevo, (about 55 kilometers northwest of Tuxtla-Gutierrez), trail side bank","Partial shade, moist",+ 6500 ft.,N/A,1045274,Typed,no type status
Det. F.J. Hermann 26429,F. J. Hermann,N/A,26429,"Feb.9,1975",1975-02-09,N/A,Braunia squarrulosa (Hampe) Broth.,Braunia squarrulosa,F. J. Hermann,"Feb.9,1975",N/A,Mexico,Chiapas,N/A,San Cristobal de las Casas,"On oak trunk in oak-pine woods, alt. 6800 ft. 15 mi. S.E. of San Cristobal de las Casas, Chiapas, Mexico.",15 miles southeast of San Cristobal de las Casas [precise locality unknown],On oak trunk in oak-pine woods,alt. 6800 ft.,N/A,1052129,Typed,no type status
"A.J. Sharp, P.D. Bowers, D.K. Smith, R.A. Hattaway, Paul Somers, Jr",A. J. Sharp,P. D. Bowers | D. K. Smith | R. A. Hattaway | P. Somers Jr,2980-a,"Dec. 31, 1972",1972-12-31,N/A,Braunia squarrulosa (Hampe) Broth,Braunia squarrulosa,E. De Luna,1992,N/A,Mexico,Oaxaca,N/A,San Pablo Ayutla,"Roadside near San Pablo Ayutla, (about 70 km. east of Oaxaca.)","Roadside near San Pablo Ayutla, about 70 kilometers east of Oaxaca [precise locality unknown]","Dry, full shade, oak branch. Oak-pine woods",2000 ft,N/A,1045269,Typed,no type status
Howard A Crum,H. A. Crum,N/A,917,23 July 1949,1949-07-23,N/A,Braunia squarrulosa (Hampe) Broth,Braunia squarrulosa,E. De Luna,1992,N/A,Mexico,Jalisco,N/A,N/A,"Slopes of La Ferreria, above Manzanilla",PASS,"On dead limb, fallen Oak forest",7300 feet,N/A,1058541,Typed,no type status
C G PRINGLE,C. G. Pringle,N/A,10550,PASS,PASS,N/A,"Braunia squarrulosa, (Hpe.) Broth.",Braunia squarrulosa,E. De Luna,1992,N/A,Mexico,Federal District,N/A,N/A,"Base of trees, Cima, 10,000 ft.","Base of trees, Cima, 10,000 feet [precise locality unknown]",Base of trees,"10,000 ft.",N/A,1172439,Mix of Handwritten and Typed,no type status
LEG. EGGERS & FRAHM 10.3.79(24), Eggers,J. P. Frahm,s.n.,10.3.79(24),1979-03-10,N/A,PASS,PASS,E. De Luna,1992,N/A,Mexico,Chiapas,N/A,N/A,KM 100 AN DER STR. OCOSINGO-SAN CRISTOBAL EICHEN-KIEFERNWALD 2050 MSM,km 100 on the road Ocosingo-San Cristobal [precise locality unknown],oak-pine forest,2050 MSM,N/A,1031467,Mix of Handwritten and Typed,no type status
PASS,PASS,PASS,PASS,PASS,1979-03-10,N/A,PASS,Braunia squarrulosa, N/A,N/A,N/A,Mexico,Chiapas,N/A,San Cristobal,PASS,PASS,oak-pine forest,PASS,N/A,1031495,Handwritten,no type status
F J Hermann 26429,F. J. Hermann,N/A,26429,"February 9, 1975",1975-02-09,N/A,"Braunia squarrulosa (Hampe) Broth., c.fr.",Braunia squarrulosa,D. E. De Luna,1992,N/A,Mexico,Chiapas,N/A,N/A,PASS,15 miles southeast of San Cristobal de las Casas [precise locality unknown],PASS,alt. 6800 ft.,N/A,1045277,Typed,no type status
"Dana Griffin, III y Maria Morales",D. Griffin,M. Morales,s.n.,4 feb. 1979,1979-02-04,N/A,Braunia squarrulosa (Hampe) C. Müll.,Braunia squarrulosa,E. De Luna,1992,N/A,Costa Rica,San Jose,N/A,N/A,"Valle de Copey, ca. 30 kms al sur de Cartago. Bosque primario montano bajo muy húmedo y potreros. Alt. 2000 m","Valle de Copey, about 30 kilometers south of Cartago",Bosque primario montano bajo muy húmedo y potreros,Alt. 2000 m,N/A,1029423,Typed,no type status
S. Churchill 20792,S. Churchill,N/A,20792,4 Ago 2001,2001-08-04,N/A,Braunia exserta C. Müller,Braunia exserta,S. Churchill,2001,N/A,Bolivia,Tarija,N/A,N/A,"Tarija: Burnet O'Connor Serranía Huacayoj. Ca. 35 km oeste de Entre Ríos (carretera a Tarija). Bosque montano Tucumano-Boliviano, remanente","Serranía Huacayoj, approximately 35 kilometers west of Entre Ríos (road to Tarija)",Remnant Tucumano-Bolivian montane forest,2300 m,21°25'S64°19'W,1183435,Typed,no type status
B Sparre,B. Sparre,N/A,811750,27 November 1946,1946-11-27,N/A,Braunia cirrhifolia (Mitt) Jaeg,Braunia cirrhifolia, N/A,N/A,N/A,Argentina,Tucuman,N/A,N/A,"Prov Tucuman, Choligasta, Rio Cochuna, 1000 m a s l","Rio Cochuna, 1000 meters above sea level [precise locality unknown]","Subtropical rainforest, epiphyte",1000 m a s l,N/A,1136355,Typed,no type status
Marko Lewis,M. Lewis,N/A,79-1625,6 April 1979,1979-04-06,N/A,Braunia cirrhifolia (Mitt.) Wils. ex Jaeg.,Braunia cirrhifolia,E. De Luna,1992,N/A,Bolivia,La Paz,Larecaja,N/A,"Canyon 1 km. E. of Cachipata, SE of Sorata, 3250 m., 15° 48' S., 68° 36' W.",PASS,In ravine with waterfall,3250 m.,15°48'S68°36'W,1032380,Typed,no type status
Marko Lewis 82-303,M. Lewis,N/A,82-303,9 Dec 1982,1982-12-09,N/A,Braunia plicata (Mitt.) Jaeg,Braunia plicata,D. G. III,1990,N/A,Bolivia,La Paz,N/A,N/A,"PROV INQUISIVI: Río Chalusuyu' along the Río Chalusuyu, a branch of the Río San Cristóbal, 5 km NW of Suri, 16°44'S, 68°41'W ca 2450 m","Along the Río Chalusuyu, a branch of the Río San Cristóbal, 5 kilometers northwest of Suri","Arid woodland and cliff area, many cacti present At base of cliffs near river amongst a boulder pile in a deep canyon Small trees, tree cacti and shrubs in shady, protected area",ca 2450 m,16°44'S68°41'W,1091412,Handwritten,no type status
M. Lewis no. 79-1230,M. Lewis,N/A,79-1230,22 March 1979,1979-03-22,N/A,Braunia plicata (Mitt.) Jaeg.,Braunia plicata,E. De Luna,1992,N/A,Bolivia,La Paz,Larecaja,N/A,PASS,Near large red outcrop 2 miles from Sorata down Rio Consata [precise locality unknown],Abundant on exposed rock face,2600 m.,15°41'S68°43'W,1032384,PASS,no type status
N/A,M. Lewis,N/A,79-947,5 March 1979,1979-03-05,N/A,Braunia plicata (Mitt.) Jaeg.,Braunia plicata,E. De Luna,1992,N/A,Bolivia,La Paz,Saavedra,N/A,"Trail between Charazani and Nino Korin; NNW of Chuma, 15°11' S, 69° 04' W",Trail between Charazani and Nino Korin; NNW of Chuma [precise locality unknown],Banks of trail,3200-3240 m,15°11'S69°04'W,1032341,Typed,no type status
"Marko Lewis, no. 79-940",M. Lewis,N/A,79-940,5 March 1979,1979-03-05,N/A,Braunia plicata (Mitt.) Jaeg.,Braunia plicata,E. De Luna,1992,N/A,Bolivia,La Paz,Saavedra,N/A,"Trail between Charasani and Nino Korin, NNW of Chuma, 15° 11' S, 69° 04' W",PASS,Banks of trail,3200 m,15°11'S69°04'W,1032381,Typed,no type status
