Image,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus
0010_C0268554F.jpg,N/A,N/A,N/A,14660,9-3- 1975,1975-03-09,N/A,Macromitrium incurvifolium (Hook. & Grev.) Schwaegr.,Macromitrium incurvifolium,D. H. Vitt,N/A,N/A,Papua New Guinea,Morobe,Lae,N/A,In fork of Plumeria tree in garden,In fork of Plumeria tree in garden,N/A,Alt. c 20 m.,N/A,1142151,Typed,no type status
0011_C0268557F.jpg,A Touw No 18543,A. Touw,N/A,18543,20.5.1975,1975-05-20,N/A,Macromitrium longicaule C. Müll.,Macromitrium longicaule,D. H. Vitt,N/A,N/A,Papua New Guinea,West Sepik,Star Mountains,N/A,Busilmin; wet forest on slope above Ok Din river W of Busilmin; on trees along Ok Din River,Wet forest on slope above Ok Din river west of Busilmin; on trees along Ok Din River,Wet forest on slope; on trees,Alt. c. 1500 - 1550 m.,5°S 141°05'E,1141855,Typed,no type status
0012_C0268558F.jpg,N/A,N/A,N/A,17369,8.5. 1975,1975-05-08,N/A,Macromitrium macrosporum Broth,Macromitrium macrosporum,D. H. Vitt,N/A,N/A,Papua New Guinea,West Sepik,Star Mts,N/A,c 5°S141°05E NE summit of Mt. Capella; on stems and branches of trees and shrubs in summit scrub,NE summit of Mt Capella [precise locality unknown],on stems and branches of trees and shrubs in summit scrub,Alt c 3900 m,c 5°S141°05E,1142194,Typed,no type status
0013_C0268559F.jpg,A. Touw No. 16376,A. Touw,N/A,16376,17.4.1975,1975-04-17,N/A,Macromitrium macrosporum Broth.,Macromitrium macrosporum,D. H. Vitt,N/A,N/A,Papua New Guinea,West Sepik,Star Mts.,N/A,c. 5°S141°05'E Mt. Capella Base Camp; Limestone ridge near camp; c. 4 -5 m. high stunted forest on ridge,Mt. Capella Base Camp; Limestone ridge near camp; high stunted forest on ridge [precise locality unknown],Limestone ridge near camp; high stunted forest on ridge,Alt. c. 3600 m.,c. 5°S141°05'E,1142178,Typed,no type status
0014_C0268560F.jpg,N/A,A. Touw,N/A,17312,Dat. 8.5. 1975,1975-05-08,N/A,Macromitrium macrosporum Broth.,Macromitrium macrosporum,D. H. Vitt,N/A,N/A,Papua New Guinea,West Sepik,Star Mountains,N/A,c. 5°S 141°05'E NE Summit of Mt. Capella. Summit of ridge between Mt. Capella Base Camp and Mt. Capella ridge; on isolated tree,NE Summit of Mt Capella Summit of ridge between Mt Capella Base Camp and Mt Capella ridge on isolated tree [precise locality unknown],N/A,Alt. c. 3650 m.,c. 5°S 141°05'E,1142156,Mix of Handwritten and Typed,no type status
0015_C0268561F.jpg,A Touw No 16420,A Touw,N/A,16420,19.4.1975,1975-04-19,N/A,Macromitrium macrosporum Broth,Macromitrium macrosporum,D H Vitt,N/A,N/A,Papua New Guinea,West Sepik,Star Mountains,N/A,Mt Capella NE summit; forest remnant in deep chasm near the summit on soaking wet bark of trees,Mount Capella northeast summit [precise locality unknown],Forest remnant in deep chasm near the summit on soaking wet bark of trees,Alt c 3300 m,c 5°S 141°05'E,1142175,Typed,no type status
0016_C0268562F.jpg,A. Touw No. 17205,A. Touw,N/A,17205,5.5. 1975,1975-05-05,N/A,Macromitrium macrosporum Broth.,Macromitrium macrosporum,D.H. Vitt,N/A,N/A,Papua New Guinea,West Sepik,Star Mts.,N/A,"Near Mt. Capella Base Camp, along trail to Tamanagabip; open sub-alpine scrub. At base of limestone rock faces.","Near Mt. Capella Base Camp, along trail to Tamanagabip [precise locality unknown]",Open sub-alpine scrub. At base of limestone rock faces.,Alt. c. 3450 m.,c. 5°S 141°05'E,1141880,Typed,no type status
0017_C0268563F.jpg,A Touw No 18046,A. Touw,N/A,18046,14.5.1975,1975-05-14,N/A,Macromitrium megalocladon Fleisch,Macromitrium megalocladon,D. H. Vitt,N/A,N/A,Papua New Guinea,West Sepik District,Star Mts,N/A,c 5°14'05E Upper montane forest between Folongonom and Artis' Camp,Upper montane forest between Folongonom and Artis' Camp,Pendulous from heavy tree branches and slanting trunks,2500 - 2600 m,c 5°14'05E,1142187,Typed,no type status
0018_C0268564F.jpg,A. Touw No. 16555,A. Touw,N/A,16555,21.4.1975,1975-04-21,N/A,Macromitrium megalocladon Fleisch.,Macromitrium megalocladon,D. H. Vitt,N/A,N/A,Papua New Guinea,West Sepik,Star Mountains,N/A,c. 5°(40'S) Small Kuki (grassfield) SW of Mt. Capella Base Camp; on vertical face of moss covered limestone boulder at edge of kuni.,Small Kuki (grassfield) southwest of Mount Capella Base Camp; on vertical face of moss covered limestone boulder at edge of kuni,On vertical face of moss covered limestone boulder at edge of kuni,Alt. c. 3400 m.,c. 5°(40'S),1142432,Typed,no type status
0019_C0268565F.jpg,A Touw No 15768,A Touw,N/A,15768,7.4. 1975,1975-04-07,N/A,Macromitrium megalocladon Fleisch,Macromitrium megalocladon,D H Vitt,N/A,N/A,Papua New Guinea,West Sepik,Star Mts,N/A,Tel Basin; Ridge above Camp 2,Ridge above Camp 2 in Tel Basin,Terrestrial in open shrubbery on ridge Dense moss vegetation covering soil rocks and the lower portion of shrubs Dominant,Alt c 3350 m,c 5°S141°05'E,1142300,Typed,no type status
0020_C0268566F.jpg,leg S Hattori,S. Hattori,N/A,s.n.,'III 1946,1946-03-00,N/A,Macromitrium incurvum (Lindb.) Par,Macromitrium incurvum,A. Noguchi,N/A,N/A,Japan,Kyushu,Miyazaki,N/A,"KIUSHIU: Miyazaki, Minaminiaka, Obi","Minaminiaka, Obi","rupicola, photophila, ca 50 m",ca 50 m,N/A,1235066,Mix of Handwritten and Typed,no type status
0021_C0268569F.jpg,Coll. K. Mayebara,K. Mayebara,N/A,s.n.,"December 25, 1951",1951-12-25,N/A,Macromitrium incurvum (Lindb.) Par.,Macromitrium incurvum,A. Noguchi,N/A,N/A,Japan,Kumamoto,N/A,N/A,"On exposed rocks, 60 m. above sea, Yosiho, Kumamoto Prefecture","On exposed rocks, 60 meters above sea, Yosiho [precise locality unknown]",On exposed rocks,60 m. above sea,N/A,1043529,Typed,no type status
0022_C0268571F.jpg,Coll K Mayebara,K. Mayebara,N/A,s.n.,"February 11, 1952",1952-02-11,N/A,Macromitrium gymnostomum Sull. et Lesq.,Macromitrium gymnostomum,A. Noguchi,N/A,N/A,Japan,Kumamoto,N/A,N/A,"On rocks, ca. 100m. above sea, Koonose, Kumamoto Prefecture","On rocks, approximately 100 meters above sea, Koonose [precise locality unknown]",On rocks,ca. 100m. above sea,N/A,1043490,Typed,no type status
0023_C0268572F.jpg,N/A,K. Mayebara,N/A,s.n.,"March, 1952",1952-03-00,N/A,Macromitrium gymnostomum Sull. et Lesq.,Macromitrium gymnostomum,A. Noguchi,N/A,N/A,Japan,Kumamoto,N/A,N/A,"On rocks, ca. 1000m alt., Hitoyoshi, Kumamoto County","On rocks, approximately 1000 meters altitude, Hitoyoshi [precise locality unknown]",On rocks,ca. 1000m alt.,N/A,4043493,Typed,no type status
0024_C0268574F.jpg,N/A,H. H. Chung,N/A,B.206,s.d.,unsure and check,N/A,Macromitrium gymnostomum S. & L.,Macromitrium gymnostomum,Theriot,N/A,N/A,China,Fukien,N/A,N/A,Kushan near Foochow,Kushan near Foochow [precise locality unknown],On rock,altitude 500 m,N/A,1122334,Typed,no type status
