collectedBy,secondaryCollectors,recordNumber,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,locality,habitat,verbatimElevation,otherCatalogNumbers,originalMethod,typeStatus
K. Mayahara,N/A,s.n.,1952-03-00,N/A,Macromitrium gymnostomum Sull. & Lesq.,Macromitrium gymnostomum,A. Noguchi,N/A,N/A,Japan,Kumamoto,N/A,Hitoyoshi,PASS,N/A,ca. 100m. alt.,1043493,Typed,no type status
H. H. Cow,N/A,B.206,1925-08-00,N/A,Macromitrium gymnostomum S. & L.,Macromitrium gymnostomum,Theriot,N/A,N/A,China,Fujian,N/A,N/A,Kushan near Foochow,"On rock, shaded",500 m.,PASS,Typed,no type status
H. H. Chung,N/A,B.20,PASS,N/A,Macromitrium gymnostomum Sull.,Macromitrium gymnostomum,Theriot,N/A,N/A,China,Fujian,N/A,N/A,On rock in bamboo forest,PASS,N/A,1122721,Typed,no type status
T. Koponen,N/A,33590,1981-07-23,N/A,Macromitrium longicaule C. Mull.,Macromitrium longicaule,D. H. Vitt,1989,Pandanus,Papua New Guinea,Morobe,N/A,N/A,Lake Wamba 5 kilometers south of Teptep airstrip 1 kilometer south of lake,Rather open montane forest with dominating Pandanus trees,2400 m,1142665,Typed,no type status
PASS,N/A,B.4.,1928-03-00,N/A,Macromitrium japonicum (Dz. & Mb.) C. M.,Macromitrium japonicum,N/A,N/A,N/A,China,Fujian,N/A,PASS,PASS,On shady rocks or bark,N/A,1122615,Typed,no type status
T. Koponen,N/A,32571,1981-07-09,N/A,Macromitrium macrosporum Broth.,Macromitrium macrosporum,Dale H. Vitt,1989,N/A,Papua New Guinea,Morobe,N/A,N/A,PASS,"Open alpine grassland and ""subalpine"" forest",PASS,1142666,Typed,no type status
M. Mizutani,I. Yoshimura,s.n.,1975-01-23,N/A,Macromitrium synoicum Sull. et Lesq.,Macromitrium synoicum,Z. I.,PASS,N/A,Japan,Okinawa,N/A,N/A,"Iriomote, Sonai",on tree trunk,1-10 m alt.,PASS,Typed,no type status
C. K. Sakurai,N/A,X. 1932,1932-10-00,N/A,Macromitrium incurvum (Lindb.) Paris,Macromitrium incurvum,PASS,N/A,N/A,Japan,Honshu,Musashi,N/A,PASS,PASS,N/A,1356480,Typed,no type status
K. Sato,N/A,s.n.,1970-04-03,N/A,Macromitrium gymnostomum Sull. & Lesq.,Macromitrium gymnostomum,A. Noguchi,N/A,N/A,Japan,Kagoshima,N/A,Sumiyo-mura,Isl. Amami-oshima,On rock,elevation about 120 m,639,Typed,no type status
V. Allorge,P. Allorge,133,1937-06-14,N/A,PASS,PASS,unsure and check,PASS,N/A,Portugal,Azores,N/A,S. Miguel,Salto do Cavalo,talus découvert,vers 700 m,1181624,Typed,no type status
M. Lewis,N/A,83-224,1983-01-20,N/A,Philonotis,Philonotis,unsure and check,unsure and check,N/A,Bolivia,La Paz,Larecaja,N/A,PASS,Super humid Ceja de Montaña forests following ravines In small rill in dripping area of small waterfall,PASS,1100485,Typed,no type status
M. Lewis,N/A,79-1314,1979-03-29,N/A,Philonotis fide Crum,Philonotis,PASS,PASS,N/A,Bolivia,La Paz,Larecaja,N/A,PASS,Eroding bank,2740 m.,PASS,Typed,no type status
M. Lewis,N/A,79-2315,1979-06-01,N/A,Philonotis,Philonotis,unsure and check,unsure and check,N/A,Bolivia,Cochabamba,Chapare,N/A,Slope of Cerro Khachi North of Corani,On stones and banks of seepy creek in cloud forest ravine with tree ferns,3030 m,PASS,Typed,no type status
PASS,N/A,6867,1950-10-13,N/A,Philonotis,Philonotis,unsure and check,unsure and check,N/A,Bolivia,N/A,N/A,N/A,Unduavi,N/A,10000 ft.,1013011,Typed,no type status
W. M. A. Brookes,N/A,6865,1950-10-13,N/A,Phleobothis,Phleobothis,unsure and check,unsure and check,N/A,Bolivia,N/A,N/A,N/A,Unduavi,N/A,10000 ft.,1013012,Typed,no type status
M. Lewis,N/A,79-2315,1979-06-01,N/A,Philonotis,Philonotis,unsure and check,unsure and check,N/A,Bolivia,Cochabamba,Chapare,N/A,Slope of Cerro Khachi North of Corani 3030 meters,PASS,3030 m,1050327,Typed,no type status
PASS,PASS,PASS,1973-08-31,N/A,Philonotis sphaerocarpa (Hedw.) Brid.,Philonotis sphaerocarpa,Dana Griffin III,N/A,N/A,Peru,Amazonas,Chachapoyas,N/A,Las Palmas between Balsas and Leimebamba,"Fels, Erde, Mauer, Baum, Strauch, Holz, See, Bach",3000 m,1061647,Typed,no type status
F. D. Bowers,PASS,5166,1973-12-25,N/A,Braunia secunda (Hook.) B.S.G.,Braunia secunda,A. J. Sharp,N/A,N/A,Mexico,Baja California Sur,N/A,N/A,PASS,PASS,Alt. ca. 6300 ft.,1045263,Typed,no type status
A. J. Sharp,PASS,2681,1973-06-23,N/A,Braunia secunda (Hook.) B.S.G.,PASS,PASS,1992,N/A,Mexico,Oaxaca,N/A,N/A,Near El Punto on Highway 175,"Partial shade, moist, road side cliff",1625 m,1045248,Typed,no type status
A. J. Sharp,E. B. Sharp | E. C. Clebsch | K. I. Hornburgh,2736,1973-07-01,N/A,Braunia secunda (Hook.) B.S.G.,Braunia andrieuxii,B. De Luna,1992,N/A,Mexico,Jalisco,Hidalgo,San Martín,"El Mirador on Highway 80, 9 miles above San Martín","Partial shade, moist, vert. surface of boulder",1750 m,1045251,PASS,no type status
C. G. Pringle,N/A,10619,PASS,N/A,"Braunia Andrieuxii, Lorentz.",Braunia Andrieuxii,E. De Luna,1992,N/A,Mexico,Jalisco,N/A,N/A,On rocks near Guadalajara,N/A,5000 ft.,1172142,Typed,no type status
C. G. Pringle,N/A,10627,1908-09-17,N/A,"Braunia plicata, Mitt., var. canescens, Card. n. var.",Braunia andrieuxii,E. De Luna,1992,N/A,Mexico,Hidalgo,N/A,PASS,Cuyamaloya,N/A,N/A,1045265,Typed,no type status
N. Eggers,PASS,PASS,PASS,N/A,Braunia secunda (Hook.) B.S.G.,Braunia secunda,E. De Luna,1992,N/A,Mexico,Veracruz,N/A,N/A,PASS,PASS,N/A,1031423,Typed,no type status
F. P. Bowler,PASS,5067,1970-12-30,N/A,Braunia secunda (Hook.) B.S.G.,Braunia secunda,A. J. Sharp,N/A,N/A,Mexico,Durango,N/A,N/A,Oak-pine forest with Alnus along Highway 40 about 5 miles west of El Salto,"On boulder, partial shade",Alt. 8050 ft.,1036945,Typed,no type status
A. J. Sharp,N/A,116,1941-07-23,N/A,Braunia secunda (Hook.) Bruch & Schimp.,Braunia secunda,PASS,PASS,N/A,Mexico,Distrito Federal,N/A,N/A,Above Cantreras,Siliceous boulder in water,N/A,1045239,Typed,no type status
PASS,PASS,4217,1972-12-19,N/A,Braunia squarrulosa (Hampe) Broth.,Braunia squarrulosa,PASS,N/A,N/A,Mexico,Chiapas,N/A,N/A,"Yerba Buena, Pueblo Nuevo, about 55 kilometers northeast of Tuxtla-Gutiérrez","Partial shade, moist, trail side bank",6600 ft.,1045274,Typed,no type status
P. J. Hermann,N/A,26429,1975-02-09,N/A,Braunia squarrosa (Hampe) Broth.,Braunia squarrosa,E. De Luna,1992,N/A,Mexico,Chiapas,N/A,San Cristobal de las Casas,15 miles southeast of San Cristobal de las Casas,On oak trunk in oak-pine woods,alt. 6800 ft.,1052129,PASS,no type status
A. J. Sharp,"F. D. Bowers | D. K. Smith | R. A. Hattaway | Paul Somers, Jr.",2980-a,1972-12-23,N/A,Braunia squarrulosa (Hampe) Broth.,Braunia squarrulosa,A. J. Sharp,N/A,N/A,Mexico,Oaxaca,N/A,San Pablo Ayutla,PASS,PASS,4600 ft.,1045269,Typed,no type status
H. A. Crum,N/A,971,1949-07-23,N/A,Braunia squarrosa (Hampe) Broth.,Braunia squarrosa,E. De Luna,1992,N/A,Mexico,Jalisco,N/A,N/A,"Slopes of La Ferreria, above Manantlan","On dead limb, fallen, oak forest",7300 feet,1039541,Typed,no type status
C. G. Pringle,N/A,10550,1906-07-17,N/A,PASS,Braunia squarrulosa,E. De Luna,1992,N/A,Mexico,Federal District,N/A,N/A,"Base of trees, Cuautla",N/A,10000 ft.,1172249,Typed,no type status
N. Eggers,PASS,10.5.10/249,0000-00-00,N/A,Braunia squarrosa (Hampe) Broth.,Braunia squarrosa,B. De Luna,1992,N/A,Mexico,Chiapas,N/A,N/A,PASS,Oak-pine forest,2050 m,1031467,Typed,no type status
PASS,N. Frahm,PASS,1979-03-10,PASS,Braunia squarrosa (Hampe) Broth,Braunia squarrosa,E. De Luna,1992,N/A,Mexico,Chiapas,N/A,N/A,Kilometer 100 on the road Ocosingo-San Cristobal,Oak-pine forest,2250 M,1031495,PASS,no type status
F. J. Hermann,N/A,26429,1975-02-09,N/A,PASS,PASS,E. De Luna,1992,N/A,Mexico,Chiapas,N/A,PASS,PASS,On oak trunk in oak-pine woods,alt. 6800 ft.,1045277,Typed,no type status
D. Griffin,M. I. Morales,97,1979-02-04,N/A,Braunia squarrulosa (Hampe) C. Muell.,Braunia squarrulosa,PASS,PASS,N/A,Costa Rica,San Jose,N/A,N/A,"Valle de Copey, approximately 30 kilometers south of Cartago",Bosque primaria montano bajo muy húmedo y potreros,PASS,1029423,Typed,no type status
PASS,N/A,20792,2001-08-04,N/A,Braunia exserta C. Müller,Braunia exserta,S. Churchill,2001,N/A,Bolivia,Tarija,PASS,N/A,PASS,PASS,2300 m,1183435,Typed,no type status
B. Sparre,N/A,PASS,1946-11-27,N/A,Braunia cirrhifolia (Mitt.) Jaeg.,Braunia cirrhifolia,W. R. Buck,N/A,N/A,Argentina,Tucuman,Chicligasta,PASS,Rio Cochuna,Subtropical rainforest epiphyte,PASS,PASS,Typed,no type status
M. Lewis,N/A,79-1625,1979-04-06,N/A,Braunia cirrhifolia (Mitt.) Wils. ex Jaeg.,Braunia cirrhifolia,E. De Luna,1992,N/A,Bolivia,La Paz,Larecaja,N/A,"Canyon 1 kilometer east of Cachipata, southeast of Sorata",In ravine with waterfall,PASS,1032380,PASS,no type status
M. Lewis,N/A,82-303,1982-12-09,N/A,Braunia plicata (Mitt.) Jaeg.,Braunia plicata,D. Griffin III,1990,N/A,Bolivia,La Paz,Larecaja,N/A,PASS,PASS,ca. 2450 m,1091412,Typed,no type status
M. Lewis,N/A,79-1230,1979-03-22,N/A,Braunia plicata (Mitt.) Jaeg.,Braunia plicata,PASS,1992,N/A,Bolivia,La Paz,Larecaja,N/A,Near large red outcrop 2 miles from Sorata down Rio Consata,Abundant on exposed rock face,2600 m,1032384,Typed,no type status
M. Lewis,N/A,79-947,1979-03-05,N/A,Braunia plicata (Mitt.) Jaeg.,Braunia plicata,E. De Luna,1992,N/A,Bolivia,La Paz,Saavedra,N/A,Trail between Charasani and Niño Karine NNW of Chuma,Banks of trail,3200-3240 m,1032341,Typed,no type status
M. Lewis,N/A,79-940,1979-03-05,N/A,Braunia plicata (Mitt.) Jaeg.,Braunia plicata,E. De Luna,1992,N/A,Bolivia,La Paz,Saavedra,N/A,PASS,Banks of trail,3200 m,1032381,Typed,no type status
M. Lewis,N/A,79-935,1979-03-05,N/A,Hedwigidium integrifolium (P. Beauv.) Dix.,Hedwigidium integrifolium,E. De Luna,Nov. 1991,N/A,Bolivia,La Paz,Saavedra,N/A,Trail between Charasani and Niko Karine NNW of Chuma,Along bank of trail,3200 m,1032366,Typed,no type status
M. Lewis,N/A,79-615,1979-02-10,N/A,Hedwigidium integrifolium (P. Beauv.) Dix.,Hedwigidium integrifolium,E. De Luna,Nov. 1991,N/A,Bolivia,Tarija,Méndez,N/A,PASS,Dirt bank in Kheñwa forest,3350 m,1032358,Typed,no type status
M. Dillon,PASS,3128D,1983-01-28,N/A,Braunia secunda (Hook.) B.S.G.,Braunia secunda,Dana Griffin III,28 Jan. 1983,N/A,Peru,Ancash,Yungay,N/A,PASS,Growing on branches,± 3380 m,1111863,Typed,no type status
D. Griffin,N/A,PASS,PASS,N/A,Braunia secunda (Hook.) BSG,Braunia secunda,D. Griffin,PASS,N/A,Venezuela,Merida,N/A,N/A,PASS,Sobre roca seca a baja luz,Alt. 3100-3200 m,PV-1133,Typed,no type status
M. Lewis,N/A,79-489A,1979-02-02,N/A,Braunia laxifolia Herz.,Braunia subincana,B. De Luna,1992,N/A,Bolivia,Tarija,O'Connor,N/A,PASS,On rocks in dry deciduous forest,1750 m,1032377,Typed,no type status
F. J. Hermann,N/A,25278,1972-12-24,N/A,Braunia subplicata E.G.Britt.,Braunia subplicata,Efrain De Luna,1992,N/A,Bolivia,Cochabamba,Chaparé,Cochabamba,From the Province of Chaparé Purchased in market at Cochabamba,N/A,alt. ca. 9500 ft.,1045267,Typed,no type status
S. R. Gradstein,M. Lewis,7560,1989-11-12,N/A,Racopilum intermedium Hampe,Racopilum intermedium,B. O. van Zanten,N/A,N/A,Bolivia,Cochabamba,Chapare,Incacorral,5 kilometers south of road Cochabamba - Villa Tunari kilometer 95,On cliff under scrub in area of wet meadows and secondary woodlands,alt. 2300 m.,1091583,Typed,no type status
M. Lewis,N/A,83-503,1983-02-07,N/A,Racopilum tomentosum (Hedw.) Brid.,Racopilum tomentosum,unsure and check,unsure and check,N/A,Bolivia,La Paz,Nor Yungas,Coroico,PASS,Fruit and coffee plantations. On rocks in shady fruit orchard.,ca. 1650 m,1100456,Typed,no type status
Y. Mexia,N/A,5281a,1930-11-11,N/A,Rhacopilum tomentosum (Hedw.) Brid.,Rhacopilum tomentosum,Bartram,N/A,N/A,Brazil,Minas Gerais,N/A,Viçosa,Fazenda de F. Lopez,PASS,Alt. 720 m.,PASS,Typed,no type status
S. R. Gradstein,N/A,M-58,1976-04-24,N/A,Rhacopilum tomentosum (Hedw.) Brid.,Rhacopilum tomentosum,W. A. Weber,N/A,N/A,Ecuador,Galapagos Islands,N/A,N/A,Isla Floreana east of Cruz Farm,Paidium guayavas woodlands and pampas on rather dry shaded rocks,at 250-350 m,1023912,Typed,no type status
P.-H. Hegewald,N/A,6726,1973-08-31,N/A,Racopilum tomentosum (Hedw.) Brid.,Racopilum tomentosum,E. Hegewald,N/A,N/A,Peru,Amazonas,Chachapoyas,N/A,Saulamur between Balsas and Leimebamba,Fels Erde Mauer Baum Strauch Holz Sec Bach,N/A,1026724,Typed,no type status
J. Florschütz,P. A. Florschütz,PASS,1975-12-18,N/A,Racopilum tomentosum (Hedw.) Brid.,Racopilum tomentosum,P. A. Florschütz | J. Florschütz-de Waard,N/A,N/A,Suriname,N/A,N/A,N/A,PASS,On decaying log,N/A,1028580,Typed,no type status
E. Linares,S. R. Gradstein | B. O. van Zanten,1543,1984-09-26,N/A,Racopilum tomentosum (Hedw.) Brid.,Racopilum tomentosum,unsure and check,unsure and check,N/A,Colombia,Meta,Villavicencio,N/A,PASS,PASS,PASS,1065598,Typed,no type status
M. Lewis,N/A,83-511,1983-02-07,N/A,Racopilum tomentosum (Hedw.) Brid.,Racopilum tomentosum,unsure and check,unsure and check,N/A,Bolivia,La Paz,Nor Yungas,Coroico,PASS,Fruit and coffee plantations. Bark of fruit trees in orchard.,ca. 1650 m,1100344,Typed,no type status
Y. Mexia,N/A,8190a,1936-09-15,N/A,Rhacopilum tomentosum (Sw.) Brid.,Rhacopilum tomentosum,Bartram,N/A,N/A,Peru,Huanuco,PASS,N/A,Hacienda Mercedes; Pocon Perga; old tree trunk in dense shade,Dense shade,PASS,PASS,Typed,no type status
Y. Mexia,N/A,8165a,1936-09-09,N/A,Rhaecopilum tomentosum (Sw.) Brid.,Rhaecopilum tomentosum,Bartram,N/A,N/A,Peru,Huanuco,Churubamba,N/A,Hacienda Exito; bank of Rio Ysabel; on rock in wood,on rock in wood,Alt. 1100 m.,PASS,Typed,no type status
Y. Mexia,N/A,8168a,1936-09-09,N/A,Rhacopilum tomentosum (Sw.) Brid.,Rhacopilum tomentosum,Bartram,N/A,N/A,Peru,Huanuco,Churubamba,N/A,Hacienda Exito; bank of Rio Yasabel; on rock in woods,On rock in woods,Alt. 1100 m.,1036248,Typed,no type status
R. E. Schultes,I. Cabrera,16563,1952-05-19,N/A,PASS,PASS,H. A. Crum,1956,N/A,Colombia,Amazonas,N/A,N/A,Rio Miritiparaná: Caño Guacayá,PASS,Altitude about 700 feet,1055465,Typed,no type status
D. Griffin,O. Rangel | G. van Reenen,50.186,1977-07-00,1977-08-00,Leucoloma limicola Spr. ex Mitt.,Leucoloma limicola,D. Griffin,N/A,N/A,Colombia,Magdalena,N/A,N/A,PASS,Bosque nublado montano bajo,alt. 1600-1700 m,1029476,Typed,no type status
S. P. Churchill,et al.,15466,1987-07-06,N/A,PASS,PASS,S. P. Churchill,N/A,N/A,Colombia,Antioquia,N/A,N/A,Cerro San Miguel South of San Miguel,In secondary montane forest,2460-2620 m,1139980,Typed,no type status
D. Griffin,M. I. Morales | D. E. de Retana,215,1977-07-03,1977-07-04,Hypnella pilifera (Hook. et Wils.) Jaeg.,Hypnella pilifera,N/A,N/A,N/A,Costa Rica,Cartago,N/A,N/A,PASS,PASS,PASS,1025621,Typed,no type status
J. J. Wurdack,N/A,34365,1953-02-21,N/A,Hypnella cymbifolia (Hpe.) Jaeg.,Hypnella cymbifolia,E. B. Bartram,N/A,N/A,Venezuela,Bolivar,N/A,N/A,Between Camps 3 and 2,PASS,elev. 1250 - 1200 m,1026297,Typed,no type status
W. R. Buck,N/A,2445,1979-07-09,1979-07-12,Hookeriopsis parkeriana (Hook. & Grev.) Jaeg.,Hookeriopsis parkeriana,N/A,N/A,N/A,Brazil,Amazonas,N/A,N/A,Slopes and summit of Serra Curicuriari from Igarapé Arabú of the Rio Curicuriari to the summit,On branches at summit,ca. 450 m at summit,112861,Typed,no type status
R. B. Foster,N/A,4722,1981-07-30,N/A,Hypnella pilifera (Hook. & Wils.) Jaeg.,Hypnella pilifera,W. C. Steere,N/A,PASS,Peru,Pasco,N/A,N/A,PASS,In Weinmannia forest,1900 m,1059405,Typed,no type status
J. M. Fitzpatrick,D. E. Willard,s.n.,1981-12-04,N/A,Hypnella pilifera (Hook. & Wils.) Jaeg.,Hypnella pilifera,PASS,PASS,N/A,Peru,Cuzco,N/A,N/A,Slopes above Pillahuata near kilometer 126 on Cosñipata Highway,Extremely mossy elfin cloud forest near shallow ravine,PASS,1059455,Typed,no type status
S. P. Churchill,N/A,18335,1992-07-11,N/A,Hypnella diversifolia (Mitt.) Jaeg.,Hypnella diversifolia,S. P. Churchill,N/A,N/A,Colombia,Antioquia,N/A,Valdivia,road to Pueblo Nuevo Ventanas,On talud in secondary montane forest,alt. 1950 m,1139892,Typed,no type status
J. J. Wurdack,N/A,4056,1953-01-07,N/A,PASS,PASS,B. Bartram,N/A,N/A,Venezuela,PASS,N/A,N/A,between Camps 2 and 3,PASS,elev. 1200-1250 m.,1026299,Typed,no type status
R. B. Foster,N/A,4720,1981-07-30,N/A,Hypnella Pallescens (Hook.) Jaeg.,Hypnella Pallescens,N/A,N/A,Weinmannia,Peru,Pasco,N/A,N/A,E slope of Cordillera Yanachaga On Tunque- Chuchurras trail,In Weinmannia forest,1900 m,1059403,Typed,no type status
J. J. Wurdack,N/A,34365,1953-02-21,N/A,Hypnella cymbifolia (Hpe.) Jaeg.,Hypnella cymbifolia,E. B. Bartram,N/A,N/A,Venezuela,Bolivar,N/A,N/A,Frequent on fallen logs in forest between Camps 3 and 2,Slope forest,elev. 1250 - 1200 m,1026300,Typed,no type status
PASS,N/A,s.n.,0000-00-00,N/A,Weissia compacta Brid.,Weissia compacta,N/A,N/A,N/A,France,Orne,N/A,Athis,PASS,N/A,N/A,1084497,Mix of Handwritten and Typed,no type status
H. Inoue,N/A,s.n.,1973-01-11,N/A,Macromitrium japonicum Doz. et Molk.,Macromitrium japonicum,Z. Iwatsuki,N/A,Pinus thunbergii,Japan,Okinawa,N/A,N/A,"Around Shirahama, Iriomote Island, the Ryukyu Islands",On bark of Pinus thunbergii,elevation about 10 m,1021837,Typed,no type status
R. Reitz,N/A,2464,1948-12-17,N/A,Campylopus arctocarpus (Hornsch.) Mitt.,Campylopus arctocarpus,PASS,1949,N/A,Brazil,Santa Catarina,N/A,N/A,"Campo dos Padres, Bom Retiro",Rupestre,PASS,MB 5512,Typed,no type status
N. Frahm,N/A,s.n.,1977-07-22,N/A,Campylopus arctocarpus (Hornsch.) Mitt.,Campylopus arctocarpus,unsure and check,PASS,Podocarpus,Brazil,Sao Paulo,N/A,Sao Jose dos Barreiros,Serra do Bocaina Leesite an der Straße Campos da Cunha,epiphytisch im Podocarpus-Wald,1200 m,1026026,Typed,no type status
PASS,N/A,PASS,PASS,N/A,Campylopus arctocarpus (Hornsch.) Mitt.,Campylopus arctocarpus,N/A,N/A,N/A,Brazil,Santa Catarina,N/A,N/A,PASS,N/A,PASS,N/A,Typed,no type status
Schäfer-Verwimp,N/A,9019,1987-09-05,N/A,PASS,PASS,Schäfer-Verwimp,N/A,N/A,Brazil,São Paulo,N/A,PASS,Pedra Grande near Atibaia,PASS,PASS,1097651,PASS,no type status
PASS,N/A,s.n.,1982-09-06,N/A,Campylopus heterostachys (Hamp.) Jaeg.,Campylopus heterostachys,unsure and check,unsure and check,N/A,Peru,Amazonas,Cajamarca,Chachapoyas,PASS,PASS,2600 m,1053590,Typed,no type status
