collectedBy,secondaryCollectors,recordNumber,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,locality,habitat,verbatimElevation,otherCatalogNumbers,originalMethod,typeStatus
A. Touw,N/A,16420,1975-04-19,N/A,Macromitrium macrosporum Broth,Macromitrium macrosporum,D. H. Vitt,N/A,N/A,Papua New Guinea,West Sepik,Star Mountains,N/A,Mount Capella northeast summit [precise locality unknown],Forest remnant in deep chasm near the summit on soaking wet bark of trees,Alt c 3300 m,1142175,Typed,no type status
A. Touw,N/A,17205,1975-05-05,N/A,Macromitrium macrosporum Broth.,Macromitrium macrosporum,D.H. Vitt,N/A,N/A,Papua New Guinea,West Sepik,Star Mts.,N/A,"Near Mt. Capella Base Camp, along trail to Tamanagabip [precise locality unknown]",Open sub-alpine scrub. At base of limestone rock faces.,Alt. c. 3450 m.,1141880,Typed,no type status
A. Touw,N/A,18046,1975-05-14,N/A,Macromitrium megalocladon Fleisch,Macromitrium megalocladon,D. H. Vitt,N/A,N/A,Papua New Guinea,West Sepik District,Star Mts,N/A,Upper montane forest between Folongonom and Artis' Camp,Pendulous from heavy tree branches and slanting trunks,Alt c 2500 - 2600 m,1142187,Typed,no type status
A. Touw,N/A,16555,1975-04-21,N/A,Macromitrium megalocladon Fleisch.,Macromitrium megalocladon,D. H. Vitt,N/A,N/A,Papua New Guinea,West Sepik,Star Mountains,N/A,Small Kuki (grassfield) southwest of Mount Capella Base Camp; on vertical face of moss covered limestone boulder at edge of kuni,On vertical face of moss covered limestone boulder at edge of kuni,Alt. c. 3400 m,1142432,Mix of Handwritten and Typed,no type status
A Touw,N/A,15768,1975-04-07,N/A,Macromitrium megalocladon Fleisch,Macromitrium megalocladon,D H Vitt,N/A,N/A,Papua New Guinea,West Sepik,Star Mts,N/A,Ridge above Camp 2 Tel Basin [precise locality unknown],Terrestrial in open shrubbery on ridge Dense moss vegetation covering soil rocks and the lower portion of shrubs Dominant,Alt c 3350 m,1142300,Typed,no type status
S. Hattori,N/A,s.n.,1946-08-00,N/A,Macromitrium incurvum (Lindb.) Par.,Macromitrium incurvum,A. Noguchi,unsure and check,N/A,Japan,Kyushu,Miyazaki,N/A,"Minaminiaka, Obi, on rocks, light-loving, about 50 meters","rupicola, photophila, ca 50 m",ca 50 m,1235066,Typed,no type status
K. Mayebara,N/A,s.n.,1951-12-25,N/A,Macromitrium incurvum (Lindb.) Par.,Macromitrium incurvum,A. Noguchi,N/A,N/A,Japan,Kumamoto,N/A,N/A,"On exposed rocks, 60 meters above sea, Yosiho [precise locality unknown]",On exposed rocks,60 m. above sea,1043529,Typed,no type status
K. Mayebara,N/A,s.n.,1952-02-11,N/A,Macromitrium gymnostomum Sull. et Lesq.,Macromitrium gymnostomum,A. Noguchi,N/A,N/A,Japan,Kumamoto,N/A,N/A,"On rocks, approximately 100 meters above sea, Koonose [precise locality unknown]",On rocks,ca. 100m. above sea,1043490,Typed,no type status
PASS,N/A,s.n.,1952-03-00,N/A,Macromitrium gymnostomum Sull. et Lesq.,Macromitrium gymnostomum,PASS,N/A,N/A,Japan,Kumamoto,N/A,N/A,PASS,On rocks,ca. 1000m alt.,4043493,Typed,no type status
H. H. Chung,N/A,B.206,unsure and check,N/A,Macromitrium gymnostomum S. & L.,Macromitrium gymnostomum,Theriot,N/A,N/A,China,Fukien,N/A,N/A,Kushan near Foochow [precise locality unknown],On rock,altitude 500 m.,1122334,Mix of Handwritten and Typed,no type status
H. H. Chung,N/A,2.20,unsure and check,N/A,Macromitrium gymnostomum Sull.,Macromitrium gymnostomum,Theriot,N/A,N/A,China,Fukien,N/A,N/A,[precise locality unknown],On rock in bamboo forest,N/A,1122721,Mix of Handwritten and Typed,no type status
T. Koponen,N/A,35590,1981-07-23,N/A,Macromitrium longicaule C. Müll.,Macromitrium longicaule,Dale H. Vitt,1989,N/A,Papua New Guinea,Morobe,N/A,N/A,"Lake Wamba 5 kilometers South of Teptep airstrip, 1 kilometer South of lake",Rather open montane forest with dominating Pandanus trees,alt. 2400 m,1142665,Typed,no type status
N/A,N/A,B4,N/A,N/A,Macromitrium japonicum (Dz & Mk) C M Syn,Macromitrium japonicum,N/A,N/A,N/A,China,Fukien,N/A,N/A,[precise locality unknown],On shady rocks or bark,N/A,1172825,Typed,no type status
T. Koponen,N/A,33571,1981-07-09,N/A,Macromitrium microstomum Broth,Macromitrium microstomum,Dale H Vitt,PASS,N/A,Papua New Guinea,Morobe,N/A,N/A,Mount Sarawaket Southern Range 25 kilometers south of Lake Gwam at Lake Kenzoroh east of Mount Enggom [precise locality unknown],"Open alpine grassland and ""subalpine"" forest",alt 3550 m,1142666,Typed,no type status
N. Kitagawa,T. Yoshimura,s.n.,1973-10-21,N/A,Macromitrium gymnostomum Sull. et Lesq.,Macromitrium gymnostomum,A. Noguchi | T. Iwatsuki,N/A,N/A,Japan,PASS,N/A,N/A,PASS,on tree trunk,1-10 m alt.,1049048,Typed,no type status
N/A,N/A,s.n.,N/A,N/A,Macromitrium incurvum (Lindb.) Paris,Macromitrium incurvum,N/A,N/A,N/A,Japan,Honshu,N/A,N/A,[precise locality unknown],N/A,N/A,1356480,Typed,no type status
R Saito,N/A,s.n.,1970-04-03,N/A,Macromitrium gymnostomum SULL. & LESQ.,Macromitrium gymnostomum,A Noguchi,N/A,N/A,Japan,Kagoshima,N/A,N/A,"Sumiyo-mura, Amami-ohshima Island [precise locality unknown]",On rock,elevation about 120 m,1051109,Typed,no type status
PASS,PASS,s.n.,1937-06-14,N/A,Pogonatum urnigerum (Hedw.) P.B.,Pogonatum urnigerum,N/A,N/A,N/A,Portugal,Azores,N/A,N/A,PASS,PASS,vers 700 m,1181624,Typed,no type status
M. Lewis,N/A,83-224,1983-01-20,N/A,Philonotis,Philonotis,N/A,N/A,N/A,Bolivia,La Paz,Larecaja,N/A,"Between 5-6 kilometers south of Tacacoma along road to Quiabaya, 16-17 kilometers north of Sorata [precise locality unknown]",PASS,PASS,1100485,Typed,no type status
M. Lewis,N/A,79-1314,1979-03-29,N/A,Philonotis fide Crum,Philonotis,Crum,N/A,N/A,Bolivia,La Paz,Larecaja,N/A,Along road 1 mile from Sorata towards Achacachi [precise locality unknown],Eroding bank,2740 m,1078755,Typed,no type status
M. Lewis,N/A,79-2315,1979-06-01,N/A,Philonotis,Philonotis,N/A,N/A,N/A,Bolivia,Cochabamba,Chapare,N/A,"Slope of Cerro Khachi, north of Corani, on stones and banks of steep creek in cloud forest ravine [precise locality unknown]",Cloud forest ravine with tree ferns,3030 m,1078769,Typed,no type status
E. W. D. Holway,N/A,6867,1950-10-13,N/A,N/A,unsure and check,N/A,N/A,N/A,Bolivia,N/A,N/A,N/A,Unduavi [precise locality unknown],N/A,10000 ft,2013011,Typed,no type status
W. M. A. Brooke,N/A,6865,1950-10-13,N/A,N/A,unsure and check,N/A,N/A,N/A,Bolivia,N/A,N/A,N/A,Unduavi [precise locality unknown],N/A,10000 ft,5989,Typed,no type status
M. Lewis,N/A,79-2315,1979-06-01,N/A,PHILONOTIS,Philonotis,N/A,N/A,N/A,Bolivia,Cochabamba,Chapare,N/A,"Slope of Cerro Khachi, north of Corani [precise locality unknown]","On stones and banks of seepy creek in cloud forest ravine, with tree ferns",3030 m.,1050327,Typed,no type status
R Rewald,N/A,s.n,1971-08-31,N/A,Psilonatis ephemerascens (Besch.),Psilonatis ephemerascens,D S Griffin III,N/A,N/A,Peru,Amazonas,N/A,N/A,Las Palmas between Balsas and Leimebamba [precise locality unknown],"Fels, Erde, Mauer, Baum, Strauch, Holz, See, Bach",3000 m,1061647,Mix of Handwritten and Typed,no type status
F. D. Bowers,C. Delgadillo M. | P. Somers,5166,1973-12-25,N/A,Braunia secunda (Hook) B S G,Braunia secunda,A. J. Sharp,N/A,N/A,Mexico,Baja California Sur,N/A,N/A,"15 miles east of Todos Santos, Sierra de Laguna, on boulder, open valley",Oak-pine and grassland with dry and flowing streams,Alt ca 4300 ft,1045263,Typed,no type status
A. J. Sharp,E. B. Sharp | B. E. Classon | R. R. Thornburgh,2081,1973-06-23,N/A,Braunia secunda (Hook.) B.S.G.,Braunia andrieuxii,Efrain De Luna,1992,N/A,Mexico,Oaxaca,N/A,N/A,Near El Punto on Highway 175 [precise locality unknown],"Partial shade, moist, road side cliff",2625 m,1045218,Typed,no type status
A. J. Sharp,S. S. Sharp | E. B. Clebsch | K. R. Thornburgh,2736,1973-07-04,N/A,Braunia secunda (Hook.) B.S.G.,Braunia andrieuxii,Efrain De Luna,1992,N/A,Mexico,Jalisco,N/A,N/A,"El Mirador on highway 80, 3 miles above San Martin Hidalgo [precise locality unknown]","Partial shade, moist, vert. surface of boulder",1750 m,1045251,Typed,no type status
C. G. Pringle,N/A,10619,1906-09-30,N/A,Braunia Andrieuxii Lorentz,Braunia andrieuxii,unsure and check,N/A,N/A,Mexico,Jalisco,N/A,Guadalajara,On rocks near Guadalajara,On rocks,5000 ft,1172132,Mix of Handwritten and Typed,no type status
C. G. Pringle,N/A,10627,1906-09-17,N/A,"Braunia plicata, Mitt, var canescens, Card n var",Braunia andrieuxii,unsure and check,N/A,N/A,Mexico,Hidalgo,N/A,N/A,[precise locality unknown],N/A,N/A,1045265,Typed,no type status
E. Mayr,F. Mayr,s.n.,N/A,N/A,Braunia secunda (Hook.) B.S.G.,Braunia secunda,Det. Efrain De Luna,1992,N/A,Mexico,Jalapa,N/A,N/A,[precise locality unknown],N/A,2300m,1031423,Mix of Handwritten and Typed,no type status
F. J. Hermann,N/A,20657,PASS,N/A,Braunia secunda (Hook.) B.S.G.,Braunia secunda,N/A,N/A,N/A,Mexico,PASS,N/A,N/A,PASS,PASS,PASS,1036945,Typed,no type status
A. J. Sharp,N/A,116,1941-07-23,N/A,Braunia secunda (Hook.) BSG,Braunia secunda,H. A. Crum,N/A,N/A,Mexico,PASS,N/A,N/A,PASS,PASS,N/A,1045239,Mix of Handwritten and Typed,no type status
A. J. Sharp,F. D. Bowers | J. A. Crum | G. L. Smith | R. A. Hattaway | P. Somers Jr.,4247,1972-12-19,N/A,Braunia squarrulosa (Hampe) Broth.,Braunia squarrulosa,E. Bowers,N/A,N/A,Mexico,Chiapas,N/A,N/A,"Loma Bonita, Pueblo Nuevo, (about 55 kilometers northwest of Tuxtla-Gutierrez), trail side bank","Partial shade, moist",+ 6500 ft.,1045274,Typed,no type status
F. J. Hermann,N/A,26429,1975-02-09,N/A,Braunia squarrulosa (Hampe) Broth.,Braunia squarrulosa,F. J. Hermann,"Feb.9,1975",N/A,Mexico,Chiapas,N/A,San Cristobal de las Casas,15 miles southeast of San Cristobal de las Casas [precise locality unknown],On oak trunk in oak-pine woods,alt. 6800 ft.,1052129,Typed,no type status
A. J. Sharp,P. D. Bowers | D. K. Smith | R. A. Hattaway | P. Somers Jr,2980-a,1972-12-31,N/A,Braunia squarrulosa (Hampe) Broth,Braunia squarrulosa,E. De Luna,1992,N/A,Mexico,Oaxaca,N/A,San Pablo Ayutla,"Roadside near San Pablo Ayutla, about 70 kilometers east of Oaxaca [precise locality unknown]","Dry, full shade, oak branch. Oak-pine woods",2000 ft,1045269,Typed,no type status
H. A. Crum,N/A,917,1949-07-23,N/A,Braunia squarrulosa (Hampe) Broth,Braunia squarrulosa,E. De Luna,1992,N/A,Mexico,Jalisco,N/A,N/A,PASS,"On dead limb, fallen Oak forest",7300 feet,1058541,Typed,no type status
C. G. Pringle,N/A,10550,PASS,N/A,"Braunia squarrulosa, (Hpe.) Broth.",Braunia squarrulosa,E. De Luna,1992,N/A,Mexico,Federal District,N/A,N/A,"Base of trees, Cima, 10,000 feet [precise locality unknown]",Base of trees,"10,000 ft.",1172439,Mix of Handwritten and Typed,no type status
Eggers,J. P. Frahm,s.n.,1979-03-10,N/A,PASS,PASS,E. De Luna,1992,N/A,Mexico,Chiapas,N/A,N/A,km 100 on the road Ocosingo-San Cristobal [precise locality unknown],oak-pine forest,2050 MSM,1031467,Mix of Handwritten and Typed,no type status
PASS,PASS,PASS,1979-03-10,N/A,PASS,Braunia squarrulosa,N/A,N/A,N/A,Mexico,Chiapas,N/A,San Cristobal,PASS,oak-pine forest,PASS,1031495,Handwritten,no type status
F. J. Hermann,N/A,26429,1975-02-09,N/A,"Braunia squarrulosa (Hampe) Broth., c.fr.",Braunia squarrulosa,Det. Eliane De Luna,1992,N/A,Mexico,Chiapas,N/A,N/A,15 miles southeast of San Cristobal de las Casas [precise locality unknown],PASS,alt. 6800 ft.,1045277,Typed,no type status
D. Griffin,M. Morales,s.n.,1979-02-04,N/A,Braunia squarrulosa (Hampe) C. Müll.,Braunia squarrulosa,E. De Luna,1992,N/A,Costa Rica,San Jose,N/A,N/A,"Valle de Copey, about 30 kilometers south of Cartago",Bosque primario montano bajo muy húmedo y potreros,Alt. 2000 m,1029423,Typed,no type status
S. Churchill,N/A,20792,2001-08-04,N/A,Braunia exserta C. Müller,Braunia exserta,S. Churchill,2001,N/A,Bolivia,Tarija,N/A,N/A,"Serranía Huacayoj, approximately 35 kilometers west of Entre Ríos (road to Tarija)",Remnant Tucumano-Bolivian montane forest,2300 m,1183435,Typed,no type status
B Sparre,N/A,811750,1946-11-27,N/A,Braunia cirrhifolia (Mitt) Jaeg,Braunia cirrhifolia,N/A,N/A,N/A,Argentina,Tucuman,N/A,N/A,"Rio Cochuna, 1000 meters above sea level [precise locality unknown]","Subtropical rainforest, epiphyte",1000 m a s l,1136355,Typed,no type status
M. Lewis,N/A,79-1625,1979-04-06,N/A,Braunia cirrhifolia (Mitt.) Wils. ex Jaeg.,Braunia cirrhifolia,E. De Luna,1992,N/A,Bolivia,La Paz,Larecaja,N/A,PASS,In ravine with waterfall,3250 m.,1032380,Typed,no type status
M. Lewis,N/A,82-303,1982-12-09,N/A,Braunia plicata (Mitt.) Jaeg,Braunia plicata,D. Griffin III,1990,N/A,Bolivia,La Paz,N/A,N/A,"Along the Río Chalusuyu, a branch of the Río San Cristóbal, 5 kilometers northwest of Suri","Arid woodland and cliff area, many cacti present At base of cliffs near river amongst a boulder pile in a deep canyon Small trees, tree cacti and shrubs in shady, protected area",ca 2450 m,1091412,Handwritten,no type status
M. Lewis,N/A,79-1230,1979-03-22,N/A,Braunia plicata (Mitt.) Jaeg.,Braunia plicata,E. De Luna,1992,N/A,Bolivia,La Paz,Larecaja,N/A,Near large red outcrop 2 miles from Sorata down Rio Consata [precise locality unknown],Abundant on exposed rock face,2600 m.,1032384,PASS,no type status
M. Lewis,N/A,79-947,1979-03-05,N/A,Braunia plicata (Mitt.) Jaeg.,Braunia plicata,E. De Luna,1992,N/A,Bolivia,La Paz,Saavedra,N/A,Trail between Charazani and Nino Korin; NNW of Chuma [precise locality unknown],Banks of trail,3200-3240 m,1032341,Typed,no type status
M. Lewis,N/A,79-940,1979-03-05,N/A,Braunia plicata (Mitt.) Jaeg.,Braunia plicata,Efrain De Luna,1992,N/A,Bolivia,La Paz,Saavedra,N/A,PASS,Banks of trail,3200 m,1032381,Typed,no type status
M. Lewis,N/A,79-935,1979-03-05,N/A,Hedwigidium integrifolium (P. Beauv.) Dix.,Hedwigidium integrifolium,N/A,N/A,N/A,Bolivia,La Paz,Saavedra,N/A,"Trail between Charazani and Nino Korin, northwest of Charazani [precise locality unknown]",Along bank of trail,3200 m,1032366,Mix of Handwritten and Typed,no type status
M. Lewis,N/A,79-615,1979-02-10,N/A,Hedwigidium integrifolium (P. Beauv.) Dix,Hedwigidium integrifolium,N/A,N/A,N/A,Bolivia,Tarija,Mendez,N/A,"Dirt bank in Khena forest, 5 miles northeast of Iscayachi; east slope of mountains (hike from summit of road into canyon north of Tarija-Iscayachi Highway)",Dirt bank in Khena forest,3350 m,1032358,Handwritten,no type status
M. Dillon,U. Molau | P. Matekaitis,3120D,1983-01-28,N/A,Braunia secunda (Hook) BSG,Braunia secunda,Dana Griffin III,28 Jan 1983,N/A,Peru,Ancash,Yungay,N/A,"Approximately 25 kilometers northeast of Yungay, slopes below Laguna de Llanganuco [precise locality unknown]",Growing on branches,+ 3380 m,1111860,Typed,no type status
D. Griffin,E. Dugarte,PV-1143,1983-03-05,N/A,Braunia secunda (Hook.) BSG,Braunia secunda,H. De Luna,1992,N/A,Venezuela,Merida,N/A,N/A,"Quebrada Gavidia, south of Mucujún, between peña La Virgen and Pico El Toro, near the town of Gavidia [precise locality unknown]",Sobre roca + seca a baja luz,Alt 3100-3300 m,1064457,Typed,no type status
M. Lewis,N/A,79-489A,1979-02-02,N/A,Braunia laxifolia Herz.,Braunia subincana,E. De Luna,1992,N/A,Bolivia,Tarija,O'Connor,N/A,"Casteon, at summit of mountain above and west of Puente Rios, along road to Tarija [precise locality unknown]",On rocks in dry deciduous forest,1750 m,1032377,Typed,no type status
F. J. Hermann,N/A,25278,1972-12-24,N/A,Braunia suplicata E.G.Britt,Braunia subincana,Efrain De Luna,1992,N/A,Bolivia,Cochabamba,Chapare,N/A,[precise locality unknown],N/A,alt ca 9500 ft,1045267,Typed,no type status
S. R. Gradstein,M. Lewis,7560,1989-11-12,N/A,Racopilum intermedium Hampe det H O van Zanten,Racopilum intermedium,H. O. van Zanten,N/A,N/A,Bolivia,Cochabamba,Chapare,N/A,Incachaca 5 kilometers south of road Cochabamba - Villa Tunari kilometer 95 [precise locality unknown],On cliff under scrub in area of wet meadows and secondary woodlands,alt 2300 m,1081583,Typed,no type status
M. Lewis,N/A,83-503,1983-02-07,N/A,Racopilum tomentosum (Hedw.) Brid.,Racopilum tomentosum,N/A,N/A,N/A,Bolivia,La Paz,Nor Yungas,Coroico,3 km south of Coroico along road between Coroico and Yolosa,On rocks in shady fruit orchard Fruit and coffee plantations,ca. 1650 m,1100456,Typed,no type status
Y. Mexia,N/A,5281-a,1930-11-11,N/A,Rhacoplium tomentosum (Hedw.) Brid,Rhacoplium tomentosum,E. Bartram,N/A,N/A,Brazil,Minas Gerais,N/A,N/A,PASS,PASS,Alt 720 m,N/A,PASS,no type status
S. M. Gradstein,H. J. M. Sipman | W. A. Weber,950-354,1976-04-24,N/A,Rhacoplium tomentosum (Hedw.)Brid.,Rhacoplium tomentosum,W. A. Weber,N/A,Psidium guajava,Ecuador,Galápagos,N/A,N/A,"Isla Floreana, Psidium guajava woodlands and pampas east of Cruz Farm [precise locality unknown]",on rather dry shaded rocks,N/A,1023912,Typed,no type status
P. Hegewald,E. Hegewald,5726,1973-08-31,N/A,Racopilum tomentosum (Hedw.) Brid,Racopilum tomentosum,N/A,N/A,N/A,Peru,Amazonas,Chachapoyas,N/A,Leimebamba Caullamar near Balzas [precise locality unknown],N/A,m,1026724,Mix of Handwritten and Typed,no type status
J. Florschütz,P. A. Florschütz,4715,1975-12-18,N/A,Racopilum tomentosum (Hedw.)Brid,Racopilum tomentosum,P. A. Florschütz | J. Florschütz-de Waard,unsure and check,N/A,Suriname,N/A,N/A,N/A,"Brownsberg, trail to Leo fall [precise locality unknown]",On decaying log,N/A,1028580,Typed,no type status
E. Linares,S. R. Gradstein | B. O. van Zanten,1543,1984-09-26,N/A,RACOPILUM TOMENTOSUM (Hedw.) Brid.,Racopilum tomentosum,N/A,N/A,N/A,Colombia,Meta,Villavicencio,N/A,forest of the Bavaria brewery near río Guaitiquía [precise locality unknown],On log in forest,alt. 600 m,1065598,Typed,no type status
M. Lewis,N/A,83-511,1983-02-07,N/A,Racopilum tomentosum (Hedw.) Brid,Racopilum tomentosum,N/A,N/A,N/A,Bolivia,La Paz,Nor Yungas,Coroico,1 km south of Coroico along road between Coroico and Yolosa [precise locality unknown],Fruit and coffee plantations Bark of fruit trees in orchard,ca 1650 m,1100344,Typed,no type status
Y. Mexia,N/A,8190a,1936-09-15,N/A,Rhacopilum tomentosum (Sw.) Brid.,Rhacopilum tomentosum,N/A,N/A,N/A,Peru,Huanuco,N/A,N/A,Distrito Churubamba; Hacienda Mercedes; Poca Parga; old tree trunk in dense shade,old tree trunk in dense shade,Alt. 1550 m.,N/A,Typed,no type status
Y. Mexia,N/A,8165a,1936-09-09,N/A,Rhacopilum tomentosum (Sw.) Brid.,Rhacopilum tomentosum,N/A,N/A,N/A,Peru,Huanuco,N/A,N/A,Hacienda Exito; bank of Rio Ysabel; on rock in wood,on rock in wood,Alt. 1100 m.,1036304,Typed,no type status
Y. Mexia,N/A,8168a,1936-09-06,N/A,Rhacoplium tomentosum (Sw.) Brid.,Rhacoplium tomentosum,N/A,N/A,N/A,Peru,Huanuco,N/A,N/A,Hacienda Exito; bank of Rio Ysabel; on rock in woods,on rock in woods,Alt. 1100 m.,PASS,Typed,no type status
R. E. Schultes,I. Cabrera,16563,1952-05-19,N/A,Leucomium lignicola Spruce ex Mitt,Leucomium lignicola,N/A,N/A,N/A,Colombia,Amazonas,N/A,N/A,Rio Miritiparaná: Caño Guacayá [precise locality unknown],"On wet, fallen log",Altitude about 700 feet,1055165,Mix of Handwritten and Typed,no type status
D. Griffin III,O. Rangel | G. van Reenen,"50,186",1977-07-00,1977-08-00,Leiomitum lignicola sp. ex Mitt,Leiomitum lignicola,S. R. Gradstein,N/A,N/A,Colombia,Magdalena,N/A,N/A,Parque Nacional de la Sierra Nevada de Santa Marta Vertiente oriental del Rio Buritaca [precise locality unknown],Bosque nublado montano bajo,1600-1700 m,1029476,Typed,no type status
S. P. Churchill,N/A,15466,1987-07-06,N/A,Trachyxyphium tenue (Mitt) Buck (= Hookeriopsis tenue Mitt),Trachyxyphium tenue,S. P. Churchill,N/A,N/A,Colombia,Antioquia,N/A,N/A,Cerro San Miguel south of San Miguel [precise locality unknown],In secondary montane forest,alt 2460-2620 m,1139980,Typed,no type status
D. Griffin,M. I. Morales | D. E. de Retana,s.n.,1977-07-03,1977-07-04,Hypnella pilifera (Hook. et Wils.) Jaeg.,Hypnella pilifera,N/A,N/A,N/A,Costa Rica,Cartago,N/A,N/A,"Reserva Forestal Tapantí, eastern slope of Río Macho [precise locality unknown]",Very humid lower montane forest,"Alt. 1,300-1,600 m.",1025621,Typed,no type status
J. J. Wurdack,N/A,34365,1953-00-00,N/A,Hypnella cymbifolia (Hpe.) Jaeg.,Hypnella cymbifolia,E. B. Bartram,N/A,N/A,Venezuela,Bolívar,N/A,N/A,[precise locality unknown],Frequent on fallen logs in forest between Camps 3 and 2,elev. 1250 - 1200 m.,1026297,Typed,no type status
W. R. Buck,N/A,2445,1979-07-03,1979-07-12,Hookeriopsis parkeriana (Hook & Grev) Jaeg,Hookeriopsis parkeriana,N/A,N/A,N/A,Brazil,Amazonas,N/A,N/A,"Slopes and summit of Serra Curicuriari, from Igarapé Arabu of the Rio Curicuriari to the summit",On branches at summit,ca 450 m at summit,1125553,Typed,no type status
R B Foster,N/A,4722,1981-07-30,N/A,HYPNELLA PILIFERA (Hook & Wils) Jaeg,Hypnella pilifera,W C Steere,N/A,N/A,Peru,Pasco,N/A,N/A,"E slope of Cordillera Yanachaga, on Tunque- Chuchurras trail [precise locality unknown]",In Weinmannia forest,1900 m,1059405,Typed,no type status
