Dataset Source,accessURI,modifiedBy,verifiedBy,catalogNumber,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,substrate,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus
EMu Field Museum | African Plants Portal,https://fm-digital-assets.fieldmuseum.org/2433/459/V0573776F.jpg,,,0000_V0573776F.jpg,E. Heller & Mearns,E. Heller,Mearns,8752,"Jan. 16 to Feb. 2, 1909",1909-01-16,1909-02-02,Cyperus maculatus Boeck.,Cyperus maculatus Boeck.,N/A,19.10.1912,N/A,Congo Free State,N/A,N/A,N/A,"""Rhino Camp"", Bahr el Jebel, Lado Enclave, Congo Free State","""Rhino Camp"", Bahr el Jebel, Lado Enclave",N/A,N/A,N/A,N/A,463860,Typed,no type status
EMu Field Museum | African Plants Portal,https://fm-digital-assets.fieldmuseum.org/2454/013/V0597626F.jpg,,,0011_V0597626F.jpg,"Amanda Koch, Wilson Nasion Sakuda, AK61",Amanda Koch,Wilson Nasion Sakuda,AK61,"October 22, 2003",2003-10-22,N/A,Acacia reficiens meruensis (Vatke) Brenan,Acacia reficiens meruensis (Vatke) Brenan,Patrick Muthoka,"November 02, 2003",N/A,Kenya,Kajiado District,N/A,Ololosihor,Kenya: Kajiado District: Ololosihor,[precise locality unknown],Dry bushland,N/A,N/A,N/A,2309478,Typed,no type status
EMu Field Museum | African Plants Portal,https://fm-digital-assets.fieldmuseum.org/2454/080/V0597688F.jpg,,,0012_V0597688F.jpg,J. Lebrun,J. Lebrun,N/A,21409,about 1935,1935-00-00,1935-00-00,Albizia gummifera (J.F.Gmel.) C.A.Sm.,Albizia gummifera (J.F.Gmel.) C.A.Sm.,N/A,N/A,N/A,Congo Belge,Isangi,N/A,N/A,Isangi,[precise locality unknown],N/A,N/A,N/A,N/A,867368,Typed,no type status
EMu Field Museum | African Plants Portal,https://fm-digital-assets.fieldmuseum.org/2460/308/V0588237F.jpg,,,0013_V0588237F.jpg,N/A,N/A,N/A,207,25/12/1957,1957-12-25,N/A,Digitaria perrottetii (Steud.) Henrard,Digitaria perrottetii (Steud.) Henrard,N/A,N/A,N/A,Kenya,N/A,N/A,Tsavo-Taita Andei,N/A,[precise locality unknown],N/A,soil,N/A,N/A,1559644,Typed,no type status
EMu Field Museum | African Plants Portal,https://fm-digital-assets.fieldmuseum.org/2460/430/V0580026F.jpg,,,0014_V0580026F.jpg,H. Callens,H. Callens,N/A,1584065,Juillet 1958,1958-07-00,1958-07-00,Rubiaceae Tarenna paniculata,Tarenna paniculata,H. Callens,1/9/58,N/A,Congo Belge,N/A,N/A,Kisantu,Kisantu,Kisantu,N/A,N/A,N/A,N/A,N/A,Typed,no type status
EMu Field Museum | African Plants Portal,https://fm-digital-assets.fieldmuseum.org/2464/177/V0580516F.jpg,,,0015_V0580516F.jpg,Herrier G. Troupin,Herrier G. Troupin,N/A,6333,17/02/1958,1958-02-17,1958-02-17,Crotalaria acervata (Steud.) P. Llang,Crotalaria acervata (Steud.) P. Llang.,P. Llang,N/A,N/A,Zaire,Kivu,Rutshuru,N/A,"Territ. Rutshuru, Vers 1100 route Kavumu-KiwanjaMiandjale par riviere Tshuic",Vers 1100 route Kavumu-Kiwanja near Miandjale by the Tshuic river,Forêt ombrophile; terrain humide,N/A,Alt. 1950 à 900 m,N/A,N/A,Typed,no type status
EMu Field Museum | African Plants Portal,https://fm-digital-assets.fieldmuseum.org/2466/373/V0574490F.jpg,,,0016_V0574490F.jpg,Gordon McPherson,Gordon McPherson,N/A,13781,20 Mars 1989,1989-03-20,N/A,Corynanthe mayumbensis (R. Good) N. Halle,Corynanthe mayumbensis (R. Good) N. Halle,Wilks & McPherson,1989,N/A,Gabon,Ogooué-Ivindo,N/A,N/A,"Réserve de Lopé, au sud de Ayem; Chanter: SORINCO.","Réserve de Lopé, au sud de Ayem; Chanter: SORINCO.",Arbre 15 m; fruit brun; voucher de NCI.,N/A,c. 200 m,0°25' S 11°30' E,"LP:4665-0223-B, RG:4665-0224-H; WD:4665-0225-I.",Typed,no type status
EMu Field Museum | African Plants Portal,https://fm-digital-assets.fieldmuseum.org/2472/873/V0574226F.jpg,,,0017_V0574226F.jpg,J. M. Fay,J. M. Fay,N/A,8294,4 March 1988,1988-03-04,1988-03-04,Millettia zechiana Harms,Millettia zechiana Harms,Alex Alesi,1998,N/A,Cameroon,N/A,N/A,N/A,"On the Sangha River across from Makana gorilla study area. In seasonally flooded forest with Gubourtia demeusei, Berlinia spp., Pericopsis elata, Pombax sp.",On the Sangha River across from Makana gorilla study area,In seasonally flooded forest,Bark,385 m,02°20'N 016°08'E,2014124,Typed,no type status
EMu Field Museum | African Plants Portal,https://fm-digital-assets.fieldmuseum.org/2473/141/V0580728F.jpg,,,0018_V0580728F.jpg,E.J.H. Corner,E.J.H. Corner,N/A,199,29-vii-1959,1959-07-29,N/A,Phaseolus lunatus L.,Phaseolus lunatus L.,N/A,N/A,N/A,Indonesia,N/A,N/A,N/A,"South West of Crater Lake. Clearing in wood, scrambling over herbage.",South West of Crater Lake,"Clearing in wood, scrambling over herbage",N/A,"5,000ft",N/A,1624518,Typed,no type status
EMu Field Museum | African Plants Portal,https://fm-digital-assets.fieldmuseum.org/2473/209/V0578764F.jpg,,,0019_V0578764F.jpg,E. M. Pérard,E. M. Pérard,N/A,2,"June 10-30, 1947",1947-06-10,1947-06-30,N/A,N/A,N/A,N/A,N/A,Kenya,N/A,N/A,Mathiga,"Mathiga, near Nairobi","Mathiga, near Nairobi",N/A,soil,"Alt. 1,700 meters",N/A,N^o 2074762,Typed,no type status
EMu Field Museum | African Plants Portal,https://fm-digital-assets.fieldmuseum.org/2474/564/V0594158F.jpg,,,0020_V0594158F.jpg,A. Leonard,A. Leonard,N/A,3149,29/9/1959,1959-09-29,1959-09-29,Oxyanthus speciosus DC.,Oxyanthus speciosus DC.,Bamps,30/IX/1969,N/A,Zaire,Haut Katanga,N/A,N/A,Haut Katanga,[precise locality unknown],Vieille forêt secondaire,N/A,1900m,N/A,2086095,Typed,no type status
EMu Field Museum | African Plants Portal,https://fm-digital-assets.fieldmuseum.org/2477/449/V0573054F.jpg,,,0021_V0573054F.jpg,Herbier des serivces forestiers Indo-Chine. Récolté par le R.P. JulesM. G. Poilane,Jules M. G. Poilane,N/A,8400,June 1927. 27-6,1927-06-00,1927-06-27,Helianthostemon yabrense (Pierre ex Dop) Steenis,Helianthostemon yabrense (Pierre ex Dop) Steenis,N/A,N/A,N/A,Indo-Chine,N/A,N/A,N/A,Annam Yabre,[precise locality unknown],N/A,N/A,N/A,N/A,HERB. MUS. PARIS,Typed,no type status
EMu Field Museum | African Plants Portal,https://fm-digital-assets.fieldmuseum.org/2478/115/V0601010F.jpg,,,0022_V0601010F.jpg,James T. Allen,James T. Allen,N/A,41,"September 23, 1996",1996-09-23,N/A,Dissotis rotundifolia (Sm.) Triana,Dissotis rotundifolia (Sm.) Triana,N/A,N/A,N/A,Ghana,Volta Region,N/A,N/A,Latexo; Center for Scientific Research into Plant Medicine (CSRPM) farm.,Latexo; Center for Scientific Research into Plant Medicine (CSRPM) farm.,N/A,N/A,N/A,N/A,2200652,Typed,no type status
EMu Field Museum | African Plants Portal,https://fm-digital-assets.fieldmuseum.org/2478/233/V0602418F.jpg,,,0023_V0602418F.jpg,J. E. Amoah,J. E. Amoah,N/A,5632,March 1952.,1952-03-00,1952-03-00,Chaesyphyllum perpulchrum Mildbr.,Chaesyphyllum perpulchrum Mildbr.,N/A,N/A,N/A,Ghana,Ashanti Region,Kumasi District,N/A,Kumasi Township Forest Reserve,Kumasi Township Forest Reserve,N/A,N/A,N/A,N/A,1601919,Typed,no type status
EMu Field Museum | African Plants Portal,https://fm-digital-assets.fieldmuseum.org/2478/305/V0604513F.jpg,,,0024_V0604513F.jpg,J. Nemba & D.W. Thomas,J. Nemba,D. W. Thomas,0660/0052-L,15 June 1987,1987-06-15,1987-06-15,Donella welwitschii Pierre ex Engl.,Donella welwitschii Pierre ex Engl.,D.W. Thomas,1987,N/A,Cameroon,Southwest,N/A,N/A,Old growth forest at and near Mamfe road at the Ekla Likingi.,Old growth forest at and near Mamfe road at the Ekla Likingi,Secondary growth and old growth forest along road,N/A,200 m,04°44'N 09°29'E,2041320,Typed,no type status
EMu Field Museum | African Plants Portal,https://fm-digital-assets.fieldmuseum.org/2479/474/V0572217F.jpg,,,0025_V0572217F.jpg,J. Deaw,J. Deaw,N/A,283,"4, 1970",1970-04-00,N/A,Eugenia coronata,Eugenia coronata,N/A,N/A,N/A,Ghana,N/A,N/A,Accra,Accra,Accra,N/A,N/A,N/A,N/A,N/A,Typed,no type status
EMu Field Museum | African Plants Portal,https://fm-digital-assets.fieldmuseum.org/2487/523/V0602609F.jpg,,,0026_V0602609F.jpg,Schimper,Schimper,N/A,1418,6 January - 4 February 1839,1839-01-06,1839-02-04,Rumex nervosus Vahl.,Rumex nervosus Vahl.,N/A,N/A,N/A,Eritrea,N/A,N/A,N/A,Dschäartschollo; Kante des Flusses auf demselben Waldboden Tancá,Dschäartschollo; Kante des Flusses,Waldboden,soil,1500-2100 m,N/A,N/A,Typed,no type status
EMu Field Museum | African Plants Portal,https://fm-digital-assets.fieldmuseum.org/2487/806/V0606178F.jpg,,,0027_V0606178F.jpg,R.B. & A.J. Faden,R.B. Faden,A.J. Faden,77/11,7 March 1977,1977-03-07,N/A,Toddaliopsis bremekampii (Engl.) Engl.,Toddaliopsis bremekampii (Engl.) Engl.,J.O. Kokwaro,confirmed J.O. Kokwaro,N/A,Kenya,Kwale District,N/A,Chale Peninsula,"ca. 20 km S. Mwazaro, Olt E.S. dominant, dry forest with Combretum-Commiphora rag.",ca. 20 km south of Mwazaro,Dry forest with Combretum-Commiphora,N/A,40-50 m,"4°26'S, 39°32'E",2153520,Typed,no type status
EMu Field Museum | African Plants Portal,https://fm-digital-assets.fieldmuseum.org/2487/920/V0603038F.jpg,,,0028_V0603038F.jpg,F. Szafranski,F. Szafranski,N/A,1378,5.2.1988,1988-02-05,1988-02-05,Commelinaceae Floscopa glomerata (Roem. et Schult.) Hassk.,Floscopa glomerata (Roem. et Schult.) Hassk.,N/A,N/A,N/A,Zaire,Haut-Zaire,N/A,N/A,bas fond marécageux près de la route aux environs de l'usine SOCODIA,marshy lowland near the road in the vicinity of SOCODIA factory,marshy lowland,soil,N/A,N/A,2048694,Typed,no type status
EMu Field Museum | African Plants Portal,https://fm-digital-assets.fieldmuseum.org/2491/969/V0606676F.jpg,,,0029_V0606676F.jpg,F.W.H. Migeod,F. W. H. Migeod,N/A,394,25. 1.28,1928-01-25,N/A,Solanum sp.,Solanum aculeatissimum Jacq.,M. Nee,"Dec. 3, 1977",N/A,"Africa, Bameda, British Cameroon.",N/A,N/A,N/A,"Africa, Bameda, British Cameroon.",[precise locality unknown],Shrub very thorny and spiny.,N/A,4150-5500 ft,N/A,1441275,Typed,no type status
EMu Field Museum | African Plants Portal,https://fm-digital-assets.fieldmuseum.org/2491/991/V0601406F.jpg,,,0030_V0601406F.jpg,T.C. Wrigley & M. Hulleyville,T.c. Wrigley,M. Hulleyville,52,18 July 1959,1959-07-18,N/A,Canarina abyssinica J.H. Knox ex Alston,Canarina abyssinica J.H. Knox ex Alston,A. W. Exell,1961,N/A,Cameroon,N/A,N/A,N/A,"ARTHNOOR: Ridge west of crater lake, open woodland",Ridge west of crater lake,Open woodland,N/A,12000ft,N/A,1624568,Mix of Handwritten and Typed,no type status
EMu Field Museum | African Plants Portal,https://fm-digital-assets.fieldmuseum.org/2493/436/V0604673F.jpg,,,0031_V0604673F.jpg,Collector William Burger,William Burger,N/A,1290,27 May 1963,1963-05-27,1963-05-27,Rubus apetalus Poir,Rubus apetalus Poir,W.J. Kress,8/1982,N/A,Ethiopia,Harar Prov.,N/A,N/A,Near Gara Ades 1 1/2 Km. E. of Haro along escarpment,Near Gara Ades 1 1/2 kilometers east of Haro along escarpment,Steep slopes with remnant forest,soil,1920 meters,N/A,1825230,Typed,no type status
EMu Field Museum | African Plants Portal,https://fm-digital-assets.fieldmuseum.org/2499/501/V0565514F.jpg,,,0032_V0565514F.jpg,J.D. Sauer,J.D. Sauer,N/A,3914,15 June 1963,1963-06-15,1963-06-15,Aerva lanata (L) Juss.,Aerva lanata (L.) Juss.,N/A,N/A,N/A,Kenya,Coast Province,Kwale District,N/A,"Beach ridge, shallow open coast. Bumburi Beach, N of Mombasa.","Bumburi Beach, north of Mombasa","Beach ridge, shallow open coast.",soil,N/A,N/A,595547,Typed,no type status
EMu Field Museum | African Plants Portal,https://fm-digital-assets.fieldmuseum.org/2499/556/V0565977F.jpg,,,0033_V0565977F.jpg,C. Vigne,C. Vigne,N/A,N/A,N/A,N/A,N/A,Exostema parviflorum Swartz,Exostema parviflorum Swartz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,N/A,839434,Typed,no type status
EMu Field Museum | African Plants Portal,https://fm-digital-assets.fieldmuseum.org/2499/686/V0566108F.jpg,,,0034_V0566108F.jpg,Erna Abdo,Erna Abdo,N/A,1026,Collected in 1999,1999-00-00,1999-00-00,Uvariopsis versicolor Pierre,Uvariopsis versicolor Pierre,N/A,N/A,N/A,Ghana,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,N/A,2325285,Typed,no type status
EMu Field Museum | African Plants Portal,https://fm-digital-assets.fieldmuseum.org/2500/629/V0567164F.jpg,,,0035_V0567164F.jpg,A. Akinluyi,A. Akinluyi,N/A,398,22 11 79,1979-11-22,1979-11-22,Peperomia dindygulensis Miq.,Peperomia dindygulensis Miq.,A. Akinluyi,19 71.,N/A,Ghana,N/A,N/A,Awhia,Awhia — Winneba Road.,Awhia — Winneba Road,A climber among grasses.,N/A,Altitude:,N/A,1753348,Typed,no type status
EMu Field Museum | African Plants Portal,https://fm-digital-assets.fieldmuseum.org/2501/420/V0591661F.jpg,,,0036_V0591661F.jpg,D.W. Thomas 6850,D.W. Thomas,N/A,6850,1987,1987-00-00,1987-00-00,Cola flavovelutina K. Schum,Cola flavovelutina K. Schum,D.W. Thomas,1987,N/A,Cameroon,Southwest,N/A,N/A,"PRCV, Southwest: Korup National Park. Primary rain forest 05°02'N 08°50'E",Korup National Park,Primary rain forest,N/A,600 m,05°02'N 08°50'E,2041255,Typed,no type status
EMu Field Museum | African Plants Portal,https://fm-digital-assets.fieldmuseum.org/2504/891/V0567306F.jpg,,,0037_V0567306F.jpg,Sue A. Thompson,Sue A. Thompson,N/A,1522,9 July 1984,1984-07-09,N/A,Impatiens macroptera Hook. f.,Impatiens macroptera Hook. f.,N/A,N/A,N/A,Cameroon,Prov. Sud-Ouest,Dept. Fako,N/A,"Bakingili, Trail up Mt. Cameroon","Bakingili, Trail up Mt. Cameroon","Erect herb up to 70 cm tall, growing on wet rocks",rock,Alt. 50-250 m.,"4°04'N, 9°02'E.",N° 2086046,Typed,no type status
EMu Field Museum | African Plants Portal,https://fm-digital-assets.fieldmuseum.org/2505/266/V0606921F.jpg,,,0038_V0606921F.jpg,D. Waterson,D. Waterson,N/A,948,9.9.64,1964-09-09,N/A,Englertia tenuifolia (Engl.) Gilg,Englertia tenuifolia (Engl.) Gilg,N/A,N/A,N/A,Kenya,Kitui,N/A,N/A,4 km n.e. of Kangondi on road to Embu.,4 kilometers northeast of Kangondi on road to Embu,Thicket,soil,c. 4500 ft,N/A,1864166,Typed,no type status
EMu Field Museum | African Plants Portal,https://fm-digital-assets.fieldmuseum.org/2506/309/V0605928F.jpg,,,0039_V0605928F.jpg,Sue A. Thompson & John E. Rawlins,Sue A. Thompson,John E. Rawlins,1333,3 June 1981,1981-06-03,1981-06-03,Avicennia africana P. Beauv.,Avicennia africana P. Beauv.,N/A,N/A,N/A,Cameroon,Prov. Sud-Ouest,Dept. Fako,Bakingili,Bakingili,[precise locality unknown],Tree,soil,Alt. 0 m.,"4°04'N, 9°02'E",2088074,Typed,no type status
EMu Field Museum | African Plants Portal,https://fm-digital-assets.fieldmuseum.org/2511/134/V0605675F.jpg,,,0040_V0605675F.jpg,N/A,N/A,N/A,6077,3.12.1958,1958-12-03,1958-12-03,Tricalysia Okuyamae (Brai. greens) Robbrs Montanien.,Tricalysia Okuyamae (Brai. greens) Robbrs Montanien,N/A,N/A,N/A,N/A,Kivu,Kalehe,N/A,3 km 750 m de Katana vers Kalehe Territoire D’Idjwi.,"3 km 750 meters from Katana towards Kalehe, Territoire D’Idjwi","Forêt ombrophile. Ombum, 11.500 ft",N/A,950 – 900 m.,N/A,1548374,Typed,no type status
EMu Field Museum | African Plants Portal,https://fm-digital-assets.fieldmuseum.org/2511/772/V0571550F.jpg,,,0041_V0571550F.jpg,A. Pappi,A. Pappi,N/A,2624,14-V-1912,1912-05-14,N/A,Lavandula pubescens Decaisne,Lavandula pubescens Decaisne,T.M. Upson,2/4/1996,N/A,Eritrea,Assaorta,N/A,N/A,Eritrea-Assaorta - Lungo il torrente Haboas,Along the stream in Haboas,N/A,N/A,N/A,N/A,N/A,Typed,no type status
EMu Field Museum | African Plants Portal,https://fm-digital-assets.fieldmuseum.org/2512/575/V0607392F.jpg,,,0042_V0607392F.jpg,William Burger,William Burger,N/A,1523,14 Feb. 1962,1962-02-14,1962-02-14,Juniperus procera Hochst. ex Endl.,Juniperus procera Hochst. ex Endl.,W.B.,14 Feb. 1962,N/A,Ethiopia,Harar Prov.,N/A,N/A,N.W. from Gara Mulata Mt. ca. 50 km. due N. of Harar. 916'N + 41'36'E,N.W. from Gara Mulata Mountain approximately 50 kilometers due north of Harar,Hiller on steep slopes with mixed forest,N/A,8500 - 9800 feet,916'N + 41'36'E,1632855,Typed,no type status
EMu Field Museum | African Plants Portal,https://fm-digital-assets.fieldmuseum.org/2513/815/V0570163F.jpg,,,0043_V0570163F.jpg,G.D. Ameka,G.d. Ameka,N/A,GC,1/10/1992,1992-10-01,N/A,Terminalia glaucescens,Terminalia glaucescens,N/A,N/A,N/A,Ghana,Volta Region,N/A,Ho,"HO, VOLTA REGION, GHANA","Ho, Volta Region",At edge; ground yellow-brownish redland,soil,N/A,N/A,2007210,Typed,no type status
EMu Field Museum | African Plants Portal,https://fm-digital-assets.fieldmuseum.org/2514/094/V0570543F.jpg,,,0044_V0570543F.jpg,Schimper,Schimper,N/A,1146,not visible,unsure and check,unsure and check,Ipomoea quamoclit L.,Ipomoea quamoclit L.,N/A,N/A,N/A,Abyssinia,N/A,N/A,N/A,not visible,[precise locality unknown],N/A,N/A,not visible,not visible,373793,Typed,no type status
EMu Field Museum | African Plants Portal,https://fm-digital-assets.fieldmuseum.org/2514/378/V0607965F.jpg,,,0045_V0607965F.jpg,D.W. Thomas & E. Luge,D.w. Thomas,E. Luge,6988,18 May 1987,1987-05-18,N/A,Dichapetalaceae Tapura africana Oliv.,Tapura africana Oliv.,D.W. Thomas,1987,N/A,Cameroon,Southwest,N/A,N/A,"Degraded forest at Barombi Kang, Kumba","Barombi Kang, Kumba",Degraded forest,N/A,150 m,04°36'N 009°27'E,Field Museum of Natural History number 2040825,Mix of Handwritten and Typed,no type status
EMu Field Museum | African Plants Portal,https://fm-digital-assets.fieldmuseum.org/2514/765/V0570471F.jpg,,,0046_V0570471F.jpg,E. A. Mearns,E. A. Mearns,N/A,1114,"September 6-7, 1909",1909-09-06,1909-09-07,Euryops ellipticus Klatt.,Euryops ellipticus Klatt.,N/A,N/A,N/A,British East Africa,N/A,N/A,Vicinity of Thika,"Vicinity of Thika, British East Africa; altitude about 1320 meters",Vicinity of Thika,N/A,N/A,about 1320 meters,N/A,463287,Mix of Handwritten and Typed,no type status
EMu Field Museum | African Plants Portal,https://fm-digital-assets.fieldmuseum.org/2514/997/V0570108F.jpg,,,0047_V0570108F.jpg,G. Jackson,G. Jackson,N/A,580,2/6/36,1936-06-02,1936-06-02,Combretum schumannii Engl.,Combretum schumannii Engl.,N/A,N/A,N/A,Kenya,Kenya,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,N/A,856357,Handwritten,no type status
EMu Field Museum | African Plants Portal,https://fm-digital-assets.fieldmuseum.org/2515/000/V0570110F.jpg,,,0048_V0570110F.jpg,J. M. Fay,J. M. Fay,N/A,8271,28 February 1988,1988-02-28,N/A,Combretum smeathmannii G. Don,Combretum smeathmannii G. Don,Ake Assi 1988,1988,N/A,Cameroon,N/A,N/A,N/A,"Along the Sangha River adjacent to the island of Kilon, in riparian forest adjacent to seasonally flooded forest with Irvingia gabonensis L., Combretum and Terminalia spp., Prec. 1400 m",Along the Sangha River adjacent to the island of Kilona,In riparian forest adjacent to seasonally flooded forest,soil,Prec. 1400 m,02°21'N 16°09'E 385 m,N/A,Typed,no type status
