verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus
A. Touw,A. Touw,N/A,18543,20.5.1975,1975-05-20,N/A,Macromitrium longicaule C. Müll.,Macromitrium longicaule,D. H. Vitt,N/A,N/A,Papua New Guinea,West Sepik,PASS,PASS,PASS,PASS,PASS,c. 1500 - 1550 m,PASS,1141855,Typed,no type status
N/A, N/A,N/A,17369,8.5.1975,1975-05-08,N/A,Macromitrium macrosporum Broth.,Macromitrium macrosporum,D. H. Vitt,N/A,N/A,Papua New Guinea,West Sepik,Star Mts.,N/A,NE summit of Mt. Capella; on stems and branches of trees and shrubs in summit scrub.,NE summit of Mount Capella,On stems and branches of trees and shrubs in summit scrub.,PASS,PASS,1142194,Typed,no type status
PASS,PASS,N/A,16376,17.4.1975,1975-04-17,N/A,Macromitrium macrosporum Broth.,Macromitrium macrosporum,D. H. Vitt,N/A,N/A,Papua New Guinea,West Sepik,N/A,N/A,Mt. Capella Base Camp Limestone ridge near camp,Mt. Capella Base Camp Limestone ridge near camp,c. 4-5 m high stunted forest on ridge on trees and shrubs,c. 3600 m,c5°S141°05'E,1142178,Typed,no type status
PASS,PASS,N/A,PASS,8.5.1975,1975-05-08,N/A,Macromitrium macrosporum Broth.,Macromitrium macrosporum,D. H. Vitt,N/A,N/A,Papua New Guinea,West Sepik,N/A,N/A,"Star Mts. c. 5°14'05"" NE Summit of Mt. Capella. Summit of ridge between Mt. Capella Base Camp and Mt. Capella ridge; on isolated tree.",PASS,N/A,c. 3650 m,"c5°14'05""NE",1142156,Typed,no type status
A. Touw,A. Touw,N/A,16420,19.4.1975,1975-04-19,N/A,Macromitrium macrosporum Broth.,Macromitrium macrosporum,D. H. Vitt,N/A,N/A,Papua New Guinea,West Sepik,N/A,N/A,PASS,PASS,Forest remnant in deep chasm near the summit on soaking wet bark of trees,c. 3900 m,PASS,1142175,Typed,no type status
PASS,PASS,N/A,17205,5.5.1975,1975-05-05,N/A,Macromitrium macrosporum Broth.,Macromitrium macrosporum,D. H. Vitt,N/A,N/A,Papua New Guinea,West Sepik,Star Mts.,N/A,PASS,PASS,PASS,c. 3450 m.,c5°41'05''E,1141880,Typed,no type status
A. Town,A. Town,N/A,18046,14.5.1975,1975-05-14,N/A,Macromitrium megalocladon Fleisch.,Macromitrium megalocladon,D. H. Vitt,N/A,N/A,Papua New Guinea,West Sepik,N/A,N/A,Star Mts. c. 5°S 141°05'E Upper montane forest between Folongonom and Arits' Camp,Star Mountains Upper montane forest between Folongonom and Arits' Camp,Pendulous from heavy tree branches and slanting trunks,c. 2500 - 2600 m.,c5°S141°05'E,1142187,Typed,no type status
A. Touw,A. Touw,N/A,16555,21.4.1975,1975-04-21,N/A,Macromitrium megalocladon Fleisch.,Macromitrium megalocladon,D. H. Vitt,N/A,N/A,Papua New Guinea,West Sepik,Star Mts.,N/A,Small kuni (grassfield) SW of Mt. Capella Base Camp; on vertical face of moss covered limestone boulder at edge of kuni,PASS,N/A,c. 3400 m,PASS,1142432,Typed,no type status
A. Touw,A. Touw,N/A,15768,7.4.1975,1975-04-07,N/A,Macromitrium megalocladon Fleisch.,Macromitrium megalocladon,D. H. Vitt,PASS,N/A,Papua New Guinea,West Sepik,N/A,N/A,PASS,PASS,PASS,c. 3350 m,PASS,1142300,Typed,no type status
S. Hattori,S. Hattori,N/A,s.n.,VIII. 1946,1946-08-00,N/A,Macromitrium incurvum (Lindb.) Par.,Macromitrium incurvum,A. Noguchi,Ser. I (1947),N/A,Japan,Miyazaki,Minaminaka,Obi,KIUSHIU Miyazaki Minaminaka Obi,Obi,rupicolous photophilous ca 50 m,ca 50 m,N/A,4235066,Typed,no type status
K. Mayebara,K. Mayebara,N/A,s.n.,"December 25, 1951",1951-12-25,N/A,Macromitrium incurvum (Lindb.) Par.,Macromitrium incurvum,A. Noguchi,N/A,N/A,Japan,Kumamoto,N/A,Yoshio,On exposed rocks 60 m. above sea Yoshio Kumamoto Prefecture,On exposed rocks 60 meters above sea Yoshio,PASS,60 m. above sea,N/A,1043529,Typed,no type status
A. Mayebara,A. Mayebara,N/A,430,"February 11, 1952",1952-02-11,N/A,Macromitrium gymnostomum Sull. et Lesq.,Macromitrium gymnostomum,A. Noguchi,N/A,N/A,Japan,Kumamoto,N/A,PASS,PASS,PASS,On rocks,ca. 100 m. above sea,N/A,1043490,Typed,no type status
K. Mayahara,K. Mayahara,N/A,s.n.,March 1952,1952-03-00,N/A,Macromitrium gymnostomum Sull. & Lesq.,Macromitrium gymnostomum,A. Noguchi,N/A,N/A,Japan,Kumamoto,N/A,Hitoyoshi,On rocks ca. 100m. alt. Hitoyoshi Kumamoto County,PASS,N/A,ca. 100m. alt.,N/A,1043493,Typed,no type status
H. H. Cow,H. H. Cow,N/A,B.206,"August, 1925",1925-08-00,N/A,Macromitrium gymnostomum S. & L.,Macromitrium gymnostomum, Theriot,N/A,N/A,China,Fujian,N/A,N/A,Kushan near Foochow,Kushan near Foochow,"On rock, shaded",500 m.,N/A,PASS,Typed,no type status
H. H. Chung,H. H. Chung,N/A,B.20,PASS,PASS,N/A,Macromitrium gymnostomum Sull.,Macromitrium gymnostomum, Theriot,N/A,N/A,China,Fujian,N/A,N/A,On rock in bamboo forest,On rock in bamboo forest,PASS,N/A,N/A,1122721,Typed,no type status
Timo Koponen,T. Koponen,N/A,33590,23 July 1981,1981-07-23,N/A,Macromitrium longicaule C. Mull.,Macromitrium longicaule,D. H. Vitt,1989,Pandanus,Papua New Guinea,Morobe,N/A,N/A,Lake Wamba 5 km S of Teptep airstrip Rather open montane forest with dominating Pandanus trees 1 km S of lake,Lake Wamba 5 kilometers south of Teptep airstrip 1 kilometer south of lake,Rather open montane forest with dominating Pandanus trees,2400 m,6°01'S146°33'E,1142665,Typed,no type status
PASS,PASS,N/A,B.4.,March 1928,1928-03-00,N/A,Macromitrium japonicum (Dz. & Mb.) C. M.,Macromitrium japonicum, N/A,N/A,N/A,China,Fujian,N/A,PASS,PASS,PASS,On shady rocks or bark,N/A,N/A,1122615,Typed,no type status
Timo Koponen,T. Koponen,N/A,32571,9 July 1981,1981-07-09,N/A,Macromitrium macrosporum Broth.,Macromitrium macrosporum,D. H. Vitt,1989,N/A,Papua New Guinea,Morobe,N/A,N/A,"Mt. Sarawaket Southern Range 2.5 km S of L. Gwama open alpine grassland and ""subalpine"" forest at L. Kenoroh E of Mt. Enggum",PASS,"Open alpine grassland and ""subalpine"" forest",PASS,6°21'S147°08'E,1142666,Typed,no type status
M. Mizutani and I. Yoshimura,M. Mizutani,I. Yoshimura,s.n.,"Jan. 23, 1975",1975-01-23,N/A,Macromitrium synoicum Sull. et Lesq.,Macromitrium synoicum,Z. I.,PASS,N/A,Japan,Okinawa,N/A,N/A,"Iriomote, Sonai","Iriomote, Sonai",on tree trunk,1-10 m alt.,N/A,PASS,Typed,no type status
C. K. Sakurai,C. K. Sakurai,N/A,X. 1932,X. 1932,1932-10-00,N/A,Macromitrium incurvum (Lindb.) Paris,Macromitrium incurvum,PASS,N/A,N/A,Japan,Honshu,Musashi,N/A,PASS,PASS,PASS,N/A,N/A,1356480,Typed,no type status
K. Sato,K. Sato,N/A,s.n.,"April 3, 1970",1970-04-03,N/A,Macromitrium gymnostomum Sull. & Lesq.,Macromitrium gymnostomum,A. Noguchi,N/A,N/A,Japan,Kagoshima,N/A,Sumiyo-mura,PASS,Isl. Amami-oshima,On rock,elevation about 120 m,N/A,639,Typed,no type status
V. et P. Allorge,V. Allorge,P. Allorge,133,14.VI.1937,1937-06-14,N/A,PASS,PASS,unsure and check,PASS,N/A,Portugal,Azores,N/A,S. Miguel,talus découvert Salto do Cavalo vers 700 m,Salto do Cavalo,talus découvert,vers 700 m,N/A,1181624,Typed,no type status
Marko Lewis,M. Lewis,N/A,83-224,20 Jan 1983,1983-01-20,N/A,Philonotis,Philonotis,unsure and check,unsure and check,N/A,Bolivia,La Paz,Larecaja,N/A,PASS,PASS,Super humid Ceja de Montaña forests following ravines In small rill in dripping area of small waterfall,PASS,15°36'S68°39'W,1100485,Typed,no type status
Marko Lewis,M. Lewis,N/A,79-1314,29 March 1979,1979-03-29,N/A,Philonotis fide Crum,Philonotis,PASS,PASS,N/A,Bolivia,La Paz,Larecaja,N/A,Along road 1 mi. from Sorata towards Achacachi,PASS,Eroding bank,2740 m.,15°45'S68°42'W,PASS,Typed,no type status
Marko Lewis,M. Lewis,N/A,79-2315,1 June 1979,1979-06-01,N/A,Philonotis,Philonotis,unsure and check,unsure and check,N/A,Bolivia,Cochabamba,Chapare,N/A,Slope of Cerro Khachi N. of Corani 3030 m,Slope of Cerro Khachi North of Corani,On stones and banks of seepy creek in cloud forest ravine with tree ferns,3030 m,17°11'S65°54'W,PASS,Typed,no type status
Collector: Alice W. M. A. M. Brunn,PASS,N/A,6867,13 Oct. 1950,1950-10-13,N/A,Philonotis,Philonotis,unsure and check,unsure and check,N/A,Bolivia,N/A,N/A,N/A,Unduavi,Unduavi,N/A,10000 ft.,N/A,1013011,Typed,no type status
Miss W. M. A. Brookes,W. M. A. Brookes,N/A,6865,13 Oct. 1950,1950-10-13,N/A,Phleobothis,Phleobothis,unsure and check,unsure and check,N/A,Bolivia,N/A,N/A,N/A,Unduavi,Unduavi,N/A,10000 ft.,N/A,1013012,Typed,no type status
Marko Lewis,M. Lewis,N/A,79-2315,1 June 1979,1979-06-01,N/A,Philonotis,Philonotis,unsure and check,unsure and check,N/A,Bolivia,Cochabamba,Chapare,N/A,PASS,Slope of Cerro Khachi North of Corani 3030 meters,PASS,3030 m,17°11'S66°54'W,1050327,Typed,no type status
PASS,P. Hegewald,PASS,PASS,PASS,1973-08-31,N/A,Philonotis sphaerocarpa (Hedw.) Brid.,Philonotis sphaerocarpa,D. G. III,N/A,N/A,Peru,Amazonas,Chachapoyas,N/A,Las Palmas zw. Balsas u. Leimebamba,Las Palmas between Balsas and Leimebamba,"Fels, Erde, Mauer, Baum, Strauch, Holz, See, Bach",3000 m,N/A,1061647,Typed,no type status
PASS,F. D. Bowers,PASS,5166,25 December 1973,1973-12-25,N/A,Braunia secunda (Hook.) B.S.G.,Braunia secunda,A. J. Sharp,N/A,N/A,Mexico,Baja California Sur,N/A,N/A,PASS,PASS,PASS,Alt. ca. 6300 ft.,N/A,1045263,Typed,no type status
PASS,A. J. Sharp,PASS,2681,"June 23, 1973",1973-06-23,N/A,Braunia secunda (Hook.) B.S.G.,PASS,E. De Luna,1992,N/A,Mexico,Oaxaca,N/A,N/A,PASS,Near El Punto on Highway 175,"Partial shade, moist, road side cliff",1625 m,N/A,1045248,Typed,no type status
"A. J. and E. B. Sharp, E. C. Clebsch, K. I. Hornburgh",A. J. Sharp,E. B. Sharp | E. C. Clebsch | K. I. Hornburgh,2736,"July 1, 1973",1973-07-01,N/A,Braunia secunda (Hook.) B.S.G.,Braunia andrieuxii,B. De Luna,1992,N/A,Mexico,Jalisco,Hidalgo,San Martín,PASS,"El Mirador on Highway 80, 9 miles above San Martín","Partial shade, moist, vert. surface of boulder",1750 m,N/A,1045251,PASS,no type status
C. G. Pringle,C. G. Pringle,N/A,10619,PASS,PASS,N/A,"Braunia Andrieuxii, Lorentz.",Braunia Andrieuxii,E. De Luna,1992,N/A,Mexico,Jalisco,N/A,N/A,On rocks near Guadalajara,On rocks near Guadalajara,N/A,5000 ft.,N/A,1172142,Typed,no type status
C. G. Pringle,C. G. Pringle,N/A,10627,"17, Sept., 1908",1908-09-17,N/A,"Braunia plicata, Mitt., var. canescens, Card. n. var.",Braunia andrieuxii,E. De Luna,1992,N/A,Mexico,Hidalgo,N/A,PASS,Cuyamaloya,Cuyamaloya,N/A,N/A,N/A,1045265,Typed,no type status
Eggers & Frahm,N. Eggers,PASS,PASS,PASS,PASS,N/A,Braunia secunda (Hook.) B.S.G.,Braunia secunda,E. De Luna,1992,N/A,Mexico,Veracruz,N/A,N/A,PASS,PASS,PASS,N/A,N/A,1031423,Typed,no type status
PASS,F. P. Bowler,PASS,5067,30 December 1970,1970-12-30,N/A,Braunia secunda (Hook.) B.S.G.,Braunia secunda,A. J. Sharp,N/A,N/A,Mexico,Durango,N/A,N/A,Oak-pine forest with Alnus along Highway 40 about 5 miles west of El Salto,Oak-pine forest with Alnus along Highway 40 about 5 miles west of El Salto,"On boulder, partial shade",Alt. 8050 ft.,N/A,1036945,Typed,no type status
PASS,A. J. Sharp,N/A,116,"July 23, 1941",1941-07-23,N/A,Braunia secunda (Hook.) Bruch & Schimp.,Braunia secunda,PASS,PASS,N/A,Mexico,Distrito Federal,N/A,N/A,"Siliceous boulder in H2O, above Cantreras",Above Cantreras,Siliceous boulder in water,N/A,N/A,1045239,Typed,no type status
PASS,PASS,PASS,4217,"Dec. 19, 1972",1972-12-19,N/A,Braunia squarrulosa (Hampe) Broth.,Braunia squarrulosa,PASS,N/A,N/A,Mexico,Chiapas,N/A,N/A,"Yerba Buena, Pueblo Nuevo, (about 55 km. northeast of Tuxtla-Gutiérrez)","Yerba Buena, Pueblo Nuevo, about 55 kilometers northeast of Tuxtla-Gutiérrez","Partial shade, moist, trail side bank",6600 ft.,N/A,1045274,Typed,no type status
Collx Det. P.J. Hermann 26429,P. J. Hermann,N/A,26429,"Feb.9,1975",1975-02-09,N/A,Braunia squarrosa (Hampe) Broth.,Braunia squarrosa,E. De Luna,1992,N/A,Mexico,Chiapas,N/A,San Cristobal de las Casas,15 mi. S.E. of San Cristobal de las Casas Chiapas Mexico,15 miles southeast of San Cristobal de las Casas,On oak trunk in oak-pine woods,alt. 6800 ft.,N/A,1052129,PASS,no type status
"A.J. Sharp, F.D. Bowers, D.K. Smith, R.A. Hattaway, Paul Somers, Jr.",A. J. Sharp,"F. D. Bowers | D. K. Smith | R. A. Hattaway | Paul Somers, Jr.",2980-a,"Dec. 23, 1972",1972-12-23,N/A,Braunia squarrulosa (Hampe) Broth.,Braunia squarrulosa,A. J. Sharp,N/A,N/A,Mexico,Oaxaca,N/A,San Pablo Ayutla,PASS,PASS,PASS,4600 ft.,N/A,1045269,Typed,no type status
Howard A. Crum,H. A. Crum,N/A,971,23 July 1949,1949-07-23,N/A,Braunia squarrosa (Hampe) Broth.,Braunia squarrosa,E. De Luna,1992,N/A,Mexico,Jalisco,N/A,N/A,"Slopes of La Ferreria, above Manantlan","Slopes of La Ferreria, above Manantlan","On dead limb, fallen, oak forest",7300 feet,N/A,1039541,Typed,no type status
C. G. Pringle,C. G. Pringle,N/A,10550,"17, July, 1906",1906-07-17,N/A,PASS,Braunia squarrulosa,E. De Luna,1992,N/A,Mexico,Federal District,N/A,N/A,"Base of trees, Cuautla","Base of trees, Cuautla",N/A,10000 ft.,N/A,1172249,Typed,no type status
PASS,N. Eggers,PASS,10.5.10/249,N/A,0000-00-00,N/A,Braunia squarrosa (Hampe) Broth.,Braunia squarrosa,B. De Luna,1992,N/A,Mexico,Chiapas,N/A,N/A,Km 100 an der Str. Ocosingo-San Cristobal Eichen-Kiefernwald 2050 m,PASS,Oak-pine forest,2050 m,N/A,1031467,Typed,no type status
LEG.EGGERS & FRAHM,PASS,N. Frahm,PASS,10.3.79(29),1979-03-10,PASS,Braunia squarrosa (Hampe) Broth,Braunia squarrosa,E. De Luna,1992,N/A,Mexico,Chiapas,N/A,N/A,KM 100 AN DER STR. OCOSINGO-SAN CRISTOBAL EICHEN-KIEFERNWALD 2250 M,Kilometer 100 on the road Ocosingo-San Cristobal,Oak-pine forest,2250 M,N/A,1031495,PASS,no type status
PASS,F. J. Hermann,N/A,26429,"February 9, 1975",1975-02-09,N/A,PASS,PASS,E. De Luna,1992,N/A,Mexico,Chiapas,N/A,PASS,PASS,PASS,On oak trunk in oak-pine woods,alt. 6800 ft.,N/A,1045277,Typed,no type status
"Dana Griffin, III y María Isabel Morales",D. Griffin,M. I. Morales,97,4. feb. 1979,1979-02-04,N/A,Braunia squarrulosa (Hampe) C. Muell.,Braunia squarrulosa,PASS,PASS,N/A,Costa Rica,San Jose,N/A,N/A,PASS,"Valle de Copey, approximately 30 kilometers south of Cartago",Bosque primaria montano bajo muy húmedo y potreros,PASS,N/A,1029423,Typed,no type status
PASS,PASS,N/A,20792,4 Ago 2001,2001-08-04,N/A,Braunia exserta C. Müller,Braunia exserta,S. Churchill,2001,N/A,Bolivia,Tarija,PASS,N/A,PASS,PASS,PASS,2300 m,21°25'S64°19'W,1183435,Typed,no type status
B. Sparre,B. Sparre,N/A,PASS,27 November 1946,1946-11-27,N/A,Braunia cirrhifolia (Mitt.) Jaeg.,Braunia cirrhifolia,W. R. Buck,N/A,N/A,Argentina,Tucuman,Chicligasta,PASS,PASS,Rio Cochuna,Subtropical rainforest epiphyte,PASS,N/A,PASS,Typed,no type status
Marko Lewis no. 79-1625,M. Lewis,N/A,79-1625,6 April 1979,1979-04-06,N/A,Braunia cirrhifolia (Mitt.) Wils. ex Jaeg.,Braunia cirrhifolia,E. De Luna,1992,N/A,Bolivia,La Paz,Larecaja,N/A,PASS,"Canyon 1 kilometer east of Cachipata, southeast of Sorata",In ravine with waterfall,PASS,15°48'S68°36'W,1032380,PASS,no type status
Marko Lewis,M. Lewis,N/A,82-303,9 Dec 1982,1982-12-09,N/A,Braunia plicata (Mitt.) Jaeg.,Braunia plicata,D. G. III,1990,N/A,Bolivia,La Paz,Larecaja,N/A,PASS,PASS,PASS,ca. 2450 m,16°44'S68°41'W,1091412,Typed,no type status
Marko Lewis,M. Lewis,N/A,79-1230,22 March 1979,1979-03-22,N/A,Braunia plicata (Mitt.) Jaeg.,Braunia plicata,PASS,1992,N/A,Bolivia,La Paz,Larecaja,N/A,Near large red outcrop 2 mi. from Sorata down Rio Consata,Near large red outcrop 2 miles from Sorata down Rio Consata,Abundant on exposed rock face,2600 m,15°41'S68°43'W,1032384,Typed,no type status
Marko Lewis,M. Lewis,N/A,79-947,5 March 1979,1979-03-05,N/A,Braunia plicata (Mitt.) Jaeg.,Braunia plicata,E. De Luna,1992,N/A,Bolivia,La Paz,Saavedra,N/A,PASS,Trail between Charasani and Niño Karine NNW of Chuma,Banks of trail,3200-3240 m,15°11'S69°04'W,1032341,Typed,no type status
Marko Lewis,M. Lewis,N/A,79-940,5 March 1979,1979-03-05,N/A,Braunia plicata (Mitt.) Jaeg.,Braunia plicata,E. De Luna,1992,N/A,Bolivia,La Paz,Saavedra,N/A,PASS,PASS,Banks of trail,3200 m,15°11'S69°04'W,1032381,Typed,no type status
Marko Lewis,M. Lewis,N/A,79-935,5 March 1979,1979-03-05,N/A,Hedwigidium integrifolium (P. Beauv.) Dix.,Hedwigidium integrifolium,E. De Luna,Nov. 1991,N/A,Bolivia,La Paz,Saavedra,N/A,Trail between Charasani and Niko Karine NNW of Chuma,Trail between Charasani and Niko Karine NNW of Chuma,Along bank of trail,3200 m,15°11'S69°04'W,1032366,Typed,no type status
Marko Lewis,M. Lewis,N/A,79-615,10 February 1979,1979-02-10,N/A,Hedwigidium integrifolium (P. Beauv.) Dix.,Hedwigidium integrifolium,E. De Luna,Nov. 1991,N/A,Bolivia,Tarija,Méndez,N/A,PASS,PASS,Dirt bank in Kheñwa forest,3350 m,21°27'S64°54'W,1032358,Typed,no type status
PASS,M. Dillon,PASS,3128D,28 Jan. 1983,1983-01-28,N/A,Braunia secunda (Hook.) B.S.G.,Braunia secunda,D. G. III,28 Jan. 1983,N/A,Peru,Ancash,Yungay,N/A,"Ca. 25 km NE of Yungay, slopes below Laguna de Llanganuco",PASS,Growing on branches,± 3380 m,N/A,1111863,Typed,no type status
Dana Griffin III,D. Griffin,N/A,PASS,PASS,PASS,N/A,Braunia secunda (Hook.) BSG,Braunia secunda,D. Griffin,PASS,N/A,Venezuela,Merida,N/A,N/A,PASS,PASS,Sobre roca seca a baja luz,Alt. 3100-3200 m,N/A,PV-1133,Typed,no type status
Marko Lewis,M. Lewis,N/A,79-489A,2 February 1979,1979-02-02,N/A,Braunia laxifolia Herz.,Braunia subincana,B. De Luna,1992,N/A,Bolivia,Tarija,O'Connor,N/A,PASS,PASS,On rocks in dry deciduous forest,1750 m,21°8'S64°12'W,1032377,Typed,no type status
F. J. Hermann,F. J. Hermann,N/A,25278,"December 24, 1972",1972-12-24,N/A,Braunia subplicata E.G.Britt.,Braunia subplicata,E. De Luna,1992,N/A,Bolivia,Cochabamba,Chaparé,Cochabamba,From the Province of Chaparé Purchased in market at Cochabamba,From the Province of Chaparé Purchased in market at Cochabamba,N/A,alt. ca. 9500 ft.,N/A,1045267,Typed,no type status
PASS,S. R. Gradstein,M. Lewis,7560,12 November 1989,1989-11-12,N/A,Racopilum intermedium Hampe,Racopilum intermedium,B. O. van Zanten,N/A,N/A,Bolivia,Cochabamba,Chapare,Incacorral,5 Km S of road Cochabamba - Villa Tunari km 95,5 kilometers south of road Cochabamba - Villa Tunari kilometer 95,On cliff under scrub in area of wet meadows and secondary woodlands,alt. 2300 m.,N/A,1091583,Typed,no type status
Marko Lewis,M. Lewis,N/A,83-503,7 Feb 1983,1983-02-07,N/A,Racopilum tomentosum (Hedw.) Brid.,Racopilum tomentosum,unsure and check,unsure and check,N/A,Bolivia,La Paz,Nor Yungas,Coroico,1 km S of Coroico along road between Coroico and Yolosa,PASS,Fruit and coffee plantations. On rocks in shady fruit orchard.,ca. 1650 m,16°11'S67°43'W,1100456,Typed,no type status
Ynes Mexia,Y. Mexia,N/A,5281a,"Nov. 11, 1930",1930-11-11,N/A,Rhacopilum tomentosum (Hedw.) Brid.,Rhacopilum tomentosum, Bartram,N/A,N/A,Brazil,Minas Gerais,N/A,Viçosa,PASS,Fazenda de F. Lopez,PASS,Alt. 720 m.,N/A,PASS,Typed,no type status
S. R. Gradstein,S. R. Gradstein,N/A,M-58,24.IV.1976,1976-04-24,N/A,Rhacopilum tomentosum (Hedw.) Brid.,Rhacopilum tomentosum,W. A. Weber,N/A,N/A,Ecuador,Galapagos Islands,N/A,N/A,Isla Floreana Paidium guayavas woodlands and pampas east of Cruz Farm on rather dry shaded rocks,Isla Floreana east of Cruz Farm,Paidium guayavas woodlands and pampas on rather dry shaded rocks,at 250-350 m,N/A,1023912,Typed,no type status
P.-H. Hegewald,P. Hegewald,N/A,6726,Datum 31.8.1973,1973-08-31,N/A,Racopilum tomentosum (Hedw.) Brid.,Racopilum tomentosum,E. Hegewald,N/A,N/A,Peru,Amazonas,Chachapoyas,N/A,Saulamur zw. Balsas u. Leimebamba,Saulamur between Balsas and Leimebamba,Fels Erde Mauer Baum Strauch Holz Sec Bach,N/A,N/A,1026724,Typed,no type status
J. & P. A. Florschütz,J. Florschütz,P. A. Florschütz,PASS,18.XII.1975,1975-12-18,N/A,Racopilum tomentosum (Hedw.) Brid.,Racopilum tomentosum,P. A. F. |. J. F. Waard,N/A,N/A,Suriname,N/A,N/A,N/A,PASS,PASS,On decaying log,N/A,N/A,1028580,Typed,no type status
PASS,E. Linares,S. R. Gradstein | B. O. van Zanten,1543,26 Sept. 1984,1984-09-26,N/A,Racopilum tomentosum (Hedw.) Brid.,Racopilum tomentosum,unsure and check,unsure and check,N/A,Colombia,Meta,Villavicencio,N/A,PASS,PASS,PASS,PASS,N/A,1065598,Typed,no type status
