Dataset Source,accessURI,Label only?,modifiedBy,verifiedBy,catalogNumber,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,substrate,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2303/629/C0268554F.jpg,,lk,,C0268554F,A. Touw,A. Touw,N/A,14660,9-3-1975,1975-03-09,N/A,Macromitrium incurvifolium (Hook. & Grev.) Schwaegr.,Macromitrium incurvifolium,D. H. Vitt,N/A,N/A,Papua New Guinea,Morobe,N/A,Lae,"Papua New Guinea, Morobe Distr., Lae",[precise locality unknown],Garden,tree,c. 20 m,N/A,1142151,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2303/633/C0268557F.jpg,,lk,,C0268557F,A. Touw,A. Touw,N/A,18543,20.5.1975,1975-05-20,N/A,Macromitrium longicaule C. Müll.,Macromitrium longicaule,D. H. Vitt,N/A,N/A,Papua New Guinea,West Sepik,N/A,N/A,"Papua New Guinea, West Sepik Distr., Star Mts., Busilmin. slope above Ok Din river W of Busilmin","Slope above Ok Din River, west of Busilmin",Wet forest along river,tree,c. 1500 - 1550 m,c. 5° S 141°05'E,1141855,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2303/635/C0268558F.jpg,,lk,,C0268558F,A. Touw,A. Touw,N/A,17369,8.5.1975,1975-05-08,N/A,Macromitrium macrosporum Broth.,Macromitrium macrosporum,D. H. Vitt,N/A,N/A,Papua New Guinea,West Sepik,N/A,N/A,"Papua New Guinea, West Sepik Distr., Star Mts., NE summit of Mt. Capella","Star Mountains, northeast summit of Mount Capella",Scrub,branch,c. 3900 m,c. 5° S 141°05'E,1142194,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2303/637/C0268559F.jpg,,lk,,C0268559F,A. Touw,A. Touw,N/A,16376,17.4.1975,1975-04-17,N/A,Macromitrium macrosporum Broth.,Macromitrium macrosporum,D. H. Vitt,N/A,N/A,Papua New Guinea,West Sepik,N/A,N/A,"Papua New Guinea, West Sepik Distr., Star Mts., Mt. Capella Base Camp","Star Mountains, Mount Capella Base Camp","Limestone ridge near camp, high stunted forest","tree, shrub",c. 3600 m,c. 5° S 141°05'E,1142178,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2303/639/C0268560F.jpg,,lk,,C0268560F,A. Touw,A. Touw,N/A,17312,8.5.1975,1975-05-08,N/A,Macromitrium macrosporum Broth.,Macromitrium macrosporum,D. H. Vitt,N/A,N/A,Papua New Guinea,West Sepik,N/A,N/A,"Papua New Guinea, West Sepik Distr., Star Mts., NE summit of Mt. Capella. Summit of ridge between Mt. Capella Base Camp and Mt. Capella ridge","Star Mountains, northeast summit of Mount Capella, between Mount Capella Base Camp and Mount Capella ridge",Summit of ridge,tree,c. 3650 m,c. 5° S 141°05'E,1142156,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2303/641/C0268561F.jpg,,lk,,C0268561F,A. Touw,A. Touw,N/A,16420,19.4.1975,1975-04-19,N/A,Macromitrium macrosporum Broth.,Macromitrium macrosporum,D. H. Vitt,N/A,N/A,Papua New Guinea,West Sepik,N/A,N/A,"Papua New Guinea, West Sepik Distr., Star Mts., Mt. Capella NE summit","Star Mountains, northeast summit of Mount Capella",Forest remnant in deep chasm near the summit,bark,c. 3900 m,c. 5° S 141°05'E,1142175,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2303/643/C0268562F.jpg,,lk,,C0268562F,A. Touw,A. Touw,N/A,17205,5.5.1975,1975-05-05,N/A,Macromitrium macrosporum Broth.,Macromitrium macrosporum,D. H. Vitt,N/A,N/A,Papua New Guinea,West Sepik,N/A,N/A,"Papua New Guinea, West Sepik Distr., Star Mts., Near Mt. Capella Base Camp, along trail to Tamanagabip","Star Mountains, near Mount Capella Base Camp, along trail to Tamanagabip","Open sub-alpine scrub, at base of limestone rock faces",rock,c. 3450 m,c. 5° S 141°05'E,1141880,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2303/645/C0268563F.jpg,,lk,,C0268563F,A. Touw,A. Touw,N/A,18046,14.5.1975,1975-05-14,N/A,Macromitrium megalocladon Fleisch.,Macromitrium megalocladon,D. H. Vitt,N/A,N/A,Papua New Guinea,West Sepik,N/A,N/A,"Papua New Guinea, West Sepik Distr., Star Mts., between Folongonom and Artis' Camp","Star Mountains, between Folongonom and Artis' Camp",Upper montane forest,"branch, trunk",c. 2500 - 2600 m,c. 5° S 141°05'E,1142187,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2303/647/C0268564F.jpg,,lk,,C0268564F,A. Touw,A. Touw,N/A,16555,21.4.1975,1975-04-21,N/A,Macromitrium megalocladon Fleisch.,Macromitrium megalocladon,D. H. Vitt,N/A,N/A,Papua New Guinea,West Sepik,N/A,N/A,"Papua New Guinea, West Sepik Distr., Star Mts., SW of Mt. capella Base Camp","Star Mountains, southwest of Mount Capella Base Camp","Small kuni (grassfield), on vertical face of moss covered limestone boulder at edge of kuni ",rock,c. 3400 m,c. 5° S 141°05'E,1142432,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2303/649/C0268565F.jpg,,lk,,C0268565F,A. Touw,A. Touw,N/A,15768,7.4.1975,1975-04-07,N/A,Macromitrium megalocladon Fleisch.,Macromitrium megalocladon,D. H. Vitt,N/A,N/A,Papua New Guinea,West Sepik,N/A,N/A,"Papua New Guinea, West Sepik Distr., Star Mts., Tel Basin; Ridge above Camp","Star Mountains, Tel Basin, ridge above camp","Terrestrial in open shrubbery on ridge, dense moss vegetation covering soil, rocks, and the lower portion of shrubs","soil, rock",c. 3350 m,c. 5° S 141°05'E,1142300,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2303/651/C0268566F.jpg,,lk,,C0268566F,S. Hattori,S. Hattori,N/A,20,VIII.1946,1946-08-00,N/A,Macromitrium incurvum (Lindb.) Par.,Macromitrium incurvum,A. Noguchi,N/A,N/A,Japan,Miyazaki,N/A,N/A,"Kiushiu, Miyazaki, Minaminaka, Obi","Kyushu Island | Mimaninaka District, Obi",N/A,rock,ca 50 m,N/A,1285006,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2303/658/C0268569F.jpg,,lk,,C0268569F,K. Mayebara,K. Mayebara,N/A,431,"December 25, 1951",1951-12-25,N/A,Macromitrium incurvum (Lindb.) Par.,Macromitrium incurvum,A. Noguchi,N/A,N/A,Japan,Kumamoto,N/A,N/A,"Yoshio, Kumamoto Prefecture",Yoshio,N/A,rock,60 m above sea,N/A,1043529,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2303/661/C0268571F.jpg,,lk,,C0268571F,K. Mayebara,K. Mayebara,N/A,430,"February 11, 1952",1952-02-11,N/A,Macromitrium gymnostomum Sull. et Lesq.,Macromitrium gymnostomum,A. Noguchi,N/A,N/A,Japan,Kumamoto,N/A,N/A,"Koonose, Kumamoto Prefecture",Koonose,N/A,rock,ca. 100 m. above sea,N/A,1043490,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2303/663/C0268572F.jpg,,lk,,C0268572F,K. Mayebara,K. Mayebara,N/A,322,March 1952,1952-03-00,N/A,Macromitrium gymnostomum Sull. et Lesq.,Macromitrium gymnostomum,A. Noguchi,N/A,N/A,Japan,Kumamoto,N/A,Hitoyoshi,"Hitoyoshi, Kumamoto County",[precise locality unknown],N/A,rock,ca. 100m,N/A,1043493,Typed,no type status
EMu Field Museum | Bryophytes Portal,https://fm-digital-assets.fieldmuseum.org/2303/668/C0268574F.jpg,,lk,,C0268574F,H. H. Chung,H. H. Chung,N/A,B.206,"August, 1925",1925-08-00,N/A,Macromitrium gymnostomum S.& L.,Macromitrium gymnostomum,N/A,N/A,N/A,China,Fukien,N/A,N/A,Kushan near Foochow,Kushan near Foochow,N/A,rock,500 m,N/A,1122634,Typed,no type status
