Image,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus
0010_C0268554F.jpg,N/A,N/A,N/A,A Touw No 14660,9-3- 1975,1975-03-09,N/A,Macromitrium incurvifolium (Hook & Grev) Schwaegr,Macromitrium incurvifolium (Hook & Grev) Schwaegr,D H Vitt,N/A,N/A,Papua New Guinea,N/A,Morobe Distr,Lae,In fork of Plumeria tree in garden,In fork of Plumeria tree in garden,N/A,Alt c 20 m,N/A,1142151,Typed,no type status
0011_C0268557F.jpg,A Touw No 18543,A Touw,N/A,18543,20 5 1975,1975-05-20,N/A,Macromitrium longicaule C Müll,Macromitrium longicaule C Müll,D H Vitt,N/A,N/A,New Guinea,West Sepik Distr,Star Mts,N/A,Busilmin Wet forest on slope above Ok Din river W of Busilmin on trees along Ok Din River,Wet forest on slope above Ok Din river west of Busilmin on trees along Ok Din River [precise locality unknown],Wet forest on slope above river on trees along river,Alt c 1500 - 1550 m,5°S 141°05'E,1141855,Typed,no type status
0012_C0268558F.jpg,A. Touw No. 17369,A Touw,N/A,17369,8.5. 1975,1975-05-08,N/A,Macromitirum macrosporum Broth.,Macromitirum macrosporum Broth.,D.H. Vitt,N/A,N/A,Papua New Guinea,West Sepik Distr.,Star Mts.,N/A,c 5°S141°05E NE summit of Mt. Capella; on stems and branches of trees and shrubs in summit scrub,NE summit of Mt Capella [precise locality unknown],summit scrub,Alt. c. 3900 m.,c 5°S141°05E,1142194,Typed,no type status
0013_C0268559F.jpg,A Touw No 16376,A Touw,N/A,16376,17.4.1975,1975-04-17,N/A,Macromitrium macrosporum Broth,Macromitrium macrosporum Broth,D H Vitt,N/A,N/A,Papua New Guinea,West Sepik Distr,Star Mts,N/A,c 5°S141°05E Mt Capella Base Camp,Mt Capella Base Camp [precise locality unknown],Limestone ridge near camp high stunted forest on ridge,Alt c 3600 m,c 5°S141°05E,1142178,Typed,no type status
0014_C0268560F.jpg,A Touw No 17312,A Touw,N/A,17312,8 5 1975,1975-05-08,N/A,Macromitrium macrosporum Broth,Macromitrium macrosporum Broth,D H Vitt,N/A,N/A,New Guinea,West Sepik Distr,Star Mts,N/A,c 5°S 141°05'E NE Summit of Mt Capella Summit of ridge between Mt Capella Base Camp and Mt Capella ridge; on isolated tree,NE Summit of Mt Capella Summit of ridge between Mt Capella Base Camp and Mt Capella ridge; on isolated tree,N/A,Alt c 3650 m,c 5°S 141°05'E,1142156,Typed,no type status
0015_C0268561F.jpg,A Touw No 16420,A Touw,N/A,16420,19.4.1975,1975-04-19,N/A,Macromitrium macrosporum Broth,Macromitrium macrosporum Broth,D H Vitt,N/A,N/A,Papua New Guinea,West Sepik Distr,Star Mts,N/A,Mt Capella NE summit; forest remnant in deep chasm near the summit on soaking wet bark of trees,Mt Capella northeast summit [precise locality unknown],Forest remnant in deep chasm near the summit on soaking wet bark of trees,Alt c 3900 m,c 5°S 141°05'E,1142175,Typed,no type status
0016_C0268562F.jpg,A. Touw No. 17205,A. Touw,N/A,17205,5.5. 1975,1975-05-05,N/A,Macromitrium macrosporum Broth.,Macromitrium macrosporum Broth.,D.H. Vitt,N/A,N/A,Papua New Guinea,West Sepik District,Star Mts.,N/A,"Near Mt. Capella Base Camp, along trail to Tamanagabip; open sub-alpine scrub. At base of limestone rock faces.","Near Mt. Capella Base Camp, along trail to Tamanagabip [precise locality unknown]",Open sub-alpine scrub. At base of limestone rock faces.,Alt. c. 3450 m.,c. 5°S 141°05'E,1141880,Typed,no type status
0017_C0268563F.jpg,A Touw No 18046,A Touw,N/A,18046,14.5.1975,1975-05-14,N/A,Macromitrium megalocladon Fleisch,Macromitrium megalocladon Fleisch,D R Vitt,N/A,N/A,Papua New Guinea,West Sepik District,Star Mts,N/A,Upper montane forest between Folongonom and Artis' Camp,[precise locality unknown],Upper montane forest,2500 - 2600 m,c 5°S141°05E,1142187,Typed,no type status
0018_C0268564F.jpg,N/A,N/A,N/A,16555,21.4.1975,1975-04-21,N/A,Macromitrium megalocladon Fleisch,Macromitrium megalocladon Fleisch,D.H. Vitt,N/A,N/A,Papua New Guinea,West Sepik District,Star Mountains,N/A,"c 4°54'45""E Small Kuni (grassfield) SW of Mt Capella Base Camp; on vertical face of moss covered limestone boulder at edge of Kuni",Small Kuni (grassfield) southwest of Mount Capella Base Camp; on vertical face of moss covered limestone boulder at edge of Kuni,On vertical face of moss covered limestone boulder at edge of Kuni,Alt c 3400 m,"c 4°54'45""E",1142432,Typed,no type status
0019_C0268565F.jpg,A Touw No 15768,A Touw,N/A,15768,7.4. 1975,1975-04-07,N/A,Macromitrium megalocladon Fleisch,Macromitrium megalocladon Fleisch,D H Vitt,N/A,N/A,Papua New Guinea,West Sepik District,Star Mountains,N/A,Tel Basin: Ridge above Camp 2,Ridge above Camp 2 [precise locality unknown],Terrestrial in open shrubbery on ridge Dense moss vegetation covering soil rocks and the lower portion of shrubs Dominant,Alt c 3350 m,"c 5°14'05""E",1142300,Typed,no type status
0020_C0268566F.jpg,leg S Hattori,Hattori,N/A,N/A,VIII 1946,1946-08-00,N/A,Macromitrium incurvum (Lindb) Par,Macromitrium incurvum,A Noguchi,N/A,N/A,N/A,Kiushiu,Miyazaki,N/A,Minaminiaka Obi,[precise locality unknown],rupicola photophila,ca 50 m,N/A,1235066,Typed,no type status
0021_C0268569F.jpg,Coll. K. Mayebara,K Mayebara,N/A,N/A,"December 25, 1951",1951-12-25,N/A,Macromitrium incurvum (Lindb.) Par.,Macromitrium incurvum (Lindb.) Par.,A. Noguchi,N/A,N/A,Japan,Kumamoto Prefecture,N/A,Yosiho,"On exposed rocks, 60 m. above sea, Yosiho, Kumamoto Prefecture","On exposed rocks, 60 meters above sea [precise locality unknown]",On exposed rocks,60 m. above sea,N/A,1043529,Typed,no type status
0022_C0268571F.jpg,Coll K Mayebara,K Mayebara,N/A,N/A,"February 11, 1952",1952-02-11,N/A,Macromitrium gymnostomum Sull et Lesq,Macromitrium gymnostomum Sull et Lesq,A Noguchi,N/A,N/A,N/A,Kumamoto Prefecture,N/A,N/A,"On rocks, ca 100m above sea, Koonose, Kumamoto Prefecture","On rocks, approximately 100 meters above sea, Koonose [precise locality unknown]","On rocks, approximately 100 meters above sea",ca 100m above sea,N/A,1043490,Typed,no type status
0023_C0268572F.jpg,N/A,N. Noguchi,N/A,N/A,March 1962,1962-03-00,N/A,Macromitrium gymnostomum Sull. et Lesq.,Macromitrium gymnostomum Sull. et Lesq.,A. Noguchi & S. Hattori,N/A,N/A,Japan,Kumamoto County,N/A,N/A,"On rocks, ca. 1000m alt., Hitoyoshi","On rocks, approximately 1000 meters altitude, Hitoyoshi [precise locality unknown]",On rocks,ca. 1000m alt.,N/A,4043493,Typed,no type status
0024_C0268574F.jpg,N/A,N/A,N/A,B.206,N/A,N/A,N/A,Macromitrium gymnostomum S. & L.,Macromitrium gymnostomum S. & L.,Det. Theriot.,N/A,N/A,China,Fukien Province,N/A,N/A,Kushan near Foochow,Kushan near Foochow [precise locality unknown],N/A,altitude 500 m.,N/A,1122334,Typed,no type status
