fieldname,prompt,accuracy,gradedMatch,diff accuracy,diff gradedMatch,description
municipality,Prompt 1.4.txt,25.0,25.0,-3.6000000000000014,-3.6000000000000014, <--same as Prompt 1.3.txt--> 
municipality,Prompt 1.5.2.txt,12.5,12.5,-12.5,-12.5, <--same as Prompt 1.4.txt--> 
,,,,,,
originalMethod,Prompt 1.1.1.txt,100.0,100.0,      N/A,      N/A,"The method by which the original data was recorded, select from this list (Handwritten, Typed, Mix of Handwritten and Typed, Unsure)"
originalMethod,Prompt 1.2.txt,96.0,96.0,-4.0,-4.0, <--same as Prompt 1.1.1.txt--> 
originalMethod,Prompt 1.3.txt,92.0,92.0,-4.0,-4.0, <--same as Prompt 1.2.txt--> 
originalMethod,Prompt 1.4.txt,96.0,96.0,4.0,4.0, <--same as Prompt 1.3.txt--> 
originalMethod,Prompt 1.5.2.txt,80.0,80.0,-16.0,-16.0, <--same as Prompt 1.4.txt--> 
,,,,,,
otherCatalogNumbers,Prompt 1.1.1.txt,72.0,88.0,      N/A,      N/A,"(An identifier for the record within the dataset - this is not to be confused with the recordNumber - the otherCatalogNumbers maybe a stamped number on the herbarium sheet), "
otherCatalogNumbers,Prompt 1.2.txt,68.0,88.0,-4.0,0.0, <--same as Prompt 1.1.1.txt--> 
otherCatalogNumbers,Prompt 1.3.txt,68.0,88.0,0.0,0.0, <--same as Prompt 1.2.txt--> 
otherCatalogNumbers,Prompt 1.4.txt,72.0,88.0,4.0,0.0, <--same as Prompt 1.3.txt--> 
otherCatalogNumbers,Prompt 1.5.2.txt,68.0,88.0,-4.0,0.0, <--same as Prompt 1.4.txt--> 
,,,,,,
recordNumber,Prompt 1.1.1.txt,48.0,52.0,      N/A,      N/A,"(An identifier given to the occurrence at the time it was recorded - this is the collection number by the person who collected the specimen), "
recordNumber,Prompt 1.2.txt,48.0,52.0,0.0,0.0, <--same as Prompt 1.1.1.txt--> 
recordNumber,Prompt 1.3.txt,48.0,52.0,0.0,0.0, <--same as Prompt 1.2.txt--> 
recordNumber,Prompt 1.4.txt,56.0,64.0,8.0,12.0, <--same as Prompt 1.3.txt--> If not present put “s.n.”
recordNumber,Prompt 1.5.2.txt,60.0,64.0,4.0,0.0,"(An identifier given to the specimen at the time it was recorded - this is the collection number by the person who collected the specimen), If not present put “s.n.”"
,,,,,,
secondPoliticalUnit,Prompt 1.1.1.txt,0.0,0.0,      N/A,      N/A," The name of the second-order administrative division in which the event occurred (e.g., county)), "
secondPoliticalUnit,Prompt 1.2.txt,0.0,0.0,0.0,0.0, <--same as Prompt 1.1.1.txt--> 
secondPoliticalUnit,Prompt 1.3.txt,0.0,0.0,0.0,0.0, <--same as Prompt 1.2.txt--> 
secondPoliticalUnit,Prompt 1.4.txt,0.0,0.0,0.0,0.0, <--same as Prompt 1.3.txt--> 
secondPoliticalUnit,Prompt 1.5.2.txt,0.0,0.0,0.0,0.0,There may or may  <--same as Prompt 1.4.txt--> Use the name only and omit the political division tier. 
,,,,,,
secondaryCollectors,Prompt 1.1.1.txt,0.0,0.0,      N/A,      N/A,"(These are collectors listed after the first, only capitalize names)"
secondaryCollectors,Prompt 1.2.txt,0.0,0.0,0.0,0.0, <--same as Prompt 1.1.1.txt--> 
secondaryCollectors,Prompt 1.3.txt,0.0,0.0,0.0,0.0, <--same as Prompt 1.2.txt--> 
secondaryCollectors,Prompt 1.4.txt,0.0,0.0,0.0,0.0, <--same as Prompt 1.3.txt-->  Use this format: Initials followed by full last name
secondaryCollectors,Prompt 1.5.2.txt,0.0,0.0,0.0,0.0,"(These are collectors listed after the first, only capitalize names) The names should be formatted with the first and/or middle names abbreviated and the last name spelled out, eg. R. M. Schuster. Spacing is required between the first, middle, and last names. Also separate multiple collectors by a pipe (ie |)."
,,,,,,
typeStatus,Prompt 1.1.1.txt,100.0,100.0,      N/A,      N/A,"If the specimen has “type” written or typed on the label and can take the form holotype, isotype etc state as such, otherwise so “no type status”"
typeStatus,Prompt 1.2.txt,100.0,100.0,0.0,0.0, <--same as Prompt 1.1.1.txt--> 
typeStatus,Prompt 1.3.txt,100.0,100.0,0.0,0.0, <--same as Prompt 1.2.txt--> 
typeStatus,Prompt 1.4.txt,100.0,100.0,0.0,0.0, <--same as Prompt 1.3.txt--> 
typeStatus,Prompt 1.5.2.txt,100.0,100.0,0.0,0.0, <--same as Prompt 1.4.txt--> 
,,,,,,
verbatimCollectors,Prompt 1.1.1.txt,4.0,44.0,      N/A,      N/A,"(The collectors as you see it on the label, this might be one collector, a string of collectors, that collected the sample)"
verbatimCollectors,Prompt 1.2.txt,8.0,40.0,4.0,-4.0, <--same as Prompt 1.1.1.txt--> 
verbatimCollectors,Prompt 1.3.txt,8.0,44.0,0.0,4.0, <--same as Prompt 1.2.txt-->  Collected by or collectors maybe prefixed by leg. or sometimes legit
verbatimCollectors,Prompt 1.4.txt,0.0,40.0,-8.0,-4.0, <--same as Prompt 1.3.txt--> 
verbatimCollectors,Prompt 1.5.2.txt,8.0,40.0,8.0,0.0, <--same as Prompt 1.4.txt--> 
,,,,,,
verbatimCoordinates,Prompt 1.1.1.txt,0.0,66.7,      N/A,      N/A,"(The original verbatim text of the coordinates, if they exist on the label), "
verbatimCoordinates,Prompt 1.2.txt,0.0,66.7,0.0,0.0, <--same as Prompt 1.1.1.txt--> 
verbatimCoordinates,Prompt 1.3.txt,0.0,66.7,0.0,0.0, <--same as Prompt 1.2.txt--> 
verbatimCoordinates,Prompt 1.4.txt,0.0,66.7,0.0,0.0, <--same as Prompt 1.3.txt--> 
verbatimCoordinates,Prompt 1.5.2.txt,0.0,66.7,0.0,0.0, <--same as Prompt 1.4.txt--> Precisely as appearing on label.
,,,,,,
verbatimDateIdentified,Prompt 1.1.1.txt,0.0,0.0,      N/A,      N/A,"(The date on which the subject was identified as representing the Taxon. This is not eventDate so make sure to differentiate), "
verbatimDateIdentified,Prompt 1.2.txt,0.0,0.0,0.0,0.0, <--same as Prompt 1.1.1.txt--> 
verbatimDateIdentified,Prompt 1.3.txt,0.0,0.0,0.0,0.0, <--same as Prompt 1.2.txt--> 
verbatimDateIdentified,Prompt 1.4.txt,0.0,0.0,0.0,0.0, <--same as Prompt 1.3.txt--> 
verbatimDateIdentified,Prompt 1.5.2.txt,0.0,0.0,0.0,0.0, <--same as Prompt 1.4.txt--> Precisely as appearing on label.
,,,,,,
verbatimElevation,Prompt 1.1.1.txt,10.5,63.2,      N/A,      N/A,"(The original verbatim text of the elevation (altitude) of the occurrence), "
verbatimElevation,Prompt 1.2.txt,5.3,63.2,-5.2,0.0, <--same as Prompt 1.1.1.txt--> 
verbatimElevation,Prompt 1.3.txt,5.3,63.2,0.0,0.0, <--same as Prompt 1.2.txt--> 
verbatimElevation,Prompt 1.4.txt,5.3,63.2,0.0,0.0, <--same as Prompt 1.3.txt--> 
verbatimElevation,Prompt 1.5.2.txt,5.3,63.2,0.0,0.0, <--same as Prompt 1.4.txt--> Precisely as appearing on label.
,,,,,,
verbatimEventDate,Prompt 1.1.1.txt,44.0,84.0,      N/A,      N/A,"(The original verbatim text of the date and time information for the original occurrence), "
verbatimEventDate,Prompt 1.2.txt,48.0,88.0,4.0,4.0, <--same as Prompt 1.1.1.txt--> 
verbatimEventDate,Prompt 1.3.txt,48.0,88.0,0.0,0.0, <--same as Prompt 1.2.txt--> 
verbatimEventDate,Prompt 1.4.txt,52.0,88.0,4.0,0.0, <--same as Prompt 1.3.txt--> if not present put “s.d.”. 
verbatimEventDate,Prompt 1.5.2.txt,56.0,88.0,4.0,0.0,"(The Verbatim Date field is used to record the collection date exactly as shown on the label - with no correction of spacing, or anything else. Precisely as appearing on label.), If not present put “s.d.”. "
,,,,,,
verbatimIdentification,Prompt 1.1.1.txt,16.0,88.0,      N/A,      N/A,"A string representing the taxonomic identification as it appeared in the original label. This term is meant to allow the capture of an unaltered original identification/determination, including identification qualifiers, hybrid formulas, uncertainties, etc. "
verbatimIdentification,Prompt 1.2.txt,36.0,92.0,20.0,4.0, <--same as Prompt 1.1.1.txt--> 
verbatimIdentification,Prompt 1.3.txt,36.0,92.0,0.0,0.0, <--same as Prompt 1.2.txt--> 
verbatimIdentification,Prompt 1.4.txt,24.0,88.0,-12.0,-4.0, <--same as Prompt 1.3.txt--> 
verbatimIdentification,Prompt 1.5.2.txt,64.0,92.0,40.0,4.0, <--same as Prompt 1.4.txt--> Precisely as appearing on label.
,,,,,,
verbatimLocality,Prompt 1.1.1.txt,4.0,44.0,      N/A,      N/A,"(The original textual description of the place where the occurrence was recorded, do not convert any abbreviated text at all, do not convert acronyms, exclude however the coordinates or information on latitude and longitude, exclude elevation, this should otherwise read precisely as it is on the label), If the first and second political units have been parsed out, do not repeat them here. "
verbatimLocality,Prompt 1.2.txt,4.0,40.0,0.0,-4.0, <--same as Prompt 1.1.1.txt--> 
verbatimLocality,Prompt 1.3.txt,4.0,40.0,0.0,0.0, <--same as Prompt 1.2.txt--> 
verbatimLocality,Prompt 1.4.txt,8.0,48.0,4.0,8.0, <--same as Prompt 1.3.txt--> 
verbatimLocality,Prompt 1.5.2.txt,4.0,48.0,-4.0,0.0, <--same as Prompt 1.4.txt--> 
,,,,,,
