run,ground truth source,configuration source,associatedTaxa,collectedBy,country,firstPoliticalUnit,habitat,identifiedBy,latestScientificName,locality,maximumEventDate,minimumEventDate,municipality,originalMethod,otherCatalogNumbers,recordNumber,secondPoliticalUnit,secondaryCollectors,typeStatus,verbatimCollectors,verbatimCoordinates,verbatimDateIdentified,verbatimElevation,verbatimEventDate,verbatimIdentification,verbatimLocality,matchValid,matchNonValid,noMatchValid,noMatchNonValid,gradedMatchValid,gradedNoMatchValid,Correct:matchValid+matchNonValid,Errors:noMatchValid+noMatchNonValid,MV+MNV/MV+MNV+NMV+NMNV,all targets:accuracy,MV/MV+NMV+NMNV,valid targets:accuracy,,
gpt-4o-2024-06-11-1110-gemini-1.5-pro-2024-06-26-1108-cross-validated_values-transcriptions.csv,100-bryophytes-typed.csv,agreement_with_post.yaml,"[0, 0, 2]","[10, 10, 10]","[99, 99.2, 100]","[58, 59.8, 63]","[7, 15.4, 27]","[6, 10.1, 15]","[69, 76.0, 79]","[5, 8.7, 11]","[4, 4, 4]","[79, 82.4, 84]","[2, 2, 11]","[46, 46.2, 47]","[44, 44, 44]","[49, 50.2, 58]","[9, 9.1, 13]","[2, 2, 4]","[100, 100, 100]","[18, 21.7, 26]","[1, 5.6, 7]","[21, 21.4, 27]","[8, 12.8, 15]","[53, 58.7, 60]","[27, 33.4, 34]","[3, 3.9, 5]",720,496,108,18,776.7729544,51.2270456,1216,126,720+496/720+496+108+18,0.906110283,720/720+108+18,0.85106383,,
gpt-4o-2024-06-11-1110-post_gemini-1.5-pro-2024-06-20-0153-cross-validated_values-transcriptions.csv,100-bryophytes-typed.csv,agreement_with_post.yaml,"[0, 0, 2]","[48, 52.5, 55]","[99, 99.2, 100]","[58, 60.4, 63]","[6, 12.3, 23]","[25, 31.0, 37]","[67, 74.0, 77]","[5, 9.2, 11]","[4, 4, 4]","[79, 82.4, 84]","[3, 3.7, 14]","[41, 41.4, 43]","[44, 44, 44]","[47, 48.2, 56]","[9, 9.1, 14]","[7, 7.9, 11]","[99, 99, 99]","[20, 21.2, 24]","[1, 4.7, 6]","[21, 21.9, 28]","[16, 24.7, 27]","[51, 58.0, 60]","[26, 29.8, 30]","[2, 3.5, 5]",778,498,121,18,842.1058006,56.89419943,1276,139,778+498/778+498+121+18,0.901766784,778/778+121+18,0.848418757,,
gpt-4o-2024-06-11-1110-post_gemini-1.5-pro-2024-06-26-1108-cross-validated_values-transcriptions.csv,100-bryophytes-typed.csv,agreement_with_post.yaml,"[0, 0, 2]","[54, 59.3, 62]","[99, 99.2, 100]","[58, 59.8, 63]","[7, 15.4, 27]","[28, 32.3, 38]","[69, 76.0, 79]","[5, 8.7, 11]","[4, 4, 4]","[79, 82.4, 84]","[2, 2, 11]","[46, 46.2, 47]","[44, 44, 44]","[49, 50.2, 58]","[9, 9.1, 13]","[7, 7.9, 10]","[100, 100, 100]","[19, 19.7, 22]","[1, 5.6, 7]","[21, 21.4, 27]","[9, 12.1, 13]","[53, 58.7, 60]","[27, 33.4, 34]","[3, 3.9, 5]",793,496,110,18,851.5366376,51.46336239,1289,128,793+496/793+496+110+18,0.909668313,793/793+110+18,0.86102063,,
post_gpt-4o-2024-06-11-1050-post_gpt-4o-2024-06-11-1110-cross-validated_values-transcriptions.csv,100-bryophytes-typed.csv,agreement_with_post.yaml,"[0, 0, 6]","[65, 81.6, 88]","[99, 99.2, 100]","[79, 85.5, 95]","[12, 28.8, 67]","[47, 60.4, 71]","[75, 88.6, 93]","[8, 38.8, 64]","[4, 4, 4]","[80, 90.9, 95]","[6, 6.7, 28]","[94, 94.2, 95]","[80, 84.0, 88]","[68, 75.6, 92]","[18, 20.2, 30]","[10, 13.4, 19]","[100, 100, 100]","[53, 73.6, 81]","[1, 20.2, 24]","[23, 23.9, 33]","[32, 62.9, 74]","[70, 88.1, 93]","[63, 90.1, 93]","[8, 36.5, 62]",1095,537,443,57,1367.287022,170.7129781,1632,500,1095+537/1095+537+443+57,0.765478424,1095/1095+443+57,0.686520376,,
post_gpt-4o-2024-06-11-1050-gemini-1.5-pro-2024-06-20-0153-cross-validated_values-transcriptions.csv,100-bryophytes-typed.csv,agreement_with_post.yaml,"[0, 0, 2]","[10, 11.9, 13]","[99, 99.2, 100]","[58, 60.9, 64]","[6, 12.5, 24]","[3, 8.4, 15]","[69, 76.5, 80]","[3, 5.8, 7]","[4, 4, 4]","[79, 82.4, 84]","[3, 3.7, 13]","[40, 40.5, 43]","[43, 43, 43]","[50, 50.8, 58]","[9, 9.1, 12]","[3, 3, 5]","[99, 99, 99]","[19, 21.2, 22]","[2, 4.7, 6]","[19, 19.9, 26]","[19, 28.5, 31]","[51, 57.2, 58]","[27, 30.8, 31]","[2, 3.1, 5]",717,504,113,15,776.1257138,53.87428618,1221,128,717+504/717+504+113+15,0.9051149,717/717+113+15,0.84852071,,
post_gpt-4o-2024-06-11-1050-gemini-1.5-pro-2024-06-26-1108-cross-validated_values-transcriptions.csv,100-bryophytes-typed.csv,agreement_with_post.yaml,"[0, 0, 2]","[11, 11.5, 12]","[99, 99.2, 100]","[58, 60.3, 64]","[7, 14.4, 28]","[6, 10.3, 16]","[71, 78.5, 82]","[4, 8.1, 10]","[4, 4, 4]","[79, 82.4, 84]","[2, 2, 12]","[45, 45.4, 47]","[42, 42, 42]","[52, 52.8, 60]","[9, 9.1, 12]","[2, 2, 4]","[100, 100, 100]","[18, 18.7, 19]","[2, 6.6, 8]","[20, 20.4, 26]","[13, 16.1, 17]","[54, 59.5, 60]","[28, 34.4, 35]","[3, 3.3, 4]",729,503,103,16,781.001951,50.99804904,1232,119,729+503/729+503+103+16,0.911917098,729/729+103+16,0.859669811,,
post_gpt-4o-2024-06-11-1050-post_gemini-1.5-pro-2024-06-20-0153-cross-validated_values-transcriptions.csv,100-bryophytes-typed.csv,agreement_with_post.yaml,"[0, 0, 2]","[48, 53.8, 56]","[99, 99.2, 100]","[58, 60.9, 64]","[6, 12.5, 24]","[25, 31.2, 38]","[69, 76.5, 80]","[3, 6.6, 8]","[4, 4, 4]","[79, 82.4, 84]","[3, 3.7, 13]","[40, 40.5, 43]","[43, 43, 43]","[50, 50.8, 58]","[9, 9.1, 12]","[8, 8, 10]","[99, 99, 99]","[25, 28.0, 29]","[2, 4.7, 6]","[19, 19.9, 26]","[25, 39.5, 43]","[51, 57.2, 58]","[27, 30.8, 31]","[2, 3.1, 5]",794,504,127,15,864.4530874,56.54691257,1298,142,794+504/794+504+127+15,0.901388889,794/794+127+15,0.848290598,,
post_gpt-4o-2024-06-11-1050-post_gemini-1.5-pro-2024-06-26-1108-cross-validated_values-transcriptions.csv,100-bryophytes-typed.csv,agreement_with_post.yaml,"[0, 0, 2]","[55, 61.3, 64]","[99, 99.2, 100]","[58, 60.3, 64]","[7, 14.4, 28]","[28, 32.5, 39]","[71, 78.5, 82]","[4, 8.1, 10]","[4, 4, 4]","[79, 82.4, 84]","[2, 2, 12]","[45, 45.4, 47]","[42, 42, 42]","[52, 52.8, 60]","[9, 9.1, 12]","[8, 8, 10]","[100, 100, 100]","[25, 26.6, 27]","[2, 6.6, 8]","[20, 20.4, 26]","[17, 24.2, 26]","[54, 59.5, 60]","[28, 34.4, 35]","[3, 3.3, 4]",812,503,118,16,874.9790572,55.02094281,1315,134,812+503/812+503+118+16,0.907522429,812/812+118+16,0.858350951,,
post_gpt-4o-2024-06-11-1110-gemini-1.5-pro-2024-06-20-0153-cross-validated_values-transcriptions.csv,100-bryophytes-typed.csv,agreement_with_post.yaml,"[0, 0, 2]","[10, 11.3, 12]","[99, 99.2, 100]","[58, 60.4, 63]","[6, 12.3, 23]","[3, 8.2, 14]","[67, 74.0, 77]","[5, 8.4, 10]","[4, 4, 4]","[79, 82.4, 84]","[3, 3.7, 14]","[41, 41.4, 43]","[44, 44, 44]","[47, 48.2, 56]","[9, 9.1, 14]","[3, 3.9, 7]","[99, 99, 99]","[19, 20.2, 23]","[1, 4.7, 6]","[21, 21.9, 28]","[16, 24.6, 27]","[51, 58.0, 60]","[26, 29.8, 30]","[2, 3.5, 5]",713,498,114,18,772.3174019,54.68259813,1211,132,713+498/713+498+114+18,0.901712584,713/713+114+18,0.843786982,,
post_gpt-4o-2024-06-11-1110-gemini-1.5-pro-2024-06-26-1108-cross-validated_values-transcriptions.csv,100-bryophytes-typed.csv,agreement_with_post.yaml,"[0, 0, 2]","[10, 10, 10]","[99, 99.2, 100]","[58, 59.8, 63]","[7, 15.4, 27]","[6, 10.1, 15]","[69, 76.0, 79]","[5, 8.7, 11]","[4, 4, 4]","[79, 82.4, 84]","[2, 2, 11]","[46, 46.2, 47]","[44, 44, 44]","[49, 50.2, 58]","[9, 9.1, 13]","[2, 2, 4]","[100, 100, 100]","[18, 18.7, 21]","[1, 5.6, 7]","[21, 21.4, 27]","[9, 12.1, 13]","[53, 58.7, 60]","[27, 33.4, 34]","[3, 3.9, 5]",721,496,100,18,773.0958007,47.90419933,1217,118,721+496/721+496+100+18,0.911610487,721/721+100+18,0.859356377,,
post_gpt-4o-2024-06-11-1110-post_gemini-1.5-pro-2024-06-20-0153-cross-validated_values-transcriptions.csv,100-bryophytes-typed.csv,agreement_with_post.yaml,"[0, 0, 2]","[48, 52.5, 55]","[99, 99.2, 100]","[58, 60.4, 63]","[6, 12.3, 23]","[25, 31.0, 37]","[67, 74.0, 77]","[5, 9.2, 11]","[4, 4, 4]","[79, 82.4, 84]","[3, 3.7, 14]","[41, 41.4, 43]","[44, 44, 44]","[47, 48.2, 56]","[9, 9.1, 14]","[7, 7.9, 11]","[99, 99, 99]","[25, 27.1, 30]","[1, 4.7, 6]","[21, 21.9, 28]","[21, 33.8, 37]","[51, 58.0, 60]","[26, 29.8, 30]","[2, 3.5, 5]",788,498,127,18,857.0452084,57.95479162,1286,145,788+498/788+498+127+18,0.898672257,788/788+127+18,0.844587353,,
post_gpt-4o-2024-06-11-1110-post_gemini-1.5-pro-2024-06-26-1108-cross-validated_values-transcriptions.csv,100-bryophytes-typed.csv,agreement_with_post.yaml,"[0, 0, 2]","[54, 59.3, 62]","[99, 99.2, 100]","[58, 59.8, 63]","[7, 15.4, 27]","[28, 32.3, 38]","[69, 76.0, 79]","[5, 8.7, 11]","[4, 4, 4]","[79, 82.4, 84]","[2, 2, 11]","[46, 46.2, 47]","[44, 44, 44]","[49, 50.2, 58]","[9, 9.1, 13]","[7, 7.9, 10]","[100, 100, 100]","[25, 26.6, 29]","[1, 5.6, 7]","[21, 21.4, 27]","[12, 18.3, 20]","[53, 58.7, 60]","[27, 33.4, 34]","[3, 3.9, 5]",802,496,115,18,864.5772359,52.4227641,1298,133,802+496/802+496+115+18,0.907058001,802/802+115+18,0.857754011,,
gemini-1.5-pro-2024-06-20-0153-gemini-1.5-pro-2024-06-26-1108-cross-validated_values-transcriptions.csv,100-bryophytes-typed.csv,agreement_with_post.yaml,"[0, 0, 4]","[8, 44.8, 58]","[99, 99.2, 100]","[58, 65.3, 83]","[7, 17.7, 47]","[3, 33.5, 58]","[74, 85.4, 93]","[5, 14.5, 29]","[4, 4, 4]","[90, 95.2, 97]","[5, 5.4, 31]","[32, 37.5, 65]","[35, 40.7, 55]","[49, 54.6, 77]","[9, 9.8, 25]","[2, 8.9, 13]","[99, 99, 99]","[16, 32.7, 47]","[6, 15.9, 18]","[21, 22.5, 33]","[17, 29.2, 39]","[61, 77.7, 82]","[23, 45.8, 52]","[3, 16.2, 28]",726,538,459,52,955.686441,229.313559,1264,511,726+538/726+538+459+52,0.712112676,726/726+459+52,0.5869038,,
gemini-1.5-pro-2024-06-20-0153-post_gemini-1.5-pro-2024-06-20-0153-cross-validated_values-transcriptions.csv,100-bryophytes-typed.csv,agreement_with_post.yaml,"[0, 0.2, 5]","[12, 21.2, 27]","[99, 99.2, 100]","[60, 71.2, 95]","[8, 28.3, 80]","[5, 23.7, 51]","[76, 92.1, 100]","[8, 42.7, 94]","[4, 4, 4]","[92, 97.2, 99]","[6, 7.1, 46]","[41, 50.6, 100]","[45, 62.8, 100]","[56, 65.8, 100]","[11, 13.7, 38]","[3, 8.7, 22]","[99, 99.2, 100]","[24, 49.5, 73]","[9, 29.0, 34]","[22, 23.9, 37]","[27, 52.8, 65]","[63, 90.4, 100]","[32, 83.9, 100]","[5, 53.6, 100]",807,558,779,84,1170.52214,415.4778596,1365,863,807+558/807+558+779+84,0.612657092,807/807+779+84,0.483233533,,
gemini-1.5-pro-2024-06-20-0153-post_gemini-1.5-pro-2024-06-26-1108-cross-validated_values-transcriptions.csv,100-bryophytes-typed.csv,agreement_with_post.yaml,"[0, 0, 4]","[11, 17.0, 21]","[99, 99.2, 100]","[58, 65.3, 83]","[7, 17.7, 47]","[5, 19.9, 41]","[74, 85.4, 93]","[5, 14.3, 28]","[4, 4, 4]","[90, 95.2, 97]","[5, 5.4, 31]","[32, 37.5, 65]","[35, 40.7, 55]","[49, 54.6, 77]","[9, 9.8, 25]","[2, 3.7, 7]","[99, 99, 99]","[16, 25.7, 35]","[6, 15.9, 18]","[21, 22.5, 33]","[17, 23.1, 28]","[61, 77.7, 82]","[23, 45.8, 52]","[3, 16.2, 28]",731,538,370,52,895.6636611,205.3363389,1269,422,731+538/731+538+370+52,0.750443525,731/731+370+52,0.633998265,,
gemini-1.5-pro-2024-06-26-1108-post_gemini-1.5-pro-2024-06-20-0153-cross-validated_values-transcriptions.csv,100-bryophytes-typed.csv,agreement_with_post.yaml,"[0, 0, 4]","[13, 17.0, 21]","[99, 99.2, 100]","[58, 65.4, 83]","[7, 17.7, 47]","[6, 21.1, 41]","[74, 85.7, 93]","[5, 15.0, 28]","[4, 4, 4]","[90, 95.2, 97]","[5, 5.4, 31]","[32, 37.5, 65]","[35, 40.7, 55]","[49, 54.6, 77]","[9, 9.8, 25]","[2, 2.9, 6]","[99, 99, 99]","[16, 25.8, 35]","[6, 15.9, 18]","[21, 22.5, 33]","[17, 24.0, 29]","[61, 77.8, 82]","[23, 45.8, 52]","[3, 16.3, 28]",734,538,367,52,898.1299945,202.8700055,1272,419,734+538/734+538+367+52,0.752217623,734/734+367+52,0.636600173,,
gemini-1.5-pro-2024-06-26-1108-post_gemini-1.5-pro-2024-06-26-1108-cross-validated_values-transcriptions.csv,100-bryophytes-typed.csv,agreement_with_post.yaml,"[0, 0.2, 5]","[13, 20.5, 26]","[99, 99.2, 100]","[61, 71.5, 95]","[11, 32.3, 78]","[8, 27.8, 52]","[79, 92.2, 100]","[9, 45.3, 92]","[4, 4, 4]","[90, 96.1, 99]","[5, 5.7, 46]","[47, 55.3, 100]","[47, 62.5, 100]","[57, 64.9, 100]","[11, 13.7, 42]","[3, 6.0, 17]","[100, 100, 100]","[22, 49.0, 72]","[6, 27.5, 34]","[22, 23.9, 37]","[24, 53.5, 66]","[66, 90.5, 100]","[33, 83.5, 100]","[4, 54.8, 100]",821,558,759,85,1179.825271,400.1747294,1379,844,821+558/821+558+759+85,0.620332883,821/821+759+85,0.493093093,,
post_gemini-1.5-pro-2024-06-20-0153-post_gemini-1.5-pro-2024-06-26-1108-cross-validated_values-transcriptions.csv,100-bryophytes-typed.csv,agreement_with_post.yaml,"[0, 0, 4]","[53, 65.6, 75]","[99, 99.2, 100]","[58, 65.3, 83]","[7, 17.7, 47]","[28, 43.6, 66]","[74, 85.4, 93]","[5, 15.6, 31]","[4, 4, 4]","[90, 95.2, 97]","[5, 5.4, 31]","[32, 37.5, 65]","[35, 40.7, 55]","[49, 54.6, 77]","[9, 9.8, 25]","[8, 11.4, 15]","[99, 99, 99]","[24, 37.4, 48]","[6, 15.9, 18]","[21, 22.5, 33]","[25, 37.0, 43]","[61, 77.7, 82]","[23, 45.8, 52]","[3, 16.2, 28]",818,538,401,52,1002.485636,216.5143641,1356,453,818+538/818+538+401+52,0.749585406,818/818+401+52,0.643587726,,
