run name,fieldname,method,gradedMatch,diff gradedMatch,accuracy,diff accuracy,num mismatches,diff mismatches,   ,itemized,errors,  ------>,extraneous preface,"period,extraneous preface",period,spacing,"spacing,period,positive polarity sign",positive polarity sign,"period,positive polarity sign",vowel diacritic,"spacing,vowel diacritic,comma","spacing,comma","period,comma","vowel diacritic,dash","spacing,dash","vowel diacritic,comma","spacing,extraneous preface","spacing,period,comma",bracketed comment,"period,comma,extraneous preface","spacing,period,positive polarity sign,extraneous preface","spacing,period,extraneous preface","spacing,period","comma,extraneous preface",comma,"spacing,period,dash","comma,bracketed comment","vowel diacritic,bracketed comment","spacing,comma,bracketed comment",sum
gpt-4-2024-05-30-1139,identifiedBy,name_compliance,70.9,,48.1,,2,,,,,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
post_gpt-4-2024-05-30-1139,identifiedBy,name_compliance,70.9,0.0,50.6,2.5,0,2,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-4-2024-05-30-1025,identifiedBy,name_compliance,72.0,,57.3,,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post_gpt-4-2024-05-30-1025,identifiedBy,name_compliance,72.0,0.0,57.3,0.0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-4o-2024-06-11-1050,identifiedBy,name_compliance,79.7,,60.8,,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post_gpt-4o-2024-06-11-1050,identifiedBy,name_compliance,79.7,0.0,60.8,0.0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-4o-2024-06-11-1110,identifiedBy,name_compliance,82.1,,64.1,,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post_gpt-4o-2024-06-11-1110,identifiedBy,name_compliance,82.1,0.0,64.1,0.0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claude-3-opus-2024-06-12-1404,identifiedBy,name_compliance,53.7,,34.1,,5,,,,,,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6
post_claude-3-opus-2024-06-12-1404,identifiedBy,name_compliance,54.9,1.1999999999999957,40.2,6.100000000000001,0,5,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claude-3-opus-2024-06-12-1440,identifiedBy,name_compliance,54.3,,35.8,,5,,,,,,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6
post_claude-3-opus-2024-06-12-1440,identifiedBy,name_compliance,55.6,1.3000000000000043,42.0,6.200000000000003,0,5,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gemini-1.5-pro-2024-06-20-0153,identifiedBy,name_compliance,57.5,,6.2,,24,,,,,,0,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
post_gemini-1.5-pro-2024-06-20-0153,identifiedBy,name_compliance,62.5,5.0,36.2,30.000000000000004,0,24,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gemini-1.5-pro-2024-06-26-1108,identifiedBy,name_compliance,59.3,,9.9,,24,,,,,,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
post_gemini-1.5-pro-2024-06-26-1108,identifiedBy,name_compliance,64.2,4.900000000000006,39.5,29.6,0,24,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claude-3.5-sonnet-2024-06-21-1043,identifiedBy,name_compliance,60.3,,35.9,,6,,,,,,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
post_claude-3.5-sonnet-2024-06-21-1043,identifiedBy,name_compliance,61.5,1.2000000000000028,43.6,7.700000000000003,0,6,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claude-3.5-sonnet-2024-06-26-1050,identifiedBy,name_compliance,59.0,,35.9,,5,,,,,,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
post_claude-3.5-sonnet-2024-06-26-1050,identifiedBy,name_compliance,60.3,1.2999999999999972,42.3,6.399999999999999,0,5,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-4-2024-05-30-1139,locality,remove_additional_comments,51.0,,8.0,,4,,,,,,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
post_gpt-4-2024-05-30-1139,locality,remove_additional_comments,51.0,0.0,8.0,0.0,4,0,,,,,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-4-2024-05-30-1025,locality,remove_additional_comments,60.0,,22.0,,4,,,,,,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
post_gpt-4-2024-05-30-1025,locality,remove_additional_comments,60.0,0.0,22.0,0.0,4,0,,,,,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-4o-2024-06-11-1050,locality,remove_additional_comments,61.0,,9.0,,11,,,,,,0,0,0,0,0,0,0,2,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
post_gpt-4o-2024-06-11-1050,locality,remove_additional_comments,61.0,0.0,9.0,0.0,11,0,,,,,0,0,0,0,0,0,0,2,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-4o-2024-06-11-1110,locality,remove_additional_comments,62.0,,12.0,,11,,,,,,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21
post_gpt-4o-2024-06-11-1110,locality,remove_additional_comments,62.0,0.0,12.0,0.0,11,0,,,,,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claude-3-opus-2024-06-12-1404,locality,remove_additional_comments,29.0,,5.0,,3,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3
post_claude-3-opus-2024-06-12-1404,locality,remove_additional_comments,32.0,3.0,7.0,2.0,1,2,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claude-3-opus-2024-06-12-1440,locality,remove_additional_comments,30.0,,6.0,,2,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
post_claude-3-opus-2024-06-12-1440,locality,remove_additional_comments,32.0,2.0,7.0,1.0,1,1,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gemini-1.5-pro-2024-06-20-0153,locality,remove_additional_comments,44.0,,8.0,,2,,,,,,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
post_gemini-1.5-pro-2024-06-20-0153,locality,remove_additional_comments,46.0,2.0,8.0,0.0,2,0,,,,,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gemini-1.5-pro-2024-06-26-1108,locality,remove_additional_comments,47.0,,9.0,,3,,,,,,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
post_gemini-1.5-pro-2024-06-26-1108,locality,remove_additional_comments,48.0,1.0,9.0,0.0,3,0,,,,,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claude-3.5-sonnet-2024-06-21-1043,locality,remove_additional_comments,41.0,,0.0,,18,,,,,,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,2,24
post_claude-3.5-sonnet-2024-06-21-1043,locality,remove_additional_comments,56.0,15.0,13.0,13.0,5,13,,,,,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claude-3.5-sonnet-2024-06-26-1050,locality,remove_additional_comments,41.0,,0.0,,17,,,,,,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,2,23
post_claude-3.5-sonnet-2024-06-26-1050,locality,remove_additional_comments,56.0,15.0,12.0,12.0,5,12,,,,,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-4-2024-05-30-1139,secondaryCollectors,name_compliance,44.8,,17.2,,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post_gpt-4-2024-05-30-1139,secondaryCollectors,name_compliance,44.8,0.0,17.2,0.0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-4-2024-05-30-1025,secondaryCollectors,name_compliance,65.5,,41.4,,3,,,,,,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
post_gpt-4-2024-05-30-1025,secondaryCollectors,name_compliance,65.5,0.0,41.4,0.0,3,0,,,,,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-4o-2024-06-11-1050,secondaryCollectors,name_compliance,67.9,,39.3,,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post_gpt-4o-2024-06-11-1050,secondaryCollectors,name_compliance,67.9,0.0,39.3,0.0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-4o-2024-06-11-1110,secondaryCollectors,name_compliance,67.9,,39.3,,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post_gpt-4o-2024-06-11-1110,secondaryCollectors,name_compliance,67.9,0.0,39.3,0.0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claude-3-opus-2024-06-12-1404,secondaryCollectors,name_compliance,27.6,,24.1,,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post_claude-3-opus-2024-06-12-1404,secondaryCollectors,name_compliance,27.6,0.0,24.1,0.0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claude-3-opus-2024-06-12-1440,secondaryCollectors,name_compliance,27.6,,24.1,,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post_claude-3-opus-2024-06-12-1440,secondaryCollectors,name_compliance,27.6,0.0,24.1,0.0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gemini-1.5-pro-2024-06-20-0153,secondaryCollectors,name_compliance,52.9,,8.8,,6,,,,,,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
post_gemini-1.5-pro-2024-06-20-0153,secondaryCollectors,name_compliance,55.9,3.0,26.5,17.7,0,6,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gemini-1.5-pro-2024-06-26-1108,secondaryCollectors,name_compliance,54.5,,9.1,,7,,,,,,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
post_gemini-1.5-pro-2024-06-26-1108,secondaryCollectors,name_compliance,57.6,3.1000000000000014,30.3,21.200000000000003,0,7,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claude-3.5-sonnet-2024-06-21-1043,secondaryCollectors,name_compliance,67.9,,35.7,,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post_claude-3.5-sonnet-2024-06-21-1043,secondaryCollectors,name_compliance,67.9,0.0,35.7,0.0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claude-3.5-sonnet-2024-06-26-1050,secondaryCollectors,name_compliance,67.9,,35.7,,1,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
post_claude-3.5-sonnet-2024-06-26-1050,secondaryCollectors,name_compliance,67.9,0.0,39.3,3.5999999999999943,0,1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-4-2024-05-30-1139,verbatimCollectors,remove_name_identifiers,80.0,,48.0,,8,,,,,,2,0,0,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
post_gpt-4-2024-05-30-1139,verbatimCollectors,remove_name_identifiers,81.0,1.0,50.0,2.0,6,2,,,,,0,0,0,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-4-2024-05-30-1025,verbatimCollectors,remove_name_identifiers,89.0,,67.0,,8,,,,,,3,0,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10
post_gpt-4-2024-05-30-1025,verbatimCollectors,remove_name_identifiers,90.0,1.0,69.0,2.0,6,2,,,,,1,0,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-4o-2024-06-11-1050,verbatimCollectors,remove_name_identifiers,79.0,,45.0,,20,,,,,,15,0,0,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,23
post_gpt-4o-2024-06-11-1050,verbatimCollectors,remove_name_identifiers,87.0,8.0,59.0,14.0,6,14,,,,,1,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-4o-2024-06-11-1110,verbatimCollectors,remove_name_identifiers,77.0,,42.0,,20,,,,,,14,0,0,2,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,23
post_gpt-4o-2024-06-11-1110,verbatimCollectors,remove_name_identifiers,84.0,7.0,55.0,13.0,7,13,,,,,1,0,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claude-3-opus-2024-06-12-1404,verbatimCollectors,remove_name_identifiers,33.0,,8.0,,4,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7
post_claude-3-opus-2024-06-12-1404,verbatimCollectors,remove_name_identifiers,36.0,3.0,11.0,3.0,1,3,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claude-3-opus-2024-06-12-1440,verbatimCollectors,remove_name_identifiers,33.0,,7.0,,4,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7
post_claude-3-opus-2024-06-12-1440,verbatimCollectors,remove_name_identifiers,35.0,2.0,10.0,3.0,1,3,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gemini-1.5-pro-2024-06-20-0153,verbatimCollectors,remove_name_identifiers,65.0,,24.0,,25,,,,,,10,4,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,31
post_gemini-1.5-pro-2024-06-20-0153,verbatimCollectors,remove_name_identifiers,72.0,7.0,33.0,9.0,16,9,,,,,2,0,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gemini-1.5-pro-2024-06-26-1108,verbatimCollectors,remove_name_identifiers,65.0,,22.0,,25,,,,,,12,2,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,27
post_gemini-1.5-pro-2024-06-26-1108,verbatimCollectors,remove_name_identifiers,72.0,7.0,33.0,11.0,14,11,,,,,3,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claude-3.5-sonnet-2024-06-21-1043,verbatimCollectors,remove_name_identifiers,54.0,,10.0,,18,,,,,,1,5,10,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
post_claude-3.5-sonnet-2024-06-21-1043,verbatimCollectors,remove_name_identifiers,57.0,3.0,11.0,1.0,17,1,,,,,0,0,15,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claude-3.5-sonnet-2024-06-26-1050,verbatimCollectors,remove_name_identifiers,54.0,,10.0,,18,,,,,,1,5,10,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
